# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,15,9,12,3,14,15,3,0,
(6,1),(6,2),-0.0490661 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0169857 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0422746 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0405842 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0148612 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0106287 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0106287 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.229577 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0805824 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0143432 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0088999 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0264759 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0264759 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00939395 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0105469 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0431221 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.018938 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.018938 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0588088 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0542682 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.019993 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.019993 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0195799 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0490608 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0490608 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00279698 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00279698 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.152798 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0485488 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0173538 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0408437 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.04002 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0566262 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0122135 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0547162 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0122135 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0362976 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0129707 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.080736 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.229654 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.081747 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0146149 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0233123 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0280684 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0299906 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0280684 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.000704101 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0321909 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0668686 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00753265 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0114282 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0184978 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0205422 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00726379 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0205422 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.015223 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0694033 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00155306 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0585397 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0662843 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0248867 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0654474 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0248867 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0525613 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0195977 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.140318 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.129812 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0513825 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0180153 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0513825 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0180236 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00313207 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.14871 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0603994 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.060612 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0603994 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0154837 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00873088 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.180536 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0154079 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.152721 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0457611 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0627377 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.152262 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0152466 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0724109 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0385406 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.193603 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0457611 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0627377 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.152262 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0573147 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0577141 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.180182 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00842448 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0225376 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0251003 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.00064556 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0212234 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00452978 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0646393 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00452978 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0404244 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0276271 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00580082 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.219909 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.095224 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0503302 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.093071 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0233767 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0364358 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0233767 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00456176 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0315074 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0346563 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.059586 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0212392 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0570851 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0615087 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.025433 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0615087 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00794454 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.039934 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0430947 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0183882 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0663656 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0647846 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00725197 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0647846 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00308964 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0292878 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0060203 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0107526 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00823037 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0197677 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00823037 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.028983 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0149744 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0313615 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0647133 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00727514 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0647133 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.00302871 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0292877 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00239737 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0188266 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0634619 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0509815 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0110146 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0103074 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0466506 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0352665 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.000937749 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0533466 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0509815 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0110146 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0103074 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0357784 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0407847 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0681233 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0167243 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00659564 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0158271 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0932029 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0710324 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0892739 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.00653523 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0421662 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0385721 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0157761 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.012954 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0421662 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00867809 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0881265 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.133749 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.00740879 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0289411 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00428367 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.026736 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0320062 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.103081 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0843897 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.108621 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0103125 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.103081 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0973474 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0601193 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.131615 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0651216 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0918056 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0676746 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.102932 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.027774 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0196864 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0679014 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.184367 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.027774 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00353008 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.00673753 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0211775 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0215739 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0212296 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0222501 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0118401 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0344672 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0550851 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0109832 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0118401 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0894536 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.123872 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00083282 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.049896 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0467758 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0550783 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.027397 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00580314 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.187248 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0550783 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.00450061 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.124639 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0204648 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.00353017 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0727278 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00355338 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0141024 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.235153 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0727278 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00268618 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.139527 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.046779 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0547162 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0269235 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00556965 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.186955 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0547162 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.000431919 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.12504 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.568664 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0313935 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.032104 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0294827 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.568664 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00140069 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00461014 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0154095 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0248513 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0204047 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.117025 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0373667 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.106077 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0325849 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0352101 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.00274544 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0590634 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.00696691 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0611953 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.00139825 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00081914 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.158982 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.00511373 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0610819 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0289267 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0373667 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.106077 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.121919 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0251003 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.00064556 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0212234 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0385732 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.106084 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00452978 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0404244 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0276271 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.00580082 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.120134 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0183882 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0663656 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.12952 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0115134 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0647846 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00308964 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0292878 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0060203 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.181718 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0107526 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0914851 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.017489 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00823037 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.028983 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0149744 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0313615 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.242366 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.122317 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00430521 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0647133 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00302871 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0292877 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00239737 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.181754 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0902852 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00376286 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0107316 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00484849 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0152329 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0703748 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.398066 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.115374 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.247563 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.318461 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0443486 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0509815 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0110146 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0103074 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.12302 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0357784 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0407847 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.00109415 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0681233 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0410311 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.132333 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00659564 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0158271 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0710324 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0892739 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.00653523 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.258924 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.00653523 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.012954 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0421662 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.00867809 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.131615 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0918056 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0676746 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.102932 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0228608 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.102932 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.184367 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.027774 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.00353008 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0215739 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0212296 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0222501 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.181483 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0222501 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0109832 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0118401 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0894536 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0204648 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00353017 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.137222 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.00353017 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.235153 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0727278 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.00268618 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.046779 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.177667 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.046779 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.186955 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0547162 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.000431919 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.521106 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.100325 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0294827 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.568664 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.00140069 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0310342 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0172227 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0299769 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0445565 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0294827 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.568664 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00140069 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.00511373 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0610819 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0373667 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.17645 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0894006 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.17645 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0153207 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0661941 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.185273 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.00879002 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0447083 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0507306 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0162367 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0384794 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0735375 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00525147 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.345377 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.022767 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.660729 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0469076 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0295232 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0162367 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0384794 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0735375 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.00525147 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0280012 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00391943 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.103617 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.13253 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.13934 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.204347 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.121416 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.24299 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.146197 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0878498 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.054085 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.000870169 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0280022 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0627396 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.152266 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.180196 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.122317 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.122317 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.00430521 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0509236 # DEPENDENCYPART_SIBL
