# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,4,13,14,15,18,16,0,
(7,6),(7,12),0.169695 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0263857 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0698281 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0349523 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.140838 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0349032 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0937993 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00778646 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.162867 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00761176 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.112773 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0719583 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0196314 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0332282 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0260042 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.17254 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0352269 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0534502 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0618864 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0460275 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.209613 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0200493 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.14908 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0596421 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.149303 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0310477 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.113506 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.119487 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0879077 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0677531 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0852059 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0134065 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0780704 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.250976 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0571023 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.244883 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0542503 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0791479 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0704982 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0667055 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0936518 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0979699 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.116247 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.257698 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0316297 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.260774 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0162988 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.329086 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.839531 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.05007 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.218009 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0204108 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.162352 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0518193 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.162575 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00910476 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.10465 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.114041 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0788957 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.543173 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0452109 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.139958 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0439475 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.192817 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0852623 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.194362 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.120195 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0313173 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.551405 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0312054 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0846133 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.068295 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0445891 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0047543 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.292573 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0830825 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00501707 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0104257 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0190273 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.189637 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0693165 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0310295 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0461573 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0230593 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0813813 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00316228 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0141639 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.015289 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.188028 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.073723 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0155328 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.168565 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0248788 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.12593 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.116792 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.148545 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.141612 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.137809 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.142442 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.275655 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.00757313 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0368909 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0486569 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00193973 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0731888 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.060775 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.024497 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.055618 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0201023 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0695325 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0786693 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.174132 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.351169 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.140543 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.140103 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0562362 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0218672 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0201433 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00934321 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0934724 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0547611 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0793116 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0480523 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0656981 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0912161 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0889926 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.138883 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.00325666 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0492113 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00208552 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0221441 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0278452 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0230847 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0260554 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.00817652 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0262041 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0612364 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.204953 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.305616 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0142902 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.129853 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0247245 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.168683 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0835969 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0695165 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0965625 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.17941 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0999933 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0969977 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.166581 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0788702 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0304001 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00466096 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00569276 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0431665 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0954331 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.080076 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.088091 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0733672 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0389903 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.131181 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.062943 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0041626 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0165932 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0963895 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0067205 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0119371 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.072172 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00751419 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0649874 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0148412 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00564317 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0440041 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0555301 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0816622 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0318283 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.134685 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0328399 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0052095 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.272357 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.130412 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0063813 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0287442 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.00511218 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0915156 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.00147866 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.118534 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0217808 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00668367 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0350602 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0590118 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.083575 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0578562 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0240775 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.00734954 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0396554 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00852702 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.102427 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.00193618 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.121967 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.183705 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0984532 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.186474 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.111065 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.114333 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0551979 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0577005 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0518989 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.00376712 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.129073 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.431134 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0915571 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.156936 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.1792 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0970961 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.280988 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0762815 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0277936 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0257009 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0155853 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0875923 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0901066 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.1245 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.166159 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0172446 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0312988 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0511896 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0402807 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0898148 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0627782 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0553896 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0467 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0218713 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0372121 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0484685 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0556865 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0594529 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0235749 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0333369 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0949757 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0516214 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.505866 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0445333 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.296893 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0405161 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0652005 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.100956 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0276075 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0228454 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0309236 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0266821 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.323235 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0806268 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.00469321 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0472484 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00182686 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0294627 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.108112 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.648835 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.126095 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.644724 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00661766 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.121241 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.04387 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0816934 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0393803 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0880405 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0732097 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0378522 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0289205 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0900342 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0249979 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0290561 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0335061 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0605354 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0217374 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.120968 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0755712 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.10471 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.162416 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0976314 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.165921 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.00406236 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.152044 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.174415 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0280792 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0166815 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0976864 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.00743648 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0919435 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.165045 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0550331 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.084822 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0198036 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0715977 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0210689 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0647327 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.223697 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0669909 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.279367 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.110323 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.750228 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.104378 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.193815 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.139271 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0904318 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0940774 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0120784 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0272197 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0776778 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.00118096 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0167725 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0209976 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0516612 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.00922886 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.108142 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0623234 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0276119 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.00827718 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0107637 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0180496 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0343656 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0599265 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0125156 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0101511 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0211125 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0175169 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0364068 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0367562 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00827956 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0112388 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00688984 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.000587196 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0534891 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0556513 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0492376 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0267697 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.125276 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.106297 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.132711 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0108492 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0120243 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0351771 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0220875 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0293553 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.124209 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0267922 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.068891 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0184277 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0179829 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0371793 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0528715 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0254106 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0998267 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.073438 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0521956 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.000338965 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.00466851 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.00677394 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.00749823 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.00712936 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.243997 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0224779 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.060959 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.05598 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0476176 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0267064 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0987846 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0303779 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.079257 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0321699 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0192208 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.122907 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0310172 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.296241 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.183939 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.164327 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0522375 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00586933 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0988624 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.186733 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.164946 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.238346 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0258269 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0541221 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.00665688 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0896896 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.000213664 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0138412 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.000668445 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0322724 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0119146 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0182712 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0146598 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0432928 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0909694 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0408825 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0286018 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0673528 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.112701 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0358858 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0120408 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0187878 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0352266 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0855436 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.00799528 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.12369 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0637715 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0875596 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0810906 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.119093 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0717513 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.118551 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.208703 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0442051 # DEPENDENCYPART_SIBL
