# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
(16,3),(16,11),-0.378139 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.378139 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.250829 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.378139 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.147293 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0678249 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0788099 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0166562 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.0124218 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.00814883 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0775994 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0256928 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.0302858 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0392539 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0459138 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.00981311 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.00326096 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.0097264 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0097264 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0189088 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.00972527 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.185882 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.0931384 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.129034 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.00474577 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0135279 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0041626 # DEPENDENCYPART_SIBL
(16,4),(16,22),0.0124216 # DEPENDENCYPART_SIBL
(16,4),(16,23),0.00503899 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.120724 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.099239 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.191959 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.410907 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.408203 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.408203 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.263481 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.408203 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.173145 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.141646 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0342052 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0328601 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0146993 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.0103794 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0427148 # DEPENDENCYPART_SIBL
(16,7),(16,23),0.0014283 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.00198421 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0623378 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0771737 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0745522 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0745522 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0813583 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0745523 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0635675 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0433503 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0393534 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0318329 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.00772814 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0128383 # DEPENDENCYPART_SIBL
(16,8),(16,22),0.0116928 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.012721 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.0678896 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.148258 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.1432 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.1432 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.200285 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.143206 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.351147 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.158445 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.127331 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.0577922 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0773298 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.0507529 # DEPENDENCYPART_SIBL
(16,9),(16,22),0.0113438 # DEPENDENCYPART_SIBL
(16,9),(16,23),0.0685084 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.147539 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.378371 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.378371 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.250919 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.378371 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.147534 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0619638 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0824941 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.02393 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0167141 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.011772 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0812076 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.029985 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0349065 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.378139 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.250829 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.378139 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.147293 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.067828 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0788099 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0166562 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0124187 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.00814883 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0775994 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0256896 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0302858 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.250829 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.378139 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.147293 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.067828 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0788099 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0166562 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0124187 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.00814883 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0775994 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0256896 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0302858 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.107186 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.00638599 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0232203 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0935986 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0642963 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.025712 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0981646 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.0768477 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.0150353 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0673819 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.147298 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0678194 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0789049 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0166562 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0146705 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00890675 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0775995 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0279415 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0303132 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0931384 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.129034 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00474577 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0135279 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0041626 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0124216 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.00503899 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.120724 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0624042 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.107484 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0355403 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.145277 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.132997 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.0254236 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.095884 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0134673 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.132247 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.180761 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.101125 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.133759 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.195558 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0157436 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.169292 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0120855 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.00753281 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.12142 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.280326 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.00739115 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.165042 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.183401 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.056338 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.0302586 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0172839 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.101884 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.18404 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.17821 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.220447 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.170057 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.210249 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.0592429 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0341413 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.223149 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.220447 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.220447 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.201468 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.220447 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.170057 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0349834 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.127568 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.083072 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.105268 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0409832 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.118539 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0536314 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.167367 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.199872 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.0535787 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.0171868 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.212772 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.21007 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.21007 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.196612 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.210071 # DEPENDENCYPART_SIBL
(17,3),(17,15),-0.167367 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.0324519 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.113267 # DEPENDENCYPART_SIBL
(17,3),(17,19),-0.055848 # DEPENDENCYPART_SIBL
(17,3),(17,20),-0.0624399 # DEPENDENCYPART_SIBL
(17,3),(17,21),-0.0142038 # DEPENDENCYPART_SIBL
(17,3),(17,23),-0.0757109 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0477423 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.0424331 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0644778 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.0188481 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.0035134 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.00997462 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.00997462 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0125239 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0099735 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.19074 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.062909 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.159276 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.0718266 # DEPENDENCYPART_SIBL
(17,4),(17,20),-0.016113 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.000345208 # DEPENDENCYPART_SIBL
(17,4),(17,23),-0.0246019 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.039555 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0510155 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0347431 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.241273 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.238571 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.238571 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.208223 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.238572 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.19193 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0268068 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0805076 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0242067 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.042742 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.00357334 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.056013 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0270434 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.00707977 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.0363442 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0337248 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.0337248 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.0884391 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0337249 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0963803 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.314002 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.101942 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.139814 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0546247 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0524474 # DEPENDENCYPART_SIBL
(17,8),(17,23),-0.0596176 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0810912 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0132988 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.00824281 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.00824281 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.120334 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0082481 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.311216 # DEPENDENCYPART_SIBL
(17,9),(17,16),9.08341e-06 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.146915 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0360452 # DEPENDENCYPART_SIBL
(17,9),(17,20),0.00913316 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.010012 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.000311749 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.113166 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.210302 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.210302 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.196701 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.210303 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.167608 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0325756 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.116935 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0631047 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.0667175 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0178135 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0799885 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0523435 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.21007 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.196612 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.210071 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.167367 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0324519 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.113267 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.055848 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.0624367 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0142038 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.0757077 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.0477423 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.196612 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.210071 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.167367 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0324519 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.113267 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.055848 # DEPENDENCYPART_SIBL
(17,12),(17,20),-0.0624367 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0142038 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.0757077 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.0477423 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0584379 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0337092 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0298981 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.157607 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.132525 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0544502 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0116369 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0651269 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.121682 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.167373 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0324619 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.113362 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.055848 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0646885 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0149617 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0779595 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0477698 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.062909 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.159276 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0718266 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.016113 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.000345208 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0246019 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.039555 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.114823 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.111114 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0090618 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0170013 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0140547 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0598109 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0317259 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.141222 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.175599 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.142733 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.159774 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0387036 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.210247 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0469143 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0624922 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.253073 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.145779 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.13544 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0269144 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.0561237 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.130249 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0540778 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0899194 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0138873 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.106575 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.0301735 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.00969942 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0290918 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.00959745 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.10398 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0248005 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.119644 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.182697 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0642956 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.1531 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.182216 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0319438 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0101202 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0267335 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.00892278 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.01626 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0875853 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.108282 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0307041 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0747733 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.101416 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.217876 # DEPENDENCYPART_SIBL
(19,20),(19,21),-1.39584 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.483154 # DEPENDENCYPART_SIBL
(19,20),(19,23),-1.47039 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.441684 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0968873 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.653367 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0299549 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.756468 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.214635 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.442292 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0883875 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00777771 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.113074 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.173014 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0354355 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0299854 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.265401 # DEPENDENCYPART_SIBL
(21,1),(21,3),-0.028267 # DEPENDENCYPART_SIBL
(21,1),(21,4),0.13494 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.0374702 # DEPENDENCYPART_SIBL
(21,1),(21,8),0.094401 # DEPENDENCYPART_SIBL
(21,1),(21,9),-0.0329625 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.0296634 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.028267 # DEPENDENCYPART_SIBL
(21,1),(21,12),-0.028267 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.274482 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.0282673 # DEPENDENCYPART_SIBL
(21,1),(21,15),0.13494 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.0393151 # DEPENDENCYPART_SIBL
(21,1),(21,17),0.0462798 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.0846443 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.0669571 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.0284325 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0186631 # DEPENDENCYPART_SIBL
(21,1),(21,23),0.046903 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.0469021 # DEPENDENCYPART_SIBL
(21,2),(21,3),0.0306283 # DEPENDENCYPART_SIBL
(21,2),(21,4),0.32519 # DEPENDENCYPART_SIBL
(21,2),(21,7),0.0277132 # DEPENDENCYPART_SIBL
(21,2),(21,8),0.071436 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.00414609 # DEPENDENCYPART_SIBL
(21,2),(21,10),0.0294046 # DEPENDENCYPART_SIBL
(21,2),(21,11),0.0306283 # DEPENDENCYPART_SIBL
(21,2),(21,12),0.0306283 # DEPENDENCYPART_SIBL
(21,2),(21,13),0.00723334 # DEPENDENCYPART_SIBL
(21,2),(21,14),0.0306281 # DEPENDENCYPART_SIBL
(21,2),(21,15),0.32519 # DEPENDENCYPART_SIBL
(21,2),(21,16),0.00493827 # DEPENDENCYPART_SIBL
(21,2),(21,17),0.0389266 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.038437 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.00153831 # DEPENDENCYPART_SIBL
