# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
(7,9),(7,17),0.0397737 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0397737 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.14663 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0404263 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0958061 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.149389 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0845108 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.15613 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.146632 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.146632 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00777074 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0159943 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.126636 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.00431379 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.125854 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.12707 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.12707 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0999045 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.115087 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.109295 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.11146 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.115513 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.115513 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0412229 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.125861 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.042109 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0410114 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0410114 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0170546 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.118996 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.120212 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.120212 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0883019 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0923542 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0923542 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.128353 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.128353 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.133845 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.117568 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.00184869 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.12295 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0232417 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.106796 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00413845 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0319563 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0266021 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0996248 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0374173 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0282865 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0255995 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0255995 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.104351 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0650626 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.209855 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.077892 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00390975 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0242034 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00689261 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0502795 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00570137 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0308484 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0305578 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0305578 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.130702 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0607497 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0312834 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0257726 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0100025 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0264986 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0257407 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0187086 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0107187 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.00412415 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.00412415 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.128524 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0028989 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0672177 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00532815 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.179761 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0266843 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.00167303 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0167418 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00102712 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.00102712 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.040123 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00859507 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0265188 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0133451 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0712694 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00801677 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0330059 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0328732 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0328732 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0135165 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.032501 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.000177216 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.245136 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0319391 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0336013 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0325037 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0325037 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0539428 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0292504 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0169899 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0551498 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0634433 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0539455 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0539455 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0131089 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0249469 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.107204 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.105645 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.106862 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.106862 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.109054 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.10712 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.102718 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.10677 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.10677 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0331915 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0348537 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0337561 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0337561 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.106883 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.108099 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.108099 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.108144 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.108144 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.113637 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.118959 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.00180716 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0234871 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.121818 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0246974 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0238591 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.00641857 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0314232 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0301546 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.104179 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0368842 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0507581 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0277534 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0250664 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0250664 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0842995 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.200744 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0747618 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.219242 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.201236 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.000252317 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0259171 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00232168 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0562475 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.00741506 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0102952 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0325621 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0322715 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0322715 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0119155 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.136355 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0554231 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0118271 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0277234 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0111156 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0283635 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0291519 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0198216 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.00189671 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.00960564 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00523724 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.00523724 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.091809 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.250977 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.232971 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0261244 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0215416 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0113939 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.038607 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0400436 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0169455 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0148966 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0151872 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0151872 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.129259 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.115963 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.065908 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00576554 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.181764 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0236792 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00211042 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0274263 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0163044 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.000589728 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.000589728 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.26798 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00449136 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0286208 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0183023 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0647783 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0101188 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.00460102 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.035108 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0349752 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0349752 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0269291 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0223389 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0121912 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0405416 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.040841 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0184251 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.015694 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0159845 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0159845 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0555164 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.028162 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0197557 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0567233 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0653109 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0650169 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0555191 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0555191 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0131064 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0240982 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.106719 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0150947 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.10516 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.106376 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.106376 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.108208 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.106638 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0762866 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.102235 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.106288 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.106288 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.03393 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0960079 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0355922 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0344946 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0344946 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.00182159 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.106397 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.107614 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.107614 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.102582 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.106634 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.106634 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.107659 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.107659 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.113151 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.217825 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.234449 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.235258 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.146502 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.313687 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0886134 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.089021 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0618028 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.131028 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0986475 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.040671 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.158894 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0406709 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.159596 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0157863 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.324997 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0339422 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.324998 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.324995 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00723982 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0558445 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0350446 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0357509 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0493686 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0371792 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0313409 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0313409 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0410856 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.260378 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.26078 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.124547 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00590654 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0130226 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0732605 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.117907 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0742424 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0664879 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0664879 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.294488 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.295293 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0287558 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0601219 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0300212 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0121116 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0214885 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0114701 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.00829862 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.00829862 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.260776 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.124547 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00590654 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0137475 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0732605 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.118248 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0742425 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.066488 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.066488 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.124535 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00592853 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0130893 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0732824 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.117929 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0742644 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0665099 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0665099 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00868307 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0419088 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0442509 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0489999 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0476496 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0403982 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0403982 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0267122 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.00942888 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0190393 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.00939436 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00939013 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.00939013 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.000690406 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0138686 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.00204632 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.000529628 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.000529628 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0348601 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0684442 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.066474 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.066474 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0298482 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0298439 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0298439 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0578568 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0578568 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0618565 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0455326 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0244839 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0212012 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0820071 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0370604 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0190333 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0212012 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0134121 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.023945 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0132749 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.00577063 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.00189604 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.00797121 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.00545342 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.00545342 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0249451 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.00643564 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0401541 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.00510801 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.00968968 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.00643845 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0736988 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0265532 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.619174 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0331093 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0016106 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.033979 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0262714 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0262714 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.165055 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.533899 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.164735 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.163012 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.165055 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0257097 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0454953 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0133294 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.175491 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00029177 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.183338 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.177283 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.177283 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.063602 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0156584 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.000860661 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0041119 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0659118 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0498118 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.567612 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0193845 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.000368456 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0202543 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0125466 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.0125466 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0934984 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0458762 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0499201 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0390059 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0729228 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0110625 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0483045 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0299769 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0501282 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0445565 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0445565 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.01601 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0127588 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0603119 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0822153 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.659618 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.024895 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0498248 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0258436 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.018057 # DEPENDENCYPART_SIBL
