# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=0,1,8,8,8,8,6,1,8,9,8,11,8,13,16,14,8,22,22,21,19,0,22,23,24,25,0,
(17,2),(17,13),0.140024 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.000459108 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.00286105 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.00309486 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.0385007 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.0135536 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.167038 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.0261051 # DEPENDENCYPART_SIBL
(17,2),(17,23),-0.00825737 # DEPENDENCYPART_SIBL
(17,2),(17,25),-0.0313051 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.0394323 # DEPENDENCYPART_SIBL
(17,3),(17,9),0.0308792 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.0726444 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.07612 # DEPENDENCYPART_SIBL
(17,3),(17,13),0.0499201 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.056215 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0269775 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.0577686 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.0169564 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.0227332 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.0430954 # DEPENDENCYPART_SIBL
(17,3),(17,22),0.0704664 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.0259994 # DEPENDENCYPART_SIBL
(17,3),(17,25),-0.00665487 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0889608 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.049918 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0375575 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0011858 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0514683 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0270875 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0544465 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.568136 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.08018 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0120584 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.666948 # DEPENDENCYPART_SIBL
(17,8),(17,23),0.059251 # DEPENDENCYPART_SIBL
(17,8),(17,25),0.0696696 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.118576 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0233367 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.0554814 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.123535 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0693174 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.1238 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0718408 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.212194 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.018034 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0289077 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.255569 # DEPENDENCYPART_SIBL
(17,9),(17,25),0.168116 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.00600361 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.140024 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.000459677 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.00286105 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.00309429 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0385333 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0136021 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.171608 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.0260725 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.00830586 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.0313536 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0252777 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0199649 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.00971659 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0201825 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0531141 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.201538 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.0424452 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0101708 # DEPENDENCYPART_SIBL
(17,11),(17,23),0.251806 # DEPENDENCYPART_SIBL
(17,11),(17,25),0.176509 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0513797 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0270875 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0543579 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.567789 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.08018 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0120584 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.666601 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.059251 # DEPENDENCYPART_SIBL
(17,13),(17,25),0.0696696 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.00151868 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.00588265 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0150697 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0176712 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0706443 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0495361 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.012571 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.0326604 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.00302071 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0582269 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0496698 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.036058 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0226739 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.00613956 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.000311004 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.05209 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.024878 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.154607 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0125159 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0196637 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0436106 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0314104 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0318017 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.367649 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0425731 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.00772103 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0979494 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0283934 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.128319 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.0924115 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0181967 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.0352084 # DEPENDENCYPART_SIBL
(17,21),(17,25),0.0816536 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0363818 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0142549 # DEPENDENCYPART_SIBL
(17,23),(17,25),0.0164332 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.190656 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.158162 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.427088 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.0161464 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.00935236 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.194259 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.000540181 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0039922 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.190778 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0499471 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.194999 # DEPENDENCYPART_SIBL
(18,1),(18,13),5.23742e-05 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.204753 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0626189 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.195262 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.158162 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.120662 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0420305 # DEPENDENCYPART_SIBL
(18,1),(18,21),0.0845388 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0416947 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.140216 # DEPENDENCYPART_SIBL
(18,1),(18,24),0.0493368 # DEPENDENCYPART_SIBL
(18,1),(18,25),0.112145 # DEPENDENCYPART_SIBL
(18,1),(18,26),0.0528471 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.158154 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.427082 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.0161405 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.00934647 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.194253 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.00053429 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.00398631 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.190772 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.0499412 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.194993 # DEPENDENCYPART_SIBL
(18,2),(18,13),5.82649e-05 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.204747 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.062613 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.195256 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.158154 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.120683 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.0418553 # DEPENDENCYPART_SIBL
(18,2),(18,21),0.084554 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0420215 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.140236 # DEPENDENCYPART_SIBL
(18,2),(18,24),0.0493519 # DEPENDENCYPART_SIBL
(18,2),(18,25),0.112166 # DEPENDENCYPART_SIBL
(18,2),(18,26),0.0528622 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.271646 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0648108 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.0171323 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.0324366 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.103768 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.00556412 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.0280556 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.00630526 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.023094 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.114258 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.0145175 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0174726 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.0185048 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.190316 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0642371 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0258164 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0991979 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.0337054 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.0445288 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.0719471 # DEPENDENCYPART_SIBL
(18,3),(18,25),0.0653748 # DEPENDENCYPART_SIBL
(18,3),(18,26),0.0858125 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0560529 # DEPENDENCYPART_SIBL
(18,4),(18,6),0.108746 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.0465123 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.0392179 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.0279992 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.0407638 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.0710178 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.0404739 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.0392195 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.044761 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0210327 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.0427061 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.185939 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.104275 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0550707 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.059167 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0576805 # DEPENDENCYPART_SIBL
(18,4),(18,23),0.105553 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0172929 # DEPENDENCYPART_SIBL
(18,4),(18,25),0.0967552 # DEPENDENCYPART_SIBL
(18,4),(18,26),0.0183966 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.151478 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.0468402 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.00501351 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0827505 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.0399144 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.20642 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.0396106 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.00501153 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0478746 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0132374 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.042109 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.215144 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.0451613 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.168842 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.0425956 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0413978 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0793854 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0100532 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.0047256 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0114613 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0162311 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.0315448 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.0673499 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.00986937 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0108336 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.00893498 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.0249534 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.010236 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0873078 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.00788148 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.30799 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.0343547 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.000965173 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.085437 # DEPENDENCYPART_SIBL
(18,6),(18,22),0.0271004 # DEPENDENCYPART_SIBL
(18,6),(18,23),0.0320123 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.052506 # DEPENDENCYPART_SIBL
(18,6),(18,25),0.0870051 # DEPENDENCYPART_SIBL
(18,6),(18,26),0.0661816 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.00569742 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.00413352 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.189257 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0418695 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.193477 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.00628997 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.203231 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0596986 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.19374 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.154968 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.124434 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0391857 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.0973296 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0444162 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.143984 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.0621276 # DEPENDENCYPART_SIBL
(18,7),(18,25),0.111572 # DEPENDENCYPART_SIBL
(18,7),(18,26),0.0656379 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0441678 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.00722669 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0150952 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.00767931 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.235285 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.00755243 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.066079 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.00850418 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.09836 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.11571 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0200531 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0981621 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0153802 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.0467951 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0654702 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0422789 # DEPENDENCYPART_SIBL
(18,8),(18,26),0.0700537 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.0238315 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0171426 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0244551 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.042672 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0312216 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0976062 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0265181 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.259044 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.00451418 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0037366 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0321932 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0805155 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.0275639 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.00221008 # DEPENDENCYPART_SIBL
(18,9),(18,25),-0.0843627 # DEPENDENCYPART_SIBL
(18,9),(18,26),0.0142337 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0499424 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.194994 # DEPENDENCYPART_SIBL
(18,10),(18,13),5.82649e-05 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.204748 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.062613 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.195257 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.15816 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.120676 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0418553 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0891606 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0420215 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.14023 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0539586 # DEPENDENCYPART_SIBL
(18,10),(18,25),0.112159 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.0574689 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0197152 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0092928 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0258708 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0691761 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0210763 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.263649 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0370243 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0333042 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0696441 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0299809 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.0583047 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0393643 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.0880473 # DEPENDENCYPART_SIBL
(18,11),(18,26),0.0504921 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.00203683 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.203866 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.064147 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.194375 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.154142 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.112345 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0455328 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0902845 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.0415997 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.131898 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.0550825 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.103682 # DEPENDENCYPART_SIBL
(18,12),(18,26),0.0585928 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.00746342 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0660788 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.00841516 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0983598 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.11571 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.020053 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0981622 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0157269 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0467952 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0654703 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.042279 # DEPENDENCYPART_SIBL
(18,13),(18,26),0.0700538 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0590596 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.194644 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.170005 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.116455 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0480631 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0318002 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0388204 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.135619 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.00340182 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.113707 # DEPENDENCYPART_SIBL
(18,14),(18,26),0.000108492 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0531842 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0601179 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0589675 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0957974 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0661602 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0884556 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.0258895 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0435683 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.00544155 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0463745 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.159653 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.113736 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0455568 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0785417 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0349179 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.133173 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.0433408 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.104226 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.0468511 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0642371 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0258164 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0991979 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0337054 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0445288 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0719471 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0653748 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0858125 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.212667 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.220265 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.246206 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.294534 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.214997 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.301 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.217139 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0716066 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0464408 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0130416 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0750056 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.00512109 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0718937 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.00543094 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0215724 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.117883 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.105671 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.109777 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0210074 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.00180249 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.176361 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.00465345 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.012184 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0170627 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.00858075 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.106266 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.102843 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.0670357 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0365625 # DEPENDENCYPART_SIBL
