# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,17,26,24,23,26,0,
(17,15),(17,23),0.0054996 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.00971393 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0136932 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.00140081 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0920611 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.024023 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.000794824 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.182315 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0226332 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0222529 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0363168 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.182428 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0237839 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0397873 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0306379 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0850347 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0823548 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0525236 # DEPENDENCYPART_SIBL
(17,18),(17,27),-0.0325286 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0363318 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0218181 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.162398 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0143049 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.377971 # DEPENDENCYPART_SIBL
(17,20),(17,27),-0.0254092 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.0694546 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.00936926 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.0164332 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.0992045 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.0830069 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0716373 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0783767 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.0482745 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.0214082 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.0460082 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.0493832 # DEPENDENCYPART_SIBL
(17,23),(17,27),-0.0260071 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.078764 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.098502 # DEPENDENCYPART_SIBL
(17,26),(17,27),0.0165317 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0771691 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0677529 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.168286 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0524837 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0894034 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.09569 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0164846 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0232602 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.159467 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0993695 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.18304 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0221382 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.011478 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.015946 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0362816 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0111563 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0142051 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0259163 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.031787 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0210712 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0347669 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0112627 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.101692 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0163786 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.00658337 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.113903 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.0288674 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0365822 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0259913 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0219016 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.00266378 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0228058 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0120338 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0101454 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0137951 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.220332 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0625361 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0680287 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.222332 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0248281 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.053895 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00133782 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.250985 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.0667887 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.252914 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0131937 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.179238 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0738263 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.0416309 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.317929 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.100205 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.00402809 # DEPENDENCYPART_SIBL
(18,23),(18,24),0.185804 # DEPENDENCYPART_SIBL
(18,23),(18,26),0.0235245 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.0253681 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0370811 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0412928 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.109475 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0459663 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.0600367 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.290882 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0360028 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.174071 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.111821 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.116326 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0845736 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.0412928 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.290882 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0358609 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.174071 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0890924 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.00235923 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.00148172 # DEPENDENCYPART_SIBL
(20,1),(20,24),-0.0575104 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.00461604 # DEPENDENCYPART_SIBL
(20,1),(20,26),-0.035089 # DEPENDENCYPART_SIBL
(20,1),(20,27),-0.0139093 # DEPENDENCYPART_SIBL
(20,1),(20,28),-0.0840425 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0880388 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.0932579 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.103075 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.103833 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.104715 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.0851494 # DEPENDENCYPART_SIBL
(20,3),(20,12),0.00751538 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.0959995 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.127594 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.159607 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.0880388 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.104715 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0889992 # DEPENDENCYPART_SIBL
(20,3),(20,19),0.00751538 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.0483908 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.00440702 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.0267921 # DEPENDENCYPART_SIBL
(20,3),(20,24),0.000978285 # DEPENDENCYPART_SIBL
(20,3),(20,25),0.00322466 # DEPENDENCYPART_SIBL
(20,3),(20,26),0.0226235 # DEPENDENCYPART_SIBL
(20,3),(20,27),-0.0124424 # DEPENDENCYPART_SIBL
(20,3),(20,28),-0.0654297 # DEPENDENCYPART_SIBL
(20,4),(20,7),0.00174478 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.201637 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.000980786 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.147225 # DEPENDENCYPART_SIBL
(20,4),(20,11),0.00536992 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.00777871 # DEPENDENCYPART_SIBL
(20,4),(20,13),0.00947784 # DEPENDENCYPART_SIBL
(20,4),(20,14),0.0125889 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.174685 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.189128 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.147225 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.181836 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.00777871 # DEPENDENCYPART_SIBL
(20,4),(20,21),0.0383339 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0435406 # DEPENDENCYPART_SIBL
(20,4),(20,23),1.59406e-05 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.00286762 # DEPENDENCYPART_SIBL
(20,4),(20,25),-0.0453839 # DEPENDENCYPART_SIBL
(20,4),(20,26),0.0149897 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.0535587 # DEPENDENCYPART_SIBL
(20,4),(20,28),-0.0235222 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.0241855 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.0420215 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.091809 # DEPENDENCYPART_SIBL
(20,7),(20,11),0.000974749 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0395134 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.235248 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.0304075 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.0686416 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.011061 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.091809 # DEPENDENCYPART_SIBL
(20,7),(20,18),-8.91385e-05 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.0395134 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0127099 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.0148977 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.0199261 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.0288109 # DEPENDENCYPART_SIBL
(20,7),(20,25),-0.0167527 # DEPENDENCYPART_SIBL
(20,7),(20,26),-0.0136261 # DEPENDENCYPART_SIBL
(20,7),(20,27),-0.0226174 # DEPENDENCYPART_SIBL
(20,7),(20,28),-0.0386911 # DEPENDENCYPART_SIBL
(20,8),(20,9),0.0502392 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0755309 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.0345664 # DEPENDENCYPART_SIBL
(20,8),(20,12),0.0326964 # DEPENDENCYPART_SIBL
(20,8),(20,13),0.030101 # DEPENDENCYPART_SIBL
(20,8),(20,14),0.0380032 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.130821 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.154301 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0755309 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.14701 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0326964 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.0745584 # DEPENDENCYPART_SIBL
(20,8),(20,22),0.00786698 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.010287 # DEPENDENCYPART_SIBL
(20,8),(20,24),0.0346911 # DEPENDENCYPART_SIBL
(20,8),(20,25),0.00602363 # DEPENDENCYPART_SIBL
(20,8),(20,26),0.0448841 # DEPENDENCYPART_SIBL
(20,8),(20,27),-0.00215116 # DEPENDENCYPART_SIBL
(20,8),(20,28),0.0102047 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.15448 # DEPENDENCYPART_SIBL
(20,9),(20,11),0.0401744 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.0342038 # DEPENDENCYPART_SIBL
(20,9),(20,13),0.0173094 # DEPENDENCYPART_SIBL
(20,9),(20,14),0.0516007 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.0297744 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.00848462 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.15448 # DEPENDENCYPART_SIBL
(20,9),(20,18),0.0044867 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.0342038 # DEPENDENCYPART_SIBL
(20,9),(20,21),0.0412452 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0181041 # DEPENDENCYPART_SIBL
(20,9),(20,23),0.00330604 # DEPENDENCYPART_SIBL
(20,9),(20,24),0.0085136 # DEPENDENCYPART_SIBL
(20,9),(20,25),-0.0200684 # DEPENDENCYPART_SIBL
(20,9),(20,26),0.0458839 # DEPENDENCYPART_SIBL
(20,9),(20,27),-0.0305924 # DEPENDENCYPART_SIBL
(20,9),(20,28),-0.207509 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.201964 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.025981 # DEPENDENCYPART_SIBL
(20,10),(20,13),0.109156 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.0176307 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.00912908 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0268348 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.174704 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.0184702 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.025981 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.00991303 # DEPENDENCYPART_SIBL
(20,10),(20,22),0.000872861 # DEPENDENCYPART_SIBL
(20,10),(20,23),0.00625435 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.000399576 # DEPENDENCYPART_SIBL
(20,10),(20,25),-0.00225497 # DEPENDENCYPART_SIBL
(20,10),(20,26),0.0494109 # DEPENDENCYPART_SIBL
(20,10),(20,27),-0.0165235 # DEPENDENCYPART_SIBL
(20,10),(20,28),-0.0253276 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.00793567 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0667159 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0786808 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.0738289 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.0133715 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.137507 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0139329 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.00793567 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.00295496 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0345861 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0317038 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.0262827 # DEPENDENCYPART_SIBL
(20,11),(20,25),-0.035811 # DEPENDENCYPART_SIBL
(20,11),(20,26),0.121841 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.0471726 # DEPENDENCYPART_SIBL
(20,11),(20,28),-0.066873 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.0160487 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.0910939 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.040751 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0315823 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.213189 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0142589 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0994709 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.0407945 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0589063 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0081253 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.0624015 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.0631304 # DEPENDENCYPART_SIBL
(20,12),(20,26),0.0313067 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.0734237 # DEPENDENCYPART_SIBL
(20,12),(20,28),-0.169472 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.0328917 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0698304 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.0122638 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0875325 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.00129194 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.0421177 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0146716 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0163299 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0226235 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.0307771 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.018185 # DEPENDENCYPART_SIBL
(20,13),(20,26),-0.015715 # DEPENDENCYPART_SIBL
(20,13),(20,27),-0.0240496 # DEPENDENCYPART_SIBL
(20,13),(20,28),-0.0407137 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0911699 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0320326 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.255247 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0265998 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.10508 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.064578 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0379604 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0120657 # DEPENDENCYPART_SIBL
(20,14),(20,24),-0.139337 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.0401019 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.0291801 # DEPENDENCYPART_SIBL
(20,14),(20,27),-0.0445016 # DEPENDENCYPART_SIBL
(20,14),(20,28),-0.0864738 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0556195 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0324364 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.054198 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0134985 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0866797 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0610135 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.0143771 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.0705987 # DEPENDENCYPART_SIBL
(20,15),(20,25),-0.0627945 # DEPENDENCYPART_SIBL
(20,15),(20,26),-0.0649887 # DEPENDENCYPART_SIBL
(20,15),(20,27),-0.0697565 # DEPENDENCYPART_SIBL
(20,15),(20,28),-0.0993264 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.147227 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.181815 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0077788 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0383354 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0389955 # DEPENDENCYPART_SIBL
(20,16),(20,23),1.64696e-05 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.00286614 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0408388 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0149953 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0490136 # DEPENDENCYPART_SIBL
(20,16),(20,28),-0.018997 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0184702 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.025981 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.00991303 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.000872861 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.00625435 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.000399576 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.00225497 # DEPENDENCYPART_SIBL
(20,17),(20,26),0.0494109 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0165235 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.0253276 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.00353255 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.00941132 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0687578 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0371501 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0431171 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0706012 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.029961 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.078776 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.031856 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0407945 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0589063 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0081253 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0624015 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0631304 # DEPENDENCYPART_SIBL
(20,19),(20,26),0.0313067 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0734237 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.169472 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0324226 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.108287 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0776782 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0343749 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0951691 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.0209964 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0467169 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.247974 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.0568614 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.116171 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0263258 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.118043 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.129663 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.00798016 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0189398 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0377619 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.0201342 # DEPENDENCYPART_SIBL
(20,23),(20,28),0.0585589 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0377217 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.0184379 # DEPENDENCYPART_SIBL
(20,24),(20,27),0.0564708 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.0605925 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.0270355 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.118753 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.130373 # DEPENDENCYPART_SIBL
(20,26),(20,27),0.0443425 # DEPENDENCYPART_SIBL
(20,26),(20,28),-0.0291016 # DEPENDENCYPART_SIBL
(20,27),(20,28),-0.117344 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0260946 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.054514 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0231312 # DEPENDENCYPART_SIBL
(21,18),(21,27),-0.0235386 # DEPENDENCYPART_SIBL
(21,22),(21,23),-1.28948 # DEPENDENCYPART_SIBL
(21,22),(21,25),-1.35853 # DEPENDENCYPART_SIBL
(21,22),(21,27),-1.35983 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.608377 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.608379 # DEPENDENCYPART_SIBL
(21,25),(21,27),-1.35983 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.147995 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.034465 # DEPENDENCYPART_SIBL
(22,19),(22,27),-0.079143 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.124177 # DEPENDENCYPART_SIBL
(22,21),(22,27),-0.101684 # DEPENDENCYPART_SIBL
(22,24),(22,27),0.00218703 # DEPENDENCYPART_SIBL
(23,1),(23,3),-0.029723 # DEPENDENCYPART_SIBL
(23,1),(23,5),-0.038281 # DEPENDENCYPART_SIBL
(23,1),(23,7),-0.00301576 # DEPENDENCYPART_SIBL
(23,1),(23,9),-0.0184923 # DEPENDENCYPART_SIBL
(23,1),(23,10),-0.0302363 # DEPENDENCYPART_SIBL
(23,1),(23,11),-0.0522014 # DEPENDENCYPART_SIBL
(23,1),(23,12),0.000299193 # DEPENDENCYPART_SIBL
(23,1),(23,13),0.0150361 # DEPENDENCYPART_SIBL
(23,1),(23,14),-0.0578608 # DEPENDENCYPART_SIBL
(23,1),(23,15),-0.0682998 # DEPENDENCYPART_SIBL
(23,1),(23,16),-0.0506428 # DEPENDENCYPART_SIBL
(23,1),(23,17),-0.0302363 # DEPENDENCYPART_SIBL
(23,1),(23,18),-0.0728143 # DEPENDENCYPART_SIBL
(23,1),(23,19),0.000299193 # DEPENDENCYPART_SIBL
(23,1),(23,20),-0.0014356 # DEPENDENCYPART_SIBL
(23,1),(23,21),-0.0629139 # DEPENDENCYPART_SIBL
(23,1),(23,22),-0.0506428 # DEPENDENCYPART_SIBL
(23,1),(23,24),0.244262 # DEPENDENCYPART_SIBL
(23,1),(23,25),-0.0666042 # DEPENDENCYPART_SIBL
(23,1),(23,26),-0.178245 # DEPENDENCYPART_SIBL
(23,1),(23,27),-0.0687861 # DEPENDENCYPART_SIBL
(23,1),(23,28),-0.108233 # DEPENDENCYPART_SIBL
(23,3),(23,5),-0.00870092 # DEPENDENCYPART_SIBL
(23,3),(23,7),0.00242123 # DEPENDENCYPART_SIBL
(23,3),(23,9),-0.0552006 # DEPENDENCYPART_SIBL
