# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,18,11,12,15,13,11,11,0,20,18,22,18,0,
(6,5),(6,13),-0.0742313 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.18195 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0541907 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0274493 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0397581 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.162018 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.136862 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0773954 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0279143 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0418659 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00748637 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00113474 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.04357 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0870045 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0480351 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.00748637 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.029204 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.00230519 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0315875 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0390578 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0330594 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.107166 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0501246 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0492837 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.10545 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0354791 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.109693 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0501246 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0248142 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0483884 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.115909 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.1092 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.346847 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.012688 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0174222 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.108429 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0647433 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.116451 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.012688 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00636084 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0173158 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.124073 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.116479 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0177187 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.100942 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.105051 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.133089 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.109319 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.124158 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0427408 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.100476 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.123832 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.108806 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0774538 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0347635 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0209158 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0288416 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.00462206 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.00324077 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.235993 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0243607 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0309917 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.100402 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0642606 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.116613 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0129997 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0061246 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0174775 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.124234 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.116641 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.0178803 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.00891573 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0360627 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0132696 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.00494784 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.00756635 # DEPENDENCYPART_SIBL
(6,13),(6,21),-6.92861e-05 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0345308 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0139571 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.00522539 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0164999 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.118622 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.111028 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0143411 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0427408 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.100476 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.123832 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.108806 # DEPENDENCYPART_SIBL
(6,16),(6,22),-0.0774538 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0501294 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0182054 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.00699544 # DEPENDENCYPART_SIBL
(6,17),(6,22),-0.0276988 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.0248614 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.0314923 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.0998636 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.134667 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.031877 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.0201123 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.722677 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0532439 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.113996 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.722677 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.138708 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.474562 # DEPENDENCYPART_SIBL
(7,9),(7,12),-1.40022 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0854107 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.556444 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.53667 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.211638 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0780567 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.116627 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.107155 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.211638 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.187811 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0249829 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00304308 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0759636 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00235394 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.042741 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0847028 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.100169 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.194596 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.130626 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0169144 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0824338 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.196321 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0806772 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0277007 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.26069 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.04303 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.00672979 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0261886 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00413438 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.102688 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.00452142 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.301154 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.131146 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0323754 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0613464 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00929502 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0672151 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0095142 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0853653 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0770234 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00590682 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0181582 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.102815 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00487511 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.130626 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0169144 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0824338 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.196321 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0806772 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0336476 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00834102 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0940637 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.00917827 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0142221 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0228837 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0144841 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0121087 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.25985 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0414753 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.00280028 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0802436 # DEPENDENCYPART_SIBL
(10,1),(10,4),3.87476e-05 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0353884 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0173886 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0802436 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0378059 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.000402027 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.049773 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0352031 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0240499 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0337538 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0237813 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0222147 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0508541 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0131742 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0163308 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.140059 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0508541 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0295247 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.00899126 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0285889 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.180757 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0228987 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.185108 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0132325 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.00843353 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0340767 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.048314 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0431549 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.021168 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0806375 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0337562 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00556916 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00864218 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.230357 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0172715 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0200765 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0491822 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0129078 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.13994 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0470679 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0295233 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0109201 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.014528 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.17151 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0345262 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.17586 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00423013 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0016023 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0896477 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0114119 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0384729 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00944426 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.009386 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0526129 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0328085 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0718406 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0540705 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00538365 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0509177 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0751939 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0498117 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.676484 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0125657 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0515893 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0147105 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0384604 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0509737 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0806375 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0337562 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.00556916 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00864218 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.230357 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0172715 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0200765 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0491822 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0201577 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0122043 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00809496 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0228182 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00806204 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0391108 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00181597 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.017204 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.165618 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0315948 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.169968 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00929911 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00337693 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0263908 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0121328 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0280437 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0343667 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.266246 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0899267 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0196557 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0350763 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0380961 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0582656 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0476194 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0508651 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0338712 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0370219 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.204062 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00685212 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0208073 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.022611 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0465353 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0298087 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0208073 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0485468 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.00813159 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.101286 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.011489 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0166308 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00765989 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.061766 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0454254 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0791158 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.00762502 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0069713 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.00474799 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.0073102 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0479032 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.00587475 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.169043 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0554095 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.00124771 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00587475 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.180109 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.192663 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.149348 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0246077 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0197123 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0344435 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0327584 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.0469929 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0137033 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0337099 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0409391 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0326419 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0346718 # DEPENDENCYPART_SIBL
(11,2),(11,23),0.000148071 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.00861952 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0168856 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0166089 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.030317 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.121777 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00598379 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.309623 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0346842 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0158904 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.00146982 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0196827 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0185893 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.055561 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.067955 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.010205 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.0226616 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0682668 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.085515 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0520461 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.00414104 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0169143 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.176622 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.187251 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.145267 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00142723 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0263235 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00840859 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0467029 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0588927 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.00192638 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0245868 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0149042 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.00660697 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0255487 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.0118453 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0580637 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0124103 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0160054 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0131881 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.155159 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.124567 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0778207 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.178598 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0772856 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0493026 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0400768 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0773011 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.157564 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.132408 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.077616 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.166063 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0345864 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0728818 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0116432 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0920462 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00822426 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0197066 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0277946 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0106428 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0268849 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0251013 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0180213 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0384078 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.017038 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.0183269 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0251944 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.121777 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.00598379 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.309623 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0346842 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0158904 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00146982 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0196827 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0185893 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.055561 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.067955 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.010205 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.0226616 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0682668 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.085515 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0521019 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.026938 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0627955 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0993881 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0791333 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0242237 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.04074 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0937883 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0789305 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.086012 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.068767 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.07862 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0914774 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.147896 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0288169 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0173374 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0386527 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0386233 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0506374 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0115134 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0335296 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0451483 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0368511 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0344915 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.00379391 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0146451 # DEPENDENCYPART_SIBL
