# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,18,16,14,1,0,20,21,27,25,23,27,20,0,
(18,22),(18,24),-0.0170759 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.116601 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0143203 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0161735 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0170392 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.11364 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0142839 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0162562 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.112107 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0875382 # DEPENDENCYPART_SIBL
(18,24),(18,27),0.0476792 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.014292 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.012216 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.0250831 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0268025 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.0577481 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.0672751 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0270608 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.00642515 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.041612 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.00643215 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0180455 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.021061 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.032151 # DEPENDENCYPART_SIBL
(19,1),(19,23),0.0143364 # DEPENDENCYPART_SIBL
(19,1),(19,27),0.00634809 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.056241 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.0972994 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.011855 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.0511902 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.0555791 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0511995 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.00251135 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.699059 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.00165095 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0112956 # DEPENDENCYPART_SIBL
(19,5),(19,27),0.695448 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.121653 # DEPENDENCYPART_SIBL
(19,12),(19,14),0.0107161 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.0729228 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.119478 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0726982 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0499201 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.131004 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.0549269 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.0441699 # DEPENDENCYPART_SIBL
(19,12),(19,27),0.0784213 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.157223 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.00100059 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0367862 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.00101622 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.175267 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.128342 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.0864844 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.0749051 # DEPENDENCYPART_SIBL
(19,13),(19,27),0.10496 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.02859 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0388576 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0285993 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.00640716 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.758824 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.063554 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0539094 # DEPENDENCYPART_SIBL
(19,14),(19,27),0.755395 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0148081 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0107686 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.140024 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0233737 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.235057 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.165569 # DEPENDENCYPART_SIBL
(19,15),(19,27),0.014972 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0281938 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0282851 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0219998 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0197654 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.00969138 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.0291691 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.140024 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0233534 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.234964 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.165475 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.0149517 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.67023 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.003834 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0134786 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.66662 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.00744942 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.00415289 # DEPENDENCYPART_SIBL
(19,20),(19,27),-0.345518 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0182398 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.0195054 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.020083 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0685852 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0747504 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0747831 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.107239 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.12613 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0756773 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.132535 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.0754596 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0747382 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.0747382 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.160751 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.2092 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.128522 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0747382 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.0685852 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0747637 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.104543 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.160751 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.055929 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0457423 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.0467518 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.0197321 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.0456849 # DEPENDENCYPART_SIBL
(20,1),(20,26),-0.0318087 # DEPENDENCYPART_SIBL
(20,1),(20,27),0.0629837 # DEPENDENCYPART_SIBL
(20,1),(20,28),-0.0931564 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.0584074 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.0584515 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.130265 # DEPENDENCYPART_SIBL
(20,2),(20,6),-0.092917 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.0498722 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.0250925 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.0589652 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.0584066 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.0584066 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.30161 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.229222 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.162452 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.0584066 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.0700769 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.0584323 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.128077 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.30161 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.05449 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0275402 # DEPENDENCYPART_SIBL
(20,2),(20,23),-0.0281832 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.124102 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0271065 # DEPENDENCYPART_SIBL
(20,2),(20,26),-0.0502438 # DEPENDENCYPART_SIBL
(20,2),(20,27),-0.0382843 # DEPENDENCYPART_SIBL
(20,2),(20,28),-0.0945921 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.214699 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.0376958 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.190313 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.219533 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.0331033 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.216243 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.214617 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.214617 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.169934 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.375161 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.0531102 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.214617 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.0317503 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.214921 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0267134 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.169934 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.104543 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.0944409 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.101877 # DEPENDENCYPART_SIBL
(20,3),(20,24),-0.0491048 # DEPENDENCYPART_SIBL
(20,3),(20,25),-0.100608 # DEPENDENCYPART_SIBL
(20,3),(20,26),-0.0326732 # DEPENDENCYPART_SIBL
(20,3),(20,27),-0.0261189 # DEPENDENCYPART_SIBL
(20,3),(20,28),-0.0548961 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0377778 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.190372 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.219275 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0331621 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.215986 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.214359 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.214359 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.170003 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.375278 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0531921 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.214359 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0318087 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.214664 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0267953 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.170003 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.104775 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0946737 # DEPENDENCYPART_SIBL
(20,4),(20,23),-0.10211 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.0446792 # DEPENDENCYPART_SIBL
(20,4),(20,25),-0.100841 # DEPENDENCYPART_SIBL
(20,4),(20,26),-0.0326468 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.0261814 # DEPENDENCYPART_SIBL
(20,4),(20,28),-0.0549195 # DEPENDENCYPART_SIBL
(20,5),(20,6),-0.072674 # DEPENDENCYPART_SIBL
(20,5),(20,7),-0.0295143 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.0469633 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.0265093 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.0284493 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0284493 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.110418 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.197994 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.284193 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.0284493 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0144273 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.028483 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.250824 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.110418 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.120764 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.110032 # DEPENDENCYPART_SIBL
(20,5),(20,23),-0.112887 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.0423326 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.109975 # DEPENDENCYPART_SIBL
(20,5),(20,26),-0.0656473 # DEPENDENCYPART_SIBL
(20,5),(20,27),-0.0150425 # DEPENDENCYPART_SIBL
(20,5),(20,28),-0.0901686 # DEPENDENCYPART_SIBL
(20,6),(20,7),-0.0766784 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.0103202 # DEPENDENCYPART_SIBL
(20,6),(20,9),-0.072335 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.0717732 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.0717732 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.0420111 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.185011 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.0277202 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.0717732 # DEPENDENCYPART_SIBL
(20,6),(20,16),0.015177 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.0717953 # DEPENDENCYPART_SIBL
(20,6),(20,18),-0.00749812 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.0420111 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.118474 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.106762 # DEPENDENCYPART_SIBL
(20,6),(20,23),-0.105986 # DEPENDENCYPART_SIBL
(20,6),(20,24),0.0851535 # DEPENDENCYPART_SIBL
(20,6),(20,25),-0.0996814 # DEPENDENCYPART_SIBL
(20,6),(20,26),-0.0881602 # DEPENDENCYPART_SIBL
(20,6),(20,27),-0.0879854 # DEPENDENCYPART_SIBL
(20,6),(20,28),-0.112655 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.023184 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.202586 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.20096 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.20096 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.172926 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.378959 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.0516828 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.20096 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.0398221 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.201264 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.025286 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.172926 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.122833 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.112731 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.120168 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.0453786 # DEPENDENCYPART_SIBL
(20,7),(20,25),-0.118898 # DEPENDENCYPART_SIBL
(20,7),(20,26),-0.0342394 # DEPENDENCYPART_SIBL
(20,7),(20,27),-0.0250841 # DEPENDENCYPART_SIBL
(20,7),(20,28),-0.0583728 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0871504 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.086429 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.086429 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.173139 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.215262 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.159738 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.086429 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.086064 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0864545 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.135751 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.173139 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0592383 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.0488053 # DEPENDENCYPART_SIBL
(20,8),(20,23),-0.0498131 # DEPENDENCYPART_SIBL
(20,8),(20,24),-0.0132798 # DEPENDENCYPART_SIBL
(20,8),(20,25),-0.0487462 # DEPENDENCYPART_SIBL
(20,8),(20,26),-0.0377024 # DEPENDENCYPART_SIBL
(20,8),(20,27),-0.00929764 # DEPENDENCYPART_SIBL
(20,8),(20,28),-0.117891 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.204079 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.204079 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.156645 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.371508 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.0507319 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.204079 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.0283841 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.204383 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.0243351 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.156645 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.108968 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0988661 # DEPENDENCYPART_SIBL
(20,9),(20,23),-0.106303 # DEPENDENCYPART_SIBL
(20,9),(20,24),-0.0486299 # DEPENDENCYPART_SIBL
(20,9),(20,25),-0.105033 # DEPENDENCYPART_SIBL
(20,9),(20,26),-0.0366129 # DEPENDENCYPART_SIBL
(20,9),(20,27),-0.0334885 # DEPENDENCYPART_SIBL
(20,9),(20,28),-0.057185 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.214595 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.169933 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.375161 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.0531102 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.214595 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.0317498 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.214899 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.0267133 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.169933 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.104536 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.0944344 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.101871 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.044646 # DEPENDENCYPART_SIBL
(20,10),(20,25),-0.100602 # DEPENDENCYPART_SIBL
(20,10),(20,26),-0.0326305 # DEPENDENCYPART_SIBL
(20,10),(20,27),-0.0261189 # DEPENDENCYPART_SIBL
(20,10),(20,28),-0.0548951 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.169933 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.375161 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0531102 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.214595 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.0317498 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.214899 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0267133 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.169933 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.104536 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0944344 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.101871 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.044646 # DEPENDENCYPART_SIBL
(20,11),(20,25),-0.100602 # DEPENDENCYPART_SIBL
(20,11),(20,26),-0.0326305 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.0261189 # DEPENDENCYPART_SIBL
(20,11),(20,28),-0.0548951 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.407698 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.017777 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.0143639 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.00520455 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.0146168 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0747484 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.202797 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0413735 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0377792 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.0378782 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.0281214 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.0363675 # DEPENDENCYPART_SIBL
(20,12),(20,26),-0.0425402 # DEPENDENCYPART_SIBL
(20,12),(20,27),0.0261355 # DEPENDENCYPART_SIBL
(20,12),(20,28),-0.0180175 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.00479288 # DEPENDENCYPART_SIBL
(20,13),(20,15),0.0531352 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0220681 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.0530888 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0342151 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.280442 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0995045 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0744852 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0751736 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.113264 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.0739488 # DEPENDENCYPART_SIBL
(20,13),(20,26),-0.0639074 # DEPENDENCYPART_SIBL
(20,13),(20,27),0.00251175 # DEPENDENCYPART_SIBL
(20,13),(20,28),-0.0523287 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.027224 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0149953 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.0272577 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.261295 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0408699 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.110142 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.099411 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.102266 # DEPENDENCYPART_SIBL
(20,14),(20,24),-0.0500842 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.0993534 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.0782438 # DEPENDENCYPART_SIBL
(20,14),(20,27),-0.0395575 # DEPENDENCYPART_SIBL
(20,14),(20,28),-0.104967 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0317498 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.214899 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0267133 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.169933 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.104536 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0944344 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.101871 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.044646 # DEPENDENCYPART_SIBL
(20,15),(20,25),-0.100602 # DEPENDENCYPART_SIBL
(20,15),(20,26),-0.0326305 # DEPENDENCYPART_SIBL
(20,15),(20,27),-0.0261189 # DEPENDENCYPART_SIBL
(20,15),(20,28),-0.0548951 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0584323 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.128077 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.30161 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.05449 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0275402 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0281832 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.124102 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0271065 # DEPENDENCYPART_SIBL
(20,16),(20,26),-0.0502438 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0382843 # DEPENDENCYPART_SIBL
(20,16),(20,28),-0.0945921 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.026726 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.169948 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.104679 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0945775 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.102014 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0447089 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.100745 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0327774 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0261799 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.0549729 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.104084 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.102003 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.091272 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0941267 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0360597 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0912144 # DEPENDENCYPART_SIBL
(20,18),(20,26),-0.0540654 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0156974 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.0836395 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0413735 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0377792 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0378782 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0281214 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0363675 # DEPENDENCYPART_SIBL
