# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,19,2,2,6,2,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(3,5),(3,14),-0.0927258 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0951131 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.102031 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0765754 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.104049 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0630898 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0507395 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.028353 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00229211 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00442176 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0029871 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00229792 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00328148 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0924808 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.183146 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0641548 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.191047 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0707811 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0882587 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0700869 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.070802 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.015007 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0731984 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0470817 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.107328 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0889006 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.082194 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0902961 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0897753 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0509841 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.01399 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0515717 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0559159 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0506985 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0566063 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0559113 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0132522 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.035569 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0557904 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0442051 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0477628 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0472998 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0339025 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.147781 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.192986 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0488602 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0483972 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0325666 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.141728 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.188183 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0473 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0338675 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.147855 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.193023 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0313654 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.14714 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.192309 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0450177 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0687882 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.104049 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.241046 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.22992 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0626318 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0225922 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0122381 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0848139 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0185978 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0167973 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0164312 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0192487 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0194101 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00823074 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.05729 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0960453 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0273439 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.256297 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.25944 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0223197 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0232991 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0225935 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0297436 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.212145 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0598583 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.96436 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0466046 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0489446 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0593109 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0140335 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0455259 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.635545 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0190018 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0337434 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0638771 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0353164 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0289444 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0195213 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.605088 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.010836 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00694349 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.101733 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0584942 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0343669 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0581388 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0553513 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.000185514 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0612813 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.286839 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0724014 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0509675 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.096979 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0421515 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0419277 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0163021 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0481418 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0613891 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0379236 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0660959 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0471175 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.282144 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.204062 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.158655 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.114502 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0426521 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0704539 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0346118 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0273554 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0872359 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0686844 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0592526 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0366331 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.00888957 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.847264 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0745733 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0686546 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0124639 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.112667 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0767646 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00391559 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.102699 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0674393 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0298908 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0521213 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0612642 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0957368 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0387935 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0477876 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00160449 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.052103 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0488047 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0572262 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.000222958 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.142678 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.107301 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0807188 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.120709 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.129852 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0251633 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0748741 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.00301592 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.123832 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.120691 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0977266 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0598051 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0562212 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0132578 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0262071 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0830987 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0857441 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0327761 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0516613 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0557 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0763077 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0830805 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.230353 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0113137 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.11153 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.010593 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0604336 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0722398 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0280027 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.011006 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0240737 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.119881 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0604576 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.072809 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0820383 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0504368 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0291188 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0300672 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.513617 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0870794 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.104511 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.515915 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0449282 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.149912 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0631845 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.115151 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.117673 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.42538 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0259668 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0067501 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.430326 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.11514 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0924803 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.064925 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.060918 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.38717 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0266014 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.031774 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.391665 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0649448 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0310631 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0357818 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.40454 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00969302 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.00743037 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.417247 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0293809 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.128443 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.405838 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0152088 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.00318914 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.418544 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0304577 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.132465 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0182233 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.0233278 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.906522 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0296362 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0285724 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.11476 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.397727 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.028687 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0475988 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.371685 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.00476178 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0445374 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.0407275 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.0248852 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.128406 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00307907 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.112067 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0255746 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0353897 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.254669 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.723137 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.724688 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.709124 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.712165 # DEPENDENCYPART_SIBL
(7,10),(7,11),-1.40899 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0712798 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.21236 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00143867 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.000584906 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.01791 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0140514 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0142377 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0348062 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0415124 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0504587 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0502959 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0835166 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0291305 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0993298 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.00867396 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0291491 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0665355 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0367396 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0833119 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0820708 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0851044 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.009484 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0337869 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0668191 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0714339 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.113205 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00639975 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0694781 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0390167 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0279489 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0368187 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0329198 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0359687 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0150071 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.104291 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0561814 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0352103 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0119957 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00797509 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0114276 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0086548 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.070092 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.252421 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.228246 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0757207 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0651622 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0483432 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0519818 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00567427 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0029305 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.130577 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0809497 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.090854 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.11224 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.105548 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0829217 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0847096 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0994229 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0573229 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0467527 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0496145 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.021833 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0279282 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0358956 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0154083 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0210275 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.00188784 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.00321712 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0541681 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0602319 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.01928 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0145201 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0553607 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0241195 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0193596 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0160686 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0113087 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.257298 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0714266 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.003731 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0693238 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.16884 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0775028 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.025029 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0338988 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0267881 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.00175488 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0297702 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.029837 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0249599 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.230914 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0758735 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0282255 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.00594486 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0489832 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0526219 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.00822179 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0338283 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0187036 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.00547802 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0485731 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.096584 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.219783 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00157432 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0402412 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0431029 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00896267 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0285449 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.183112 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0150579 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0401293 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0360565 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0844835 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0172596 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0228788 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.000551532 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0457375 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0631091 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.00188082 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0171905 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0342841 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0180614 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0207609 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0048675 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.025932 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0726537 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.00634018 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0177025 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0654858 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0598048 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0133151 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0237848 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.000433995 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.0227435 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0655319 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0662568 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0114902 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0454619 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0372353 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.00673026 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0600967 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.00343931 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0546539 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0280453 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0013206 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0675851 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0309614 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0237463 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.257371 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.00228141 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0343431 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.023631 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0112296 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0219041 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.013558 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.00250128 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.124543 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.124287 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.125214 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0245868 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0786634 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0569907 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.146805 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0292681 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0757286 # DEPENDENCYPART_SIBL
