# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,10,4,7,4,9,7,17,12,17,12,13,14,17,0,19,17,21,19,21,22,0,
(15,12),(15,22),-0.129733 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.00378747 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.00539182 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0182366 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.109729 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.147527 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.130365 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0290674 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0364099 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.00681914 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0062 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0146639 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0237297 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0332472 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.102951 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0189217 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0627813 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0822152 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0822268 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0182335 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0473202 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0473318 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0544046 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0109267 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.166656 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.167558 # DEPENDENCYPART_SIBL
(17,1),(17,2),-0.0567643 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.0373167 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.0755109 # DEPENDENCYPART_SIBL
(17,1),(17,5),-0.0309698 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.0621262 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.0504742 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.0567643 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0373167 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.0567608 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.0336938 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.0711408 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0373167 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.117549 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0374199 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.0567608 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.00578356 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0497578 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.0193773 # DEPENDENCYPART_SIBL
(17,1),(17,21),0.0126244 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.700993 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.050889 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.113126 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.00975887 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.0207165 # DEPENDENCYPART_SIBL
(17,2),(17,5),-0.0292277 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.043871 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.00601691 # DEPENDENCYPART_SIBL
(17,2),(17,8),0.0209729 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.00975887 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.340627 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.0268611 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.0220429 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.00975887 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.04968 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.00986202 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.340627 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.0040231 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.02177 # DEPENDENCYPART_SIBL
(17,2),(17,20),0.774843 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.0536776 # DEPENDENCYPART_SIBL
(17,2),(17,22),-0.0108719 # DEPENDENCYPART_SIBL
(17,2),(17,23),-0.0216565 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.0932793 # DEPENDENCYPART_SIBL
(17,3),(17,4),0.0494769 # DEPENDENCYPART_SIBL
(17,3),(17,5),-0.0492657 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.0774409 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0615165 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.175273 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.0286681 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.217349 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.0277694 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0900129 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0286681 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.0575881 # DEPENDENCYPART_SIBL
(17,3),(17,15),-0.0289827 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.217349 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.0009788 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.160376 # DEPENDENCYPART_SIBL
(17,3),(17,20),-0.0146529 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.0201504 # DEPENDENCYPART_SIBL
(17,3),(17,22),-0.0556604 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.156645 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0954623 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.0252639 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0312053 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.0306517 # DEPENDENCYPART_SIBL
(17,4),(17,8),-0.0848123 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0700246 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.0162987 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.00859902 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0475368 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0700246 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.0681521 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0701277 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.0162987 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.12999 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.0537691 # DEPENDENCYPART_SIBL
(17,4),(17,20),-0.0441103 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.0410055 # DEPENDENCYPART_SIBL
(17,4),(17,22),-0.0742218 # DEPENDENCYPART_SIBL
(17,4),(17,23),-0.0545462 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.0443466 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.0735213 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.0638969 # DEPENDENCYPART_SIBL
(17,5),(17,8),-0.0371724 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.0932314 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.093513 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.0526042 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0841882 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0932314 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0663392 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0933346 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.093513 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.0590007 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.0712828 # DEPENDENCYPART_SIBL
(17,5),(17,20),0.0210057 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0268656 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.133908 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.0724083 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.243156 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0323056 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0245694 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0852894 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.116846 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0474312 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.0527095 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0852894 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0574297 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0853926 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.116846 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0616568 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.0405019 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0183973 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.0325257 # DEPENDENCYPART_SIBL
(17,6),(17,22),-0.118979 # DEPENDENCYPART_SIBL
(17,6),(17,23),-0.0416275 # DEPENDENCYPART_SIBL
(17,6),(17,24),-0.224477 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.00347636 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.075927 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.106249 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0424789 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0255407 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.075927 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0503469 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0760301 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.106249 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.052796 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.120599 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.0801627 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.049312 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0400397 # DEPENDENCYPART_SIBL
(17,7),(17,23),0.119473 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0468672 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.00975887 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.340627 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0268611 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.0220429 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.00975887 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.04968 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.00986202 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.340627 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.0040231 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.02177 # DEPENDENCYPART_SIBL
(17,8),(17,20),0.774843 # DEPENDENCYPART_SIBL
(17,8),(17,21),0.0536776 # DEPENDENCYPART_SIBL
(17,8),(17,22),-0.0108719 # DEPENDENCYPART_SIBL
(17,8),(17,23),-0.0216565 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0932793 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.217349 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.0277693 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.0900129 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.0286681 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0576021 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0289827 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.217349 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.000982465 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.160098 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0146528 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.0201541 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0556603 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.156368 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.095724 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0514385 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.045536 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.000267573 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0875055 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.000370746 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.00775527 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0625546 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0615832 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.122464 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.111987 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.0380652 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0647651 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.072809 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.0523814 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0355017 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.031831 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0356049 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.17985 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0398559 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0695221 # DEPENDENCYPART_SIBL
(17,11),(17,20),0.0197428 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.0181527 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.11896 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.0706476 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.225068 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.0872779 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0827183 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.0873811 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.126886 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0615578 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.0614739 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0659557 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0539849 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.0691737 # DEPENDENCYPART_SIBL
(17,12),(17,23),0.0603484 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.0737931 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0576021 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0289827 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.217349 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.000982465 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.160098 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0146528 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0201541 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0556603 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.156368 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.095724 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0673112 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0121055 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00455201 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0854281 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0056557 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.000716049 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.298012 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0865593 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.134134 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.233291 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.00273578 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.165649 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0128934 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.021907 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0550007 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.161918 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0937104 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0625546 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0615832 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.122464 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.111987 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0380652 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0647651 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.072809 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.00578825 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0285797 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.150679 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.00453562 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.00560437 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0887973 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.00216059 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.229754 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0368088 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0342119 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.12948 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.125992 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.017027 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.114944 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.0920119 # DEPENDENCYPART_SIBL
(17,21),(17,22),2.83907e-05 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0474625 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.131175 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0134131 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.100926 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.131378 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.0227914 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0421069 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.217547 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0347651 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.00862951 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0421069 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0422101 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.217547 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.060986 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.307328 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.182466 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.017858 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.149867 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.306203 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.0765144 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.045683 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.352231 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0321851 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.018164 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.045683 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0455798 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.352231 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0132664 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.120413 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.828233 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0243015 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.127527 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.120527 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.00343149 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.331525 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.00751742 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0707133 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.00467899 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.00499352 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.331525 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0577986 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.379478 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0334572 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0177026 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.0571695 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.375748 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.0432789 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0327771 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.010789 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.0615873 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0614841 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0795761 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.159627 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0770303 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0720237 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.00621241 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.194471 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0802122 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.00401764 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.00538958 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0589711 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.058868 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.249937 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0862505 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0540894 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.0619845 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.00829343 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.052324 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0529638 # DEPENDENCYPART_SIBL
(18,11),(18,24),-0.136424 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0543376 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0544407 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.236279 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0396041 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.244306 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.16469 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0261303 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.117141 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.24318 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.0459877 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.00499352 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.331525 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0577986 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.379478 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.0334572 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0177026 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.0571695 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.375748 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0432789 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.347466 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0624246 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.385028 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0352166 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0194555 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.0578291 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.381298 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0412653 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.159627 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0770303 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0720237 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.00621241 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.194471 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.0802122 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.00401764 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.111237 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0527731 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0653622 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0761572 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.11011 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0788389 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.017024 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.242038 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.119536 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0206017 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.151118 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.148916 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.039811 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.111768 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0918589 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0131379 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0460864 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0950037 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0231747 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0720827 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.153017 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0574531 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0601297 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.109729 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0275999 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.136818 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0173184 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.109213 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.171344 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0354031 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0191494 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0918316 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0503797 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0887819 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0550464 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0483697 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.030226 # DEPENDENCYPART_SIBL
