# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,16,13,16,5,16,19,16,19,22,20,22,0,
(5,6),(5,9),0.000215193 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0109084 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0866523 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00022915 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.017916 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0861294 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.309048 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.000594328 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0180675 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.00825441 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0866523 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0161324 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0159156 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0230017 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0663411 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0163319 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0207918 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0227134 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.528131 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.015552 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.101782 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0207235 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0663411 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0305171 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.018621 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.128494 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0300197 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0378827 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00972468 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.405009 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.036334 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.00125864 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.015606 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.128494 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0180884 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.127163 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0294871 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.032879 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0060503 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.405446 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0358014 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.000569917 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0150733 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.127163 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.134674 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0206072 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0127509 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0127375 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.40802 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0269214 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.00501608 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.00619342 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.134674 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0850246 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0197508 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0194473 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.252255 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0845516 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0681137 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0850426 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.216797 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0379488 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00963979 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.404983 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0356933 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.00118718 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.0149653 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.128427 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0805777 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.522916 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0146384 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.106483 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.00938606 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.100926 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.38702 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.02916 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0310536 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0274526 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.0475988 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0301227 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.133094 # DEPENDENCYPART_SIBL
(5,16),(5,23),-0.0246246 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.0369848 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.00168407 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.0162107 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.130861 # DEPENDENCYPART_SIBL
(5,18),(5,23),-0.111429 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.0920119 # DEPENDENCYPART_SIBL
(5,23),(5,24),-0.133271 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0860433 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0656374 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0295901 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.429963 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0463075 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0418108 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.280773 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00469621 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0399592 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.142223 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.142426 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0563024 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.229979 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.212127 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.208154 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0404983 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.020592 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0204146 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0479941 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0476796 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.101334 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.165861 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00122739 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00899294 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0834294 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0897621 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0891612 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.130138 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0432091 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0885733 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0923424 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0025496 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00897587 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0832459 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0939569 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.093356 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.134332 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0432876 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0927681 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0924691 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.147435 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.000183681 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00749282 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0115926 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0102796 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.346541 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00682046 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.540487 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0729024 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0158775 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.015657 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0284338 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0736608 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.015216 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0618056 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00131027 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.000985027 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0039827 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0451227 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.000340136 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.001251 # DEPENDENCYPART_SIBL
(7,8),(7,9),-1.42671 # DEPENDENCYPART_SIBL
(7,8),(7,10),-1.41041 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.476061 # DEPENDENCYPART_SIBL
(7,8),(7,12),-1.42624 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.283586 # DEPENDENCYPART_SIBL
(7,9),(7,10),-1.40812 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.473714 # DEPENDENCYPART_SIBL
(7,9),(7,12),-1.42394 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.278879 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.489121 # DEPENDENCYPART_SIBL
(7,10),(7,12),-1.41777 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.293499 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.424697 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.100078 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.28248 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0342472 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0084256 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0579123 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0279721 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0457806 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.18198 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0295247 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.105883 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.123048 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.105883 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.136349 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.153633 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0504787 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0681261 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0899138 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0491123 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.105445 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0081412 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.105445 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0337381 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.12502 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.113627 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0500567 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.125229 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.00404741 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0590851 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.00404741 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0279721 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0457806 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.18198 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0295247 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.105883 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.123048 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.105883 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0762265 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.208477 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0652612 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0843938 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.00477085 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0843938 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.243539 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0736014 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0482881 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0149908 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.0482881 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.046029 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0674437 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0234677 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0674437 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.10379 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00991291 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.10379 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.00873386 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0343795 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.00325107 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0342561 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.29976 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.112673 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.050052 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.124275 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.00624832 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.1279 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0590813 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0163496 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.00624832 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0554935 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0467694 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.181996 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0305134 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.103715 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0692973 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.123072 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.147705 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.103715 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0298892 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00259786 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0155991 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.115187 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0240881 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00274846 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.00334932 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.115187 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.245295 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0735608 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0517345 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0712855 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0150679 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.00647197 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0517345 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0455613 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0647715 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.151246 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0240389 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.079299 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0647715 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.107236 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0393366 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00983576 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0346904 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.107236 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0543329 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00940296 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.00883259 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.024558 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0162407 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0187395 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0300495 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0137722 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0062207 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0162385 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0129118 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.000873111 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0385489 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.109982 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0132863 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0123336 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.00558524 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0224739 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.089055 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0262113 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0146773 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.00961721 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.089055 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00251188 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0370766 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.108336 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.00574994 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00479725 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.00415762 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0155826 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0904219 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0276872 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0159094 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00827424 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0904219 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.136607 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.153965 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0299289 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0300802 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0949577 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0508234 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.090582 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0207731 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.00676119 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0395036 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.090582 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0309412 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.298787 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.298779 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0559741 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.12222 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0177419 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.113969 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0569665 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0125071 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0177419 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0532979 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0494133 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.182703 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0292465 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0887247 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0780151 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.121696 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.148058 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0887247 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0123336 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.00558524 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0224739 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.089055 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0262113 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0146773 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00961721 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.089055 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0151486 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.016608 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0859498 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0121277 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0174756 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.00961877 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0859498 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0519584 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0850222 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.21529 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0307251 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0732878 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0850222 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0936375 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0782102 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.00809095 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0315144 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0936375 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0852959 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0104444 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.00567275 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0437672 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0334557 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.00123561 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0596218 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0109693 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.000617216 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0232862 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.243379 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.234007 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.118296 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.233674 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.111088 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0847669 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0538295 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0539824 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.145462 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.0342701 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.00840271 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0579352 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0538295 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0499449 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0409719 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0942781 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.105863 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0597906 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.123043 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.00564315 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.147686 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.02531 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.105863 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.0174923 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0202527 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.00215881 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0415763 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.113108 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0178668 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0169141 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0335125 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0226377 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.103495 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.00875699 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0166216 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.0608231 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0172124 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.037113 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.103495 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0205979 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.000520045 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0401039 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.111461 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0103304 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.00937773 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0259761 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0237701 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.104862 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.00728109 # DEPENDENCYPART_SIBL
