# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
(8,11),(8,14),-0.00166206 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.00141443 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.00408366 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0489543 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0136104 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0614195 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.000611885 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0638917 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.00820568 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0050848 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.233413 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0121025 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0608803 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0100096 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.00825333 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0215881 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.287961 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0428286 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0116774 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0113768 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.00999533 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0144867 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.144812 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0507158 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0956054 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.044406 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0193911 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0858525 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0186795 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0184155 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0959398 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.109258 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0468933 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.102511 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.101785 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0457854 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0194481 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0729228 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0182024 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00229843 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0249651 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0249174 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0312501 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0622819 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.025085 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.186229 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.00291738 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0173476 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0299251 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00425009 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0539146 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0458701 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0600339 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.101454 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0537778 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0540738 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0535042 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0490587 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0857056 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0464622 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0281776 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0362252 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.624953 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0334593 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0337806 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0154038 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.303486 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0234922 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0139789 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0210263 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.014282 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0233724 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0457406 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0193234 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.057481 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.158409 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.143613 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0112152 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.141728 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0963716 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0844641 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0308629 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0299395 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0597697 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0278683 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.174819 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0894823 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0878845 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0623045 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0896755 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.00211753 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.00746848 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0585999 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00435688 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0143548 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0171118 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0164686 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0274816 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0164981 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0168585 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0432131 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0367969 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0674327 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00515459 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.000260815 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00691329 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.248583 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0463749 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.144626 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.137817 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.141039 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.10025 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.25354 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.258376 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.260299 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00699637 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.00482316 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.00625927 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.122381 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.124896 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.115199 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.084901 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0387751 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0285669 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.026669 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.675402 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.667561 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.671033 # DEPENDENCYPART_SIBL
(11,13),(11,14),-1.30623 # DEPENDENCYPART_SIBL
(11,13),(11,16),-1.30875 # DEPENDENCYPART_SIBL
(11,14),(11,16),-1.29638 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0338683 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.113848 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0296901 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0377742 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0841784 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0344452 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.113674 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0716031 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0294614 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0378617 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0107547 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0360688 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0882124 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0394981 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0531936 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0557612 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0517895 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0715782 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0787159 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0147774 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0812176 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.108181 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0143259 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0712984 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.14338 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.010387 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0191526 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.118164 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0168616 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.12631 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.184179 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0404317 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.115917 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0922025 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.105105 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0704396 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0259121 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0782033 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0307497 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.124541 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.344923 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.00542883 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.116286 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.023866 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0509714 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.082193 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.112614 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0650368 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0350839 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0735466 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0903082 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0825679 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.241058 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0323661 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.133699 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.14632 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.088747 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0731941 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.00608756 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0721842 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0364548 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0500916 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.179109 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.160504 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.135616 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0972903 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.104795 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0787117 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.100752 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.108676 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0207536 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0324547 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.133607 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.00472471 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.00850903 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0117232 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.00561864 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.00537709 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0465667 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.141281 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0437129 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0198448 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.00831759 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0156033 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.226203 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0893942 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.137842 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0420451 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0280571 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0501099 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0683411 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0547419 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0457586 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0594361 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0505962 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.108807 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00180202 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0147017 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00975335 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0164762 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00556814 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0670137 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.242863 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00745041 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0348029 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.206823 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.17395 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.031706 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0822686 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.094697 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0517 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0319864 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0793926 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0220846 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.133414 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0431047 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.152308 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.126947 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0820282 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0443417 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0799171 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.109385 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.117564 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0340537 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.135911 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.000473894 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.00948094 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0102508 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0136281 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.00359726 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0937076 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.147183 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.134687 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0206402 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.044482 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0803021 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.039348 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0210785 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0607502 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0421807 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.117805 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0392656 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0163616 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0100914 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0257296 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.00760155 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00106577 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.00766202 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.00761761 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0248257 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.194977 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0103378 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.181081 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.165838 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0311506 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0225735 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0400693 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0223291 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.181081 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0400333 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.0471567 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.054866 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0211715 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0201807 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0286799 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0709643 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.282887 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.275084 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.112991 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.00724891 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.0505691 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0363634 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.282887 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.000358089 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0495682 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0707438 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0340029 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0273015 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0756049 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.164935 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.13122 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.00720288 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.139561 # DEPENDENCYPART_SIBL
(15,3),(15,7),0.0713486 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.0576633 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.152215 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.103892 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0870808 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0186893 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.0516763 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.072621 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.0157256 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0110133 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0398234 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.0171462 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.169319 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.0215783 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.238751 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0951939 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.159777 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.0321321 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0317464 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0306402 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0789314 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.158109 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0160933 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.159808 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0334946 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.213987 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.018285 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.217734 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0129815 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.032496 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0498516 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0611413 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.163828 # DEPENDENCYPART_SIBL
(15,6),(15,7),0.0276808 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0153943 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.107634 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0349308 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.00657007 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0681623 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0173825 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0114277 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0126463 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0336827 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.00451523 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.312177 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0682861 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0333022 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0933337 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.00585858 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.00235611 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0102297 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.120456 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.145569 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0104268 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0167555 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0533011 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.190283 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.181755 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0410549 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.00946493 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.103892 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0870808 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0186893 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0516763 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.072621 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0157256 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0110133 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.109533 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.023376 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0289366 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0356377 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0418543 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.130189 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0616867 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0435101 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0436227 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0277445 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0421869 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0558276 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0528559 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00560649 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.00409784 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.196926 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0724542 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.033823 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0153922 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0176014 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.136551 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0820688 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0944965 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0519907 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0314674 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0322575 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.132635 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0937068 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.146691 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.135004 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.136147 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0794279 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0396387 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0205595 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0223293 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.117026 # DEPENDENCYPART_SIBL
