# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(1,11),(1,16),0.0226458 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0255661 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.236431 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.00042612 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.100388 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.116655 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.112088 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.100388 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.146929 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0226458 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0255661 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.236431 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00042612 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.00292517 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0191031 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.0462336 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.100388 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.146929 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.00042612 # DEPENDENCYPART_SIBL
(2,3),(2,4),-1.45963 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.08229 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0607998 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0972856 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.118193 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0588459 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0882645 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0516683 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0210666 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0210666 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0210666 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0390363 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.158241 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.174608 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0343949 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.131372 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0398576 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.108784 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.108784 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.108784 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0511652 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0321868 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0726218 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.146963 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.309009 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00890051 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00890051 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00890051 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0340197 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.18082 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.164626 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.146377 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00677749 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00677749 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00677749 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0284049 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0235353 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.115793 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00784993 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00784993 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00784993 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.131231 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.306584 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0102699 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0102699 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0102699 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.181423 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00375986 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00375986 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00375986 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0118941 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0118941 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0118941 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.259606 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.259606 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.259606 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0493728 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.158147 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.174314 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0365207 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.128892 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0413648 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0336415 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.107933 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.107933 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.107933 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.103516 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00362631 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0259831 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.09726 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0285945 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0112982 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00579081 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00579081 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00579081 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0342246 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.181332 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.165927 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.179976 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.145918 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00703731 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00703731 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00703731 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0281389 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0244604 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0281419 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.115543 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0078908 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0078908 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0078908 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.133871 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0604522 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.305022 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0114007 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0114007 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0114007 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0145656 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.180798 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0033348 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0033348 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0033348 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.306874 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0108565 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0108565 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0108565 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.012629 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.012629 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.012629 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.259557 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.259557 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.259557 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.165832 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0665242 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.082427 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0786299 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0184802 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0665795 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.090962 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0871649 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0192419 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.717288 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.717288 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.56921 # DEPENDENCYPART_SIBL
(5,7),(5,9),-1.42385 # DEPENDENCYPART_SIBL
(5,7),(5,10),-1.38346 # DEPENDENCYPART_SIBL
(5,9),(5,10),-1.38532 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.044553 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0218291 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0105695 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0554018 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0142194 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0664913 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0704656 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.122509 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0078272 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0639692 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00402165 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0100347 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0231647 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0566068 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.024151 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0598715 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.117138 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0101016 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.110596 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.109747 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0027044 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.102609 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0224125 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00154396 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0652518 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00323476 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.106789 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0857542 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0122269 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.11127 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00591424 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0972398 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0256426 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0114494 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0057982 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0337378 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0057982 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0057982 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.111361 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00582563 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0979473 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0171271 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0122418 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00578543 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0337074 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00578543 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.00578543 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00458784 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.131568 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0336025 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0168609 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.12304 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.104644 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.12304 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.12304 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0571653 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00460139 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00346904 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00763713 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0739996 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.00763713 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.00763713 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0144357 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.180794 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00332916 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00607486 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00332916 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00332916 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.30662 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0111126 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0289177 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0111126 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0111126 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0126306 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0211782 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0126306 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0126306 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0285579 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.259556 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.259556 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0113211 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0113211 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.259556 # DEPENDENCYPART_SIBL
(8,9),(8,10),-1.3253 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.184439 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0268883 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0753366 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00628652 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0392601 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0336939 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0058258 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0706432 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0804143 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.011349 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0930396 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.13085 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.132468 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.128974 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.191725 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.129772 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0627119 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.13305 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.486191 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0232624 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.00150726 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0425321 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.486191 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.156526 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00150726 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0319974 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.0319974 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0319974 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0517303 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0531168 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.038281 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0682998 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0506428 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.00735139 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0605463 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0890954 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0529556 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0351698 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0697134 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0890954 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0661327 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0351698 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.108233 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.108233 # DEPENDENCYPART_SIBL
(10,2),(10,25),-0.108233 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0216466 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0415865 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.264296 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0174779 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0258284 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0218698 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.014206 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0204155 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0214675 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00499303 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.014206 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0715243 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0214675 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0764782 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0764782 # DEPENDENCYPART_SIBL
(10,3),(10,25),-0.0764782 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0416156 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.264329 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0167281 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0258583 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.02112 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.033714 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.000993557 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0407694 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0244149 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.033714 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0262539 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0407694 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0958013 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0958013 # DEPENDENCYPART_SIBL
(10,4),(10,25),-0.0958013 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0659397 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.115169 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.027866 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.125072 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.136997 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0888895 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0661805 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.105648 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.136997 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.11274 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0661805 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.171106 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.171106 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.171106 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0306356 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.00414316 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0275044 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.216127 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0441061 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0293304 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.070184 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.216127 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00211818 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0293304 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.121908 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.121908 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.121908 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0252389 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.020485 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0234246 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0111963 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0305579 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0142122 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0234246 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0487934 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0305579 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0855908 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0855908 # DEPENDENCYPART_SIBL
(10,7),(10,25),-0.0855908 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0431445 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.034513 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0530978 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.000749174 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0698416 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.034513 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0622325 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.000749174 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0972958 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0972958 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0972958 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0217536 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0129977 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0287179 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0124108 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0217536 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0502393 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0287179 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0837179 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.0837179 # DEPENDENCYPART_SIBL
(10,9),(10,25),-0.0837179 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0157234 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0220343 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0193602 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.828865 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0260586 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0220343 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0576205 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0576205 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.0576205 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0231553 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.100445 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.349392 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0108329 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0231553 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0370503 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0370503 # DEPENDENCYPART_SIBL
(10,12),(10,25),-0.0370503 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.145124 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.284829 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0353391 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.235972 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0987846 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.0987846 # DEPENDENCYPART_SIBL
(10,13),(10,25),-0.0987846 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.354225 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.012993 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.032222 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0443847 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.0443847 # DEPENDENCYPART_SIBL
(10,14),(10,25),-0.0443847 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0260586 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0220343 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.0576205 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.0576205 # DEPENDENCYPART_SIBL
(10,15),(10,25),-0.0576205 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0521956 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.243997 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.243997 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.243997 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0987846 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0987846 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0987846 # DEPENDENCYPART_SIBL
(10,23),(10,24),0.0804515 # DEPENDENCYPART_SIBL
(10,23),(10,25),0.0804515 # DEPENDENCYPART_SIBL
(10,24),(10,25),0.0804515 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.00151681 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00932086 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00947361 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0559379 # DEPENDENCYPART_SIBL
