# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(15,20),(15,26),-0.0750985 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0461547 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.0797999 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0436249 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0461547 # DEPENDENCYPART_SIBL
(15,21),(15,26),-0.0461547 # DEPENDENCYPART_SIBL
(15,22),(15,23),0.0362468 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0576072 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.060137 # DEPENDENCYPART_SIBL
(15,22),(15,26),-0.060137 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0288531 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0287858 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.0287858 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0774802 # DEPENDENCYPART_SIBL
(15,24),(15,26),-0.0774802 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.0601379 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.00418856 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.120974 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.219063 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0440627 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.00831321 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0253187 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0173625 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.205121 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0960631 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0226562 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0381955 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.232883 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.194058 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.334767 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.155285 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.00412252 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0491143 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0626172 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00524107 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0207475 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0645056 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.104622 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.00558905 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0491091 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0315031 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0787506 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.109069 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.0453264 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0295002 # DEPENDENCYPART_SIBL
(17,1),(17,22),-0.0435302 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.176142 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0505006 # DEPENDENCYPART_SIBL
(17,1),(17,25),-0.0435303 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0435302 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.0279964 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0651991 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.131106 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0428115 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.038431 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.0434947 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0396361 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.036332 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0516929 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0474147 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.0363321 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.036332 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.023663 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0376499 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.116007 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0498169 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0697748 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0497449 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0657343 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.200981 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0727047 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.0657343 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0657343 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.00554007 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0284514 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.00696507 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0202866 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0055624 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.00360973 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.00164388 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.00913887 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.00225856 # DEPENDENCYPART_SIBL
(17,15),(17,26),0.00360973 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0753337 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0256211 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0237835 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0312424 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0307274 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.101349 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.00298931 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.0307274 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0307274 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0120711 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0762816 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0913121 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0780159 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.0685454 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0779485 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.0780159 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.0780159 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0132671 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0228509 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.00835814 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0158062 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.00829074 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.00835814 # DEPENDENCYPART_SIBL
(17,19),(17,26),0.00835814 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0546365 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0637206 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.02709 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.0611908 # DEPENDENCYPART_SIBL
(17,20),(17,25),-0.0637206 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.0637206 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0347768 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.0722268 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.032247 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.0347768 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.0347768 # DEPENDENCYPART_SIBL
(17,22),(17,23),0.0286737 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.0462294 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0487592 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.0487592 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0222377 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.0221704 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.0221704 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.0661023 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.0661023 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.04876 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.104727 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0577177 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0602777 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0583443 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.291531 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0251128 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0358629 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0252028 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0706686 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0602686 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0535348 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.280811 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0951477 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.201616 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.295359 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.014097 # DEPENDENCYPART_SIBL
(19,1),(19,4),-0.00451241 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.00830153 # DEPENDENCYPART_SIBL
(19,1),(19,6),-0.29035 # DEPENDENCYPART_SIBL
(19,1),(19,7),-0.268735 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.169375 # DEPENDENCYPART_SIBL
(19,1),(19,9),-0.0510517 # DEPENDENCYPART_SIBL
(19,1),(19,11),-0.00448938 # DEPENDENCYPART_SIBL
(19,1),(19,12),-0.123469 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.29035 # DEPENDENCYPART_SIBL
(19,1),(19,14),0.201752 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.00121232 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.0716025 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0014557 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.0292655 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.0730222 # DEPENDENCYPART_SIBL
(19,1),(19,21),-0.0270743 # DEPENDENCYPART_SIBL
(19,1),(19,22),-0.0274565 # DEPENDENCYPART_SIBL
(19,1),(19,23),-0.125801 # DEPENDENCYPART_SIBL
(19,1),(19,24),-0.0233764 # DEPENDENCYPART_SIBL
(19,1),(19,25),-0.0274565 # DEPENDENCYPART_SIBL
(19,1),(19,26),-0.0274565 # DEPENDENCYPART_SIBL
(19,1),(19,27),-0.0878384 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.18889 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.191732 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.156858 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.349005 # DEPENDENCYPART_SIBL
(19,2),(19,8),0.0521086 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.0133722 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.187249 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.00447678 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.156858 # DEPENDENCYPART_SIBL
(19,2),(19,14),0.18347 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.190755 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.15564 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.18751 # DEPENDENCYPART_SIBL
(19,2),(19,18),0.0412028 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.135676 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.113887 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.109389 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.055486 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.111081 # DEPENDENCYPART_SIBL
(19,2),(19,25),-0.11074 # DEPENDENCYPART_SIBL
(19,2),(19,26),-0.109389 # DEPENDENCYPART_SIBL
(19,2),(19,27),-0.0516699 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.197546 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.151966 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.374623 # DEPENDENCYPART_SIBL
(19,4),(19,8),0.0119103 # DEPENDENCYPART_SIBL
(19,4),(19,9),0.00756151 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.193063 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.0150938 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.151966 # DEPENDENCYPART_SIBL
(19,4),(19,14),0.162536 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.19657 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.164895 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.193324 # DEPENDENCYPART_SIBL
(19,4),(19,18),0.0155843 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.115177 # DEPENDENCYPART_SIBL
(19,4),(19,21),-0.0933874 # DEPENDENCYPART_SIBL
(19,4),(19,22),-0.0888898 # DEPENDENCYPART_SIBL
(19,4),(19,23),-0.0596053 # DEPENDENCYPART_SIBL
(19,4),(19,24),-0.0905813 # DEPENDENCYPART_SIBL
(19,4),(19,25),-0.090241 # DEPENDENCYPART_SIBL
(19,4),(19,26),-0.0888898 # DEPENDENCYPART_SIBL
(19,4),(19,27),-0.0418953 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.163698 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.373255 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.0131902 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.00716177 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.196205 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.0181327 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.163698 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.162045 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.199712 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.165741 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.196466 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.0169525 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.125373 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.103583 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0990857 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0659191 # DEPENDENCYPART_SIBL
(19,5),(19,24),-0.100777 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.100437 # DEPENDENCYPART_SIBL
(19,5),(19,26),-0.0990857 # DEPENDENCYPART_SIBL
(19,5),(19,27),-0.0438194 # DEPENDENCYPART_SIBL
(19,6),(19,7),0.295964 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0835151 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.0134795 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0312769 # DEPENDENCYPART_SIBL
(19,6),(19,12),0.0433205 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.223309 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0505806 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.0303878 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.0305202 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0287758 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.0971698 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.105875 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.00645093 # DEPENDENCYPART_SIBL
(19,6),(19,22),-0.0223491 # DEPENDENCYPART_SIBL
(19,6),(19,23),-0.0427543 # DEPENDENCYPART_SIBL
(19,6),(19,24),-0.0128974 # DEPENDENCYPART_SIBL
(19,6),(19,25),-0.0223491 # DEPENDENCYPART_SIBL
(19,6),(19,26),-0.0223491 # DEPENDENCYPART_SIBL
(19,6),(19,27),-0.0417532 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.0627107 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.0846689 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.0110198 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.00603721 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.204056 # DEPENDENCYPART_SIBL
(19,7),(19,14),0.121249 # DEPENDENCYPART_SIBL
(19,7),(19,15),0.013659 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.0486691 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.0142774 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.0365528 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.0771404 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.0263059 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.0278334 # DEPENDENCYPART_SIBL
(19,7),(19,23),-0.0727687 # DEPENDENCYPART_SIBL
(19,7),(19,24),-0.0278566 # DEPENDENCYPART_SIBL
(19,7),(19,25),-0.0278334 # DEPENDENCYPART_SIBL
(19,7),(19,26),-0.0278334 # DEPENDENCYPART_SIBL
(19,7),(19,27),-0.0884109 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.175053 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.00237688 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.057863 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.23999 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.195984 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.00589463 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0592317 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.00541635 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.00128465 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.114924 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.0684802 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.0656168 # DEPENDENCYPART_SIBL
(19,8),(19,23),-0.318766 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0656401 # DEPENDENCYPART_SIBL
(19,8),(19,25),-0.0656168 # DEPENDENCYPART_SIBL
(19,8),(19,26),-0.0656168 # DEPENDENCYPART_SIBL
(19,8),(19,27),-0.184538 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.00448938 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.123469 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.29035 # DEPENDENCYPART_SIBL
(19,9),(19,14),0.201752 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.00121232 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0716025 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0014557 # DEPENDENCYPART_SIBL
(19,9),(19,18),0.0292655 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.0730222 # DEPENDENCYPART_SIBL
(19,9),(19,21),-0.0270743 # DEPENDENCYPART_SIBL
(19,9),(19,22),-0.0274565 # DEPENDENCYPART_SIBL
(19,9),(19,23),-0.125801 # DEPENDENCYPART_SIBL
(19,9),(19,24),-0.0233764 # DEPENDENCYPART_SIBL
(19,9),(19,25),-0.0274565 # DEPENDENCYPART_SIBL
(19,9),(19,26),-0.0274565 # DEPENDENCYPART_SIBL
(19,9),(19,27),-0.0878384 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0146982 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.148213 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.162563 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.194619 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.164887 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.191373 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.0174412 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.104652 # DEPENDENCYPART_SIBL
(19,11),(19,21),-0.082862 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0783645 # DEPENDENCYPART_SIBL
(19,11),(19,23),-0.0592438 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.080056 # DEPENDENCYPART_SIBL
(19,11),(19,25),-0.0797156 # DEPENDENCYPART_SIBL
(19,11),(19,26),-0.0783645 # DEPENDENCYPART_SIBL
(19,11),(19,27),-0.0439738 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.132642 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.00640991 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.0541023 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0997771 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0547819 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.00474526 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0606219 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.0243799 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.00964488 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.00952973 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.00966971 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.00964488 # DEPENDENCYPART_SIBL
(19,12),(19,26),-0.00964488 # DEPENDENCYPART_SIBL
(19,12),(19,27),-0.0356148 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0505806 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.0303878 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0305202 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0287758 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0971698 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.105875 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.00645093 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.0223491 # DEPENDENCYPART_SIBL
(19,13),(19,23),-0.0427543 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.0128974 # DEPENDENCYPART_SIBL
(19,13),(19,25),-0.0223491 # DEPENDENCYPART_SIBL
(19,13),(19,26),-0.0223491 # DEPENDENCYPART_SIBL
(19,13),(19,27),-0.0417532 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.0229518 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0700701 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0224911 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0147192 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0804874 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0321343 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0346652 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.205842 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.030585 # DEPENDENCYPART_SIBL
(19,14),(19,25),-0.0346652 # DEPENDENCYPART_SIBL
(19,14),(19,26),-0.0346652 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.0791448 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.17255 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.204732 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.00728455 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.118137 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0963468 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0918492 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0620205 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0935407 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0932004 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.0918492 # DEPENDENCYPART_SIBL
(19,15),(19,27),-0.0460334 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.056983 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0337861 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.108162 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0758512 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0630899 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0801451 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0714568 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.0630899 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.0630899 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.105083 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0114304 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0910657 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0674681 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0629706 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0546106 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0646621 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0643217 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0629706 # DEPENDENCYPART_SIBL
(19,17),(19,27),-0.0358669 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.12984 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0764572 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0721383 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.103948 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0721615 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0721383 # DEPENDENCYPART_SIBL
(19,18),(19,26),-0.0721383 # DEPENDENCYPART_SIBL
(19,18),(19,27),-0.189218 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.162151 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.180164 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0355506 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.177514 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.180164 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.180164 # DEPENDENCYPART_SIBL
(19,20),(19,27),-0.127059 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.145011 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0221583 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.142361 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.145011 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.145011 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.141435 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0257576 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.141552 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.144202 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.144202 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.129488 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.130037 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.130025 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.130025 # DEPENDENCYPART_SIBL
