# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(9,2),(9,4),-0.143511 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0495143 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.161381 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.157232 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.185402 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0405222 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0603948 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0239004 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0606196 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0342612 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0497507 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0400728 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0512625 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0556179 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.0135156 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0918123 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.086222 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.00463686 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0377412 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0140224 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0437902 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0224009 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0136256 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0286344 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.020738 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00249896 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0652605 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0186084 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0264064 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0258177 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0173702 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0421295 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.000544127 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0268967 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0139718 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0138984 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.22073 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0470321 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0042478 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0232948 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0308012 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.030134 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0137692 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.00253702 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0951231 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0565342 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.118552 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.217413 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.200882 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0959556 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.142069 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.167763 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.169712 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.21934 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.141364 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.203735 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.188484 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.219807 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.193232 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0238328 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0789914 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.000850138 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0818967 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0300601 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0683473 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0410135 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0441627 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0742145 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0390239 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.00112721 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.105697 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0318245 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0198916 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0507988 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00596288 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0040939 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00393116 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.218689 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0297039 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0766916 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0390806 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0673541 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.010477 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0643331 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0356181 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.05671 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.042655 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0536393 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0625773 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0232633 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0461338 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.064503 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0359727 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0163115 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0594672 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.158042 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.061033 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.071971 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.00355887 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00591538 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.022659 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0175476 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.122959 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0459866 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.012639 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.117385 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.121648 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0679927 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0995178 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.105829 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0840988 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0703358 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.100923 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0868445 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.00606742 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00837591 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0773493 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0152184 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0035617 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0758553 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0275096 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0502964 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0976272 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0326732 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0274537 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0268829 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0104234 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.111697 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.119759 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0210704 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0157767 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0353794 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.107892 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.134641 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.110979 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.183992 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.547091 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.493805 # DEPENDENCYPART_SIBL
(10,11),(10,15),-1.43314 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.110278 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.087277 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.559073 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0752 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.574052 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.538914 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.118878 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0734793 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0888008 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0625773 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.115356 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.11634 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.210201 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.119503 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0416423 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0851163 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.106021 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0321131 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.213813 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.162299 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0286697 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0378058 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0234225 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0158076 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.025245 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0155372 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0126125 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0184975 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00214949 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0673758 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0581019 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0039479 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0037832 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0124282 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0148449 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.00123812 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.101873 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.032464 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.067138 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0104071 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0339485 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0310459 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.142813 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.494022 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0290621 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0149563 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0262271 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0134093 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.142196 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0465062 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0490938 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.052586 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0119472 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.162375 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0329976 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.00599482 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.18504 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0130761 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0635466 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0381753 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0497299 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.069384 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0498594 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0039993 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0509654 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0302154 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0813487 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.648975 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0185086 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.0327874 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.00557153 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0157186 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.00683284 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.237691 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0680238 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0183722 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0729228 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0653438 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0194481 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.110436 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.016143 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0703066 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0343153 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0176796 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0206434 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.0376713 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.018469 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0624614 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0818034 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.064872 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0874667 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.130815 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.045199 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0235732 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.038584 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.00878349 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.00668052 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.000762186 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.00851136 # DEPENDENCYPART_SIBL
(12,5),(12,20),-0.0528464 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0505672 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.00235793 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.150339 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0186049 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0333266 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0717897 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0116435 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.140394 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0413437 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.00754955 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.16306 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0402064 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0796278 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0234485 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.00946385 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0638654 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0793064 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.00927965 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0811578 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.277623 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.153316 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0796166 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.120998 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.139391 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0508015 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0467412 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0614919 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.00423897 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.14617 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0412933 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0142311 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.168836 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0315608 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0512044 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0303773 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0798012 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.650937 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.022296 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0320683 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.00626704 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0195061 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.00296841 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0212909 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0362553 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0172154 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0174727 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.268318 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0554561 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0134469 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0686461 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.058752 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00468523 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.153893 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0388313 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0111517 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.176559 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0324118 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0819014 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0288722 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0901253 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0105636 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0351319 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0507071 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0256201 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0349798 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0243523 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.022862 # DEPENDENCYPART_SIBL
(12,14),(12,20),0.147496 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.00759578 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0291234 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0222094 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.133766 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.000733893 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0820426 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.00528057 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0376481 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.106395 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.122305 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0420911 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.202973 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0153508 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.021809 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0414624 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0557833 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0195043 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.202973 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.00835398 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0802965 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0507673 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.107148 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.0311862 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.125695 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0358555 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0159132 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.096685 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0164234 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0421233 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.125695 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.174157 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.055161 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0101793 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0499544 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.00057023 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.0232026 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0169381 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.250765 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0152078 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0246687 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.000638502 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.277529 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0746017 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.12601 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0842367 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0257574 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0526506 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0567915 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0213835 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0279941 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.238183 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00621301 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0818367 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0446896 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.108688 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0394319 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.00317043 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0557434 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0770103 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0629203 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0246412 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0735672 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.313487 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0692532 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.0738867 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0165009 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0421236 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.122122 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.177491 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0582496 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0102029 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.053043 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.00372806 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0393134 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.07361 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.020126 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0296046 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.348817 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0228061 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0660078 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.195848 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.011808 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0690026 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0542483 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.095854 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.042013 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.277529 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0746017 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.12601 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0842367 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0257574 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0348731 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.015556 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0374614 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.062569 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00845898 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.110154 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.193666 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.007336 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.103987 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.182585 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0207901 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0963008 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0305978 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.141822 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.155887 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.165843 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0200307 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0139676 # DEPENDENCYPART_SIBL
