# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,15,15,12,15,6,0,20,18,20,21,22,0,
(10,2),(10,6),0.036515 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.182052 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0305413 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0403513 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0100024 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00171332 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.134747 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.134726 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00712407 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00415701 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.00230424 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0921326 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.148977 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.124432 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.125111 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.00714484 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.148119 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0221201 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.00535825 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00674314 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.190028 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0281109 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0360846 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0407511 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0406585 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0457938 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.043211 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.013716 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0355315 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.137819 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0345611 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.0265142 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0458146 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.113616 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0305832 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0376579 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.025099 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0454217 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0100724 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0185872 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.018476 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.00596515 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.00521371 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.21688 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0263767 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.132154 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0213308 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.0438293 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.00587567 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00527751 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0360872 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0504474 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0252475 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0162195 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00707828 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00704178 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0203268 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.020799 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0285761 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.00513663 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.10473 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.007207 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.00229055 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0203459 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.158535 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0315235 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.154482 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0478922 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.304957 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.304933 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0546141 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0550505 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0732392 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0224263 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.19399 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.310135 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.079168 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0546313 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00344298 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0391531 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0104829 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0855424 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0855138 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00376744 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0101604 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00333764 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00846065 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.149858 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0754171 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0180024 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00374596 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.027459 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0367943 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0400893 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0399966 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0465034 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0439206 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0143469 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0348262 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.137117 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0338993 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0271272 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0465242 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0796855 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0396779 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0389664 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0831966 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0836356 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0299064 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0336129 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0358435 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0337548 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.010647 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0832139 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0239011 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0230853 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.132001 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.130597 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.011308 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.053858 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0316156 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0200531 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0515614 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.132019 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.345834 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.112111 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.112551 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0375733 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.00708308 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0942161 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.340623 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0326108 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.112129 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.112072 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.112512 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.037374 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.00457217 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0942028 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.34061 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0324501 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.112089 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.117221 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.000775359 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0475373 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0252941 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0136968 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.067682 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.118643 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00173095 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0479295 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0256864 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0140954 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0672281 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.120649 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.122391 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0583078 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0713965 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.130113 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.111743 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0624819 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0866576 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.0514124 # DEPENDENCYPART_SIBL
(10,18),(10,23),0.0284218 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.0490042 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0616666 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.112678 # DEPENDENCYPART_SIBL
(10,20),(10,22),-0.0319041 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.113262 # DEPENDENCYPART_SIBL
(10,22),(10,23),0.00524861 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.121001 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0369822 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0305358 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0133093 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.155938 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0496831 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0714892 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0727557 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.171468 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.170711 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0373801 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.023847 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.00182313 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.118661 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0972357 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.16439 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.107302 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.177593 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.0373797 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0186128 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.113237 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.334391 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.122442 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.139927 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.139167 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0727652 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0660312 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0697002 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0460297 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0587624 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.145626 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0627759 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.0804525 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.072761 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.045858 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.100135 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0834708 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.137854 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.13709 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.111599 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.131984 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.00421574 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.093262 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0673885 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.130869 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0629844 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.188581 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.111599 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.260745 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.00441265 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.00589693 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.00672926 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0183568 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0283917 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0114822 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0271713 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0378299 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.00627866 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0943836 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.0940654 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.0183557 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.104144 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.115579 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.114811 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0654034 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0586668 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.00680286 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.00474104 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0346069 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.118399 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.131104 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0950862 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.0653992 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0946111 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0953607 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0259969 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0444909 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0536612 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.102507 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0482346 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0891636 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0353561 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.142399 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0260011 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0999568 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.032351 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0336121 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.015006 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.00999321 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.00702282 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.100046 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.00760475 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.00671361 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0323528 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0303133 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0315745 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0128325 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0105338 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.00503636 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0980596 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.00559065 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.00443804 # DEPENDENCYPART_SIBL
(12,14),(12,23),-0.0303151 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0816644 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0494804 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0028031 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0154335 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.0267682 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0847557 # DEPENDENCYPART_SIBL
(12,15),(12,22),0.0655553 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.0813002 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0521373 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.00433306 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.016963 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0252252 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0864026 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.0639617 # DEPENDENCYPART_SIBL
(12,16),(12,23),-0.084949 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0379926 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0565171 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.0163472 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.0252981 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.0250453 # DEPENDENCYPART_SIBL
(12,17),(12,23),-0.0193384 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0438427 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0110407 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.124778 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.00460259 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.0104749 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0569377 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0545779 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.0490742 # DEPENDENCYPART_SIBL
(12,19),(12,23),-0.0273683 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.0123836 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.00497968 # DEPENDENCYPART_SIBL
(12,20),(12,23),-0.0319622 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0208909 # DEPENDENCYPART_SIBL
(12,21),(12,23),-0.00917667 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.00110914 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.148721 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.220899 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.160928 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.175462 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.122139 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0302236 # DEPENDENCYPART_SIBL
(13,1),(13,15),7.82133e-05 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.00348085 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0371376 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0194766 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0777769 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.039199 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0784956 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.180241 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.0649327 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.00417602 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0446061 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0828105 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0106434 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.00726309 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0704558 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0757335 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0296848 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.0132175 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.0154543 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.181373 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.193311 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.105494 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0987119 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0169875 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0170081 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.00852588 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0267158 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0369054 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.019351 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0588887 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0650594 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0746382 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0942469 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0139747 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.00716847 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0259236 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0658911 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0354005 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0100926 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.039671 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0965143 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0331532 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0189242 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0189423 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0739579 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.117885 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0207535 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.00613831 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0275627 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0424989 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.00877629 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00537365 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0183771 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0135266 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0755577 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0350055 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0711937 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0533489 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0533522 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0466506 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.020524 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.000895112 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.00726617 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0325697 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.107617 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.102602 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00946533 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.00960879 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.110487 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.10764 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.102038 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0094663 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.00960766 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.110546 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.107597 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0234443 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0116582 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0594915 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.0010213 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0256739 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.143297 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.0283535 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0231116 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.0810769 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.0710336 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0245739 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0290497 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.0351468 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.107608 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.11048 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.110539 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0311892 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0410948 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0488695 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0275542 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.025453 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0975314 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0374861 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.071949 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0515785 # DEPENDENCYPART_SIBL
