# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,0,14,19,14,19,17,0,
(6,5),(6,8),-0.00170669 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0407873 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0182802 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0362316 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0459077 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0407873 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.041627 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0380099 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0692625 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0629709 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00240101 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0439794 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.489689 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0235316 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00240101 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.49373 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0192935 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.208554 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0278635 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0338211 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.347666 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0117413 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0278635 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.351945 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0118766 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.170291 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0358516 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.285252 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0353488 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.235972 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.286111 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0394945 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.181253 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.150947 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0181258 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0327724 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.152284 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0182698 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0643645 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00726595 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.035441 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.847416 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0103068 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0727278 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0575273 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.482364 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0348966 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0629402 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.286111 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0394945 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.181253 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0228626 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0829732 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0609029 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.282423 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.577844 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.33366 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.982668 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.35975 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.100753 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.568556 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.100858 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.574389 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.523414 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0329554 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.10802 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.17362 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0225723 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0700826 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0303414 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0103718 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0225723 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.015198 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0931068 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0384424 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.170697 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0146759 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0758447 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0376141 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.00991451 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0146759 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0238806 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0829556 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.232431 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00863162 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0167102 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0202059 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.13776 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00863162 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0177334 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0206166 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.01205 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00264044 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0531808 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.152291 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.01205 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0556907 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0242218 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0590236 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0189159 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0372831 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.090959 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0188637 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.096758 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0931861 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0535092 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.110492 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0936121 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0395706 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00882697 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0580848 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.351701 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0250994 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0189467 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0257761 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.029517 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0188637 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.096758 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0253111 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0243584 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0566595 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0172576 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0173848 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.093623 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0219858 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00333364 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.00237465 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00872882 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00978453 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0275133 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00816371 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0115552 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0640367 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.672426 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0677124 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.634053 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0340807 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0189089 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0509152 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0631047 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.697591 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0116565 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.660774 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0484083 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00106822 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0319654 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0184439 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.181278 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00834013 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0199403 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.000934851 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0597749 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0628043 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0454443 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0374495 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0732351 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.126577 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0852975 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.103608 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.135607 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0905044 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0266985 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.363537 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0207443 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0337138 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0104863 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0378923 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0517383 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0102176 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.157615 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0311656 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.010386 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.143558 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.117533 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0544499 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0152765 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0813221 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0959634 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0837477 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0406828 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0383635 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0821645 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0328197 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0580819 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0581601 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.060969 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0364158 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0142382 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00317185 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.013829 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0168898 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.000153655 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.020098 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.00506336 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0257582 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.214472 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.194131 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00627359 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.214595 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.193246 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.296702 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0367865 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0306861 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0928626 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0661974 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0591572 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0896916 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00514018 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0192435 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0253564 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0196394 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.829212 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0222767 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00967273 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.074265 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0383862 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.356863 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0663877 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0227233 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.207803 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.339285 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0694017 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.056555 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.165277 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0166801 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00567589 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0530293 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.020686 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.192909 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0762165 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.245188 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0305655 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0200138 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0442119 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.111133 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.170826 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.00773992 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0475034 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00748858 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.00156356 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0576372 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0101668 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.00703064 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0459106 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.145342 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.256382 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.195361 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0145358 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00422156 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0748214 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0414723 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.092025 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0280908 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0780923 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0626781 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0344776 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.032955 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0243991 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.00113979 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.106433 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0868373 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0509702 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0358423 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0445396 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0301523 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0102652 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0946997 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0351507 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0443564 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0488438 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.160077 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.136088 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0315492 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0525731 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0226631 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0206195 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0564579 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0399923 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0228876 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0577601 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0680695 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.275431 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.00398091 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.172162 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0219476 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.230766 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.16158 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.114506 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0374548 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.17438 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.264046 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00779074 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0723687 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0423368 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0655965 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0599145 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.115612 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.00792404 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0752063 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0803712 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0424619 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.142246 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0276927 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0272982 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0998116 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00934011 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0459216 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0551805 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0431286 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0485005 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0525041 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0405357 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.047694 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0579953 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0329422 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0308499 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.123618 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0961132 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0217256 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.125908 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.107497 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.116815 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0897921 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.105241 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.114795 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0387137 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0300744 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0410574 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0295448 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0937221 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0233762 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.110519 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0613471 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0547006 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.088677 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.067764 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0321994 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0741401 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.197805 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.18332 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.140025 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.16185 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0614684 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0788245 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0034272 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0370017 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0850408 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0397033 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0211201 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0534684 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0655807 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0653811 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.071775 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0131969 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0102959 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.00388239 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0768512 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.00423919 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0303206 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0452126 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0601308 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.00510733 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0154523 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0243584 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0566595 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0172576 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0173848 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0219858 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.233413 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.109744 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0616598 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.00837222 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.00872882 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.00235825 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.00795597 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.210432 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.00219625 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.00978453 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0275133 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.00816371 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0640367 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.103739 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0626452 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.00268287 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.00223415 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.634053 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0769989 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.042837 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0997624 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0604597 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0340807 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0189089 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0631047 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0683388 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0487529 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.00175484 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0593598 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.660774 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.00789144 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0184492 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0333201 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0189074 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0484083 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0319654 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.55892 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0911404 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.168374 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0441747 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00834013 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.16205 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.00393399 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.013824 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.167709 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.000934851 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.173551 # DEPENDENCYPART_SIBL
