# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,8,17,0,19,17,0,
(7,5),(7,10),-0.06251 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.06251 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0503302 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0596529 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.045707 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0269413 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.142264 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.142264 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0738524 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.144301 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0115933 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0138196 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0138196 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00220124 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.000304168 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0342346 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0342346 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.18145 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0413825 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.108925 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.028015 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.101775 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0248763 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.10073 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0489842 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0761309 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0396175 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.187341 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.186973 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0302508 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0332125 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0209637 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0271079 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.027108 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0307668 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00421613 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.032802 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00748308 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0137154 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0290975 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0613218 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0324481 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0290146 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0135588 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0609351 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.04051 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0835892 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0835885 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0645631 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0256763 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0810771 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0794822 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0845615 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0632693 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.155631 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0972234 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00711947 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.19508 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0147494 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0416264 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0416264 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0545293 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00377996 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0473206 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0152393 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0233259 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0471401 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.610076 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0132947 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0259553 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0325164 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0219163 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0219164 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00284334 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.204276 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0283778 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0370149 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.005429 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.00413857 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0970195 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.125286 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.165232 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0256568 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0256568 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0700757 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.28868 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.019312 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0311504 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.111356 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0713703 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0240643 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.130289 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.305717 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.305717 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0572104 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0613055 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.321849 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0580722 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00457941 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0559164 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0208913 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.032897 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.032897 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0315182 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0120126 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0385912 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0101304 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.00259734 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0241289 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0969784 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0969784 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0354017 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0435815 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.101717 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0423384 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.120489 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0417411 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.34572 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.10211 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0467234 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.350455 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.09471 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0505732 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.108471 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.101063 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0467234 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.350455 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.09471 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0505732 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.107424 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0109382 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0198171 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0148114 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0167607 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.117581 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0810392 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0469251 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0996191 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.1081 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0949793 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.0496462 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.108745 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0203331 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.0532512 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.0322078 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00407227 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.166347 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.067791 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.067791 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0915303 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0965609 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0840507 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0593768 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.088479 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.32054 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0360502 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0360502 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00682183 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.540487 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.00751768 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.113628 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.00682046 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0665237 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0665237 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0827314 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0942491 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.087512 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0472927 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.07968 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.238268 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.717288 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0818636 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.181567 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.109898 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.717288 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.716241 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0818636 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.181567 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.109898 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.716241 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.282467 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.573548 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.510811 # DEPENDENCYPART_SIBL
(9,12),(9,19),-1.4249 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.112039 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0859701 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.566814 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0718689 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.54701 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.531436 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.337549 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.169374 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.153634 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0164896 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00833343 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.143282 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0367364 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0292896 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.00833267 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.192902 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.183429 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0987111 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0169195 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0085287 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00615747 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0228348 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0169191 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0828586 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0331532 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0185874 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0731289 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0223051 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.127027 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0188548 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0948234 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0566126 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0101007 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0432334 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.117138 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0580934 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0522996 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0466506 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.000717732 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00217652 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0522996 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.10259 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0166788 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.00275962 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.110795 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.00701405 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0125084 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0103074 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.00826094 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0762192 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.005298 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.083558 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0277129 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0131874 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0184433 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0719811 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.10914 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.183429 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.124023 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0228348 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.122483 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0606534 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.003934 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0352688 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.117138 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.033065 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0326965 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.106781 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.108669 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.052975 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0255077 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.135251 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.107369 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0351921 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0349121 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0564548 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.105477 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.115321 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0546571 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0787856 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.0224249 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0290254 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0186312 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0211816 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.186983 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.228897 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0288455 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0294316 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0298767 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.00111038 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0260014 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.111371 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0245486 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.0191407 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.00695692 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.300245 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.00199179 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.266485 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.294464 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.116682 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.043202 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0429219 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0601215 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.159765 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0242873 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.000402735 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.00440683 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.00829871 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.123334 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.185968 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.285867 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0476131 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.00502244 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.00474237 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0608323 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0428639 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0596524 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0105963 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.00923305 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.0503295 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.109602 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.330333 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.116043 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.133203 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.133882 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0569903 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.00267459 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.1443 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0288692 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0450744 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0738523 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.269963 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.111346 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.00770179 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.00798186 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0259918 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0287583 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.00685991 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0158603 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0129239 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0258285 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.103687 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0912373 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0915173 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.00673935 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0210554 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.114726 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0344796 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.017676 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0664891 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00892879 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.00920886 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0692761 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.148286 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.144184 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0757013 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.122022 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0306303 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0145946 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0072358 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0318568 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.10526 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0183906 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0132854 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.000881483 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00770865 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0324185 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.104787 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0179178 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0127237 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.000407287 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0183312 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.026184 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0652618 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0141754 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0075623 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0204071 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0313122 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.195179 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0808224 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0124205 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.00749439 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0280235 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0117433 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0271701 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.00233445 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.00370563 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.233413 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0773432 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0299149 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0641323 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0332096 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.00438506 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.00438506 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.00824976 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.064284 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.00270483 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0036612 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.0599806 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.50707 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0345921 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0473859 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.146714 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0584589 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0174528 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0174528 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0259009 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0131892 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.00668017 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.16118 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.0364223 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.412956 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0944036 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0490849 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0452895 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0310342 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0310342 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0727588 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.015913 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0790207 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0445565 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.018469 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0220335 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0966583 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0497298 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0280264 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0280264 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.000533467 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.195195 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.044281 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0111169 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.120996 # DEPENDENCYPART_SIBL
