# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,0,13,11,15,13,15,18,16,22,22,20,18,24,22,24,27,25,27,27,29,0,
(13,14),(13,31),-0.033973 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0201274 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0184491 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.148244 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.00414762 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.121036 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0294134 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0184495 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.153458 # DEPENDENCYPART_SIBL
(13,15),(13,25),-0.0201274 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.0184491 # DEPENDENCYPART_SIBL
(13,15),(13,27),-0.148197 # DEPENDENCYPART_SIBL
(13,15),(13,28),-0.148171 # DEPENDENCYPART_SIBL
(13,15),(13,29),0.0206211 # DEPENDENCYPART_SIBL
(13,15),(13,30),-0.14817 # DEPENDENCYPART_SIBL
(13,15),(13,31),-0.0404652 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0120855 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0161287 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0506193 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0520665 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0681089 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.0120857 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.00433961 # DEPENDENCYPART_SIBL
(13,16),(13,25),0.00231113 # DEPENDENCYPART_SIBL
(13,16),(13,26),0.012082 # DEPENDENCYPART_SIBL
(13,16),(13,27),0.016029 # DEPENDENCYPART_SIBL
(13,16),(13,28),0.0161284 # DEPENDENCYPART_SIBL
(13,16),(13,29),0.0499962 # DEPENDENCYPART_SIBL
(13,16),(13,30),0.0159656 # DEPENDENCYPART_SIBL
(13,16),(13,31),-0.0541754 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0923895 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0259885 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.122522 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.109567 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.428773 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.096517 # DEPENDENCYPART_SIBL
(13,17),(13,25),-0.00500779 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.428773 # DEPENDENCYPART_SIBL
(13,17),(13,27),-0.0924154 # DEPENDENCYPART_SIBL
(13,17),(13,28),-0.0923892 # DEPENDENCYPART_SIBL
(13,17),(13,29),-0.00387268 # DEPENDENCYPART_SIBL
(13,17),(13,30),-0.0923897 # DEPENDENCYPART_SIBL
(13,17),(13,31),-0.0282044 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0106399 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.113907 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.00949988 # DEPENDENCYPART_SIBL
(13,18),(13,23),0.000131271 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.133228 # DEPENDENCYPART_SIBL
(13,18),(13,25),-0.0129854 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.000131729 # DEPENDENCYPART_SIBL
(13,18),(13,27),-0.127967 # DEPENDENCYPART_SIBL
(13,18),(13,28),-0.127941 # DEPENDENCYPART_SIBL
(13,18),(13,29),0.027749 # DEPENDENCYPART_SIBL
(13,18),(13,30),-0.127941 # DEPENDENCYPART_SIBL
(13,18),(13,31),-0.0257481 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.174386 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0978443 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.109296 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.113914 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.114037 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.109295 # DEPENDENCYPART_SIBL
(13,19),(13,27),-0.115539 # DEPENDENCYPART_SIBL
(13,19),(13,28),-0.115513 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.213236 # DEPENDENCYPART_SIBL
(13,19),(13,30),-0.115513 # DEPENDENCYPART_SIBL
(13,19),(13,31),-0.094094 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0520452 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.0812714 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.0324716 # DEPENDENCYPART_SIBL
(13,20),(13,25),0.020094 # DEPENDENCYPART_SIBL
(13,20),(13,26),0.0812695 # DEPENDENCYPART_SIBL
(13,20),(13,27),0.0441927 # DEPENDENCYPART_SIBL
(13,20),(13,28),0.0442568 # DEPENDENCYPART_SIBL
(13,20),(13,29),-0.000552074 # DEPENDENCYPART_SIBL
(13,20),(13,30),0.044094 # DEPENDENCYPART_SIBL
(13,20),(13,31),0.020175 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.127587 # DEPENDENCYPART_SIBL
(13,22),(13,24),0.0435104 # DEPENDENCYPART_SIBL
(13,22),(13,25),0.122764 # DEPENDENCYPART_SIBL
(13,22),(13,26),-0.127587 # DEPENDENCYPART_SIBL
(13,22),(13,27),0.0476136 # DEPENDENCYPART_SIBL
(13,22),(13,28),0.0473269 # DEPENDENCYPART_SIBL
(13,22),(13,29),0.254602 # DEPENDENCYPART_SIBL
(13,22),(13,30),0.0474199 # DEPENDENCYPART_SIBL
(13,22),(13,31),0.0575069 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.0964821 # DEPENDENCYPART_SIBL
(13,23),(13,25),-0.00498318 # DEPENDENCYPART_SIBL
(13,23),(13,26),-0.428754 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.0923804 # DEPENDENCYPART_SIBL
(13,23),(13,28),-0.0923543 # DEPENDENCYPART_SIBL
(13,23),(13,29),-0.0038468 # DEPENDENCYPART_SIBL
(13,23),(13,30),-0.0923547 # DEPENDENCYPART_SIBL
(13,23),(13,31),-0.028179 # DEPENDENCYPART_SIBL
(13,24),(13,25),-0.023625 # DEPENDENCYPART_SIBL
(13,24),(13,26),-0.00791417 # DEPENDENCYPART_SIBL
(13,24),(13,27),-0.13865 # DEPENDENCYPART_SIBL
(13,24),(13,28),-0.138624 # DEPENDENCYPART_SIBL
(13,24),(13,29),0.0182392 # DEPENDENCYPART_SIBL
(13,24),(13,30),-0.138624 # DEPENDENCYPART_SIBL
(13,24),(13,31),-0.0445503 # DEPENDENCYPART_SIBL
(13,25),(13,26),0.012082 # DEPENDENCYPART_SIBL
(13,25),(13,27),0.016029 # DEPENDENCYPART_SIBL
(13,25),(13,28),0.0161284 # DEPENDENCYPART_SIBL
(13,25),(13,29),0.0499962 # DEPENDENCYPART_SIBL
(13,25),(13,30),0.0159656 # DEPENDENCYPART_SIBL
(13,25),(13,31),-0.0541754 # DEPENDENCYPART_SIBL
(13,26),(13,27),-0.0923804 # DEPENDENCYPART_SIBL
(13,26),(13,28),-0.0923542 # DEPENDENCYPART_SIBL
(13,26),(13,29),-0.00384663 # DEPENDENCYPART_SIBL
(13,26),(13,30),-0.0923547 # DEPENDENCYPART_SIBL
(13,26),(13,31),-0.028179 # DEPENDENCYPART_SIBL
(13,27),(13,28),-0.13385 # DEPENDENCYPART_SIBL
(13,27),(13,29),0.0218432 # DEPENDENCYPART_SIBL
(13,27),(13,30),-0.13385 # DEPENDENCYPART_SIBL
(13,27),(13,31),-0.0405202 # DEPENDENCYPART_SIBL
(13,28),(13,29),0.0218478 # DEPENDENCYPART_SIBL
(13,28),(13,30),-0.133845 # DEPENDENCYPART_SIBL
(13,28),(13,31),-0.0405088 # DEPENDENCYPART_SIBL
(13,29),(13,30),0.104986 # DEPENDENCYPART_SIBL
(13,29),(13,31),0.0341292 # DEPENDENCYPART_SIBL
(13,30),(13,31),-0.0405871 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0104897 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.120484 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0959038 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0676149 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0221202 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.0108143 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.014518 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.095903 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.120484 # DEPENDENCYPART_SIBL
(15,12),(15,29),-0.055029 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.115382 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0793116 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0537834 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0735883 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.00705607 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.00679034 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.0793109 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.115382 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.0659913 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.00727621 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0306724 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0512216 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0152914 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.00611402 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.00727574 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0208986 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.0967434 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0288825 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.015825 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0481068 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.00835884 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.109112 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0057926 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.0311457 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0243132 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0489979 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0168554 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0432547 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.139763 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.156233 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0204227 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0148527 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0183829 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0197775 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.0147071 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.00609667 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.0554989 # DEPENDENCYPART_SIBL
(15,20),(15,25),0.0370348 # DEPENDENCYPART_SIBL
(15,20),(15,29),0.0902516 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.013858 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0163227 # DEPENDENCYPART_SIBL
(15,22),(15,29),0.0854062 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.00578911 # DEPENDENCYPART_SIBL
(15,23),(15,29),0.0311497 # DEPENDENCYPART_SIBL
(15,25),(15,29),0.0967434 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0287177 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.00200866 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0259177 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0189181 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.755377 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.109325 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.755377 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.258143 # DEPENDENCYPART_SIBL
(16,18),(16,24),-1.46009 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.58462 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.022663 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.00194538 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0953266 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0254443 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.12404 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0276222 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0231877 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.00281581 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0847109 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.0493932 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.112766 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.109362 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0121978 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.132244 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0790903 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0194295 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0105435 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0681187 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.0355617 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.107664 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0542434 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.00737033 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0150654 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0807214 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.01297 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.0108022 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0100587 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.113628 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0343507 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0108819 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.113245 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0875923 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.173802 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0397158 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.0236085 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.00870918 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.00972918 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0319637 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.100492 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0127825 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.065728 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0143921 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0140688 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0190386 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.00959752 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0324408 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00568443 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.055681 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.0143861 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.0238982 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0137966 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.0153749 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.00306519 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0223101 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.018922 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.103958 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.0533048 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.0631519 # DEPENDENCYPART_SIBL
(19,1),(19,11),-0.210129 # DEPENDENCYPART_SIBL
(19,1),(19,12),-0.0595715 # DEPENDENCYPART_SIBL
(19,1),(19,13),0.0152234 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.046245 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.0550465 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0745339 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0517539 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.0450098 # DEPENDENCYPART_SIBL
(19,1),(19,22),0.618547 # DEPENDENCYPART_SIBL
(19,1),(19,23),-0.00859228 # DEPENDENCYPART_SIBL
(19,1),(19,24),-0.0257485 # DEPENDENCYPART_SIBL
(19,1),(19,25),0.0189894 # DEPENDENCYPART_SIBL
(19,1),(19,27),-0.0208381 # DEPENDENCYPART_SIBL
(19,1),(19,28),-0.0207905 # DEPENDENCYPART_SIBL
(19,1),(19,29),0.0557755 # DEPENDENCYPART_SIBL
(19,1),(19,31),0.0129926 # DEPENDENCYPART_SIBL
(19,2),(19,6),0.0306499 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.242184 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.0391182 # DEPENDENCYPART_SIBL
(19,2),(19,13),0.0131172 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.0700375 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.0457109 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.0910268 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.0755433 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.0467931 # DEPENDENCYPART_SIBL
(19,2),(19,22),0.526625 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.037413 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.0618203 # DEPENDENCYPART_SIBL
(19,2),(19,25),0.0280574 # DEPENDENCYPART_SIBL
(19,2),(19,27),-0.0569099 # DEPENDENCYPART_SIBL
(19,2),(19,28),-0.0568623 # DEPENDENCYPART_SIBL
(19,2),(19,29),0.052553 # DEPENDENCYPART_SIBL
(19,2),(19,31),0.0102228 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0269693 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.038537 # DEPENDENCYPART_SIBL
(19,6),(19,13),0.0934984 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.0679756 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.119478 # DEPENDENCYPART_SIBL
(19,6),(19,17),0.0306478 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.0650092 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0259994 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.0623569 # DEPENDENCYPART_SIBL
(19,6),(19,23),0.0299762 # DEPENDENCYPART_SIBL
(19,6),(19,24),0.0443817 # DEPENDENCYPART_SIBL
(19,6),(19,25),0.0176796 # DEPENDENCYPART_SIBL
(19,6),(19,27),0.0444859 # DEPENDENCYPART_SIBL
(19,6),(19,28),0.0445565 # DEPENDENCYPART_SIBL
(19,6),(19,29),-0.00665487 # DEPENDENCYPART_SIBL
(19,6),(19,31),-0.0418834 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0382565 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.183598 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.000972673 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0508911 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0234993 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.00349639 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.0338325 # DEPENDENCYPART_SIBL
(19,11),(19,22),0.122799 # DEPENDENCYPART_SIBL
(19,11),(19,23),-0.0252585 # DEPENDENCYPART_SIBL
(19,11),(19,24),0.000611556 # DEPENDENCYPART_SIBL
(19,11),(19,25),-0.0294664 # DEPENDENCYPART_SIBL
(19,11),(19,27),0.0030881 # DEPENDENCYPART_SIBL
(19,11),(19,28),0.00312346 # DEPENDENCYPART_SIBL
(19,11),(19,29),-0.0375536 # DEPENDENCYPART_SIBL
(19,11),(19,31),0.10728 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.16599 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.00248476 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.00860045 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0565472 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.00605917 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0682663 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.096033 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.117477 # DEPENDENCYPART_SIBL
(19,12),(19,24),0.149535 # DEPENDENCYPART_SIBL
(19,12),(19,25),0.0199969 # DEPENDENCYPART_SIBL
(19,12),(19,27),0.152234 # DEPENDENCYPART_SIBL
(19,12),(19,28),0.152399 # DEPENDENCYPART_SIBL
(19,12),(19,29),0.0108385 # DEPENDENCYPART_SIBL
(19,12),(19,31),0.00515009 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.0774244 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0336547 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0736737 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0828133 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.0622643 # DEPENDENCYPART_SIBL
(19,13),(19,22),0.723693 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.049824 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.0230156 # DEPENDENCYPART_SIBL
(19,13),(19,25),0.00697269 # DEPENDENCYPART_SIBL
(19,13),(19,27),-0.0181049 # DEPENDENCYPART_SIBL
(19,13),(19,28),-0.0180573 # DEPENDENCYPART_SIBL
(19,13),(19,29),0.0268361 # DEPENDENCYPART_SIBL
(19,13),(19,31),0.0120293 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.018828 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0293462 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.00466937 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.00155294 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.00483789 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.00268306 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.146751 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0392409 # DEPENDENCYPART_SIBL
(19,15),(19,27),0.156875 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.157023 # DEPENDENCYPART_SIBL
(19,15),(19,29),-0.028289 # DEPENDENCYPART_SIBL
(19,15),(19,31),-0.013302 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0427531 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0282094 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.409495 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0423586 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0624539 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.00351541 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.653229 # DEPENDENCYPART_SIBL
(19,16),(19,27),0.00972882 # DEPENDENCYPART_SIBL
(19,16),(19,28),0.00973434 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.392027 # DEPENDENCYPART_SIBL
(19,16),(19,31),-0.0182563 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0150674 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0100183 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.026234 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.569005 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.00211711 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.0142769 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.00240749 # DEPENDENCYPART_SIBL
(19,17),(19,28),0.00177228 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.0112729 # DEPENDENCYPART_SIBL
(19,17),(19,31),0.018391 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.00828007 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.00983998 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.00813454 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.151248 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.041316 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.161372 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.16152 # DEPENDENCYPART_SIBL
(19,18),(19,29),-0.0313278 # DEPENDENCYPART_SIBL
(19,18),(19,31),-0.0223116 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.107709 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0642618 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0636145 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0136475 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0697221 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.0697418 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.0164332 # DEPENDENCYPART_SIBL
(19,20),(19,31),0.0864959 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0236265 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0162 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0347908 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.0146195 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0149358 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0136987 # DEPENDENCYPART_SIBL
(19,22),(19,31),0.170164 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0389362 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.103233 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.0373668 # DEPENDENCYPART_SIBL
(19,23),(19,28),-0.0373668 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.10542 # DEPENDENCYPART_SIBL
(19,23),(19,31),-0.0220713 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0220148 # DEPENDENCYPART_SIBL
(19,24),(19,27),-0.0215743 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.0215745 # DEPENDENCYPART_SIBL
(19,24),(19,29),0.0770824 # DEPENDENCYPART_SIBL
(19,24),(19,31),0.0151696 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0803071 # DEPENDENCYPART_SIBL
(19,25),(19,28),0.080345 # DEPENDENCYPART_SIBL
(19,25),(19,29),0.0168532 # DEPENDENCYPART_SIBL
(19,25),(19,31),0.0296497 # DEPENDENCYPART_SIBL
(19,27),(19,28),-0.0195041 # DEPENDENCYPART_SIBL
(19,27),(19,29),0.0783767 # DEPENDENCYPART_SIBL
(19,27),(19,31),0.0176105 # DEPENDENCYPART_SIBL
(19,28),(19,29),0.0783767 # DEPENDENCYPART_SIBL
(19,28),(19,31),0.0176139 # DEPENDENCYPART_SIBL
(19,29),(19,31),0.0826299 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.043433 # DEPENDENCYPART_SIBL
