# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,18,22,24,24,20,24,25,0,
(14,11),(14,18),0.00878459 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0625846 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0327985 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.59436 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0339313 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.240063 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.00513413 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0339313 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0918258 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0506177 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0686559 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.273404 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0682447 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0686559 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.107734 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0617317 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0601097 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0452795 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.219168 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0888783 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.0567387 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0296691 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.124015 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0858869 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.13369 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0563648 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.011983 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0506655 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0888783 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.0567387 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0327023 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.202709 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.00652722 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.205619 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.0268814 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.190189 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.20286 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.203818 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.000467138 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.215646 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.158796 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.108731 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.192471 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.00940531 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0175556 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0186797 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.00871345 # DEPENDENCYPART_SIBL
(15,1),(15,20),0.00914483 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0066077 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.021584 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0214506 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0107106 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0086201 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.191863 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0132955 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.17577 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.189104 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.190061 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.0125905 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.201889 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.147224 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0928545 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.207621 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.000510476 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.00546594 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0111645 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.027731 # DEPENDENCYPART_SIBL
(15,2),(15,20),0.0200044 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0256252 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0406015 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.0404681 # DEPENDENCYPART_SIBL
(15,2),(15,25),-0.00140979 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.00750417 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.00626693 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0716618 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.0133251 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.0138022 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0329761 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.0230796 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0952989 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.104753 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.183306 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.00568091 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0287764 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0118827 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0178643 # DEPENDENCYPART_SIBL
(15,3),(15,20),0.0294976 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.013922 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0143414 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.0142126 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.0290261 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0342028 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.180104 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.206308 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.207265 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0083168 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.219093 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.162317 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.113202 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.20293 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0143605 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.024882 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.00680514 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0277265 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0182816 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.0256208 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.040597 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.0404636 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.0087568 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0679896 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.023268 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0237468 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.103013 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0369752 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.178149 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.171027 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.12995 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.00832534 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0333965 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0107795 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0392192 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.017912 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.0486303 # DEPENDENCYPART_SIBL
(15,6),(15,23),0.0376242 # DEPENDENCYPART_SIBL
(15,6),(15,24),0.0378233 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0530267 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0559402 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0564171 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.00594578 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0665096 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0335827 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.026289 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.102133 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.039441 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0412484 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0868747 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0670929 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0932494 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0647066 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.0664068 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0657506 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0710381 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.190061 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.0125905 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.201889 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.147224 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0928545 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.207621 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.00191079 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0069041 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0156262 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0291951 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.0185494 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0270894 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.0420657 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.0419322 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.00286482 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.0133879 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.200416 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.147935 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0903706 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.209705 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.000888751 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.00401052 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0139879 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0257555 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.035524 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0236498 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0386261 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0384927 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.00706276 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0457467 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.255247 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.159354 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0407194 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.036874 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.012568 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0548123 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0349354 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.110534 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0268695 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0378599 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0376766 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.139337 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.150024 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0955113 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.203698 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0268352 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.015544 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0177932 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0453897 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.00937961 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.043284 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0582603 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0581268 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0118724 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.608976 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.288673 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.181764 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.00961839 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.00056589 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.00384543 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.0184401 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0168977 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.00102815 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.00118308 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.000399576 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.287553 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.277757 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.117458 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.112836 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0682375 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0778846 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.0840935 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.075122 # DEPENDENCYPART_SIBL
(15,13),(15,24),0.0752181 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.0416152 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0937716 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0775938 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0769375 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.17539 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.300883 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.179333 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.178913 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.179042 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.238885 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.052115 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0995844 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.104311 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.133089 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.102714 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.106835 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.106766 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.209144 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0270217 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0172324 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0407211 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0156958 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0197393 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0196873 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.043559 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0358752 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0231539 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0346736 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0335245 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.033576 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.144168 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.057246 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.117727 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.118819 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.118084 # DEPENDENCYPART_SIBL
(15,19),(15,25),0.0447818 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.0137248 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.00208612 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.00236501 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.13884 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.108872 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.108137 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0856663 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.114662 # DEPENDENCYPART_SIBL
(15,23),(15,25),0.0567029 # DEPENDENCYPART_SIBL
(15,24),(15,25),0.0568614 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.00198461 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.67208 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.00935368 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.0594425 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.66662 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0137017 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0515893 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0218828 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.00543974 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0878943 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.00394476 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0860623 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0488296 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.00394476 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.08357 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0016348 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.0997718 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0634925 # DEPENDENCYPART_SIBL
(17,11),(17,22),0.0277382 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.00878293 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.00867184 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.124814 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.23581 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.00143707 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.2733 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.0706504 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.200823 # DEPENDENCYPART_SIBL
(17,12),(17,20),-0.136142 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0429862 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.167301 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.19905 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.198979 # DEPENDENCYPART_SIBL
(17,12),(17,25),-0.127089 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.0556789 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.101739 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0897047 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0601653 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.0887969 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.048341 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0381534 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0573854 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0573451 # DEPENDENCYPART_SIBL
(17,13),(17,25),0.0655695 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.159613 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0326052 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.173978 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.041004 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.138663 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.157452 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.172879 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.172822 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.0908153 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0706504 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.200823 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.136142 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0429862 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.167301 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.19905 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.198979 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.127089 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0289351 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0738287 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.122523 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0304514 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0288574 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0288569 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.0319758 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0308748 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0203687 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0719459 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0701609 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0694773 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.00539442 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0782888 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0092804 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0130526 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.0128749 # DEPENDENCYPART_SIBL
(17,20),(17,25),-0.125766 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.135154 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.135098 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.135098 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.0304521 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0724307 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.0717471 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0226121 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0698338 # DEPENDENCYPART_SIBL
(17,23),(17,25),0.00974483 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.00987925 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.201601 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.00409762 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.204511 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.106302 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.1949 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0101788 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.156367 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.042371 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.000686048 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.00918556 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.0366 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0027918 # DEPENDENCYPART_SIBL
(18,1),(18,23),-0.0121845 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.0120511 # DEPENDENCYPART_SIBL
(18,1),(18,25),-0.0106699 # DEPENDENCYPART_SIBL
(18,1),(18,26),-0.0120511 # DEPENDENCYPART_SIBL
(18,2),(18,3),0.0110497 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.190755 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.0904249 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.210051 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.00496599 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.144794 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0217978 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0183315 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0200451 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.0346916 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.0162257 # DEPENDENCYPART_SIBL
(18,2),(18,23),-0.031202 # DEPENDENCYPART_SIBL
(18,2),(18,24),-0.0310686 # DEPENDENCYPART_SIBL
(18,2),(18,25),-0.00136906 # DEPENDENCYPART_SIBL
(18,2),(18,26),-0.0310686 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.00816495 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.104753 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.183306 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.233878 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0952989 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0701159 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.0129368 # DEPENDENCYPART_SIBL
(18,3),(18,20),0.0281998 # DEPENDENCYPART_SIBL
(18,3),(18,21),-0.0195181 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.00899453 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.00941387 # DEPENDENCYPART_SIBL
(18,3),(18,24),-0.00928511 # DEPENDENCYPART_SIBL
(18,3),(18,25),-0.0303239 # DEPENDENCYPART_SIBL
(18,3),(18,26),-0.00928511 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.110773 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.20536 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.000275766 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.159888 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0273631 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.018327 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0183223 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0310914 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0162213 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.0311975 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0310641 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.00871608 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0310641 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.287553 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.159586 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.0819435 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0784428 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.073165 # DEPENDENCYPART_SIBL
