# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,0,20,16,17,18,15,22,24,24,20,0,
(15,3),(15,10),0.0110426 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.00263719 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0136926 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.00348471 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.140016 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0283384 # DEPENDENCYPART_SIBL
(15,3),(15,17),0.165616 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.00825737 # DEPENDENCYPART_SIBL
(15,3),(15,20),0.014972 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.00956557 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.176515 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.190973 # DEPENDENCYPART_SIBL
(15,3),(15,24),0.168188 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.0315608 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.494661 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0139545 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.0149471 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.0278835 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0109231 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.00275667 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.0138168 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.003359 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.13966 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0285225 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.165607 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.00849851 # DEPENDENCYPART_SIBL
(15,4),(15,20),0.0149344 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.00965118 # DEPENDENCYPART_SIBL
(15,4),(15,22),0.176507 # DEPENDENCYPART_SIBL
(15,4),(15,23),0.190964 # DEPENDENCYPART_SIBL
(15,4),(15,24),0.16818 # DEPENDENCYPART_SIBL
(15,4),(15,25),-0.031669 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0767622 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.119478 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0310244 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.0729228 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0584172 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.101785 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0646197 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0499186 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0184049 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0445565 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0259994 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0784213 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.0292136 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.0381571 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0638295 # DEPENDENCYPART_SIBL
(15,5),(15,24),0.0445565 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.018469 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.00326994 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0039662 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0504019 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0367221 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0100333 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0235762 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.157066 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0202124 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.186599 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.00151846 # DEPENDENCYPART_SIBL
(15,7),(15,20),0.0211799 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.000500593 # DEPENDENCYPART_SIBL
(15,7),(15,22),0.197499 # DEPENDENCYPART_SIBL
(15,7),(15,23),0.211956 # DEPENDENCYPART_SIBL
(15,7),(15,24),0.189172 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0196108 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0427183 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0281885 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0340708 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.0532715 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.0499022 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0282864 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.228938 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.00973457 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.409495 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0291701 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0628392 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0137084 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.0216693 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.00973457 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.0580711 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0127107 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.0187008 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0159628 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.00475745 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0734933 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0393143 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.00202421 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.00894156 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0106447 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.567633 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.00341592 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.0099105 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.00202421 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.00460228 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.000201463 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0136885 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.00348471 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.140021 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0283384 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.168501 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00825737 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.014972 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.00956585 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.179401 # DEPENDENCYPART_SIBL
(15,10),(15,23),0.193858 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.171073 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.0315608 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0244529 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00726734 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.126388 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0389303 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.163849 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0188787 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.00367754 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0186882 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.174749 # DEPENDENCYPART_SIBL
(15,11),(15,23),0.189206 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.166421 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0415371 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0479671 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.191178 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0369219 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0638028 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0483645 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.107102 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.00110645 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0673176 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.0757404 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.0638028 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.103824 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.08139 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0503613 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.00456086 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0896464 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0254183 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0491526 # DEPENDENCYPART_SIBL
(15,13),(15,22),-4.74406e-05 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0164984 # DEPENDENCYPART_SIBL
(15,13),(15,24),0.00456086 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.131006 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0935006 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0126643 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0591327 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.666325 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.000907602 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.00535506 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.000726699 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.0126643 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.00680988 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0837151 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.130867 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0513123 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0781714 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0812387 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.0837151 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0837151 # DEPENDENCYPART_SIBL
(15,16),(15,25),0.0587103 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.036163 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0198875 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0297089 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0234405 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0195039 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0195094 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.121919 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.102144 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.063997 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0672658 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0697422 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0697422 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.0354249 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0234463 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0196918 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.0218485 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0218485 # DEPENDENCYPART_SIBL
(15,20),(15,25),0.129829 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0377477 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0376592 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0376592 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.106262 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0217978 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0218084 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.124304 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0195095 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.122137 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.122795 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0234084 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0197246 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0186088 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0121791 # DEPENDENCYPART_SIBL
(16,17),(16,19),-1.36803 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.449234 # DEPENDENCYPART_SIBL
(16,17),(16,22),-1.37188 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.449234 # DEPENDENCYPART_SIBL
(16,19),(16,22),-1.37188 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.721744 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0587968 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0179519 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0385279 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0218043 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0280798 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0503688 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0298517 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.019733 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0196624 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.100141 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0357709 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.002435 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.00606006 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0207985 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.00335702 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0109248 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.00825007 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0844294 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0211316 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0736331 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.110044 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0173526 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.019347 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.019427 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0115259 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.00324518 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0548349 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.00961982 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.012858 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0128618 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0156519 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0339549 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0647382 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0600314 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0600331 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0141866 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.00365831 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.00228511 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.00228893 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.029175 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0283115 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.0283077 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0626952 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.062702 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0602549 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.296377 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.372443 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0537571 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0165941 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0613026 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0472146 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0500733 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.711217 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0595995 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0567086 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0647668 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0634438 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0634381 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0116132 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0209534 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0145643 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.00659245 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.00848625 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.446698 # DEPENDENCYPART_SIBL
(18,19),(18,22),-1.36177 # DEPENDENCYPART_SIBL
(18,19),(18,23),-1.35792 # DEPENDENCYPART_SIBL
(18,19),(18,24),-1.35793 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.704859 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.704857 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.704857 # DEPENDENCYPART_SIBL
(18,22),(18,23),-1.35979 # DEPENDENCYPART_SIBL
(18,22),(18,24),-1.3598 # DEPENDENCYPART_SIBL
(18,23),(18,24),-1.35793 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0677105 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0741015 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.110044 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0173526 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.019347 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.019427 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.00537903 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.00267962 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0148888 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.0231351 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0213141 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.014187 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.00365707 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.00228387 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.00228769 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0291754 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0283119 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0283081 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0626956 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0627024 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0602553 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0516351 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0447035 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.04951 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.275297 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.0965956 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0383314 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0595193 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0446996 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.0447182 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.0823835 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0184097 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.0219486 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.275297 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.107835 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0446996 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0986114 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.0442501 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0399307 # DEPENDENCYPART_SIBL
(20,1),(20,22),0.0146562 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.026967 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.0269754 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.0704513 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.183667 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.193732 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.150193 # DEPENDENCYPART_SIBL
(20,2),(20,6),-0.152154 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.170877 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.00207602 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.186005 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.190013 # DEPENDENCYPART_SIBL
(20,2),(20,12),0.00778187 # DEPENDENCYPART_SIBL
(20,2),(20,13),0.00389229 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.0018273 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.150193 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.0177908 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.186005 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.0148089 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.186398 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0417892 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0580282 # DEPENDENCYPART_SIBL
(20,2),(20,23),-0.0379766 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.0398648 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0301663 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.196928 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.147897 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.151811 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.174667 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.00920267 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.189794 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.193802 # DEPENDENCYPART_SIBL
(20,3),(20,12),0.0081374 # DEPENDENCYPART_SIBL
(20,3),(20,13),0.00423675 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.00138956 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.147897 # DEPENDENCYPART_SIBL
(20,3),(20,16),0.0106495 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.189794 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0233961 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.190187 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.0403789 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.0569112 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.0368596 # DEPENDENCYPART_SIBL
(20,3),(20,24),-0.0387479 # DEPENDENCYPART_SIBL
(20,3),(20,25),-0.0318292 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.147976 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.151873 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.174724 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.00929373 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.189852 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.19386 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.00807382 # DEPENDENCYPART_SIBL
(20,4),(20,13),0.00417194 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.00161647 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.147976 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.0105583 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.189852 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0234871 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.190245 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0409317 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0572747 # DEPENDENCYPART_SIBL
(20,4),(20,23),-0.0372231 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.0391113 # DEPENDENCYPART_SIBL
(20,4),(20,25),-0.0324249 # DEPENDENCYPART_SIBL
(20,5),(20,6),0.0290475 # DEPENDENCYPART_SIBL
(20,5),(20,7),0.0480262 # DEPENDENCYPART_SIBL
(20,5),(20,8),0.0353184 # DEPENDENCYPART_SIBL
(20,5),(20,10),0.026832 # DEPENDENCYPART_SIBL
(20,5),(20,11),0.0194369 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.0247893 # DEPENDENCYPART_SIBL
(20,5),(20,13),0.0687857 # DEPENDENCYPART_SIBL
(20,5),(20,14),0.113767 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.174704 # DEPENDENCYPART_SIBL
(20,5),(20,16),0.0166716 # DEPENDENCYPART_SIBL
(20,5),(20,17),0.026832 # DEPENDENCYPART_SIBL
(20,5),(20,18),0.0229388 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.0272956 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.0287493 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0223494 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.00465386 # DEPENDENCYPART_SIBL
(20,5),(20,24),0.00181178 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.0336357 # DEPENDENCYPART_SIBL
(20,6),(20,7),0.00879157 # DEPENDENCYPART_SIBL
(20,6),(20,8),0.0530071 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.00661867 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.00774556 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.00398499 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.00311173 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.0101016 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.231059 # DEPENDENCYPART_SIBL
(20,6),(20,16),-0.037885 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.00661867 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.0809159 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.00734707 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.154009 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0678025 # DEPENDENCYPART_SIBL
(20,6),(20,23),-0.0557003 # DEPENDENCYPART_SIBL
(20,6),(20,24),-0.0556948 # DEPENDENCYPART_SIBL
(20,6),(20,25),-0.151553 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.0325853 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.200165 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.204173 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.00398828 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0137876 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.0234422 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.154643 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.00955794 # DEPENDENCYPART_SIBL
