# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,10,15,15,17,25,19,25,25,24,25,17,0,
(15,6),(15,12),-0.0252377 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0687523 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0239914 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0361517 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.00574242 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0259419 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0155213 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0404373 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.0977529 # DEPENDENCYPART_SIBL
(15,6),(15,24),0.0334098 # DEPENDENCYPART_SIBL
(15,6),(15,25),0.0756475 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.235781 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.031242 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.00766915 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0470027 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0243931 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0415039 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0248917 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0317556 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.113299 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0325317 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.00285996 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0477529 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0140614 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0634917 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.000730489 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.113441 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.117666 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.170897 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.107453 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.147896 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.106239 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.146543 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.152171 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.147029 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0871291 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.136097 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0503515 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.145623 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.10318 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.0354979 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.225894 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0337953 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.113689 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0314743 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0693882 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0343202 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.077029 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0435168 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0754237 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0441972 # DEPENDENCYPART_SIBL
(15,9),(15,24),0.0390225 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0321959 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.132429 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0759236 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0756419 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0743582 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.035518 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0184064 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00463676 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0408602 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.248283 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.0577221 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0384603 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.322739 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0296739 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.288889 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0281779 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0573771 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.00923092 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0509912 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0175628 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.138038 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.00276864 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0665624 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.100148 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.151881 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.011228 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0764273 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.02717 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0840681 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0327815 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0676595 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.039785 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.0460616 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0244317 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0248917 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0317556 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.113299 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0325317 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.00285996 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0477529 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0140614 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0634917 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.000730489 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0843149 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0287564 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0919557 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0344251 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0644116 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0414871 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.0539492 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0211838 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.294788 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0331983 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0532089 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.291441 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0432549 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0247217 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.272888 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0512542 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.00431635 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.205465 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.035157 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.044538 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.204255 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0575856 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.282383 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0018814 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0199945 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.26383 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.37163 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.0234624 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.0108994 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.362317 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0182342 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.0904163 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.672632 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.00551203 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.217427 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.2844 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0254179 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0212422 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0783325 # DEPENDENCYPART_SIBL
(17,1),(17,2),0.0287895 # DEPENDENCYPART_SIBL
(17,1),(17,3),0.0166525 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.0158341 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.00767864 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.0564951 # DEPENDENCYPART_SIBL
(17,1),(17,8),0.027121 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0295094 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.042438 # DEPENDENCYPART_SIBL
(17,1),(17,11),0.0152956 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.0154316 # DEPENDENCYPART_SIBL
(17,1),(17,13),0.0564951 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.012595 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.0310226 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.012582 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.00190945 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0158688 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.116287 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.0911457 # DEPENDENCYPART_SIBL
(17,1),(17,24),0.00632467 # DEPENDENCYPART_SIBL
(17,1),(17,25),-0.0577357 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.198523 # DEPENDENCYPART_SIBL
(17,2),(17,3),0.0229071 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.169414 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.0426476 # DEPENDENCYPART_SIBL
(17,2),(17,7),0.0426491 # DEPENDENCYPART_SIBL
(17,2),(17,8),-0.121657 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.122243 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.0108025 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.169862 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.117476 # DEPENDENCYPART_SIBL
(17,2),(17,13),0.0426491 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.115036 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.0757775 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.114491 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.229078 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.0803731 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.186641 # DEPENDENCYPART_SIBL
(17,2),(17,22),-0.0206254 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.279605 # DEPENDENCYPART_SIBL
(17,2),(17,25),0.291252 # DEPENDENCYPART_SIBL
(17,2),(17,26),-0.125617 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.212324 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.128528 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0304902 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.16146 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.162387 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.0504963 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.212773 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.15762 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0304902 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.155179 # DEPENDENCYPART_SIBL
(17,3),(17,15),-0.115915 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.154634 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.100537 # DEPENDENCYPART_SIBL
(17,3),(17,19),-0.0434013 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.366761 # DEPENDENCYPART_SIBL
(17,3),(17,22),0.0105312 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.150511 # DEPENDENCYPART_SIBL
(17,3),(17,25),0.471075 # DEPENDENCYPART_SIBL
(17,3),(17,26),-0.010063 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0681999 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.324365 # DEPENDENCYPART_SIBL
(17,4),(17,8),-0.0132442 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.0132631 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.0385589 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.0174619 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.0283434 # DEPENDENCYPART_SIBL
(17,4),(17,13),0.324365 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0306193 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.0108885 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.0306356 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.01123 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.0388043 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.281878 # DEPENDENCYPART_SIBL
(17,4),(17,22),-0.0633382 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.00905467 # DEPENDENCYPART_SIBL
(17,4),(17,25),-0.219214 # DEPENDENCYPART_SIBL
(17,4),(17,26),-0.121937 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0143545 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0376575 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0568345 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0166541 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0474401 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.0446734 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0143545 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0428399 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.0432991 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0428379 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0436542 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.0983539 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.0650789 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.0515355 # DEPENDENCYPART_SIBL
(17,6),(17,24),-0.0394466 # DEPENDENCYPART_SIBL
(17,6),(17,25),-0.00545805 # DEPENDENCYPART_SIBL
(17,6),(17,26),-0.117044 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.248106 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0114676 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0302626 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0167352 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.00400791 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.020552 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.00409649 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.111365 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.00416525 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0187287 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0296135 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0568157 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0803753 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0502365 # DEPENDENCYPART_SIBL
(17,7),(17,25),0.0191897 # DEPENDENCYPART_SIBL
(17,7),(17,26),-0.0364068 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.149353 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.179856 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.215716 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.136954 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.184749 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.135094 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0935845 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.135076 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.10605 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.0825213 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.16788 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.000192529 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.107989 # DEPENDENCYPART_SIBL
(17,8),(17,25),-0.1124 # DEPENDENCYPART_SIBL
(17,8),(17,26),-0.0939821 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.0298145 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.275969 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.0341079 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.112192 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0311519 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0246547 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0311421 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.0131857 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0410255 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.118433 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.00791123 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.0283607 # DEPENDENCYPART_SIBL
(17,9),(17,25),-0.0473389 # DEPENDENCYPART_SIBL
(17,9),(17,26),-0.0965586 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.195706 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.141516 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.00605505 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.139076 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0950817 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.138531 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.104963 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0174595 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.370476 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.0423693 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.154936 # DEPENDENCYPART_SIBL
(17,10),(17,25),0.474783 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.0232331 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.022657 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.325769 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.024933 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.00861599 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0249492 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.00862843 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0396192 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.284525 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0651224 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.0116563 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.221861 # DEPENDENCYPART_SIBL
(17,11),(17,26),-0.120891 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.169684 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.00694003 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0487215 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.00694986 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.0283549 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0235369 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.102969 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.00325249 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.0131914 # DEPENDENCYPART_SIBL
(17,12),(17,25),-0.031875 # DEPENDENCYPART_SIBL
(17,12),(17,26),-0.0888439 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.00409649 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.111365 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.00416525 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0187287 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0296135 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0568157 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0803753 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0502365 # DEPENDENCYPART_SIBL
(17,13),(17,25),0.0191897 # DEPENDENCYPART_SIBL
(17,13),(17,26),-0.0364068 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0314701 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0220824 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0371325 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0269456 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.101488 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.000215717 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.00441387 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.0303932 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0928886 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.00819666 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0496847 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0290903 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.03939 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0119222 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0516235 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.0160874 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0651056 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0537763 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0221881 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0975256 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.00428827 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.01223 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0264312 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0855908 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0637095 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.485933 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0465133 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0197992 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.460634 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.232374 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.529128 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0495819 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0135994 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.517098 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.1419 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.00372148 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.00994452 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.837866 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.0685036 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.035206 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.21741 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.0885734 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.499066 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.263209 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.0502857 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.112715 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.00812793 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0101308 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0108586 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.00256385 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0027336 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0722557 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.0320113 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.00804901 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0179318 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.00478151 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.263638 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.0225806 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0192316 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.00562704 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.243466 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0369884 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0123822 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0301998 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0326924 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0108162 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0261501 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.376848 # DEPENDENCYPART_SIBL
(19,20),(19,24),-1.06108 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.567018 # DEPENDENCYPART_SIBL
(21,1),(21,9),0.0141875 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.00352611 # DEPENDENCYPART_SIBL
(21,1),(21,12),0.0135058 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.138705 # DEPENDENCYPART_SIBL
(21,1),(21,14),0.0183032 # DEPENDENCYPART_SIBL
(21,1),(21,15),0.012017 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.0183111 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.000880714 # DEPENDENCYPART_SIBL
(21,1),(21,18),0.0432731 # DEPENDENCYPART_SIBL
(21,1),(21,19),0.0455444 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0404662 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.0672192 # DEPENDENCYPART_SIBL
(21,1),(21,24),0.0569221 # DEPENDENCYPART_SIBL
(21,1),(21,25),-0.0369338 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.184246 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.195398 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.153841 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.191971 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.0174667 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.191966 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.0528428 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.154178 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.01309 # DEPENDENCYPART_SIBL
(21,9),(21,22),0.0845658 # DEPENDENCYPART_SIBL
