# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,0,6,3,3,7,0,7,10,12,10,8,17,17,17,15,12,22,20,22,22,17,25,22,24,0,
(15,13),(15,24),0.0568697 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.0330779 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0215812 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0202925 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0672245 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.0144376 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.00520906 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0750396 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.00380441 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.00899545 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.0219555 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.275712 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0312849 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.136087 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0380783 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0136937 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0743041 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0473947 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.136709 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0708863 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0215991 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0340139 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.026609 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0598567 # DEPENDENCYPART_SIBL
(15,17),(15,24),0.0245238 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0232607 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0324908 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0443632 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0961461 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0623454 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.051414 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.034153 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0358946 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0199687 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.0721205 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.040981 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.146907 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.105333 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0148347 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.0631021 # DEPENDENCYPART_SIBL
(15,21),(15,25),0.0968142 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0220602 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.18439 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0466207 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0213429 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0627488 # DEPENDENCYPART_SIBL
(15,24),(15,25),0.210676 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0187175 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0518074 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0510128 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0593333 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.0131581 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0190976 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0210274 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.00790793 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0112247 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0191189 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0151949 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0166354 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0147238 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.012046 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.00829635 # DEPENDENCYPART_SIBL
(17,1),(17,6),0.00845101 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.0288088 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.00382892 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0524659 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.0745784 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.0165306 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.00607449 # DEPENDENCYPART_SIBL
(17,1),(17,13),0.00845101 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.00915108 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0427832 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.00607449 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0492798 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0327942 # DEPENDENCYPART_SIBL
(17,1),(17,20),0.0454651 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0251401 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.0408174 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.00932621 # DEPENDENCYPART_SIBL
(17,1),(17,24),0.000835233 # DEPENDENCYPART_SIBL
(17,1),(17,25),0.0450465 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0276119 # DEPENDENCYPART_SIBL
(17,6),(17,8),0.012576 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0265763 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.010399 # DEPENDENCYPART_SIBL
(17,6),(17,11),0.0206579 # DEPENDENCYPART_SIBL
(17,6),(17,12),0.00416525 # DEPENDENCYPART_SIBL
(17,6),(17,13),0.020552 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0067346 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.00827718 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.00416525 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.000228347 # DEPENDENCYPART_SIBL
(17,6),(17,19),0.025422 # DEPENDENCYPART_SIBL
(17,6),(17,20),-0.0199335 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.1044 # DEPENDENCYPART_SIBL
(17,6),(17,22),-0.00594751 # DEPENDENCYPART_SIBL
(17,6),(17,23),-0.0406761 # DEPENDENCYPART_SIBL
(17,6),(17,24),-0.077623 # DEPENDENCYPART_SIBL
(17,6),(17,25),-0.00629794 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.048359 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.027551 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.165254 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0177527 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0150963 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0568765 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0485403 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0367562 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0150963 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.111343 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0930845 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.00858232 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.119489 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0797674 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.0937449 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0256098 # DEPENDENCYPART_SIBL
(17,7),(17,25),0.00713877 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0640866 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.0923185 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0360638 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.0443699 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.0230193 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0550419 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0366279 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0443699 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.064306 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.0473671 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0962764 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0496852 # DEPENDENCYPART_SIBL
(17,8),(17,22),-0.0637122 # DEPENDENCYPART_SIBL
(17,8),(17,23),-0.0466678 # DEPENDENCYPART_SIBL
(17,8),(17,24),0.230356 # DEPENDENCYPART_SIBL
(17,8),(17,25),-0.0934597 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0840412 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0532994 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.0373067 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.367158 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0415371 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0127925 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0373067 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0887491 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0652926 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.019994 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.150568 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.248882 # DEPENDENCYPART_SIBL
(17,9),(17,23),-0.113976 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.068476 # DEPENDENCYPART_SIBL
(17,9),(17,25),-0.0169574 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0794523 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.0795945 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.0423273 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.00984668 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0189486 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0795945 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0846959 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0660045 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0195014 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0765536 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0223985 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0525409 # DEPENDENCYPART_SIBL
(17,10),(17,24),0.00589598 # DEPENDENCYPART_SIBL
(17,10),(17,25),0.0171864 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0278197 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.381256 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0327236 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0216635 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0278197 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0600916 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0366352 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.0106097 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.122728 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.218672 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.0861358 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.0398285 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.00757309 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.124969 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0728742 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0299469 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.016094 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0142122 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.012147 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.061669 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.111964 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.00893285 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.0682474 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.053326 # DEPENDENCYPART_SIBL
(17,12),(17,25),0.0541562 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0067346 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.00827718 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.00416525 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.000228347 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.025422 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0199335 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.1044 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.00594751 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0406761 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.077623 # DEPENDENCYPART_SIBL
(17,13),(17,25),-0.00629794 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.087392 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.000175575 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.016114 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0337563 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0249845 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0997314 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0324547 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0624799 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0708365 # DEPENDENCYPART_SIBL
(17,14),(17,25),0.0249935 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.113114 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.01907 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0346689 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.13634 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0602765 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.431058 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0189124 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0110858 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.134343 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0142122 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.012147 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.061669 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.111964 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.00893285 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0682474 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.053326 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.0541562 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.101372 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0129948 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0138499 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.361895 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.00389742 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.143166 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.013026 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0100286 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0109881 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.35688 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.00675929 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.14875 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.0100588 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.00843666 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.488626 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0166632 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0174443 # DEPENDENCYPART_SIBL
(17,20),(17,25),-0.0374711 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.222192 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.0468246 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.0560718 # DEPENDENCYPART_SIBL
(17,21),(17,25),0.0188205 # DEPENDENCYPART_SIBL
(17,22),(17,23),0.0257509 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0763133 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0725885 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.105634 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.0142555 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.00548651 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.127521 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.0372495 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.177468 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0164386 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0629008 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.019434 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0528174 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0687155 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.232713 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.150207 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0394191 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.00608871 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0282562 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0211954 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.147949 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0235172 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0659714 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0268333 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0424861 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0382588 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0233485 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0357637 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0577666 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0289075 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.078632 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.00418287 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0556531 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0190332 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.023706 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.14531 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.320326 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.128842 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.134416 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.00486259 # DEPENDENCYPART_SIBL
(20,10),(20,22),0.0400402 # DEPENDENCYPART_SIBL
(20,10),(20,23),0.00414872 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.0352143 # DEPENDENCYPART_SIBL
(20,10),(20,25),0.0290348 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.111691 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.00252941 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.013772 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0588033 # DEPENDENCYPART_SIBL
(20,14),(20,22),0.00600578 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.0404316 # DEPENDENCYPART_SIBL
(20,14),(20,24),-0.10795 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.0452126 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0564697 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.00060498 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0522308 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0219508 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.028501 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0893479 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.0291101 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.00710156 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0622728 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0409471 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0479709 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0852798 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0683942 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0581302 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.00665849 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0397585 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.116738 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.04688 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.00221301 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0232765 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0318142 # DEPENDENCYPART_SIBL
(20,21),(20,25),0.0117052 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0104223 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.0194374 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.00762622 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.0646844 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.013346 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0737894 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0485119 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.0244625 # DEPENDENCYPART_SIBL
(21,18),(21,23),-0.0124391 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.00411412 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0157905 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.00549063 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.00505189 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0253518 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.00205497 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.053972 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0351996 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.107824 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.0142105 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.00965944 # DEPENDENCYPART_SIBL
(21,24),(21,25),0.00872025 # DEPENDENCYPART_SIBL
(22,1),(22,2),-0.0159896 # DEPENDENCYPART_SIBL
(22,1),(22,3),0.00570194 # DEPENDENCYPART_SIBL
(22,1),(22,5),-0.0924081 # DEPENDENCYPART_SIBL
(22,1),(22,7),0.0174889 # DEPENDENCYPART_SIBL
(22,1),(22,8),0.00570194 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.0424118 # DEPENDENCYPART_SIBL
(22,1),(22,10),0.00398049 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.0321138 # DEPENDENCYPART_SIBL
(22,1),(22,12),-0.0919975 # DEPENDENCYPART_SIBL
(22,1),(22,13),-0.0860459 # DEPENDENCYPART_SIBL
(22,1),(22,14),-0.0815487 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.0763998 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.0919975 # DEPENDENCYPART_SIBL
(22,1),(22,17),-0.0604556 # DEPENDENCYPART_SIBL
(22,1),(22,18),-0.144995 # DEPENDENCYPART_SIBL
(22,1),(22,19),-0.0872911 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.0835436 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.0440699 # DEPENDENCYPART_SIBL
(22,1),(22,23),-0.010617 # DEPENDENCYPART_SIBL
(22,1),(22,24),-0.149923 # DEPENDENCYPART_SIBL
(22,1),(22,25),-0.0914962 # DEPENDENCYPART_SIBL
(22,1),(22,26),-0.167223 # DEPENDENCYPART_SIBL
(22,2),(22,3),0.111928 # DEPENDENCYPART_SIBL
(22,2),(22,5),-0.025572 # DEPENDENCYPART_SIBL
(22,2),(22,7),-0.0179749 # DEPENDENCYPART_SIBL
(22,2),(22,8),0.111928 # DEPENDENCYPART_SIBL
(22,2),(22,9),-0.0185701 # DEPENDENCYPART_SIBL
(22,2),(22,10),-0.00616788 # DEPENDENCYPART_SIBL
(22,2),(22,11),-0.0190464 # DEPENDENCYPART_SIBL
(22,2),(22,12),-0.0136735 # DEPENDENCYPART_SIBL
(22,2),(22,13),-0.119526 # DEPENDENCYPART_SIBL
(22,2),(22,14),-0.0143269 # DEPENDENCYPART_SIBL
(22,2),(22,15),0.117403 # DEPENDENCYPART_SIBL
(22,2),(22,16),-0.0136735 # DEPENDENCYPART_SIBL
(22,2),(22,17),-0.0227325 # DEPENDENCYPART_SIBL
(22,2),(22,18),-0.0997153 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.0183756 # DEPENDENCYPART_SIBL
(22,2),(22,20),0.00603901 # DEPENDENCYPART_SIBL
(22,2),(22,21),0.0368733 # DEPENDENCYPART_SIBL
(22,2),(22,23),0.0626968 # DEPENDENCYPART_SIBL
(22,2),(22,24),0.066064 # DEPENDENCYPART_SIBL
(22,2),(22,25),-0.00556143 # DEPENDENCYPART_SIBL
(22,2),(22,26),-0.174698 # DEPENDENCYPART_SIBL
(22,3),(22,5),-0.102716 # DEPENDENCYPART_SIBL
(22,3),(22,7),0.0230779 # DEPENDENCYPART_SIBL
(22,3),(22,8),0.030717 # DEPENDENCYPART_SIBL
(22,3),(22,9),-0.0650798 # DEPENDENCYPART_SIBL
(22,3),(22,10),0.0168674 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.0627075 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.0217485 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.260174 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.085829 # DEPENDENCYPART_SIBL
(22,3),(22,15),0.00888747 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.0217484 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.0220951 # DEPENDENCYPART_SIBL
(22,3),(22,18),-0.202927 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0913302 # DEPENDENCYPART_SIBL
(22,3),(22,20),0.00132789 # DEPENDENCYPART_SIBL
(22,3),(22,21),0.0145543 # DEPENDENCYPART_SIBL
(22,3),(22,23),0.113939 # DEPENDENCYPART_SIBL
(22,3),(22,24),0.0339499 # DEPENDENCYPART_SIBL
(22,3),(22,25),0.0597672 # DEPENDENCYPART_SIBL
(22,3),(22,26),-0.0254202 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.0170658 # DEPENDENCYPART_SIBL
(22,5),(22,8),0.127874 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.0379101 # DEPENDENCYPART_SIBL
(22,5),(22,10),0.0595711 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.0375982 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.0120894 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.244906 # DEPENDENCYPART_SIBL
(22,5),(22,14),-0.0843574 # DEPENDENCYPART_SIBL
(22,5),(22,15),0.00294313 # DEPENDENCYPART_SIBL
