# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,0,6,9,7,9,10,9,18,9,14,15,18,15,20,18,0,
(7,2),(7,6),-0.254465 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0498069 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.02167 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0300102 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0348664 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0498069 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0817625 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0300102 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0872262 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0872262 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.151489 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.000993855 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.131465 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0878494 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0947546 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0277088 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0285192 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0930747 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0340127 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0179474 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0442325 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00643914 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0340127 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0304136 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0442325 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0308015 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0308015 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0352994 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0279268 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.020976 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0313863 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0171256 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.06728 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.161248 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0215408 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0259935 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0157182 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0297949 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0215408 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.020011 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0157182 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0189845 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0189845 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.040427 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0366745 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0181405 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0209791 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.093305 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.11707 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0237381 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00128715 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00703948 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0331583 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0237381 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0130063 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00703948 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0248803 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0248803 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0610818 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0182642 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0225393 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0268633 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.172498 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0549786 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0635845 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0437567 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0275684 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0549786 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0209597 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0437567 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0169359 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0169359 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.232117 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0108791 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0395675 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0177236 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.00401209 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00444855 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0561158 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.000477608 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0383078 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0325122 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0561158 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0198583 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0198583 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0325027 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.103622 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.00466531 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0199529 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0756178 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0572645 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0536442 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0537451 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.00635045 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0572645 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0156881 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0156881 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0456853 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.113129 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0251954 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.015593 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0974 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0576595 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0513786 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0530624 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.156192 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0441717 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0441717 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0165588 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.271628 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0950119 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0442663 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0247499 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00521111 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0401802 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00336856 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0495179 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0495179 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0117371 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0589256 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0530883 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0494227 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.043961 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0325122 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0561158 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0198583 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0198583 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0325027 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.103622 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.00466531 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0199529 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0756178 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0821928 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.101418 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.101418 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00206649 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.197023 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0094751 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.101513 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.122273 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0441717 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0441717 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0165588 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.271628 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0950119 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.0442663 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.0247499 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.108536 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.00228014 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.247403 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.00940192 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.108631 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.121204 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.00228014 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.247403 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.00940192 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.108631 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.121204 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.144196 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0763957 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.108173 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.109396 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.05226 # DEPENDENCYPART_SIBL
(7,18),(7,20),-0.0189363 # DEPENDENCYPART_SIBL
(7,18),(7,21),0.0608318 # DEPENDENCYPART_SIBL
(7,19),(7,20),-0.110487 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.149185 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.121204 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.116968 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0139681 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0885243 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0255778 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.126106 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00379924 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00538394 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0113172 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0202094 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.00171863 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00538394 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0433362 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.104387 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0815028 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.132946 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0623696 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0657515 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0407716 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0892227 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0181318 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0370056 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0407716 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0561649 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0194637 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.105009 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0122324 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0506452 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00764845 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0394815 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0154322 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0326617 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.00764845 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.000330419 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0126208 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0381184 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.116598 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0416047 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.113212 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0230323 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0187833 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0416047 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.00192509 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.048161 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0120588 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0399874 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0239292 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.140796 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00683342 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0399874 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0386811 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.066023 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0403709 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0894942 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0191475 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0324916 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0403709 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0564629 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.000181607 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00970741 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.00285333 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0570688 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.000181607 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0373745 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0248839 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0835975 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0534516 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.174708 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.256163 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0163922 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0334594 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.000685554 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0417994 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00564449 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.057281 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0463586 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0894455 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.152676 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.256163 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.190559 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.100432 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0190831 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.104345 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.199022 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0862429 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.054668 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00258005 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0199227 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0662601 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.054668 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0704979 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0704979 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0476346 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.0466805 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0309889 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0222936 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0918239 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0998095 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.130106 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0377636 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0383642 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00383835 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0731032 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0377636 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0719247 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0719247 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0226139 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.021049 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.102315 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0243645 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0593929 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.101839 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0136375 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0601235 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0206207 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0666823 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0136375 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0636311 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0636311 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0296461 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0844835 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.01882 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0613425 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0465897 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0331577 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.00304506 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0409757 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0657137 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0331577 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0699445 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0699445 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0295794 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.173382 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.219561 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0656551 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.42154 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.143742 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0611805 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.132453 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.42154 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.135947 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.135947 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.21199 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.17396 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.134091 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0377734 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0383617 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00252929 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0688653 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0377734 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0676869 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0676869 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0209173 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0197389 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.425224 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.152317 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.815302 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.128327 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.425224 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.131895 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.131895 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.214821 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.2302 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0448516 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.260768 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0316173 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0749559 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0317636 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0317636 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.257386 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.117225 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.000210297 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.00867338 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.00872572 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.00909479 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.00909479 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.000238894 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.116893 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0397455 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0660425 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0377023 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0377023 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0810392 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.237539 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0801445 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.12167 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.12167 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0357397 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.198797 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0317636 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0317636 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.257386 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.117225 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.120234 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.043344 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.188858 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.043344 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.188858 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.205615 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.112104 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.00494241 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0423937 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0211397 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.137828 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0297864 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.1271 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0300625 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.137581 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.137581 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0279414 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0109802 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.139022 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.129398 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0317344 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.15119 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.120111 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.165911 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0858221 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0466285 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0187263 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0439475 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0439475 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.192817 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.139958 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.043785 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.120195 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0440565 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0876504 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0355945 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0498414 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.217301 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.118242 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.222365 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.222365 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0150686 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0179697 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.222425 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0349561 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00944656 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0986452 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.797532 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0401354 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0516538 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0427799 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0427799 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0918517 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0439988 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0428612 # DEPENDENCYPART_SIBL
