# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(5,9),(5,15),-1.12084 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0102539 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.480721 # DEPENDENCYPART_SIBL
(5,10),(5,15),-1.15091 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.229623 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.466132 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.355323 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.182396 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.316885 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.317529 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0682221 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0682073 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.110833 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0265889 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00632719 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0110912 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0186687 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00777405 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0163862 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00450498 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0234954 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0933849 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00195156 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0923192 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.061842 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00843194 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00894181 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0356515 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.021468 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0540487 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0104829 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00189351 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.306038 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.176321 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.129528 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.138504 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0871846 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0475478 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0791468 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.126013 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00497374 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00844126 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.044295 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0784418 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0333757 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.102021 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00409563 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00198211 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0116682 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0291354 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0566522 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0220933 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0044771 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.254174 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0140253 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0251286 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0807095 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.260035 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0939611 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0318285 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.048345 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.285294 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0265623 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0144835 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.00757852 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00964617 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0235999 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0269211 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.019283 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.000514409 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0121751 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0191255 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0109741 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0186526 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00659161 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0063155 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0115132 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.011756 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00775513 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0164051 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00451222 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.306463 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0128588 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.129513 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.138489 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0871473 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.181388 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0141871 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0500409 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.072735 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00988456 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0197458 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.003648 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.253901 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0139917 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0939274 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0152411 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.202697 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.147775 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0592267 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.187508 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.196392 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.199071 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.121447 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0453391 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0199145 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.00478107 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0193572 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.03767 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0185582 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0922135 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0874437 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.069423 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0121924 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0150305 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.171207 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0295628 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0510633 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0394167 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0276401 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0684129 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.160326 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0653591 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.181355 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.200216 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.202895 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.100511 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0344776 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.000293321 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0184301 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00935383 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0201829 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00297532 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00722446 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0145327 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00581178 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0303957 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00178559 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.181309 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0223415 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0517533 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0153838 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.172154 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.11895 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.122023 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.242324 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.144321 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.144305 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0282486 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.165243 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.217406 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0602638 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0627314 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.188391 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0893421 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0383946 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0293388 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0727255 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0963841 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.206926 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.113731 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0412198 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0280116 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0032722 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0116369 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.040368 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.108263 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0366181 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0142057 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00380607 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00617321 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0313095 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.326685 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.107967 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0212048 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.344706 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.123039 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0890435 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00275784 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0594582 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.178959 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0615294 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0994457 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.153434 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00847195 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.00067521 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0509125 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.00784646 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.176354 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.123959 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.163787 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.170049 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.172729 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.014231 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.146845 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0792081 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0876136 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0851856 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0872019 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0183664 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0922178 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0695939 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0120006 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0148387 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.253483 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0515613 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0382147 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0659987 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0157214 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0490371 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.13651 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.157635 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.173873 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.176553 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00696581 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.135984 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0595869 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0739646 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0751821 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0697148 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0222073 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.00094125 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00966217 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0543436 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0571926 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.157529 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0399721 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.000779558 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0309197 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0592098 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0616774 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0146611 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.042002 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0648468 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0773036 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0924567 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.112153 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.180583 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0122783 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.142726 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0873051 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0956669 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0774652 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0898999 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.012266 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.138124 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0734993 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0885886 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0720015 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0808414 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0597217 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0540253 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0750945 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0430389 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.06211 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0732626 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0636532 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00794819 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.173362 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0853402 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.115031 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.113313 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0422207 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0192152 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0122184 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.060479 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.126612 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.171803 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0182259 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0229992 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0156092 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.146249 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.121062 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00431226 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.00345899 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0346203 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.173443 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0232404 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0282529 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0108721 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0655603 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0373138 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0858006 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0598302 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0126037 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0831349 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0635969 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0381309 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.00266078 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0529518 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0747744 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0225044 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.664159 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.00622135 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.237691 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0456398 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0169927 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0310342 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.178909 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0825468 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.018469 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0888686 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.106983 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.109622 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.519497 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0299091 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0528464 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0581297 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0753955 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.034979 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.659325 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0178434 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.085038 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0235634 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.600247 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0151162 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0176436 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0160934 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.00385683 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0484805 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.088603 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.129706 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0970069 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0950028 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0837605 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.132928 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.145732 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0247304 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0707253 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0453507 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0250309 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.184228 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0162129 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0879645 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.081908 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0254479 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.183827 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0152092 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0738735 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0658333 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.137459 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.160728 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0811167 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0928179 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.114663 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.210513 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0686849 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0808466 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0762828 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0732778 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.000194851 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.186626 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.136447 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.176248 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.180322 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.183001 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0662837 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.176245 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.136447 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0166105 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.00142931 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0312701 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.015925 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0919374 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0692828 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.00955919 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0123973 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.368863 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0700493 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0919374 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0680598 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0396521 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0393311 # DEPENDENCYPART_SIBL
(15,3),(15,4),-0.148999 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.170095 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.184146 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.186825 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0450869 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.170092 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.148999 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0226668 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.0144219 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.013783 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.00911985 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0334382 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.0247173 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0169006 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.00911975 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.174713 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0500693 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.0260039 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0255959 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0567557 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0592232 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0621379 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0118723 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0327858 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.023589 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.013511 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.100111 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.190856 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.064331 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.175047 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.147888 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0245973 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.00738939 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0339681 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0643188 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.175047 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.147587 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0245957 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.00739726 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0249096 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0578727 # DEPENDENCYPART_SIBL
