# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,1,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
(6,1),(6,11),-0.0497956 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0010376 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0328936 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0226634 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00727739 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.104057 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0714669 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0340299 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0676626 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0545759 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00927967 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0141342 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.046182 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0117651 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0165454 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0879279 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0670381 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0329807 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0232381 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0165454 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0473568 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.175993 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0368271 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.144658 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0409628 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0598632 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0705812 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0705092 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0689987 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0351698 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0162219 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0334241 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0890954 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0523325 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0351698 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0983231 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.244262 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0797491 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.345299 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0757341 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.277217 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0305184 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.045546 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0343561 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0385983 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00414662 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0258662 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0619345 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0343561 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0389399 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0627425 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0392465 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0337652 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0353396 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.679175 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0129293 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0389609 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0756296 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0653998 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.222474 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00517064 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0389609 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.224307 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0390626 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.635491 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0504784 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.655124 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.195886 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0253431 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0520393 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0528421 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.485178 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.206314 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0253431 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.485394 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0413349 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.306161 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0879124 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.302885 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0504533 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0210862 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0216635 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.478108 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0243643 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0504533 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.478379 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0417831 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.00322087 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0583285 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.00552119 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0323917 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0250345 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.284829 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0579337 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.235972 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.287347 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00797056 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0464853 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0399568 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0480531 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00721809 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.242089 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00299197 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0309615 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.242354 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0589917 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0125833 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.00313839 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0110394 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.192079 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.00250357 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0463949 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.192332 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.120197 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0516568 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0488353 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0532007 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0289479 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0220343 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.829137 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.060125 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0305525 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0450066 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0290283 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0537374 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.480688 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0355125 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.00309011 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0637844 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.00539043 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.287347 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.00797056 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0464853 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0399568 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0480531 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0554734 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0352032 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0496572 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.033679 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0282397 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.0380239 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0264846 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.0714662 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.294802 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0391451 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.160228 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0280871 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.224254 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0285563 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.219356 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0341164 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0728859 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0683607 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00755016 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0447492 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00884758 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.30001 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0995268 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.248722 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.105696 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0567121 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0241997 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.00146239 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0153862 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0034689 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.00927526 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.00934093 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0115494 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.000390376 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0260239 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0311942 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0121506 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00472969 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0232061 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.00459359 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.016771 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00350711 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0164126 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.00281645 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00141718 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00453103 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0134706 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0187002 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.326643 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0407134 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0526466 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0420798 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0135095 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00913572 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.012442 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.034108 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0159262 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0173255 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0111909 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.037483 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00297828 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0586272 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0536138 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0150735 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0330781 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0182751 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0198985 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0180193 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.00415527 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0179659 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00252678 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0273439 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.00260143 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0026034 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.260273 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0175575 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0655991 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0585083 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0382042 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0535996 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0384069 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0558942 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0443945 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.00600708 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00986298 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.113315 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0802031 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.00828174 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.105366 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.172992 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00245893 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0471924 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0524645 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0635906 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0384178 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0616816 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0467969 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.181405 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.142828 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.034574 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0874326 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0391034 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0223208 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.000783773 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.129748 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0286764 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0427386 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.011977 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0320127 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0344808 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0202441 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0083016 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0291691 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.051326 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.000907507 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0380136 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0278464 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.392027 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.029786 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0228194 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0300377 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.000656955 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0241059 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0207988 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.011682 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.225765 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.00330775 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.00214172 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0251963 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0358982 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00157493 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0958717 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0191328 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0182195 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0385397 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0119299 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0247658 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0338615 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0133686 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0121874 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0144869 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0682042 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0141029 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.00547896 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0042927 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0561427 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0941841 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0159761 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0480786 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.15492 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.029271 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0212444 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.019252 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0395721 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.01118 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0217957 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0343892 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0126187 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00953283 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00690121 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0284202 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0251131 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00540465 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.239323 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.000892012 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0041356 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0196015 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0398425 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0346813 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0769332 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0431683 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0226075 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0770669 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0403563 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.117436 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0480943 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0242173 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0263717 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0482173 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0460525 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.148225 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0193993 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0471175 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.362569 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.104975 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0143049 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0504577 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00835281 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0602911 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.100325 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0454201 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0445755 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0669 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.105055 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0142198 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.024763 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0683022 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.113097 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0292213 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.203458 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0225841 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0111233 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0971743 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0521571 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0128413 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0557248 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0810319 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.0952423 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0374627 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.169396 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0428019 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.377814 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00453484 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00734244 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00837832 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00482419 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.00105435 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0344516 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.00500188 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.000606523 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0088346 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0279269 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.080513 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0101946 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00793022 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0384448 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00636192 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00764339 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.114302 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0347653 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0422519 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.00463839 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.225059 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0226123 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0130703 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.11868 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.051138 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0147883 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0560908 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.102538 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.116748 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0369594 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0638586 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.27606 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0940082 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0609019 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.272407 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.074184 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0986908 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.108 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0464777 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0262398 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.019314 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0107495 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0262947 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0655308 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0178244 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0177792 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.116042 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0392535 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.15587 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.309788 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.123539 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0373653 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0369793 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.042449 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0317907 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.01125 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.134288 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.106372 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.105532 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.192821 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0531697 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0722819 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0386079 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0385959 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.197383 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.123549 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0373403 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0369543 # DEPENDENCYPART_SIBL
