# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
(17,19),(17,21),-0.0423454 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.185218 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.302552 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0335825 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0558092 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0295536 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.0529011 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.0529714 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.162765 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.0252672 # DEPENDENCYPART_SIBL
(18,1),(18,8),0.187272 # DEPENDENCYPART_SIBL
(18,1),(18,9),0.0623137 # DEPENDENCYPART_SIBL
(18,1),(18,10),0.00356001 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0144714 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.0245183 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.0746391 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.0182261 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0496542 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0660898 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.187272 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0456453 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0831099 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.025812 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.0449355 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.0463726 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.0384031 # DEPENDENCYPART_SIBL
(18,1),(18,25),0.0628524 # DEPENDENCYPART_SIBL
(18,1),(18,26),-0.0327304 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.021427 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0323317 # DEPENDENCYPART_SIBL
(18,3),(18,6),-0.00586609 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0332892 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.0391674 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.0252733 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.0264123 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0354005 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.000508072 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0286455 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.0265571 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0182985 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0217734 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.0391674 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0591733 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0681545 # DEPENDENCYPART_SIBL
(18,3),(18,21),-0.0163146 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.0417209 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0346765 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.0769607 # DEPENDENCYPART_SIBL
(18,3),(18,25),-0.0311384 # DEPENDENCYPART_SIBL
(18,3),(18,26),-0.0740282 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0604435 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.0987112 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0698251 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.0757903 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.050372 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.078158 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0527749 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0693689 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0624509 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.0618318 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0849676 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.0548379 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.0757903 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.00231771 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.00915071 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.139361 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.00925831 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.088317 # DEPENDENCYPART_SIBL
(18,4),(18,24),-0.065194 # DEPENDENCYPART_SIBL
(18,4),(18,25),-0.101178 # DEPENDENCYPART_SIBL
(18,4),(18,26),0.0780992 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.031198 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.0018858 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.0389499 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0835242 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.0319391 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.0122901 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.00228804 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.0114734 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.00484626 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0158299 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.00460133 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0389499 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.00552652 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0534066 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.00243837 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0013156 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0196101 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0707871 # DEPENDENCYPART_SIBL
(18,5),(18,25),0.0218694 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0634233 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.00653358 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.265238 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.00246798 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.0133812 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0286693 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.0348917 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.00426928 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.00880117 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0278719 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.00558703 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.265238 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0215364 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.23087 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.175818 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.0525029 # DEPENDENCYPART_SIBL
(18,6),(18,23),-0.0635312 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.632396 # DEPENDENCYPART_SIBL
(18,6),(18,25),-0.0544919 # DEPENDENCYPART_SIBL
(18,6),(18,26),-0.0284029 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.151343 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0532099 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.00554379 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0320057 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0372682 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.079163 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0300184 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0624042 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.0706137 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.151343 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0384698 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.103836 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.0465384 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.0541598 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.032881 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0422081 # DEPENDENCYPART_SIBL
(18,7),(18,25),0.0493607 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.0290276 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0177021 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0498904 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0889189 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0418222 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.0525844 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0257098 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0756452 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0413191 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0969666 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0326103 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.019774 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0793028 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.0916583 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0582476 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0408379 # DEPENDENCYPART_SIBL
(18,8),(18,25),-0.0474663 # DEPENDENCYPART_SIBL
(18,8),(18,26),0.0304471 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.084732 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.0569726 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0737723 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.0666486 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0660295 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0893709 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0590356 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0595756 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.000340543 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.00439942 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.135017 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0112617 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.0897622 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.0673088 # DEPENDENCYPART_SIBL
(18,9),(18,25),-0.102623 # DEPENDENCYPART_SIBL
(18,9),(18,26),0.0761035 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0455102 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0222966 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0548714 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.075502 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.0395906 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0472584 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0486173 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.0421212 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.116295 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0283994 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.026487 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.1417 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.0988892 # DEPENDENCYPART_SIBL
(18,10),(18,25),-0.154562 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.031874 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0280125 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0135922 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.021926 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0242817 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0189365 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0185891 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.148238 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0473654 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.000638539 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0541833 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.0249354 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0240135 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.0198159 # DEPENDENCYPART_SIBL
(18,11),(18,26),-0.0756226 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0577951 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0550592 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0692172 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0445279 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.021826 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0176858 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.104504 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0555987 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.376607 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0523612 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.031051 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.0458488 # DEPENDENCYPART_SIBL
(18,12),(18,26),0.0304664 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0640764 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0511639 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.00995233 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.144096 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.076179 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.14993 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.102728 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.00174887 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0397706 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0770078 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.0490161 # DEPENDENCYPART_SIBL
(18,13),(18,26),0.035733 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0628198 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0706134 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.155401 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0303676 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.098629 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0413311 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0383155 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0485253 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.034106 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.065005 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0219986 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0435975 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0249816 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0353375 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.105257 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0563961 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.38394 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.00341509 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.00333468 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.0023239 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.0125609 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.146038 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0622172 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.156567 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.109366 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.00216636 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.039148 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.0649261 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.0482758 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.040405 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0326103 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.019774 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0793028 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0916583 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0582476 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0408379 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0474663 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0304471 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.234549 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.225022 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.124359 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0461612 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0354738 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.0391452 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0734752 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.753606 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0449227 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0085071 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.120116 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.0114318 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.155279 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0686837 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0218134 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.115563 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0188887 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0417809 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0446807 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0860793 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0456084 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0875672 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.009585 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0652971 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.186757 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.132392 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.114279 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.180633 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.0567181 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.00409362 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.00493023 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.010396 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.00643871 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.184751 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.076072 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.070795 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0145604 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.013337 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0167479 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.012835 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.175022 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0460553 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0415517 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.107248 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.322306 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.337156 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0769159 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.121564 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.135545 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0137658 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0153763 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0454844 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0437524 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.036678 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.254242 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.00900526 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.059233 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.061209 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0401626 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0179184 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0198944 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0532614 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0551586 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.121181 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0160464 # DEPENDENCYPART_SIBL
(20,1),(20,3),0.0352716 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0468822 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.110317 # DEPENDENCYPART_SIBL
(20,1),(20,10),0.107346 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0978922 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.101706 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.022782 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.143055 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.0804075 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.0222983 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0792496 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.154122 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.0278436 # DEPENDENCYPART_SIBL
(20,1),(20,22),0.0422522 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.0250458 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.00937255 # DEPENDENCYPART_SIBL
(20,1),(20,25),0.0580731 # DEPENDENCYPART_SIBL
(20,2),(20,3),0.0391544 # DEPENDENCYPART_SIBL
(20,2),(20,4),0.0128008 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.0834592 # DEPENDENCYPART_SIBL
(20,2),(20,10),0.0896154 # DEPENDENCYPART_SIBL
(20,2),(20,11),0.0670869 # DEPENDENCYPART_SIBL
(20,2),(20,12),0.126399 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.034767 # DEPENDENCYPART_SIBL
(20,2),(20,14),0.00219824 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.123656 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.0354157 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.2232 # DEPENDENCYPART_SIBL
(20,2),(20,19),0.0973436 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.00712063 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0476267 # DEPENDENCYPART_SIBL
(20,2),(20,23),0.0322177 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.109166 # DEPENDENCYPART_SIBL
(20,2),(20,25),0.0520692 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.00563654 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.124488 # DEPENDENCYPART_SIBL
(20,3),(20,10),0.0741271 # DEPENDENCYPART_SIBL
(20,3),(20,11),0.0787666 # DEPENDENCYPART_SIBL
(20,3),(20,12),0.0808801 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.0731721 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.0384358 # DEPENDENCYPART_SIBL
(20,3),(20,15),0.0780342 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.0738208 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.26807 # DEPENDENCYPART_SIBL
(20,3),(20,19),0.0748459 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.0092192 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.0336683 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.0147815 # DEPENDENCYPART_SIBL
(20,3),(20,24),-0.0590614 # DEPENDENCYPART_SIBL
(20,3),(20,25),0.00756644 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0887488 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.155066 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0115336 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.0391721 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0612034 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.00716735 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.0194353 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.061236 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.074992 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.00180592 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.00532991 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0324771 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.036705 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.00154101 # DEPENDENCYPART_SIBL
(20,4),(20,25),0.0309516 # DEPENDENCYPART_SIBL
(20,5),(20,10),0.0829783 # DEPENDENCYPART_SIBL
(20,5),(20,11),0.0333638 # DEPENDENCYPART_SIBL
(20,5),(20,12),0.1066 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.0557465 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.0153507 # DEPENDENCYPART_SIBL
(20,5),(20,15),0.103879 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0563952 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.230148 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.0636116 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.0192511 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0290393 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.0271347 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.101981 # DEPENDENCYPART_SIBL
(20,5),(20,25),0.0469862 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.0666886 # DEPENDENCYPART_SIBL
(20,10),(20,12),0.177723 # DEPENDENCYPART_SIBL
(20,10),(20,13),0.0101206 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.0386045 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.154516 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.010088 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0372843 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.0797874 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.00908286 # DEPENDENCYPART_SIBL
(20,10),(20,22),0.050979 # DEPENDENCYPART_SIBL
(20,10),(20,23),0.0338547 # DEPENDENCYPART_SIBL
(20,10),(20,24),0.0358322 # DEPENDENCYPART_SIBL
(20,10),(20,25),0.0281013 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0588955 # DEPENDENCYPART_SIBL
(20,11),(20,13),0.00858415 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0183664 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0678566 # DEPENDENCYPART_SIBL
