# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,16,16,14,11,16,8,16,17,18,17,20,0,
(6,5),(6,15),-0.00602135 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0657116 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00257412 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00722632 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0575187 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.121368 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.102145 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0731621 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0782858 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.123455 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.12134 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0731621 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.105597 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00765036 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0162911 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0105644 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0753147 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0394287 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.017314 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0710017 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0753147 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0142793 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0689695 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0189046 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0473482 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0415652 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0696369 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00161444 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0473482 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0226008 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0360453 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0872556 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0277295 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.144169 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0100272 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0872556 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0384644 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.019836 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0915584 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0322571 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.015165 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.019836 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.23096 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0427683 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0214151 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0257294 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0516485 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0135907 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.121104 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0431808 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0358727 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0464054 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.00917747 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0861625 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0314055 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0731621 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.105597 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0135907 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0128769 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0174202 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.137035 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.119541 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0785114 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.000947209 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0235223 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.19083 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.182473 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0571498 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0893603 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0194219 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0283223 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0341816 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00845563 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00451063 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0448292 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.630081 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0301026 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.603048 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0403879 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0120839 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.148914 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00668873 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0466819 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0657674 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0243171 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0528701 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0142889 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0243171 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0454641 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00161851 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0163879 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.057394 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.107177 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0976949 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.196972 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0310961 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.102789 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.189551 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.10053 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.102789 # DEPENDENCYPART_SIBL
(8,6),(8,17),9.19654e-05 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.130611 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.163483 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.207994 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0812782 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.13923 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0123008 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.000868765 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.139785 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0576371 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.000868765 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0629775 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0950634 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0771618 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.15769 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0718227 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.344763 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.085607 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0714771 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0269558 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.085607 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.34312 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0366127 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0834266 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0670775 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.356765 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.143942 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.051654 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0506793 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.143942 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.354258 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.103987 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.038607 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0614959 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.32428 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.00436484 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0447515 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.32428 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.828549 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0437002 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.0211363 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.011914 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0123109 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0271619 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.109845 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.216677 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00489058 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.00214012 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0162644 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0526072 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.144877 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.352978 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.11192 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0387503 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0616391 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.171806 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.361549 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0847368 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0480674 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0746653 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.216677 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.00489058 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.00214012 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0162644 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0435657 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.0212226 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0118276 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.00124654 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.0174742 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.071952 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0421456 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.00533173 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0481594 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0592207 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0720532 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0988924 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0216716 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.142271 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0873776 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0438972 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00740306 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0180831 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0198817 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0105018 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0599093 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0162899 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0258121 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0867425 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0914474 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0325129 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0338119 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0193966 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0249741 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0295027 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.14706 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.00625325 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0437041 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.00485685 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0272751 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.185651 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0389296 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0825754 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.230642 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0248329 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.07053 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.123008 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0349656 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0248329 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0172961 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0241989 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0882516 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.126817 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.115098 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.115183 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.222444 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00315615 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0261273 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0440834 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.11925 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0138064 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.144769 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.214739 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0773041 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0330538 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0293168 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.214739 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.254363 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.081796 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0386472 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0074532 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0389171 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.122106 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0346609 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0137535 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.209572 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0731395 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0147004 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0504588 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0336552 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.315091 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0905909 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.00134776 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0336552 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0230122 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0159494 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0559347 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0912859 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0581364 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0503108 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0275072 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.114149 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0259991 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0268027 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0267318 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0214045 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0331415 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0182416 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0035667 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0214045 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.071801 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0487266 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.00206191 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0197773 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.000330915 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.207356 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.10126 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0174289 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0617208 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.00217672 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0553463 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00907093 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.015072 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0117816 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0553463 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0350456 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.022195 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.00947307 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0406726 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.00920867 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.104293 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0347394 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0710721 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0170748 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0332037 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0314971 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0402069 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0332038 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0332037 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0139975 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0013481 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.034608 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0658075 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0343436 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0879648 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0150923 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0475585 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0124839 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.02477 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0110918 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.172169 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0124839 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0732245 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0408396 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.0229294 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.00923334 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.00237737 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0607112 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0269688 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0765258 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0164982 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0262798 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0260925 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0765258 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0866983 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0697572 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0059763 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0278155 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0077073 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0586908 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0103127 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0673591 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00442766 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0697322 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0103127 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0280991 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0182751 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00714886 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0156765 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.007691 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0142998 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0748826 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.124796 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0372824 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0142998 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0198314 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0210877 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0900396 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.128605 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.116886 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0419898 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0134257 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0202268 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0622187 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00860612 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.00226899 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0127253 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0092566 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0124218 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.117388 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0551726 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0511893 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0426548 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0438952 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.118535 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0977783 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.11601 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0285656 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.105474 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0273894 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.120889 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.129262 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.125582 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.133841 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0877113 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.108505 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.151009 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.113917 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.110842 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.119536 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00860612 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.00226899 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0127253 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0092566 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.0124218 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0983104 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.0415955 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.066097 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0417952 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0373203 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0469001 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.0391004 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.124948 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.133207 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.165417 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0115613 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.00342516 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0467241 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0504445 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0355775 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.190585 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0221822 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0605512 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0242773 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0430198 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0331173 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0864539 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0479785 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0295338 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0300137 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0842354 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.138993 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.0628495 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.00232596 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0478658 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0502331 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0505728 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0651191 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0108629 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0413108 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.00816085 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0515793 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.15153 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.169309 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.145199 # DEPENDENCYPART_SIBL
