# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,21,6,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(17,5),(17,13),0.0422908 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0800196 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0799929 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.0337634 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.0221674 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.00695631 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0506742 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.0183974 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.00695631 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.0686461 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.037621 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.00863807 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.493881 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0847189 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.136191 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0282563 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0282495 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.00853677 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.157627 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.0101108 # DEPENDENCYPART_SIBL
(17,7),(17,21),0.011346 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0740668 # DEPENDENCYPART_SIBL
(17,7),(17,23),0.0101108 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0356228 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.0141231 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.580595 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0122113 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0920829 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.129982 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.130655 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.0141175 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.00500264 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0297286 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0154501 # DEPENDENCYPART_SIBL
(17,8),(17,22),-0.0795195 # DEPENDENCYPART_SIBL
(17,8),(17,23),-0.0297286 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0370383 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.4948 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.0835907 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.137878 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0277311 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0277243 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0109547 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.164916 # DEPENDENCYPART_SIBL
(17,9),(17,20),0.0149661 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.013581 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0718456 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.0149661 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.0315613 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0962853 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.0490495 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.0310233 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0310342 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0720248 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0453681 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0784213 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.021799 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0406162 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0784213 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.018469 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.280985 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0528268 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0529396 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.00540922 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.112763 # DEPENDENCYPART_SIBL
(17,11),(17,20),0.178114 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.0912785 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0196987 # DEPENDENCYPART_SIBL
(17,11),(17,23),0.178114 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.00471196 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0741202 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0741087 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0508201 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.016958 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.659777 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0511354 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0797918 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.659777 # DEPENDENCYPART_SIBL
(17,13),(17,24),0.00188298 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.100958 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.012716 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.000341033 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0118302 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.00291411 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0616807 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0118302 # DEPENDENCYPART_SIBL
(17,14),(17,24),0.00430901 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.012716 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0009512 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0112263 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.00547198 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0612521 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0112263 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.00461014 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.162254 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.00779731 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0127691 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0723389 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.00779731 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0323645 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0208397 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.063182 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0426617 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0208397 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.12401 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.162398 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0342352 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.362465 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.132306 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.0280738 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0331442 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.215385 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0588538 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.0750136 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.132306 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.00114077 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.100583 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.106158 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0890821 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0220713 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.0943458 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.0679852 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0577347 # DEPENDENCYPART_SIBL
(19,12),(19,14),0.112049 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.117624 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.109515 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0592125 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.107736 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0430549 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.0539356 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.000766303 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.185005 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.024971 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0649076 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.002176 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0140477 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.185005 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.024972 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0649081 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0002364 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0121857 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0204697 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.00131903 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0017469 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.051177 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0314527 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.00705125 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0374735 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.00253866 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0317148 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0105214 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0589816 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0215517 # DEPENDENCYPART_SIBL
(20,1),(20,5),0.0431217 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0591259 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.055912 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0251092 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.11868 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.0134985 # DEPENDENCYPART_SIBL
(20,1),(20,13),0.00758423 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.00595637 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.00529591 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.0559335 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0251092 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0164357 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.0575673 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.0139608 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.111489 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.0825848 # DEPENDENCYPART_SIBL
(20,3),(20,4),0.0236622 # DEPENDENCYPART_SIBL
(20,3),(20,5),0.00418951 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.197031 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.193743 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.149601 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.210303 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.00165334 # DEPENDENCYPART_SIBL
(20,3),(20,13),0.00822585 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.177766 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.17777 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.193858 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.149601 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0563934 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.194798 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.0185157 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.102486 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.0179844 # DEPENDENCYPART_SIBL
(20,4),(20,5),0.0805478 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.00669832 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.00259157 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.117705 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0821533 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.00850936 # DEPENDENCYPART_SIBL
(20,4),(20,13),0.0358938 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0176093 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0177978 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.00262034 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.117705 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0231343 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.00425171 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0381957 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0701508 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.00481608 # DEPENDENCYPART_SIBL
(20,5),(20,7),-0.0114118 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.00541516 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.30923 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.1558 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.00508352 # DEPENDENCYPART_SIBL
(20,5),(20,13),0.0173312 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.117835 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.11782 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.00543871 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.30923 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0889454 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.00624795 # DEPENDENCYPART_SIBL
(20,5),(20,21),0.0112125 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0281292 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.0525754 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.196285 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.151709 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.207902 # DEPENDENCYPART_SIBL
(20,7),(20,12),0.00127052 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.00415379 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.178784 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.178788 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.1964 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.151709 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0574302 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.19734 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.00540695 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.0958396 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.025616 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.147224 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.202594 # DEPENDENCYPART_SIBL
(20,9),(20,12),0.00778024 # DEPENDENCYPART_SIBL
(20,9),(20,13),0.00195589 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.174683 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.174687 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.18922 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.147224 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.0533306 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.19016 # DEPENDENCYPART_SIBL
(20,9),(20,21),-1.03551e-05 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0904866 # DEPENDENCYPART_SIBL
(20,9),(20,23),-0.015666 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.270274 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.025981 # DEPENDENCYPART_SIBL
(20,10),(20,13),0.116803 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.00912908 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.00912908 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0258992 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.174704 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.00313376 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.0223393 # DEPENDENCYPART_SIBL
(20,10),(20,21),0.00625435 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.0885239 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.00056589 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.00574765 # DEPENDENCYPART_SIBL
(20,11),(20,13),0.10185 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0362741 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.0361815 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.00243141 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.214682 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.028792 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.00363196 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0218015 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0777262 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.0490861 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.013305 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0408435 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.040751 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0314808 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.213189 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.0123029 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0305205 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.0081253 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.112464 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.00988648 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.0692315 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0692308 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.0121573 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0933616 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0611441 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.0137462 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0208328 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0372422 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0119761 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0112006 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0556409 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.032437 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0164334 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0572747 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0120985 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.111516 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.0845618 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0556411 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0324366 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0164335 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0572749 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0143495 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.11147 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0842609 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.142554 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0482752 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.185366 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.00221931 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0925152 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0242837 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.00313376 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0223393 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.00625435 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0885239 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.00056589 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0602061 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0212349 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0738465 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0692549 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.00638033 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0909271 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.00304233 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0346726 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0366275 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0395066 # DEPENDENCYPART_SIBL
(21,2),(21,3),0.0204174 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0283235 # DEPENDENCYPART_SIBL
(21,2),(21,5),-0.00414316 # DEPENDENCYPART_SIBL
(21,2),(21,6),0.0177648 # DEPENDENCYPART_SIBL
(21,2),(21,7),0.0301537 # DEPENDENCYPART_SIBL
(21,2),(21,8),0.0282151 # DEPENDENCYPART_SIBL
(21,2),(21,9),0.0306164 # DEPENDENCYPART_SIBL
(21,2),(21,10),0.32519 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.0544509 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.041004 # DEPENDENCYPART_SIBL
(21,2),(21,13),0.0386767 # DEPENDENCYPART_SIBL
(21,2),(21,14),0.0177362 # DEPENDENCYPART_SIBL
(21,2),(21,15),0.0183979 # DEPENDENCYPART_SIBL
(21,2),(21,16),0.0294797 # DEPENDENCYPART_SIBL
(21,2),(21,17),0.32519 # DEPENDENCYPART_SIBL
(21,2),(21,19),0.0170354 # DEPENDENCYPART_SIBL
(21,2),(21,20),0.0389763 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.13128 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.215333 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.122841 # DEPENDENCYPART_SIBL
(21,3),(21,4),-0.0566157 # DEPENDENCYPART_SIBL
(21,3),(21,5),-0.0176184 # DEPENDENCYPART_SIBL
(21,3),(21,6),-0.256073 # DEPENDENCYPART_SIBL
(21,3),(21,7),-0.00935528 # DEPENDENCYPART_SIBL
(21,3),(21,8),-0.251947 # DEPENDENCYPART_SIBL
(21,3),(21,9),-0.00876038 # DEPENDENCYPART_SIBL
(21,3),(21,10),0.131275 # DEPENDENCYPART_SIBL
(21,3),(21,11),-0.0986078 # DEPENDENCYPART_SIBL
(21,3),(21,12),-0.0177878 # DEPENDENCYPART_SIBL
(21,3),(21,13),0.0700534 # DEPENDENCYPART_SIBL
(21,3),(21,14),-0.256074 # DEPENDENCYPART_SIBL
(21,3),(21,15),-0.256077 # DEPENDENCYPART_SIBL
(21,3),(21,16),-0.0101722 # DEPENDENCYPART_SIBL
(21,3),(21,17),0.131275 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0221405 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.0710898 # DEPENDENCYPART_SIBL
(21,3),(21,22),-0.110589 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.00858982 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.0794063 # DEPENDENCYPART_SIBL
(21,4),(21,5),0.0489803 # DEPENDENCYPART_SIBL
(21,4),(21,6),-0.0121632 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.0309298 # DEPENDENCYPART_SIBL
(21,4),(21,8),-0.0115499 # DEPENDENCYPART_SIBL
(21,4),(21,9),-0.0300271 # DEPENDENCYPART_SIBL
(21,4),(21,10),0.0476272 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.0237521 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.0260622 # DEPENDENCYPART_SIBL
(21,4),(21,13),0.015054 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0121644 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.0123517 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.0311771 # DEPENDENCYPART_SIBL
(21,4),(21,17),0.0476272 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.0424555 # DEPENDENCYPART_SIBL
(21,4),(21,20),0.0153529 # DEPENDENCYPART_SIBL
(21,4),(21,22),-3.18922e-05 # DEPENDENCYPART_SIBL
(21,4),(21,23),-0.0674415 # DEPENDENCYPART_SIBL
(21,4),(21,24),-0.194372 # DEPENDENCYPART_SIBL
(21,5),(21,6),-0.11271 # DEPENDENCYPART_SIBL
(21,5),(21,7),-0.0283271 # DEPENDENCYPART_SIBL
(21,5),(21,8),-0.106341 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.0264755 # DEPENDENCYPART_SIBL
(21,5),(21,10),-0.0282231 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.0987422 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.101833 # DEPENDENCYPART_SIBL
(21,5),(21,13),0.049736 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.112727 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.11271 # DEPENDENCYPART_SIBL
(21,5),(21,16),-0.0276137 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.0282231 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.0376015 # DEPENDENCYPART_SIBL
(21,5),(21,20),0.0500383 # DEPENDENCYPART_SIBL
(21,5),(21,22),0.0086483 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.034513 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.0972958 # DEPENDENCYPART_SIBL
(21,6),(21,7),0.0476471 # DEPENDENCYPART_SIBL
(21,6),(21,8),0.0352049 # DEPENDENCYPART_SIBL
(21,6),(21,9),0.0481099 # DEPENDENCYPART_SIBL
(21,6),(21,10),0.332183 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.0474611 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.0340143 # DEPENDENCYPART_SIBL
(21,6),(21,13),0.0456664 # DEPENDENCYPART_SIBL
(21,6),(21,14),0.024726 # DEPENDENCYPART_SIBL
(21,6),(21,15),0.0253877 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.0469731 # DEPENDENCYPART_SIBL
(21,6),(21,17),0.332183 # DEPENDENCYPART_SIBL
(21,6),(21,19),0.0345288 # DEPENDENCYPART_SIBL
(21,6),(21,20),0.0459661 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.124291 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.208343 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.114919 # DEPENDENCYPART_SIBL
(21,7),(21,8),-0.260247 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.0184889 # DEPENDENCYPART_SIBL
