# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,12,16,12,18,16,18,0,
(5,4),(5,10),-0.116119 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0780223 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.120538 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0077989 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0109345 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.110968 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0077989 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0356994 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0144973 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0172881 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0484027 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0107271 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.104512 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0284505 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.115553 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.016371 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0284505 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00715529 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0998144 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0154655 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0135573 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.010241 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00538907 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.234205 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0174439 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00538907 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0478698 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.038119 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00178428 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0363721 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0699245 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.316878 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0321311 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0699245 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0232074 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00556195 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0222507 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.00961228 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0778587 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0577388 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.00961228 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.03569 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0507674 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0469827 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.205999 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0214355 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0469827 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0100602 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0080048 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.252025 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0129435 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0080048 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0284505 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.115553 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.016371 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0284505 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.30597 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0264382 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.061653 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.00381624 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.00832743 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.00607482 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.117465 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.227367 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.16459 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.117549 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.041999 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0099639 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0898533 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0142092 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00231012 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.176765 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.157512 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.104483 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0321296 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0334036 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0492433 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00622203 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0112558 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.128364 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0943491 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.045764 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0210229 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0317572 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.112901 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0185346 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.037469 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0819401 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00601957 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00227269 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0665771 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0072536 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.036631 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0210481 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0624052 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0210745 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00109975 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0412259 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0648846 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0857111 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0395856 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0153225 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0117015 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.114619 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0455664 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.028122 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.01211 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0515624 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0663557 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.038864 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0316105 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0983174 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.24345 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.068986 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0177071 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0402361 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.230071 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.00328875 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0175651 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0355037 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.044697 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.150402 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.335305 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0518584 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0189646 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0137395 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0322891 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0211651 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0486556 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.059667 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.085921 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0119267 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0154627 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0347031 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0751543 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0382743 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0520168 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0589368 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0331421 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.095264 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0855209 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.440012 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0433539 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0863295 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0184032 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.143537 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.34175 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0343157 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00278885 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0148421 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0249139 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.00171222 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.129604 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0347588 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0854523 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.132125 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.828232 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0243015 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0124226 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0757911 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.282183 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0135289 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.25591 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0124782 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.318381 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0698813 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.236218 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.350455 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.00817727 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.216135 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.100244 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.506927 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.148916 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0775521 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0968666 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.166258 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0570672 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0838952 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.178848 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0252358 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0792568 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0838952 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.055589 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0780425 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0178087 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0258994 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0359513 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0336982 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.128894 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0929388 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.126202 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0336982 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0147974 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.110921 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.00697313 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0406945 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0118508 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0950374 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00752862 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.000508318 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0118508 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.000650345 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0271562 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00262339 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0206105 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0335089 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0117129 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0862223 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0206105 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0142051 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00206279 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.10727 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0370281 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0488164 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0452101 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.10727 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0254445 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.00922615 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0134548 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.00747078 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0239995 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.00174713 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0781224 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0575455 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.030923 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0538717 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0900137 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.20724 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0202632 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00889725 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0191839 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.252761 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0136102 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0207838 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.116318 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0171694 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0781224 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.0575455 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.000776993 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0024702 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.193059 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0106502 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0102711 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0728051 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0126065 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0167377 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0195195 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.114724 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.130209 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.141242 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.099969 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0510703 # DEPENDENCYPART_SIBL
(9,1),(9,17),-9.31372e-05 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.131867 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.141242 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.12415 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0251009 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0200419 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0373372 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0626184 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0148824 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.00800315 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0344693 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0136307 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.151176 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0268753 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00608699 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0183705 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.128846 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.151176 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0641503 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0558242 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0746916 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0685844 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0311049 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0600703 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.663155 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.00874877 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0211047 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0228466 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0466794 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.139107 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0309873 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0211047 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0527404 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0384015 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.03732 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0305752 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.272687 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00176149 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0387007 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0137875 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0223266 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0329162 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0352261 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.00121655 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0137875 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0279902 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0574299 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0367567 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0272866 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0401475 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.015915 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.20941 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0294978 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0260702 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0212617 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.18708 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.20941 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0118325 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.00366919 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0529261 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00195968 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.568664 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00140069 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0313935 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0054996 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0245187 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0111091 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.00140069 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.081954 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.101423 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0606393 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00719361 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0799665 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0140363 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.140438 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00302365 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0698205 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0799665 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.022355 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0284173 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0137219 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.156459 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0148551 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0103411 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0299925 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.134128 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.156459 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0680008 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0737967 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.076833 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0049147 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0504202 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.126466 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0764627 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.076833 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.026587 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0181333 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0481304 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.166603 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0170782 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0183956 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0181333 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0373667 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0177406 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.00824668 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0181289 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0375782 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0373667 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0352269 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0716373 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0475633 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0197238 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0195038 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0306044 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0318384 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0607697 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0590634 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0518726 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.02621 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0260042 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.0483912 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0534924 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0146527 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0781335 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.057184 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0739342 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.117135 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0652111 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0168492 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.116236 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0791274 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0183031 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0520769 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.337798 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.020502 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0299173 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.297648 # DEPENDENCYPART_SIBL
(10,11),(10,14),-1.02236 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.321914 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.758049 # DEPENDENCYPART_SIBL
(10,11),(10,18),-1.0205 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.716856 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.124635 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.565374 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.716862 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.305606 # DEPENDENCYPART_SIBL
(10,14),(10,16),-1.33607 # DEPENDENCYPART_SIBL
(10,14),(10,18),-1.37913 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.482199 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.548406 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.619362 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0948821 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0299287 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0324005 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.113384 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0697494 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0341374 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.112125 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.283291 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0123873 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.196032 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.137255 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.00919703 # DEPENDENCYPART_SIBL
