# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(5,3),(5,7),0.00229382 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00915187 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0651311 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0130931 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0737198 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0359961 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0104277 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00915187 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0793751 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0359961 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0101461 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0120637 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0960946 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0283047 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.048728 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.03437 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0967739 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0160599 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0947484 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0283047 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.109744 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0160599 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0944249 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0306011 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0233828 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0904021 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0384053 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0351639 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0591043 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0527338 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0233828 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0363049 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0591043 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0532829 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0415883 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.059664 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0185589 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0282153 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0636031 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.131153 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0415883 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0307014 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0636031 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.131717 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.13002 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.210788 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.107205 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.205611 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.109649 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.137548 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.10938 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.205611 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.110211 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0368431 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.244929 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0156787 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0627682 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00198938 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.250619 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0156787 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0622191 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0547322 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0945099 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0229286 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0340394 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0569091 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0945099 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0210869 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00344704 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0629454 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.00981637 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.22731 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.00344704 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0623963 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0726946 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0912414 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.113277 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.195843 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.0745363 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0383869 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0497422 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0598066 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.134421 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.10938 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.205611 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.110211 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.00566213 # DEPENDENCYPART_SIBL
(5,19),(5,22),0.0601746 # DEPENDENCYPART_SIBL
(5,20),(5,22),-0.0745363 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0238097 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.110517 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00957201 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.104107 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00715284 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00976944 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0727836 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0722712 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.049702 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.056915 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0219609 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0572616 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0289887 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0511104 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0427233 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0545048 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.124092 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.059434 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0564869 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.047462 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.055263 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0418977 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.128241 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0248234 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0219521 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0134072 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.27791 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.279902 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0986885 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0975745 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.260037 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0914265 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0899716 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0525049 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.00827368 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0593966 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0642866 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.688774 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0384458 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.657795 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.640563 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0643466 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.100285 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.117293 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.036572 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0351365 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0673507 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0229771 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0765012 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.076448 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0179791 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0500722 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00423669 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0050662 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0993585 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0408866 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0964096 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0936042 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0772545 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00490386 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0406512 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0186771 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0369492 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.00168652 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0008753 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0657802 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0580307 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.677135 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0416604 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.628689 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.610218 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00839426 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.100909 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0206317 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.113524 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.119384 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0199769 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0770299 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0114467 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0242433 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00675212 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.367038 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.368796 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0791187 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.07912 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.364223 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.00853071 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00154429 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0224229 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.29245 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.145148 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.094246 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0735436 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0314804 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0339939 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0929506 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00148905 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0261954 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0202527 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00188412 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.034645 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.00376057 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0261954 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0205367 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.238464 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0710833 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0188831 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0600439 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0638383 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.156387 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.122239 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.044245 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0835387 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.031411 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0753632 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0135887 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0518175 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.265463 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.040158 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.0753632 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0119825 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.111498 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.00724497 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0166439 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0191832 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0122082 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.122193 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0642094 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0249778 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0574267 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0872477 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00265095 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.026828 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.278386 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0630919 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0872477 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.00293486 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0266962 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0431832 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0382236 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0887622 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0488662 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0177214 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0222691 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0529642 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.00510579 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0677844 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.027063 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.152055 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0659434 # DEPENDENCYPART_SIBL
(9,4),(9,20),0.00510579 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.0674582 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.146841 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0805228 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.10892 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0288924 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0462979 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0890182 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0132059 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0373219 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0176828 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0402254 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0372971 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0166671 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0373219 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0179668 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.112254 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.253351 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0797579 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0648821 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.379073 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00323785 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0849887 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0172854 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.054784 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.00786748 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.017569 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0849887 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0175724 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.148588 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.117774 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.070227 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.333611 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0126514 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.127668 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0254134 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00978947 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0382049 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00599892 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.127668 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0257641 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00969343 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00478331 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0128883 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0301238 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0067205 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0230658 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0963895 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.100979 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0458468 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0067205 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.0201376 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0959757 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.185913 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0934866 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0956596 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0257183 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0301615 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0519995 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0946146 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0956596 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0262706 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.058271 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0249778 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0157156 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0790555 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0445882 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.00705005 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.022814 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0157156 # DEPENDENCYPART_SIBL
(9,11),(9,22),0.0772075 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.383008 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.127855 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.208129 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0743167 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.168754 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.379086 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.127855 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.208682 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0919185 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0405857 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.00922915 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0237191 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.244343 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0919185 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0400334 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.012118 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0955582 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0274224 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0235133 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0830402 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.013966 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.00734954 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.074546 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.00928757 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0396554 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.134412 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0717972 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0923043 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.183705 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.116078 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.109517 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0399441 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.159731 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.0897045 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.0378135 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.013966 # DEPENDENCYPART_SIBL
(11,12),(11,16),-1.03132 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.235383 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.218154 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.329364 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.389969 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0459258 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0268353 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00783342 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0166611 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.00494741 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0519202 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.0117591 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0531878 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.25008 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.0979418 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0358797 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0904452 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.250755 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0638945 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0182127 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.109567 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0215991 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0340392 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.0158932 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0722866 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.0187524 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0215991 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0343209 # DEPENDENCYPART_SIBL
(14,1),(14,23),-0.0269096 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.064294 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.00577336 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.0226866 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0115619 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.0496383 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.000723973 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.00641499 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.028598 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0249324 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0591514 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0189551 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0348978 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.157386 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.046713 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0591514 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0192367 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.0438785 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0623049 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0138165 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0119501 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.12384 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.150469 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.00867377 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.100766 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0049752 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.026798 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0218509 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.0341563 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.00330241 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.0440597 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.026798 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.0215275 # DEPENDENCYPART_SIBL
(14,4),(14,23),-0.165824 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0997347 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.022202 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.125867 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.269277 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0656874 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.012548 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.107471 # DEPENDENCYPART_SIBL
