# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=0,3,1,3,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(5,7),(5,18),-0.0165537 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0388442 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0611649 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.06086 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0496338 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0593345 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.032887 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0325445 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0148983 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.017038 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0534427 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00701335 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.00997355 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00701991 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00998011 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.268344 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00196753 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0185176 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.147223 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0194805 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0184455 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.21138 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0352653 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0530988 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0436862 # DEPENDENCYPART_SIBL
(6,1),(6,12),9.28708e-05 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.181918 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0359063 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.181964 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0259269 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.238357 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0865496 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00588486 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00483211 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0161283 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.13422 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0129591 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0258879 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.224161 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0281821 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0263619 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0169492 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00569308 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0300752 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0514711 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.212934 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.172393 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0429369 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0425329 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0884842 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0240993 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.224131 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0276976 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0284077 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.018995 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00486534 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00955278 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0242443 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00821713 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00817112 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0210582 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.039904 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0672009 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0668959 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0506199 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0367551 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0364126 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0149962 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0606445 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00715501 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00716157 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0341689 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00154427 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0354104 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00159208 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0246145 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0214181 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0347653 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0148637 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0868098 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0135716 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.570065 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0693983 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0387995 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0309866 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00854495 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0336175 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0417758 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00202556 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0712868 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0206749 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0222327 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.092446 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0288044 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0358317 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.00929169 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0350116 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0233455 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.000267766 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.056284 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0565619 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.140739 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.104151 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0429447 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.20074 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0279942 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.128844 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.000633688 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.056079 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.140739 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.103694 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0409301 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.199948 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0262478 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.128052 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.000630646 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.150294 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.105605 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0461865 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.201931 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.028172 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.130036 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.00254533 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.138643 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.368069 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.113808 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0681205 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0132447 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0733479 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.154248 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.504903 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.000769188 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.500344 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.276127 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.508461 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0425894 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.504439 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.410888 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0564961 # DEPENDENCYPART_SIBL
(8,12),(8,18),-1.157 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.842869 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.470166 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.344411 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.809203 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.150257 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.149725 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0775431 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.149725 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0776829 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0873815 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.316038 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.188303 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.136146 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.089859 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.193385 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0465485 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0938701 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.109516 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.089859 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0147863 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00776585 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0459226 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0788622 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0187882 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0342305 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00248774 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.010102 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0788622 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0271192 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00716536 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0348782 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0618605 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0371564 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00142785 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0101256 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0348786 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.30477 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0167023 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0113074 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0488486 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0132613 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.268245 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0167023 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.254252 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0325975 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0155084 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0104574 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.00624476 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.108934 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.115551 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0416125 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00168318 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.00807477 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0228807 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.304528 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0609238 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.01578 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.0190287 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0766628 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.00293863 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.0628622 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0979778 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0137865 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.250406 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.115551 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0194805 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0194146 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.00751497 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0190245 # DEPENDENCYPART_SIBL
(11,1),(11,12),9.35366e-05 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00396184 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0601628 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0133832 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0114869 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.012993 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00486467 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.00360592 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0292808 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0114869 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0114066 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00488976 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.00360779 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0277321 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.236621 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0377872 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0832786 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00784128 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00527459 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.00323915 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0216243 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0167013 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0113169 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0325763 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.191577 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0714598 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.187708 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.187774 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.148664 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0314158 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.188173 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.188106 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.121084 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.173625 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0692851 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.112429 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0677316 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.119593 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.12216 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.176458 # DEPENDENCYPART_SIBL
(12,1),(12,23),0.181496 # DEPENDENCYPART_SIBL
(12,1),(12,24),0.158405 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0576901 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.183242 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.183308 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.134284 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0375755 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.183707 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.18364 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.110696 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.106606 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.043919 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.0711649 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.0288502 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.103655 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.111772 # DEPENDENCYPART_SIBL
(12,3),(12,21),0.0961451 # DEPENDENCYPART_SIBL
(12,3),(12,23),0.120667 # DEPENDENCYPART_SIBL
(12,3),(12,24),0.0975764 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0171141 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0171141 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.246425 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00842446 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0171565 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0173218 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.011546 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.170426 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.00613419 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0977496 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0474313 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.00789289 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.012482 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.0687197 # DEPENDENCYPART_SIBL
(12,4),(12,23),0.174895 # DEPENDENCYPART_SIBL
(12,4),(12,24),0.179094 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.18282 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.134281 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.0375732 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.183219 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.183153 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.113954 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.111095 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0486082 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.0762501 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0319819 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.10608 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.11503 # DEPENDENCYPART_SIBL
(12,5),(12,21),0.0984854 # DEPENDENCYPART_SIBL
(12,5),(12,23),0.125157 # DEPENDENCYPART_SIBL
(12,5),(12,24),0.102066 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.137298 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0377682 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.184804 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.184738 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.113954 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.109544 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0486063 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0762507 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0319553 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.106011 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.11503 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0984842 # DEPENDENCYPART_SIBL
(12,6),(12,23),0.123605 # DEPENDENCYPART_SIBL
(12,6),(12,24),0.100515 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0713721 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0668812 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0693574 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0709049 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.131912 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.192641 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0108354 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0116811 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0628634 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0725177 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.0727392 # DEPENDENCYPART_SIBL
(12,7),(12,23),0.142424 # DEPENDENCYPART_SIBL
(12,7),(12,24),0.147942 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.10324 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.103453 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0475271 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0858483 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0766907 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0749498 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.132053 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.104387 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0465911 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0379696 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.0689777 # DEPENDENCYPART_SIBL
(12,8),(12,24),-0.0725822 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.185069 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.113876 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.10406 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0475856 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0762065 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0318291 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.105934 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.114952 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.098281 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.118121 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0950303 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.113859 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.111195 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.048526 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0759643 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0319061 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.105985 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.114935 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0983905 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.125256 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.102165 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0793881 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0277354 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0870816 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0447725 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0709867 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.319159 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0672877 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0775205 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0739935 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0551829 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0618799 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.041424 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0854448 # DEPENDENCYPART_SIBL
(12,14),(12,20),0.0642791 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.173891 # DEPENDENCYPART_SIBL
(12,14),(12,23),-0.0344265 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.0306005 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0323221 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0891311 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.150308 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0292398 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.122444 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.0605465 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.0570179 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0661009 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0555977 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.123823 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.0176979 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.152243 # DEPENDENCYPART_SIBL
(12,17),(12,24),0.155793 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.00520654 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0550873 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.134759 # DEPENDENCYPART_SIBL
(12,18),(12,23),0.0600851 # DEPENDENCYPART_SIBL
(12,18),(12,24),0.065702 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0351 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0468283 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.0577951 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0615732 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.0672848 # DEPENDENCYPART_SIBL
(12,20),(12,23),-0.0775148 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.0739878 # DEPENDENCYPART_SIBL
(12,21),(12,23),0.0428574 # DEPENDENCYPART_SIBL
(12,21),(12,24),0.0466714 # DEPENDENCYPART_SIBL
(12,23),(12,24),-0.0312774 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0176488 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00299331 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0221982 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.2324 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.232431 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.00886627 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0127333 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0193612 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.0428357 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.066342 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.116285 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0167852 # DEPENDENCYPART_SIBL
