# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,11,8,11,6,11,11,16,16,13,16,0,
(6,5),(6,7),-0.365338 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0733479 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.336671 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.128684 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00625765 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0681205 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00625765 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.410833 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0814871 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.037885 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.49582 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0418385 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.49582 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0803628 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0403172 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.405601 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0175821 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.405601 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0420398 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.49177 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0025253 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.49177 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.349373 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.046972 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.349373 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.00170439 # DEPENDENCYPART_SIBL
(6,11),(6,16),-1.12027 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.466132 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.185863 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.135291 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0152694 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.144881 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0630805 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.144881 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0339939 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0240889 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0403924 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.107996 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0965703 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0553702 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0697461 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0134314 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0061148 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0553702 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.140855 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0209646 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0364835 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0477998 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00605505 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.140624 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.138531 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.140878 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0243198 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.481874 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.02745 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0119204 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0222397 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.481874 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.164075 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0232331 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00400138 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0582157 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0822655 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0192936 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00123976 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0442751 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0164647 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0462828 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0303046 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0130309 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0164647 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0294246 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0915816 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00605505 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.140624 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.138531 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.140878 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0243198 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.481874 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.02745 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0119204 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0222397 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.481874 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.164075 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0232331 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.248106 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00416525 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00893365 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0360377 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0233031 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00490318 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0343656 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0128349 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0233031 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0469956 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0364068 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.135076 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.104068 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0176863 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.112738 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0159034 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0209064 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0351673 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.112738 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.134202 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0939821 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.081495 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0210491 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0234246 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0422063 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0305579 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0208999 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0234246 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0334687 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0855908 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0222679 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.476162 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0419085 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0128823 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0202966 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.476162 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0309823 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.210467 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.192601 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0509384 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0237379 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0563418 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.192601 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.127833 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0481231 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00769804 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0220343 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0134426 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.828865 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0316586 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0576205 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0111349 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0371822 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.222889 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.0520231 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0770793 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0636416 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.284829 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.031726 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0987846 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.477227 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.191592 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.163388 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0316586 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0604188 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.215858 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0303009 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0331442 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0326024 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0253753 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0223846 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0331442 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.110895 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0166604 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00603256 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0298342 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0631937 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0166604 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0500328 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0170015 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.015202 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0161974 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.255515 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00063917 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0209168 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0695972 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00102994 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0368905 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0298241 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.00116389 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0259273 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0122391 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0332438 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.00063917 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.116056 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.020848 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0373232 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00687622 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.000146308 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.11829 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0177806 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0241978 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00801343 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0183609 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0398961 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0311738 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.00593743 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00635478 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0962896 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.00173953 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0386016 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0394038 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0319525 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00422802 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0389682 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0910492 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0220843 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0910492 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.161957 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0210153 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0318265 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0220843 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0343443 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.000483404 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.00588669 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00706366 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.103761 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0185041 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0373778 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0158238 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.106656 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0270831 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.232479 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.091809 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0862211 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.011061 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0270831 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0132931 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.032052 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.01319 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0113785 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0660287 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.014528 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0116506 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0094394 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0386911 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0932579 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.104715 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.150717 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0880388 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.108618 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0529558 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.105643 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00707667 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00948827 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0100272 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0143804 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0187148 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00509615 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0654297 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.091809 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0862211 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.011061 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0270831 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0132931 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.032052 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.01319 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0113785 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0660287 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.014528 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0116506 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0094394 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0386911 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0143325 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0268348 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0343651 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.024026 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0208832 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00844098 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.181764 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0298796 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0241556 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00056589 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0173135 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0253276 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.115577 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.118986 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0819179 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0976684 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.107807 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.120897 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.134184 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.119028 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.162868 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.199337 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.201299 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0390471 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.16343 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.00128804 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00175071 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00191079 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00484906 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0169973 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0156261 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0222284 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0235203 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0529558 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.105643 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00707667 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00948827 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0100272 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0143804 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0187148 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.00509615 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0654297 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0164066 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.00706807 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00476286 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00116071 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0218406 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0243112 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0492521 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0241152 # DEPENDENCYPART_SIBL
(11,10),(11,12),-7.23933e-05 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0316874 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.046731 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.00664906 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.00287768 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0160459 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.168115 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.00289377 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0866637 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0362565 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0228091 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0720922 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0657865 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0822795 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0780258 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0995844 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.104668 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.111555 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0170447 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00820072 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0603564 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0721191 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0579923 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.101739 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.143064 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.03916 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00832547 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.116463 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0195311 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.00609423 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0107237 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.227246 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0936959 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.230734 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.256841 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.332756 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.17336 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0188853 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0572341 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0408995 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0443694 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0102949 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0170254 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00327486 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.128335 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0568355 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0716381 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0321088 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.00935614 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0152651 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00977595 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.106334 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0743423 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.021963 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0220523 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0559442 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0185128 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.00892988 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00262813 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00361711 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0258937 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.184989 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0293243 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0248207 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0152475 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0508431 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0394721 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0239293 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0319525 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.00420123 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0168178 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0654883 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0389954 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.278123 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.00403631 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.278123 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0887157 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0422954 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0257418 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.00403631 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0104441 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0366476 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.278123 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.00934704 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0283401 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0141854 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.212145 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0612311 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.0911872 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0131374 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0041147 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.063602 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0381268 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0498117 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0131374 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0532689 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0557865 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0041147 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0633775 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0668793 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.00781472 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.66662 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0210749 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.00692759 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0151316 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.173551 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0222132 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.00779421 # DEPENDENCYPART_SIBL
