# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(5,14),(5,22),-0.234678 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00473584 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0551545 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.112492 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.0144407 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.209144 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.110904 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0898055 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0377348 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.00183614 # DEPENDENCYPART_SIBL
(5,21),(5,22),-0.0152301 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00405232 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.237014 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0659324 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0383592 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0397393 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0844595 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0403973 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.116208 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0155846 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0352555 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0397393 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00618866 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0309774 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0043276 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.276798 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0490977 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0395999 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0252479 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0402121 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0318848 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0708726 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0291778 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0485526 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0252479 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0112994 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0402196 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.042696 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.118947 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.075578 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0100511 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0894951 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0793914 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0954431 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0217311 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0816716 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0100511 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0881248 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.075367 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0147926 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0305972 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0175151 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0233686 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0321269 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0502892 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0078513 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0317789 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0175151 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0172129 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0343276 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0162131 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0542281 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0559673 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0806567 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.121153 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00379523 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0799731 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0542281 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.115269 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0781864 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.00880121 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0302712 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0144312 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0292071 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00487405 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0137114 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.00185783 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0299717 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0128423 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0123532 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00270093 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0235209 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0391827 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00750786 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0726756 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0121233 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.00446993 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0462186 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.121187 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00201255 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0763241 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0491502 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.12426 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0745374 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.00701852 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0512897 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0319037 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.02867 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0782267 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0310344 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0429374 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.00252154 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0087616 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0716212 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.000860321 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.251436 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.049306 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.106743 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0737553 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.0050368 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0299717 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0128423 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0123532 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0185813 # DEPENDENCYPART_SIBL
(6,17),(6,22),-0.000805744 # DEPENDENCYPART_SIBL
(6,21),(6,22),0.00922135 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.122521 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.00456083 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.237699 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0127869 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0365752 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.103001 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0278551 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.113495 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0195591 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.000353031 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.18298 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0116288 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0221671 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0495355 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0216297 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0687743 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0251401 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0386583 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00772379 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.023172 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0950363 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0124988 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0811112 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0245303 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0103042 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0161469 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0656903 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0127572 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.094699 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0263026 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.00639043 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0241959 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.019526 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0263968 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00146826 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.015759 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.000233595 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0182811 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.044653 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.0516889 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.111421 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0124489 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0174548 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0425172 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0341649 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.247045 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0342073 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0135813 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.00523498 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.133075 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00868182 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0341614 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.000843542 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00323067 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.257438 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.010163 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0411112 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.254651 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0414757 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00513029 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0525229 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.000967093 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.00905501 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0731235 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00225201 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0996567 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.000871336 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0302503 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00684867 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.00543196 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0158214 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.00302183 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0355973 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0132207 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.00941253 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0149923 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.139216 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.00685427 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0285582 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0146926 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0378586 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.171198 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0231476 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.00860039 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.168412 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.010965 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0399809 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.0200121 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0905612 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.021539 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0437739 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0115365 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0716979 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00377769 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0178598 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00304983 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0083812 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0167134 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.104667 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.00753121 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0577513 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0734921 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0499584 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0515893 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0139411 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0217956 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.643486 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0155144 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0384604 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0696696 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.664176 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0343985 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.00108483 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0416683 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.141789 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.038334 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0133441 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.139003 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0049073 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0452881 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.00193231 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0134552 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.017947 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0055525 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00846289 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.018791 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00172566 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0313935 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00971393 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0123822 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0353627 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.169209 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0148969 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0156283 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.166423 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00772571 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.035082 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.02704 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0534986 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0108546 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0919987 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0577338 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0476194 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0762108 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0927839 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0102873 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0197647 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0215722 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0349127 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0866958 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0216485 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0603523 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00271144 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.143203 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0224976 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0605248 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0245046 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0610733 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0127821 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.364056 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0382465 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0752069 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0202133 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0669 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.033518 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0740294 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0968077 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0223008 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0187323 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0764602 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0100791 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.327627 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.698255 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.436371 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.174116 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.702618 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.127131 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.944017 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.481697 # DEPENDENCYPART_SIBL
(10,12),(10,15),-1.36099 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.238449 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.12173 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.560975 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0119187 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.514822 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0726783 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.235115 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0265994 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0387545 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.077335 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0842075 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0490987 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.00563909 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00479156 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0178369 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0101826 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.100177 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0127757 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.140962 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0677611 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00793322 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0133398 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.180809 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0806134 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0555821 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.00464197 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.000363879 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0104018 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.171815 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.00861802 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00280391 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.00016296 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0167332 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0611911 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0244806 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0216306 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0796055 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0164057 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0145148 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.00482366 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0632998 # DEPENDENCYPART_SIBL
(12,15),(12,22),0.0204998 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.0246843 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.112416 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.00537525 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0256565 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.174378 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0062662 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0119733 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.529335 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0653921 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.00485573 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0113448 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.123669 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.00892551 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0983245 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0746526 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.000488635 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.111296 # DEPENDENCYPART_SIBL
(13,1),(13,23),-0.0859206 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.011109 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0242667 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0163389 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.00852827 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.00950986 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.509405 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.00797898 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.00725149 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.00878227 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.234657 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0624912 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0592829 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0189804 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.0611273 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.228681 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.0587771 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0285608 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.173798 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0120854 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0177925 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.527174 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0730316 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.00372471 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.017164 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.114436 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.00603757 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0880527 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0703013 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.00239931 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.102063 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.07734 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0772071 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0134071 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.00473711 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.386012 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.103374 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.00242099 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0114048 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0641732 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0248832 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0383696 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.160408 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.0232812 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0540273 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.125433 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0323004 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0284263 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.505898 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.01727 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.007213 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0293519 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00796252 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.118871 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0185941 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0249236 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.115339 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0297156 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.0121856 # DEPENDENCYPART_SIBL
