# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=16,4,4,6,4,1,6,9,7,1,16,13,11,13,1,0,16,17,20,16,0,
(6,7),(6,13),-0.812197 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0359094 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.819422 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0493297 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.490729 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.480368 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0493297 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.477207 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.29368 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.284829 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.235972 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.283655 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.817102 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0548793 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.824327 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0220343 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.831578 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.283655 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0231469 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.115787 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.018996 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.02177 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0545426 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0332436 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00200782 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0243213 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0390234 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.05885 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00598716 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0243213 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0583268 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0258912 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0386526 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.00865248 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.112904 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00271951 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.182413 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.029688 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0876142 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00584067 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0638731 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0173483 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.000118565 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0175067 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0638731 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00104292 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.02545 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0467064 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0221788 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0409895 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0136587 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.021182 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.055425 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0189603 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0378681 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0332652 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00733813 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0204651 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0378681 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00293147 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0505277 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0459782 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0166188 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0110542 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0270868 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0491286 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0022769 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.013374 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0316379 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.01403 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00609162 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.013374 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0143993 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0298069 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0577804 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.00856337 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0416566 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0971833 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0100453 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.042316 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0278048 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.010338 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0217113 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.042316 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00941359 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0396854 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.050911 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0263834 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0444105 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0176589 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0151388 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0396359 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0197013 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0139127 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0151388 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0210264 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00628222 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0237678 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0112496 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0365573 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0242418 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0297883 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.030718 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0394934 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0242418 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0345952 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0272134 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.075957 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0369501 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00951303 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0138649 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.011295 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.11367 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00951303 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0115018 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0402274 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.136305 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.104501 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0957122 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0953182 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.103782 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.124199 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0975423 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.100616 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.111368 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.101096 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.222926 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0358318 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0112262 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.237202 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0410179 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0126643 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0385022 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0361987 # DEPENDENCYPART_SIBL
(7,13),(7,15),6.02684e-06 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.235874 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0414166 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0130312 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.0388691 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.00286719 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0104203 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.032461 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.135945 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.104142 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0975423 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.100616 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.111368 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.101096 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0415265 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0121014 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0379393 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0272888 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.0117847 # DEPENDENCYPART_SIBL
(7,19),(7,20),-0.12785 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.121737 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00605976 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0133389 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0124011 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00798256 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0759181 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00640419 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0157648 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0215318 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0140391 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0160797 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0162638 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.257463 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.263786 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.262545 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0514591 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0131374 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.00308842 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0225751 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0463249 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.645075 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.663355 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0100201 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0376826 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.644263 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0321044 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0133255 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0234583 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.142828 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0256632 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.020046 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00823511 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.014266 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.19978 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.00920517 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.000798624 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0392162 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.166959 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0147562 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0126603 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.00189569 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0381631 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0561427 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0812545 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0159761 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0397017 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0370195 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0576414 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0258606 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0496088 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.631695 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.649976 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00299432 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0258328 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.630883 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.00302696 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.02634 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0415329 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.105316 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.111508 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.19154 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.116873 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0954232 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0409326 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.160518 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0141467 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0366478 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.218142 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0296561 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0215832 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0304517 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.185322 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.359137 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0241475 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0584871 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.357389 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0344635 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0221622 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0238054 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0471175 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.356206 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0342318 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.02182 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0726982 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.00761614 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0286694 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.00653942 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0301619 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.048693 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0590635 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0368558 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.02546 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.0803455 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0422279 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0931999 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0290323 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.040851 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0588212 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0305168 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0323127 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.134576 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0806937 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0735805 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0142782 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0311847 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0730572 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00720772 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0469429 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0169428 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0775626 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.00261913 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.20543 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0364913 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.000552915 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.196162 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.157322 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.168356 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.031875 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0490177 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.00882547 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0327993 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.00113068 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0782166 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.053689 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0664092 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.000244354 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.00130087 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0646091 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00778648 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.148726 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0646055 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.027092 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0196328 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.014039 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0314986 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0402565 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0468097 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0157873 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.00318908 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.000845575 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.218313 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.00802833 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0683994 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.103933 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0210804 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0335633 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0535691 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0214497 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0583737 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0852513 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0360343 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0484599 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.00647161 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.202751 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.173944 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.177925 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0214184 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0532223 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0303826 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0223428 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0131048 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0824212 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0578936 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.105056 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.097447 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.116837 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.00663474 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00596395 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0049703 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0410225 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.00728902 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0259077 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0327094 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.00230797 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.00703355 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0711153 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.105142 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0219514 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0367108 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0548569 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0223207 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0680476 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0883988 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0391818 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.158139 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.157538 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0448009 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0191277 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0101256 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0457253 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.025913 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0483267 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.023799 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0219954 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.044682 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0330712 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.181226 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0367213 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0206536 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0469081 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0338781 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0994011 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0690459 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.00771346 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0960124 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.132213 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.032862 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0720631 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0544772 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0435068 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.218184 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0566889 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0315941 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.057432 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0389831 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00190464 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0276502 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.131522 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0997183 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0893804 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.101712 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.107555 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0972831 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0567987 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0306643 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0565022 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0467906 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0312865 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.123426 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0228747 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.109366 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.018848 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0214978 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0545426 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0203325 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0129595 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.122454 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0368235 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0149487 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.00615482 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.000309894 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.059079 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0187873 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0388203 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.00882013 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.101107 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.000688786 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.181337 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.033261 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.00248326 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.172069 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.14208 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0197308 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.00861061 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0291091 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0154375 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.00932614 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.00023482 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0583088 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.0337811 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0429777 # DEPENDENCYPART_SIBL
