# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(13,11),(13,16),0.00868016 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00866675 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.00867222 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0580502 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.00357619 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0108211 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.00719298 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.0526017 # DEPENDENCYPART_SIBL
(13,11),(13,24),0.0537515 # DEPENDENCYPART_SIBL
(13,11),(13,26),0.0362799 # DEPENDENCYPART_SIBL
(13,11),(13,28),0.0084091 # DEPENDENCYPART_SIBL
(13,11),(13,29),0.0125587 # DEPENDENCYPART_SIBL
(13,11),(13,30),0.0997292 # DEPENDENCYPART_SIBL
(13,11),(13,31),0.00868016 # DEPENDENCYPART_SIBL
(13,11),(13,32),-0.000243886 # DEPENDENCYPART_SIBL
(13,11),(13,34),0.00867222 # DEPENDENCYPART_SIBL
(13,11),(13,35),0.0261583 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0147628 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0110878 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.000572009 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.000553832 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.000564601 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0574527 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.00252228 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.00377206 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.000902921 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.0009325 # DEPENDENCYPART_SIBL
(13,12),(13,24),0.168061 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.0476939 # DEPENDENCYPART_SIBL
(13,12),(13,28),0.00023839 # DEPENDENCYPART_SIBL
(13,12),(13,29),-0.00345035 # DEPENDENCYPART_SIBL
(13,12),(13,30),0.0833246 # DEPENDENCYPART_SIBL
(13,12),(13,31),0.000572009 # DEPENDENCYPART_SIBL
(13,12),(13,32),-0.00084128 # DEPENDENCYPART_SIBL
(13,12),(13,34),0.000564601 # DEPENDENCYPART_SIBL
(13,12),(13,35),0.176461 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0413336 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0487224 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0487254 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0487234 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0154733 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.049711 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0496843 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0545074 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0248658 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.0344158 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.0229669 # DEPENDENCYPART_SIBL
(13,14),(13,28),-0.0489534 # DEPENDENCYPART_SIBL
(13,14),(13,29),-0.0502771 # DEPENDENCYPART_SIBL
(13,14),(13,30),0.00702705 # DEPENDENCYPART_SIBL
(13,14),(13,31),-0.0487224 # DEPENDENCYPART_SIBL
(13,14),(13,32),-0.0572103 # DEPENDENCYPART_SIBL
(13,14),(13,34),-0.0487234 # DEPENDENCYPART_SIBL
(13,14),(13,35),-0.0380407 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.139346 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.139378 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.139347 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0366181 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.140332 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.141866 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.145121 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0589899 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0510803 # DEPENDENCYPART_SIBL
(13,15),(13,26),0.0293938 # DEPENDENCYPART_SIBL
(13,15),(13,28),-0.13958 # DEPENDENCYPART_SIBL
(13,15),(13,29),-0.142243 # DEPENDENCYPART_SIBL
(13,15),(13,30),0.0220366 # DEPENDENCYPART_SIBL
(13,15),(13,31),-0.139346 # DEPENDENCYPART_SIBL
(13,15),(13,32),-0.138105 # DEPENDENCYPART_SIBL
(13,15),(13,34),-0.139347 # DEPENDENCYPART_SIBL
(13,15),(13,35),-0.0266587 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.11366 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.11363 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0196083 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.114615 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.116149 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.119404 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0126846 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.0231172 # DEPENDENCYPART_SIBL
(13,16),(13,26),0.0544032 # DEPENDENCYPART_SIBL
(13,16),(13,28),-0.113863 # DEPENDENCYPART_SIBL
(13,16),(13,29),-0.116526 # DEPENDENCYPART_SIBL
(13,16),(13,30),0.0461925 # DEPENDENCYPART_SIBL
(13,16),(13,31),-0.113629 # DEPENDENCYPART_SIBL
(13,16),(13,32),-0.112388 # DEPENDENCYPART_SIBL
(13,16),(13,34),-0.11363 # DEPENDENCYPART_SIBL
(13,16),(13,35),-0.01606 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.114617 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0215658 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.115602 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.117136 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.120391 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0127239 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.0231217 # DEPENDENCYPART_SIBL
(13,17),(13,26),0.0537407 # DEPENDENCYPART_SIBL
(13,17),(13,28),-0.11485 # DEPENDENCYPART_SIBL
(13,17),(13,29),-0.117513 # DEPENDENCYPART_SIBL
(13,17),(13,30),0.045704 # DEPENDENCYPART_SIBL
(13,17),(13,31),-0.114616 # DEPENDENCYPART_SIBL
(13,17),(13,32),-0.113375 # DEPENDENCYPART_SIBL
(13,17),(13,34),-0.114617 # DEPENDENCYPART_SIBL
(13,17),(13,35),-0.0161264 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0336076 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.114616 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.11615 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.119405 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.0126854 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.0231181 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0614024 # DEPENDENCYPART_SIBL
(13,18),(13,28),-0.113864 # DEPENDENCYPART_SIBL
(13,18),(13,29),-0.116527 # DEPENDENCYPART_SIBL
(13,18),(13,30),0.0531917 # DEPENDENCYPART_SIBL
(13,18),(13,31),-0.11363 # DEPENDENCYPART_SIBL
(13,18),(13,32),-0.112389 # DEPENDENCYPART_SIBL
(13,18),(13,34),-0.113631 # DEPENDENCYPART_SIBL
(13,18),(13,35),-0.0160873 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0302548 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0297994 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0439939 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0111054 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.0140033 # DEPENDENCYPART_SIBL
(13,19),(13,26),0.00103825 # DEPENDENCYPART_SIBL
(13,19),(13,28),-0.0267818 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.0311177 # DEPENDENCYPART_SIBL
(13,19),(13,30),-0.0584863 # DEPENDENCYPART_SIBL
(13,19),(13,31),-0.0261374 # DEPENDENCYPART_SIBL
(13,19),(13,32),-0.0368247 # DEPENDENCYPART_SIBL
(13,19),(13,34),-0.0261423 # DEPENDENCYPART_SIBL
(13,19),(13,35),-0.097791 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.116178 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.119433 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.00963187 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0231348 # DEPENDENCYPART_SIBL
(13,20),(13,26),0.0568346 # DEPENDENCYPART_SIBL
(13,20),(13,28),-0.113892 # DEPENDENCYPART_SIBL
(13,20),(13,29),-0.116555 # DEPENDENCYPART_SIBL
(13,20),(13,30),0.0486239 # DEPENDENCYPART_SIBL
(13,20),(13,31),-0.113659 # DEPENDENCYPART_SIBL
(13,20),(13,32),-0.112417 # DEPENDENCYPART_SIBL
(13,20),(13,34),-0.11366 # DEPENDENCYPART_SIBL
(13,20),(13,35),-0.0160871 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.145374 # DEPENDENCYPART_SIBL
(13,21),(13,23),-0.025638 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.0330916 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.0324725 # DEPENDENCYPART_SIBL
(13,21),(13,28),-0.139678 # DEPENDENCYPART_SIBL
(13,21),(13,29),-0.142341 # DEPENDENCYPART_SIBL
(13,21),(13,30),0.0268067 # DEPENDENCYPART_SIBL
(13,21),(13,31),-0.139444 # DEPENDENCYPART_SIBL
(13,21),(13,32),-0.138203 # DEPENDENCYPART_SIBL
(13,21),(13,34),-0.139445 # DEPENDENCYPART_SIBL
(13,21),(13,35),-0.0293268 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.0327217 # DEPENDENCYPART_SIBL
(13,22),(13,24),-0.0250498 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0863072 # DEPENDENCYPART_SIBL
(13,22),(13,28),-0.128853 # DEPENDENCYPART_SIBL
(13,22),(13,29),-0.131516 # DEPENDENCYPART_SIBL
(13,22),(13,30),0.0613528 # DEPENDENCYPART_SIBL
(13,22),(13,31),-0.12862 # DEPENDENCYPART_SIBL
(13,22),(13,32),-0.127378 # DEPENDENCYPART_SIBL
(13,22),(13,34),-0.128621 # DEPENDENCYPART_SIBL
(13,22),(13,35),-0.0184214 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.0394338 # DEPENDENCYPART_SIBL
(13,23),(13,26),-0.209144 # DEPENDENCYPART_SIBL
(13,23),(13,28),-0.106998 # DEPENDENCYPART_SIBL
(13,23),(13,29),-0.108548 # DEPENDENCYPART_SIBL
(13,23),(13,30),-0.149103 # DEPENDENCYPART_SIBL
(13,23),(13,31),-0.106766 # DEPENDENCYPART_SIBL
(13,23),(13,32),-0.11845 # DEPENDENCYPART_SIBL
(13,23),(13,34),-0.106977 # DEPENDENCYPART_SIBL
(13,23),(13,35),-0.0995844 # DEPENDENCYPART_SIBL
(13,24),(13,26),-0.0310474 # DEPENDENCYPART_SIBL
(13,24),(13,28),-0.0109013 # DEPENDENCYPART_SIBL
(13,24),(13,29),-0.0122276 # DEPENDENCYPART_SIBL
(13,24),(13,30),-0.0437495 # DEPENDENCYPART_SIBL
(13,24),(13,31),-0.0106681 # DEPENDENCYPART_SIBL
(13,24),(13,32),-0.0186395 # DEPENDENCYPART_SIBL
(13,24),(13,34),-0.0106691 # DEPENDENCYPART_SIBL
(13,24),(13,35),-0.0157514 # DEPENDENCYPART_SIBL
(13,26),(13,28),0.0409912 # DEPENDENCYPART_SIBL
(13,26),(13,29),0.0379302 # DEPENDENCYPART_SIBL
(13,26),(13,30),0.0242101 # DEPENDENCYPART_SIBL
(13,26),(13,31),0.0418728 # DEPENDENCYPART_SIBL
(13,26),(13,32),0.0291352 # DEPENDENCYPART_SIBL
(13,26),(13,34),0.0418698 # DEPENDENCYPART_SIBL
(13,26),(13,35),0.00330363 # DEPENDENCYPART_SIBL
(13,28),(13,29),-0.116728 # DEPENDENCYPART_SIBL
(13,28),(13,30),0.0484178 # DEPENDENCYPART_SIBL
(13,28),(13,31),-0.113831 # DEPENDENCYPART_SIBL
(13,28),(13,32),-0.11259 # DEPENDENCYPART_SIBL
(13,28),(13,34),-0.113832 # DEPENDENCYPART_SIBL
(13,28),(13,35),-0.0162733 # DEPENDENCYPART_SIBL
(13,29),(13,30),0.0583033 # DEPENDENCYPART_SIBL
(13,29),(13,31),-0.120484 # DEPENDENCYPART_SIBL
(13,29),(13,32),-0.119242 # DEPENDENCYPART_SIBL
(13,29),(13,34),-0.120485 # DEPENDENCYPART_SIBL
(13,29),(13,35),-0.00967892 # DEPENDENCYPART_SIBL
(13,30),(13,31),0.0238255 # DEPENDENCYPART_SIBL
(13,30),(13,32),0.0131261 # DEPENDENCYPART_SIBL
(13,30),(13,34),0.0238226 # DEPENDENCYPART_SIBL
(13,30),(13,35),-0.0539132 # DEPENDENCYPART_SIBL
(13,31),(13,32),-0.112388 # DEPENDENCYPART_SIBL
(13,31),(13,34),-0.11363 # DEPENDENCYPART_SIBL
(13,31),(13,35),-0.01606 # DEPENDENCYPART_SIBL
(13,32),(13,34),-0.0876313 # DEPENDENCYPART_SIBL
(13,32),(13,35),-0.0202903 # DEPENDENCYPART_SIBL
(13,34),(13,35),-0.0160873 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.118616 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0323156 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0321447 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0323213 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.133286 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0677193 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.0157876 # DEPENDENCYPART_SIBL
(15,11),(15,35),-0.0468053 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0309373 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0307542 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0309429 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.14186 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.00947459 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.0544304 # DEPENDENCYPART_SIBL
(15,14),(15,35),0.0223316 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0861191 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0862964 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0549706 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.096367 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.0686757 # DEPENDENCYPART_SIBL
(15,16),(15,35),0.000551202 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0899574 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.057198 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0980686 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.0656632 # DEPENDENCYPART_SIBL
(15,17),(15,35),-0.00127292 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0899513 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0893917 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.0896537 # DEPENDENCYPART_SIBL
(15,18),(15,35),0.00747366 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0491471 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0121273 # DEPENDENCYPART_SIBL
(15,19),(15,35),-0.0195074 # DEPENDENCYPART_SIBL
(15,24),(15,26),0.0662778 # DEPENDENCYPART_SIBL
(15,24),(15,35),-0.000970881 # DEPENDENCYPART_SIBL
(15,26),(15,35),-0.0216961 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.123909 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0288227 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0290109 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.12118 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0289168 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0325917 # DEPENDENCYPART_SIBL
(16,14),(16,26),-0.0323223 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0118222 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0119115 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0986965 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0142607 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.00056845 # DEPENDENCYPART_SIBL
(16,15),(16,26),-0.0717502 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0663587 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0946993 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0661846 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0695396 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.124114 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.127453 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0555482 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0589032 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.148105 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0297503 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0289916 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.0901807 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0634798 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.134438 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0913445 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.123902 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.129672 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0296554 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.126882 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0295613 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0332362 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0315214 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0351743 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.019761 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0112338 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.104427 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.013583 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.000109214 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0116497 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0746312 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0185593 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.117384 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0209085 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.00721626 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0189752 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0969667 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.127363 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0555909 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0589459 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0520246 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.147996 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0297312 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0289725 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0212445 # DEPENDENCYPART_SIBL
(17,19),(17,26),0.0901296 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0635224 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0566012 # DEPENDENCYPART_SIBL
(17,20),(17,26),0.134328 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0841139 # DEPENDENCYPART_SIBL
(17,21),(17,26),0.0912354 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.178673 # DEPENDENCYPART_SIBL
(18,1),(18,9),0.0605939 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.00392665 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.0532046 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.0478757 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.0582793 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0946841 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.0785581 # DEPENDENCYPART_SIBL
(18,1),(18,21),0.0648658 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0766247 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.0271977 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.00347581 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0232019 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.017873 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0282767 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.117043 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0268624 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0131702 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.0249291 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.0540007 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.123918 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.129688 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.129921 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.128959 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0293726 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0330475 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0313326 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.000802658 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0197955 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0301991 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.109592 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0127662 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.000926078 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.0108328 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.061229 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0238801 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.122548 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0200916 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.00639939 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0181583 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0550764 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.133095 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.00932384 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.023016 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0112571 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.067451 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0297504 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0289917 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0212637 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0254929 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0634785 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0565572 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0880185 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.08407 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.102566 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0904452 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.00692244 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0193566 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.00555777 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0349076 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0581988 # DEPENDENCYPART_SIBL
(19,20),(19,21),-1.46026 # DEPENDENCYPART_SIBL
(19,20),(19,22),-1.45895 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.259666 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.998879 # DEPENDENCYPART_SIBL
(19,21),(19,22),-1.46918 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.265074 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.999461 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.280434 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.999368 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.337736 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0496772 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0398424 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0137871 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0755137 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.137536 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.043275 # DEPENDENCYPART_SIBL
(20,19),(20,30),-0.138845 # DEPENDENCYPART_SIBL
(20,19),(20,34),-0.043123 # DEPENDENCYPART_SIBL
(20,19),(20,35),-0.110033 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0935432 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0559097 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.104796 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.0891148 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0967799 # DEPENDENCYPART_SIBL
(20,21),(20,30),0.0689834 # DEPENDENCYPART_SIBL
(20,21),(20,34),-0.0969742 # DEPENDENCYPART_SIBL
(20,21),(20,35),-0.0103928 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0618541 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0926747 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.176553 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.0861638 # DEPENDENCYPART_SIBL
(20,22),(20,30),0.126889 # DEPENDENCYPART_SIBL
(20,22),(20,34),-0.0863581 # DEPENDENCYPART_SIBL
(20,22),(20,35),0.00886111 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0139534 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0207382 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.0111976 # DEPENDENCYPART_SIBL
(20,23),(20,30),0.0540407 # DEPENDENCYPART_SIBL
(20,23),(20,34),-0.0118153 # DEPENDENCYPART_SIBL
(20,23),(20,35),-0.0127804 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.082036 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.0248069 # DEPENDENCYPART_SIBL
(20,24),(20,30),0.0386422 # DEPENDENCYPART_SIBL
(20,24),(20,34),-0.0250022 # DEPENDENCYPART_SIBL
(20,24),(20,35),-0.0141321 # DEPENDENCYPART_SIBL
