# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=4,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(4,5),(4,13),-0.304567 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.826184 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0493113 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.013428 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.018855 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0188503 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.230228 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.42941 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0778637 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0723617 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.430366 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0778637 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0615495 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.062077 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.281141 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.331991 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.061576 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.101569 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.338571 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.061576 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0642234 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.281802 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.332135 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0532126 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.10223 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.338715 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0532126 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.281826 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.3321 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0531149 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.102254 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.338679 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0531149 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.215902 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0642249 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.101039 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.216232 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0642249 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0367341 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.304567 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.826184 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0367341 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.112688 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.275807 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.268963 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.189289 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00829107 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0488283 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0507788 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0502723 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00449666 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00147922 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00776721 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0101833 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00868798 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.044888 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.068132 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0644646 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0212231 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00147922 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0640094 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00989037 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0644646 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.184898 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.037243 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0352989 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0410542 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.031837 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0371319 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0191697 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0157691 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0228665 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0260901 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0352989 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0143688 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0334981 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0228665 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0372346 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0368887 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0410517 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0318345 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0371294 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0186158 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0151861 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0220375 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0255377 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0368887 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0137859 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0334956 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0220375 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0296298 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0100517 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0130175 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0115545 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0722465 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0274342 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00633707 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00115907 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0296298 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0255502 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0127239 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00633707 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00629759 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0154168 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0154125 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.190836 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0732727 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00845812 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00536064 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0430951 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0824591 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0129108 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.00845812 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.124077 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.124605 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.267655 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00576396 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0488068 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0109292 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0148904 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0262623 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.118861 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0488068 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.126085 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.266344 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0039352 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0384617 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0122401 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0227291 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0244335 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.120341 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0384617 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.270033 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00751311 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0413432 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00855149 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0245746 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0280114 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.122699 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0413432 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0318471 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0200755 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00321134 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00024003 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0405132 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0227055 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0200755 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0106686 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0234016 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0373708 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.232205 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0409081 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0106686 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0564581 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.105374 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0893251 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.107774 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.134788 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0345699 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0308676 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.024779 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.010032 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0824591 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0129108 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.00845812 # DEPENDENCYPART_SIBL
(5,18),(5,19),0.0402532 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0130833 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.0392994 # DEPENDENCYPART_SIBL
(6,7),(6,8),-1.45811 # DEPENDENCYPART_SIBL
(6,7),(6,10),-1.39466 # DEPENDENCYPART_SIBL
(6,8),(6,10),-1.39434 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0393724 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0390503 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0330029 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.104711 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.102034 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0725627 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.304016 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.018918 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0155772 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.297467 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0255315 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00902909 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0124066 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0380192 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0808997 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0566663 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0157707 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0152094 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0122467 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00753073 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.100288 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.00238123 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0482082 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0390003 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0329791 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.105704 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.102022 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.108437 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0148205 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00999157 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0106772 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.102544 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.000765212 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.302679 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0194735 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.014297 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.00428932 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0125529 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0379618 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.00582776 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0807084 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.266776 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0333711 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0217069 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.00259293 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0597547 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0240767 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0309831 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00247854 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0598665 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0253643 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0322707 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.1792 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.064432 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0647091 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0450101 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0404126 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0424093 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0426746 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0409835 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.00633535 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0536925 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0282395 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0293987 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0409844 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0415892 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.153928 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.181183 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0173028 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0903811 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.129494 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.00394046 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.181183 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.166352 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0226302 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0699896 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0431465 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0652923 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00289026 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0221255 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0237796 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0223022 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0275846 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.00198551 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0202914 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.00836755 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0541159 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0275846 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.035323 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0669705 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0471205 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0622758 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00364399 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0155913 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0172454 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0252443 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0305579 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.00111479 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0221881 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0113097 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0471882 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0305579 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0382652 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.00990054 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0618439 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.00363927 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0193466 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0196991 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0272582 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0234778 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.246481 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0561771 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.010444 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0266199 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0234778 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0504083 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0968535 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.127496 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.138874 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.140114 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.48656 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0198372 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.05505 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0176991 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.530245 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.150494 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.0198372 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.474385 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.039261 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0506457 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0519729 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0909142 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0351698 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00349413 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.56689 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0515001 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0661332 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0351698 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.103338 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0063018 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00795027 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0176992 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.023489 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00139095 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0179756 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.00376453 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0566876 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.023489 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.03072 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0167599 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0262193 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0287647 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00112151 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0273636 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0122846 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0536186 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0287647 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0392401 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.025961 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0314241 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.00395948 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0227876 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0120263 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0460215 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0314241 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.0389818 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0213791 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0965554 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0131083 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.829924 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0289056 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0213791 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.828865 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0273301 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00125289 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.277879 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0378508 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.235972 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.284829 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0170912 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.150461 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0141048 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0106232 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.15011 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.518394 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0140176 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.064871 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.517112 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.0216779 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.00426324 # DEPENDENCYPART_SIBL
(10,18),(10,24),-0.835554 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.0543778 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.480214 # DEPENDENCYPART_SIBL
(10,20),(10,24),-0.284829 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0568586 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0563521 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00449666 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.00095023 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0155276 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0573305 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0563521 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0563319 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0418264 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0324277 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.008002 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.134924 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0127425 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0130078 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0640094 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0100591 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0127425 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0684229 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.191364 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0376298 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00152782 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.00778552 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.190041 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.190858 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.190907 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0395759 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0098841 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0137442 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.192554 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0100646 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0487417 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0180956 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0385307 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.0100646 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.0200848 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0376215 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.00185429 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.00777924 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.188859 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.189676 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.189725 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0395646 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0107131 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0131918 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.192221 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0116544 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0487392 # DEPENDENCYPART_SIBL
