# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,5,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
(5,4),(5,9),-0.0570676 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.118523 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00605044 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.118523 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0234478 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00222515 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0789425 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0977203 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0434664 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0349316 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0385173 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0349407 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.308287 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0349407 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0910411 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0434664 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0176259 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0259137 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.000797704 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.106679 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.000800337 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.103252 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.000800337 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00105104 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.168623 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0133121 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0312386 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0155371 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.108994 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.115594 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.108994 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0395466 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0529805 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0106043 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0717455 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0187401 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0769347 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0187401 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0227274 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.047474 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0119289 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.055075 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.11559 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.10899 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0395421 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0529853 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0106081 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0717417 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.00206048 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0215729 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0338551 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0144961 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0219815 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0395421 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0529853 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0106081 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0717417 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0579705 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0503788 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.00217304 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0133121 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0312386 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.0286267 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0248813 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.262295 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.152055 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0193277 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0647322 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00124192 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0350119 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00127137 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00340851 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00127137 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.000824695 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0647322 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0350119 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0190066 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0311016 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.270539 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.145985 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.131602 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0643493 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.109997 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00988289 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.109977 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.014586 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.109977 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0407354 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0643493 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00988289 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0186269 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0603763 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.200786 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.242743 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0948901 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.120021 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0129929 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.120001 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0492399 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.120001 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0773172 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0948901 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0129929 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0142645 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.103757 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0312033 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00192454 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.118745 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0568599 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.118717 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00513445 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.118717 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0306162 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00192454 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0568599 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0815908 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0955023 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0741018 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00307715 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0258356 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00310661 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0085338 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00310661 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00139426 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0741018 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0258356 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0150267 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0345844 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.000355096 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.108502 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00035773 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.108786 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00035773 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00772152 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.170229 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.108502 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0167387 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0308715 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0168121 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.109126 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.120817 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.109126 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0476481 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0519197 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0168121 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.00722501 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0718023 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0182235 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0825439 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0182235 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0316473 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0457941 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00323234 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0154295 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0546339 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.120814 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.109122 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0476436 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0519245 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0168063 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.00722886 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0717985 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00151667 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0282637 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0334619 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0191997 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0118611 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0213813 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0476436 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0519245 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0168063 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.00722886 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0717985 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.027561 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0585496 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0146121 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0265615 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.108502 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0167387 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0308715 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0154295 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0546339 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0286358 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0569504 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0348936 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.006263 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00727671 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0839672 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0316046 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0876046 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.00982865 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0289274 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0451804 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0316046 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00111921 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0213181 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.0319578 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0308337 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0385731 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0387766 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.084068 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0336873 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0877237 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0300015 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0716382 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0303873 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0336873 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.405036 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0713267 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0718551 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.000401636 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.000261019 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0749876 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0114587 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0786393 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00703168 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0666254 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0491409 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0114587 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00997461 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.065993 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0619214 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00445345 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0555283 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00803637 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0591657 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0284198 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0620433 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00615776 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00803637 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.041427 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.054434 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0650737 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0724524 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00702663 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0760715 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0187138 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0508349 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0229522 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00702663 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.00906149 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0432256 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0538653 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0289754 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.135071 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0432273 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0389529 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0311543 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0289754 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0360893 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0388692 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.038983 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0116692 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0498056 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0176904 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.169699 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0623863 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0258197 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.00539774 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0179043 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0432273 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0389526 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0311548 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0289744 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0360893 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0388688 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.0389826 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0452213 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.190464 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0462638 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0828816 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0451397 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0458144 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0207939 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0369181 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.00515285 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.039715 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0353286 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0813189 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0417356 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.0112858 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.00454436 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0258197 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.00539774 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.0179043 # DEPENDENCYPART_SIBL
(7,18),(7,20),-0.00425415 # DEPENDENCYPART_SIBL
(7,18),(7,22),-0.00443405 # DEPENDENCYPART_SIBL
(7,20),(7,22),-0.0323608 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0917076 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.180721 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.127683 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.125036 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.124598 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00517091 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0330633 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.044543 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0030026 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0194779 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0249752 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0330633 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0148922 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.00615257 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.164507 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.190923 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.168846 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.170563 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0815926 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.013222 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0415784 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0532426 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0474317 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0282931 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.013222 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0482973 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0550228 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.125758 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0964874 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0964471 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0408534 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.067349 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0349573 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0271526 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0272369 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0793405 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.067349 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0205656 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0194919 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0221122 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0221316 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0336871 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00893015 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0673531 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0362032 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0407221 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0202882 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00893015 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.033744 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.02953 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.117614 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00342632 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0240717 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.042501 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00894972 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0162035 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0157886 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0240717 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0116178 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.00287816 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0029371 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0250438 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0428965 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0152901 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0141194 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0172498 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0250438 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.00953365 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.000794037 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.14374 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.020161 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0417425 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0224387 # DEPENDENCYPART_SIBL
(8,7),(8,14),1.19661 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.14374 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0235963 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0299952 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0188266 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0692501 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0121209 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00354178 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0634622 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.000201318 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0122582 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0613641 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0534599 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.000102196 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0466503 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0533466 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.0534134 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0479751 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.00225168 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0357689 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0478717 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.0484448 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00344431 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0989801 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.113349 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.108916 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0720469 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0134005 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0200948 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.000201318 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0122582 # DEPENDENCYPART_SIBL
(8,20),(8,22),-0.105314 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.11998 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0430926 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.00591168 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0079157 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.137581 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0466366 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0211137 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0211137 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.136652 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0234039 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.020704 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0259787 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.13473 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0222474 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0499597 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0507415 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.213546 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0735936 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.00107081 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.00107081 # DEPENDENCYPART_SIBL
