# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,16,11,15,16,17,15,23,20,21,19,26,26,23,26,0,5,
(16,19),(16,22),-0.109248 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.139006 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0617848 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.149399 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.0996007 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.0956534 # DEPENDENCYPART_SIBL
(16,19),(16,28),-0.111817 # DEPENDENCYPART_SIBL
(16,19),(16,29),-0.083293 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.000230514 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0290564 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.145546 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0145567 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.12849 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.236645 # DEPENDENCYPART_SIBL
(16,20),(16,27),0.0290942 # DEPENDENCYPART_SIBL
(16,20),(16,28),-0.00792296 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.0763724 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.119757 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.122585 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0834529 # DEPENDENCYPART_SIBL
(16,21),(16,25),-0.12122 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0931887 # DEPENDENCYPART_SIBL
(16,21),(16,27),0.12545 # DEPENDENCYPART_SIBL
(16,21),(16,28),-0.0774115 # DEPENDENCYPART_SIBL
(16,21),(16,29),0.0744894 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.249623 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0410178 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.238307 # DEPENDENCYPART_SIBL
(16,22),(16,26),-0.0140621 # DEPENDENCYPART_SIBL
(16,22),(16,27),-0.11664 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.127992 # DEPENDENCYPART_SIBL
(16,22),(16,29),0.0471511 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0500828 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.146414 # DEPENDENCYPART_SIBL
(16,23),(16,26),-0.036645 # DEPENDENCYPART_SIBL
(16,23),(16,27),-0.0202498 # DEPENDENCYPART_SIBL
(16,23),(16,28),0.0582955 # DEPENDENCYPART_SIBL
(16,23),(16,29),0.0106416 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.160067 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.0160915 # DEPENDENCYPART_SIBL
(16,24),(16,27),-0.052249 # DEPENDENCYPART_SIBL
(16,24),(16,28),-0.136146 # DEPENDENCYPART_SIBL
(16,24),(16,29),-0.0278575 # DEPENDENCYPART_SIBL
(16,25),(16,26),-0.0257029 # DEPENDENCYPART_SIBL
(16,25),(16,27),-0.0195739 # DEPENDENCYPART_SIBL
(16,25),(16,28),-0.101486 # DEPENDENCYPART_SIBL
(16,25),(16,29),-0.0181537 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.0311335 # DEPENDENCYPART_SIBL
(16,26),(16,28),-0.00578979 # DEPENDENCYPART_SIBL
(16,26),(16,29),0.0784584 # DEPENDENCYPART_SIBL
(16,27),(16,28),-0.122915 # DEPENDENCYPART_SIBL
(16,27),(16,29),0.0577052 # DEPENDENCYPART_SIBL
(16,28),(16,29),0.0424194 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.262709 # DEPENDENCYPART_SIBL
(17,18),(17,22),-1.45911 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.590349 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.116222 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.109951 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.024866 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0115985 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0347856 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.0785257 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.0788955 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.024794 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.0433663 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.039748 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0519062 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.073855 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.00150245 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.00526622 # DEPENDENCYPART_SIBL
(18,14),(18,26),0.0440566 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.109367 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.118847 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0392842 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0329789 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0781092 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.10741 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0142585 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0023314 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.251678 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.102358 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.259556 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.100043 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.172925 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0439622 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.036846 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.308432 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.101254 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0116568 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0558233 # DEPENDENCYPART_SIBL
(18,23),(18,26),0.0126306 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.016517 # DEPENDENCYPART_SIBL
(19,1),(19,5),0.216449 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.234944 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.216449 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.212734 # DEPENDENCYPART_SIBL
(19,1),(19,17),0.129997 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.086103 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.170098 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.104665 # DEPENDENCYPART_SIBL
(19,1),(19,22),0.0485002 # DEPENDENCYPART_SIBL
(19,1),(19,23),0.0262785 # DEPENDENCYPART_SIBL
(19,1),(19,24),-0.0294162 # DEPENDENCYPART_SIBL
(19,1),(19,25),-0.00105564 # DEPENDENCYPART_SIBL
(19,1),(19,26),0.177585 # DEPENDENCYPART_SIBL
(19,1),(19,28),0.0430145 # DEPENDENCYPART_SIBL
(19,1),(19,29),1.00892 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.063602 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0041147 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.00705248 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0542673 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.0498117 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.665741 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.0720239 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0125563 # DEPENDENCYPART_SIBL
(19,5),(19,23),0.0566247 # DEPENDENCYPART_SIBL
(19,5),(19,24),0.0915567 # DEPENDENCYPART_SIBL
(19,5),(19,25),0.0064122 # DEPENDENCYPART_SIBL
(19,5),(19,26),0.66662 # DEPENDENCYPART_SIBL
(19,5),(19,28),0.00692759 # DEPENDENCYPART_SIBL
(19,5),(19,29),0.0179321 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.0499201 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0462046 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.119478 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0729228 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0634508 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.0138265 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.044496 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.021799 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0607794 # DEPENDENCYPART_SIBL
(19,12),(19,25),0.0326272 # DEPENDENCYPART_SIBL
(19,12),(19,26),0.0784213 # DEPENDENCYPART_SIBL
(19,12),(19,28),-0.018469 # DEPENDENCYPART_SIBL
(19,12),(19,29),-0.0136303 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.00705248 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0542673 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0498117 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.665741 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0720239 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0125563 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.0566247 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0915567 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0064122 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.66662 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.00692759 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.0179321 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0547847 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0498117 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.644882 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0636188 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0195283 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0506518 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0855845 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.000439262 # DEPENDENCYPART_SIBL
(19,16),(19,26),0.645761 # DEPENDENCYPART_SIBL
(19,16),(19,28),0.000953338 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.0119579 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0281885 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0311301 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.349952 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.00890995 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.00436546 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.026777 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0278464 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0291691 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0580711 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.00860049 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0160664 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.00201363 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.164515 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.013581 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0663505 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.0293404 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.014972 # DEPENDENCYPART_SIBL
(19,18),(19,28),-0.0315608 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.0259659 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0593885 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0218051 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.16383 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0259476 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.105691 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.362465 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.132258 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.349946 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0766928 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0799275 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.108646 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0603155 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.090827 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.0720911 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.147644 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0753009 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0436113 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0737623 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0198869 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.121919 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.276113 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.044012 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0508247 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.0331442 # DEPENDENCYPART_SIBL
(19,23),(19,28),0.215385 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.322108 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0312434 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0752802 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.066259 # DEPENDENCYPART_SIBL
(19,24),(19,29),0.127735 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0659147 # DEPENDENCYPART_SIBL
(19,25),(19,28),-0.0438032 # DEPENDENCYPART_SIBL
(19,25),(19,29),0.197417 # DEPENDENCYPART_SIBL
(19,26),(19,28),0.132306 # DEPENDENCYPART_SIBL
(19,26),(19,29),0.34997 # DEPENDENCYPART_SIBL
(19,28),(19,29),0.198458 # DEPENDENCYPART_SIBL
(20,2),(20,5),0.00234063 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.190914 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.187783 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.14742 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.0869152 # DEPENDENCYPART_SIBL
(20,2),(20,14),0.00646999 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.00234063 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.00725306 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.00811579 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.187783 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.14742 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0737657 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0458565 # DEPENDENCYPART_SIBL
(20,2),(20,23),0.0116096 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.107023 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0104399 # DEPENDENCYPART_SIBL
(20,2),(20,26),-0.0197869 # DEPENDENCYPART_SIBL
(20,2),(20,27),-0.0507619 # DEPENDENCYPART_SIBL
(20,2),(20,28),-0.0263627 # DEPENDENCYPART_SIBL
(20,2),(20,29),-0.000418346 # DEPENDENCYPART_SIBL
(20,5),(20,7),-0.0140163 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.0110764 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.091809 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.0634164 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.0406334 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.232484 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.225698 # DEPENDENCYPART_SIBL
(20,5),(20,17),0.0011296 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0110764 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.091809 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.069407 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0175827 # DEPENDENCYPART_SIBL
(20,5),(20,23),-0.00753902 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.0698492 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.0720344 # DEPENDENCYPART_SIBL
(20,5),(20,26),-0.0137987 # DEPENDENCYPART_SIBL
(20,5),(20,27),-0.0182381 # DEPENDENCYPART_SIBL
(20,5),(20,28),-0.0395018 # DEPENDENCYPART_SIBL
(20,5),(20,29),-0.0268254 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.189684 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.148013 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0872012 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.00619206 # DEPENDENCYPART_SIBL
(20,7),(20,15),0.00180888 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.00672131 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.00920041 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.189684 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.148013 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0749295 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.0419493 # DEPENDENCYPART_SIBL
(20,7),(20,23),0.0146901 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.104088 # DEPENDENCYPART_SIBL
(20,7),(20,25),-0.00738135 # DEPENDENCYPART_SIBL
(20,7),(20,26),-0.0124528 # DEPENDENCYPART_SIBL
(20,7),(20,27),-0.0468547 # DEPENDENCYPART_SIBL
(20,7),(20,28),-0.0226947 # DEPENDENCYPART_SIBL
(20,7),(20,29),0.00339996 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.147411 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.086913 # DEPENDENCYPART_SIBL
(20,9),(20,14),0.00647228 # DEPENDENCYPART_SIBL
(20,9),(20,15),0.00234291 # DEPENDENCYPART_SIBL
(20,9),(20,16),0.00725535 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.0081135 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.189306 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.147411 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.0777704 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0452643 # DEPENDENCYPART_SIBL
(20,9),(20,23),0.0117295 # DEPENDENCYPART_SIBL
(20,9),(20,24),-0.106981 # DEPENDENCYPART_SIBL
(20,9),(20,25),-0.0103701 # DEPENDENCYPART_SIBL
(20,9),(20,26),-0.0197334 # DEPENDENCYPART_SIBL
(20,9),(20,27),-0.0501697 # DEPENDENCYPART_SIBL
(20,9),(20,28),-0.0250063 # DEPENDENCYPART_SIBL
(20,9),(20,29),0.00133993 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.722123 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0321626 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.114005 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.121654 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.0330254 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0239793 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.177544 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0374844 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.00517796 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0158749 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.155329 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.0412361 # DEPENDENCYPART_SIBL
(20,12),(20,26),-0.00548041 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.00832082 # DEPENDENCYPART_SIBL
(20,12),(20,28),-0.0289062 # DEPENDENCYPART_SIBL
(20,12),(20,29),-0.0698681 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.0840017 # DEPENDENCYPART_SIBL
(20,13),(20,15),0.117794 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.126529 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.152814 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.136811 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.120918 # DEPENDENCYPART_SIBL
(20,13),(20,21),0.0257461 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.0874252 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0352951 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.0850915 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.0636539 # DEPENDENCYPART_SIBL
(20,13),(20,26),0.0895933 # DEPENDENCYPART_SIBL
(20,13),(20,27),0.0855977 # DEPENDENCYPART_SIBL
(20,13),(20,28),-0.130413 # DEPENDENCYPART_SIBL
(20,13),(20,29),0.0439121 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0133919 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.00482079 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.204691 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.0313383 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.213417 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0109376 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0628241 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0192962 # DEPENDENCYPART_SIBL
(20,14),(20,24),-0.188756 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.160885 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.0132507 # DEPENDENCYPART_SIBL
(20,14),(20,27),-0.0634978 # DEPENDENCYPART_SIBL
(20,14),(20,28),-0.171499 # DEPENDENCYPART_SIBL
(20,14),(20,29),-0.0590871 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.225698 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.0011296 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0110764 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.091809 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.069407 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0175827 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.00753902 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.0698492 # DEPENDENCYPART_SIBL
(20,15),(20,25),-0.0720344 # DEPENDENCYPART_SIBL
(20,15),(20,26),-0.0137987 # DEPENDENCYPART_SIBL
(20,15),(20,27),-0.0182381 # DEPENDENCYPART_SIBL
(20,15),(20,28),-0.0395018 # DEPENDENCYPART_SIBL
(20,15),(20,29),-0.0268254 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.000424137 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0115954 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.111657 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0703305 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0181694 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.00762094 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0699309 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0721163 # DEPENDENCYPART_SIBL
(20,16),(20,26),-0.0249599 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0188248 # DEPENDENCYPART_SIBL
(20,16),(20,28),-0.0395846 # DEPENDENCYPART_SIBL
(20,16),(20,29),-0.0269082 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0413892 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.290948 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.127324 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.00176657 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0341911 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0874662 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0799819 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0537229 # DEPENDENCYPART_SIBL
(20,17),(20,27),0.00181159 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.0777279 # DEPENDENCYPART_SIBL
(20,17),(20,29),-0.0290094 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.147411 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0777704 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0461727 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0117295 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.106981 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0103701 # DEPENDENCYPART_SIBL
(20,18),(20,26),-0.0197334 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0510781 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.0250063 # DEPENDENCYPART_SIBL
(20,18),(20,29),0.00133993 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0374844 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.00517796 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0158749 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.155329 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0412361 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.00548041 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.00832082 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0289062 # DEPENDENCYPART_SIBL
(20,19),(20,29),-0.0698681 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.120147 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.124565 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0824093 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.12278 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.0920816 # DEPENDENCYPART_SIBL
(20,21),(20,27),0.125839 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0781053 # DEPENDENCYPART_SIBL
(20,21),(20,29),0.0737956 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.252478 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0428733 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.240742 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.01606 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.116586 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.129663 # DEPENDENCYPART_SIBL
(20,22),(20,29),0.0454793 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0499864 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.146834 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0366275 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.018181 # DEPENDENCYPART_SIBL
(20,23),(20,28),0.0585589 # DEPENDENCYPART_SIBL
(20,23),(20,29),0.010905 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.168167 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.0233349 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.057408 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.143143 # DEPENDENCYPART_SIBL
(20,24),(20,29),-0.0348546 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.025685 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0175047 # DEPENDENCYPART_SIBL
