# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,19,16,22,23,24,25,0,
(15,3),(15,7),0.0265079 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.00931006 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.00438506 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.00917065 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0918646 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.102459 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.00438506 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.00825111 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0224679 # DEPENDENCYPART_SIBL
(15,3),(15,17),0.26263 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0071767 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.00360239 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.0303613 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.00428949 # DEPENDENCYPART_SIBL
(15,3),(15,25),0.00171832 # DEPENDENCYPART_SIBL
(15,3),(15,26),0.0155735 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.494763 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.029087 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.0309692 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.011054 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.0282709 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0101098 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.146539 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.00442425 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0289584 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0110339 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0081487 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0413125 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.15657 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.158169 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.0166521 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.158166 # DEPENDENCYPART_SIBL
(15,4),(15,25),0.167763 # DEPENDENCYPART_SIBL
(15,4),(15,26),0.164851 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.237691 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0457469 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0728355 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0310342 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.0709585 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0497488 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0476103 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0310342 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0726903 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0299769 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0176796 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0445304 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.0417814 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0220727 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.0392246 # DEPENDENCYPART_SIBL
(15,5),(15,25),0.0314584 # DEPENDENCYPART_SIBL
(15,5),(15,26),0.0502956 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.106252 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0648744 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.109622 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.065803 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0790399 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0738769 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.109622 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0648747 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.00474277 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.00668052 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.00864829 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.00506784 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.00335293 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.00863188 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0125301 # DEPENDENCYPART_SIBL
(15,6),(15,26),-0.00372397 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0774113 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0515637 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0762052 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.000481169 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0205773 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0515637 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0752856 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.00846878 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.389638 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0189605 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0153921 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0163622 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0160733 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0100655 # DEPENDENCYPART_SIBL
(15,7),(15,26),0.00378801 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0277246 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.0101064 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.14649 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.00442417 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0284121 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0110305 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.00816984 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0424136 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.161287 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.162885 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0166732 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.162874 # DEPENDENCYPART_SIBL
(15,8),(15,25),0.17248 # DEPENDENCYPART_SIBL
(15,8),(15,26),0.169568 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0144252 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.081921 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.00691103 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0992474 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0133672 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.568664 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0154355 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.00263809 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.00748095 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.548836 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.00345538 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.0036436 # DEPENDENCYPART_SIBL
(15,9),(15,26),-0.00145718 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.145893 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.00440636 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0295317 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0110153 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.008494 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0417016 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.160736 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.162334 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0169974 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.162332 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.171929 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.169016 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0275996 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.050715 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0264632 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0189592 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0654801 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.00301557 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.00145817 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0110349 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.00207905 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.00159839 # DEPENDENCYPART_SIBL
(15,11),(15,26),0.00895047 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0297066 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.00999611 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0453621 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0430499 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.00363407 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.00490076 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.0374622 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.00932218 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.00431787 # DEPENDENCYPART_SIBL
(15,12),(15,26),0.000182279 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.013389 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.573384 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0149797 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0026561 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00749896 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.553555 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.00347339 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.00362559 # DEPENDENCYPART_SIBL
(15,13),(15,26),-0.00147519 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00835361 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0413651 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.160533 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.162131 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.016857 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.162129 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.171726 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.168814 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.103233 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0373668 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0374231 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.117033 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.037384 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0378802 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0264828 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.08024 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0780423 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.000806314 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0802841 # DEPENDENCYPART_SIBL
(15,17),(15,25),0.0803075 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.104483 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0118769 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0299411 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0172453 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0168718 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.0101551 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0307225 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0211682 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0207947 # DEPENDENCYPART_SIBL
(15,19),(15,26),-0.014078 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0374888 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.037985 # DEPENDENCYPART_SIBL
(15,20),(15,26),-0.0265876 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0176557 # DEPENDENCYPART_SIBL
(15,21),(15,26),-0.0109389 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.0175836 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.00441617 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0389764 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0163465 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.111797 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0311499 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0837103 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0794658 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0801179 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0311131 # DEPENDENCYPART_SIBL
(16,7),(16,24),0.0311499 # DEPENDENCYPART_SIBL
(16,7),(16,25),-0.0744103 # DEPENDENCYPART_SIBL
(16,7),(16,27),-0.0946864 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.103597 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.139571 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0116743 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0333257 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.00284412 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00344615 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.00786743 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0289885 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0333257 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.00312291 # DEPENDENCYPART_SIBL
(16,12),(16,27),-0.195632 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.148053 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0902492 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.02762 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0139955 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00986008 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0138952 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.0055241 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.02762 # DEPENDENCYPART_SIBL
(16,13),(16,25),0.0206856 # DEPENDENCYPART_SIBL
(16,13),(16,27),-0.0703774 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0691705 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0983149 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00858223 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.00582141 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00538584 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.0097711 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0983149 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.00340895 # DEPENDENCYPART_SIBL
(16,14),(16,27),-0.0546019 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.253222 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.318435 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.316407 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.313474 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.14146 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.253222 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.305781 # DEPENDENCYPART_SIBL
(16,15),(16,27),0.0443486 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.036426 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0385669 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0363647 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.143226 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.00982296 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.0372954 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.0871751 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.102009 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.107454 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.254603 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0101333 # DEPENDENCYPART_SIBL
(16,18),(16,25),-0.109001 # DEPENDENCYPART_SIBL
(16,18),(16,27),-0.133125 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.111118 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.25045 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.0125447 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.112664 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.133611 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.249815 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0104441 # DEPENDENCYPART_SIBL
(16,21),(16,25),-0.112895 # DEPENDENCYPART_SIBL
(16,21),(16,27),-0.129993 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0385295 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0484568 # DEPENDENCYPART_SIBL
(16,22),(16,27),0.0363431 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.0372954 # DEPENDENCYPART_SIBL
(16,24),(16,27),-0.0871751 # DEPENDENCYPART_SIBL
(16,25),(16,27),-0.133567 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0093004 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.00905829 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.00895878 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0108956 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0267335 # DEPENDENCYPART_SIBL
(17,18),(17,19),-1.45119 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.483179 # DEPENDENCYPART_SIBL
(17,18),(17,21),-1.45664 # DEPENDENCYPART_SIBL
(17,18),(17,22),-1.39912 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.482282 # DEPENDENCYPART_SIBL
(17,19),(17,21),-1.46046 # DEPENDENCYPART_SIBL
(17,19),(17,22),-1.39517 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.75537 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.590023 # DEPENDENCYPART_SIBL
(17,21),(17,22),-1.39434 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.000786245 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0175907 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0383406 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.085832 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0339357 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0150681 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0900123 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0789692 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.0260269 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.0224424 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0175931 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0393631 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0800805 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0349581 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.01385 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.0842608 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0794092 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0270494 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.0234649 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0514144 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.174551 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0561091 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0344526 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.174509 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0225552 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0500056 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0288306 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0393752 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0629405 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.304282 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.039434 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.107504 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0593997 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0669328 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0307968 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.116113 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.109257 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0216622 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0300408 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0309405 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.309628 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0302426 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0963875 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0667532 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0742863 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.00119253 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.105463 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.00857126 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0104616 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0208305 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0296931 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0305928 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0305809 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.0356883 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.0688899 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0177369 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.184096 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0867687 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.018897 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.00655594 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0909512 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0817573 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.0109883 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.00740377 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0488744 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.176434 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0573965 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0359262 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.17639 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0157468 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0512931 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0301181 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.00296903 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.00865686 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0118997 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.00361105 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.12262 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.0182069 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0291785 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0338225 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.116486 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.109616 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0294727 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0330666 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.0339662 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.313165 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0269795 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.079168 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0744013 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0819344 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.00173763 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0972866 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0117931 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0136834 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0286382 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0327169 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.0336166 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0258886 # DEPENDENCYPART_SIBL
(19,24),(19,26),0.030996 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.076538 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0445661 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0444125 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0120813 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.212499 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.00645155 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.119009 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.000861203 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0983276 # DEPENDENCYPART_SIBL
(20,18),(20,25),0.00797724 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0190367 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0998653 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.0278751 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0103014 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.112937 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0373127 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0123697 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.0219837 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.00288836 # DEPENDENCYPART_SIBL
(21,18),(21,26),0.0335554 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0230099 # DEPENDENCYPART_SIBL
(21,19),(21,23),0.00137714 # DEPENDENCYPART_SIBL
(21,19),(21,26),0.0518314 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0872063 # DEPENDENCYPART_SIBL
(21,20),(21,26),-0.0103821 # DEPENDENCYPART_SIBL
(21,23),(21,26),-0.030444 # DEPENDENCYPART_SIBL
(22,1),(22,2),-0.0242433 # DEPENDENCYPART_SIBL
(22,1),(22,3),0.00378578 # DEPENDENCYPART_SIBL
(22,1),(22,4),-0.0428365 # DEPENDENCYPART_SIBL
(22,1),(22,5),-0.0143545 # DEPENDENCYPART_SIBL
(22,1),(22,6),-0.0376575 # DEPENDENCYPART_SIBL
(22,1),(22,7),-0.0066056 # DEPENDENCYPART_SIBL
(22,1),(22,8),-0.0428348 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.0471509 # DEPENDENCYPART_SIBL
(22,1),(22,10),-0.0428351 # DEPENDENCYPART_SIBL
