# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,3,9,3,7,0,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(5,1),(5,2),-0.0250229 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0483777 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0242545 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00122131 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0081011 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0152041 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.035533 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0040964 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0213779 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0207669 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0312928 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0047182 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.000405879 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0235711 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0213779 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00329931 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.111559 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0320978 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0300971 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0500038 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0463264 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0316579 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0475572 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0211099 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0706433 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0392078 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00750358 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.043813 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0475572 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.12565 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.010729 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0382964 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0816345 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0126751 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0445503 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00167283 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0435772 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.068204 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.109049 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0962662 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0321516 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00167283 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.082419 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00347183 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0616916 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0341508 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0834597 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0527524 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0173172 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.062118 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00257681 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0362858 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0269304 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0527524 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00853681 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0275088 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0438424 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00906958 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.133637 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0558799 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0241645 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0247892 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0289407 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0730127 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.133637 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0960247 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.134297 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0949301 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0486629 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0470082 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.085415 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0176706 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0864899 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0370257 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0486629 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.188433 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00804443 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.149499 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0863897 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00273921 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.017937 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0443625 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.052804 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.149499 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0124517 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.057544 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0022095 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0647232 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0725822 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0627884 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0402778 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.057544 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0925455 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.141117 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0975491 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0152696 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.102386 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.166491 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0925455 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0468807 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0570779 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0310197 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0567585 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00236981 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.164292 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0138216 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0542532 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.028607 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0341093 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.157842 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.016343 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0383552 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0514242 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.160924 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0276442 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0432428 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0946839 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0822064 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.154643 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0960284 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00569508 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.204122 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0684167 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0208371 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0180473 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00943203 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00432007 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0299527 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0126057 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.000133935 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0170844 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0435541 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.034543 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0687717 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.106017 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0378662 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0160646 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0412069 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0463841 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.129775 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0937599 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00794885 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.054295 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0402264 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00533879 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0614141 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00161154 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0075565 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0246327 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0382844 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0761879 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00363963 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00126123 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00689809 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0657358 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0106063 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0172554 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00284537 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00717778 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.138725 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00517605 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0427756 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00445699 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00128486 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00306913 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.19786 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00736198 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.048608 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0245971 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0633999 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.108835 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0142471 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0915683 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00530678 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0184936 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0221942 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00649061 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0314289 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0589203 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0653984 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0976151 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0420333 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0402959 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0320907 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0143114 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.101628 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00439621 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0314209 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0895351 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0396625 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0636148 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0689255 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0258129 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.127509 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0832872 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0292274 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.118676 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.120318 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.020281 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0597283 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.10124 # DEPENDENCYPART_SIBL
(7,8),(7,9),-1.24847 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.172428 # DEPENDENCYPART_SIBL
(7,8),(7,13),-1.26985 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0252105 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.603182 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.536514 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.136091 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.119623 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.141583 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0463813 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0233367 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0868775 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0263582 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0160874 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.019063 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.052333 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0104412 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0920928 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0267959 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.152396 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0239013 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00394672 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0117249 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.057089 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00967273 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.127377 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0336091 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0691003 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00460104 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0762221 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00719631 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00967273 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0326427 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0833003 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.00794667 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.138546 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0476017 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0907707 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.187559 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0503785 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0465445 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0180034 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0370216 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0305617 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0221881 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.106075 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00507072 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0533947 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0663074 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0475218 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0305617 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0329004 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.092706 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.049965 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0855982 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0952228 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.242296 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.153498 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.112944 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.139786 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0134242 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0119204 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0174595 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.112459 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.005408 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.136183 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00432945 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.150493 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0119204 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0633333 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.00850412 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.150372 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0232331 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0980862 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.012208 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.00410129 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0208629 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0626843 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.194911 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.104795 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0328519 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0202901 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0141231 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0972045 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.00612544 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.194911 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0278094 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.106136 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.00637291 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.121202 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0366118 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0199513 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0347385 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0682127 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0170395 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.124344 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.08347 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0409234 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.116162 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0956408 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.128004 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0170395 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0110243 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0895843 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.1299 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0103602 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0357225 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0135182 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0790086 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0454205 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0124713 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0346619 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0430821 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00118199 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0607673 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.00952473 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0454205 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.00686255 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.0325972 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.00772631 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.198393 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.06354 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.03947 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0541379 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.155981 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00179995 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0483901 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0432243 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.228091 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0580586 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0541379 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.084808 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.193302 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0627104 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0909084 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.038231 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0321019 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0234737 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.103723 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0061802 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0510423 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.067593 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0451695 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0321019 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0340099 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0939916 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.0476127 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.087124 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0789135 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.213867 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.137048 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0678835 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.148983 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.312021 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.144484 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0789135 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0680952 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.279448 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.144437 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0307154 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00125289 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.041239 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0476657 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0371187 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.05598 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0355884 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.235972 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0480531 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0115377 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0353391 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0987846 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0402408 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0896985 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.019354 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0263108 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0145309 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.064871 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0893096 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0100178 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0140463 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.1419 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.00170359 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0319916 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00413392 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0318041 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0644538 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.00215456 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.0646015 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0313316 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.259576 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.177944 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0152461 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.17816 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.00260887 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.279412 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0430956 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.177937 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.149301 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0376818 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0209709 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0556065 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0048003 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0983317 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0204985 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.249523 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0230002 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.00240101 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0498304 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0456561 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.0225174 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.0988624 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0531795 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.00396709 # DEPENDENCYPART_SIBL
