# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,3,9,3,4,7,5,9,0,9,12,9,12,13,13,17,15,17,18,0,22,20,22,23,26,22,0,
(12,10),(12,18),-0.00779426 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.00653437 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0127062 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.00297631 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.0335962 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.00866249 # DEPENDENCYPART_SIBL
(12,10),(12,26),-0.00678903 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0378602 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0148986 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0456405 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.00848133 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.00459633 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.090063 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0200961 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0625506 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0249101 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0121452 # DEPENDENCYPART_SIBL
(12,11),(12,24),-0.0172667 # DEPENDENCYPART_SIBL
(12,11),(12,26),-0.022609 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0120533 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0269332 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.00532396 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0120648 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0427169 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.016421 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0176582 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.251337 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.149172 # DEPENDENCYPART_SIBL
(12,13),(12,24),0.0101089 # DEPENDENCYPART_SIBL
(12,13),(12,26),0.000111892 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.101114 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0215771 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.127242 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0813614 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.115587 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0229179 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.025376 # DEPENDENCYPART_SIBL
(12,14),(12,23),0.0637311 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.123508 # DEPENDENCYPART_SIBL
(12,14),(12,26),-0.121908 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0498026 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0423267 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.03187 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.037346 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.00231557 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0229209 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.0083924 # DEPENDENCYPART_SIBL
(12,15),(12,24),0.0402499 # DEPENDENCYPART_SIBL
(12,15),(12,26),0.0685866 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0777694 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0200275 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0729434 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.00356459 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0122232 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.0294317 # DEPENDENCYPART_SIBL
(12,16),(12,24),-0.0735282 # DEPENDENCYPART_SIBL
(12,16),(12,26),-0.0738076 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0854545 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.121087 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0282521 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.029531 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.0706062 # DEPENDENCYPART_SIBL
(12,17),(12,24),-0.129008 # DEPENDENCYPART_SIBL
(12,17),(12,26),-0.127408 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.00329518 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0359586 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.0104355 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.117362 # DEPENDENCYPART_SIBL
(12,18),(12,24),-0.000391345 # DEPENDENCYPART_SIBL
(12,18),(12,26),0.024592 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.00659015 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.0198521 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.0797502 # DEPENDENCYPART_SIBL
(12,19),(12,24),-0.118001 # DEPENDENCYPART_SIBL
(12,19),(12,26),-0.116401 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.109358 # DEPENDENCYPART_SIBL
(12,20),(12,23),-0.203599 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.116748 # DEPENDENCYPART_SIBL
(12,20),(12,26),-0.117047 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.15558 # DEPENDENCYPART_SIBL
(12,22),(12,24),0.0187899 # DEPENDENCYPART_SIBL
(12,22),(12,26),0.00879298 # DEPENDENCYPART_SIBL
(12,23),(12,24),0.0359111 # DEPENDENCYPART_SIBL
(12,23),(12,26),0.0678438 # DEPENDENCYPART_SIBL
(12,24),(12,26),-0.130646 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0583312 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0228804 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0212344 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.177428 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0268246 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0248814 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.108349 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0112313 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0549472 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.00518045 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0195753 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0342435 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.00941025 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.059644 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.00862148 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.025552 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.0120039 # DEPENDENCYPART_SIBL
(13,2),(13,24),-0.0595535 # DEPENDENCYPART_SIBL
(13,2),(13,26),-0.084426 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.267561 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0670165 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.00302257 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.00981148 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0280761 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.221389 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.27373 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0361404 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0358161 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0216414 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0463608 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.121369 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0309429 # DEPENDENCYPART_SIBL
(13,3),(13,20),0.0173077 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.0327383 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.0042797 # DEPENDENCYPART_SIBL
(13,3),(13,24),0.0337722 # DEPENDENCYPART_SIBL
(13,3),(13,26),0.027719 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.00156708 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0110998 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0271148 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0231728 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.176348 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.238721 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.014022 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0257323 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0518066 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.00371972 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0246407 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0192195 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0123885 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.00860917 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.0288109 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.0163901 # DEPENDENCYPART_SIBL
(13,4),(13,26),-0.022442 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0266708 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0267403 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0329025 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.233641 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.00050992 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.00406842 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0747701 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0791584 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.00567091 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.124439 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.00247729 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0326005 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.00652935 # DEPENDENCYPART_SIBL
(13,5),(13,23),-0.145224 # DEPENDENCYPART_SIBL
(13,5),(13,24),-0.00836016 # DEPENDENCYPART_SIBL
(13,5),(13,26),-0.010071 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0346864 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0327432 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0962501 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.000867429 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0436571 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0175121 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.00829515 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0229523 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0217392 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0483539 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.000276842 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0181971 # DEPENDENCYPART_SIBL
(13,7),(13,23),0.000337216 # DEPENDENCYPART_SIBL
(13,7),(13,24),-0.0482634 # DEPENDENCYPART_SIBL
(13,7),(13,26),-0.0731359 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.111675 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0277427 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.102373 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.00584758 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0293073 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.00983833 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.01693 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.015368 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.00558717 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0104983 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0186548 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.000978285 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.00340634 # DEPENDENCYPART_SIBL
(13,9),(13,26),0.00404558 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.150471 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.000683634 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.00515445 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.00287058 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.00732056 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0171715 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0270679 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.00490382 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.00872192 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0268337 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.048045 # DEPENDENCYPART_SIBL
(13,10),(13,24),0.0027757 # DEPENDENCYPART_SIBL
(13,10),(13,26),0.00464916 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.144081 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.00273016 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.028004 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.00695521 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0130324 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0741817 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.00246733 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0930053 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0424517 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.000966459 # DEPENDENCYPART_SIBL
(13,11),(13,24),0.00036209 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.0049802 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0189138 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0301833 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.054647 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0086115 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0203329 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0241113 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.00807208 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.00795105 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0331897 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.0212819 # DEPENDENCYPART_SIBL
(13,12),(13,26),-0.0273338 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0791958 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.020148 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.124264 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0451815 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.112609 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.017434 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0266566 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.0337116 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.120532 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.11893 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0372728 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0322886 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0302394 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0273079 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0117241 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0458433 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0602824 # DEPENDENCYPART_SIBL
(13,15),(13,24),0.0302081 # DEPENDENCYPART_SIBL
(13,15),(13,26),0.0585485 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.072526 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.00979812 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0676999 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.00957942 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0121826 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.00666772 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.0682866 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.0685642 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0492746 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.118109 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0227681 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.0308117 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.0405866 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.126032 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.12443 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0129134 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0449408 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0118805 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.168842 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.0100132 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0149738 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.00110617 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0211327 # DEPENDENCYPART_SIBL
(13,19),(13,23),0.0497307 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.115025 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.113423 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.105452 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.222318 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.107571 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.107867 # DEPENDENCYPART_SIBL
(13,22),(13,23),0.136211 # DEPENDENCYPART_SIBL
(13,22),(13,24),0.0376686 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0276734 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.0249681 # DEPENDENCYPART_SIBL
(13,23),(13,26),0.0569044 # DEPENDENCYPART_SIBL
(13,24),(13,26),-0.127668 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0679617 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.000225157 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0188652 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.00152519 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0238625 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.0324572 # DEPENDENCYPART_SIBL
(14,15),(14,25),0.0363733 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0370768 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0345285 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0272233 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0131406 # DEPENDENCYPART_SIBL
(14,16),(14,23),0.0657552 # DEPENDENCYPART_SIBL
(14,16),(14,25),0.0282049 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0890444 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0477486 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.00896463 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.156164 # DEPENDENCYPART_SIBL
(14,17),(14,25),0.03277 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0108888 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0417577 # DEPENDENCYPART_SIBL
(14,18),(14,23),0.0247282 # DEPENDENCYPART_SIBL
(14,18),(14,25),-0.00036974 # DEPENDENCYPART_SIBL
(14,19),(14,22),0.0171083 # DEPENDENCYPART_SIBL
(14,19),(14,23),0.153954 # DEPENDENCYPART_SIBL
(14,19),(14,25),0.0386163 # DEPENDENCYPART_SIBL
(14,22),(14,23),0.0792511 # DEPENDENCYPART_SIBL
(14,22),(14,25),-0.0154364 # DEPENDENCYPART_SIBL
(14,23),(14,25),0.0177924 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.042433 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0657699 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0688552 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0435883 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.735188 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.729046 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.113773 # DEPENDENCYPART_SIBL
(15,17),(15,19),-1.39544 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.260632 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.253437 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.110906 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0152625 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.143056 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0166456 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0920819 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.146819 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0234224 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0556001 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0135596 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.081012 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0390225 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.139472 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0613736 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0208844 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.126222 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0166526 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0315377 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0835917 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0179461 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.110944 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.0315229 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.00505436 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0972876 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0118829 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.00118504 # DEPENDENCYPART_SIBL
(17,14),(17,25),0.00085572 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.000430147 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.00739305 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0343083 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.00736964 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0156162 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0326605 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0104045 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0412561 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.000840584 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.0323867 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0170341 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.0385855 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.043809 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0154471 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.00353748 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.0270689 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.114937 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.071227 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.111039 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.233155 # DEPENDENCYPART_SIBL
(18,19),(18,24),-1.36034 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.544241 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0573454 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0142176 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.00220449 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.042438 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.100544 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.194592 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0516268 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.159315 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.0512585 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0290248 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0268549 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0553471 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.00547557 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0986614 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0335489 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.014548 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.0315673 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.154323 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0247142 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.00303991 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.108783 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0024491 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.00157128 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0117441 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0568355 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0848868 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.13413 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0235731 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.123313 # DEPENDENCYPART_SIBL
(19,18),(19,26),-0.0232079 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0166115 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0210987 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.00823767 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0166886 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.00139289 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0792218 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.00172252 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0157652 # DEPENDENCYPART_SIBL
(19,22),(19,26),0.00354549 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0208876 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.0146703 # DEPENDENCYPART_SIBL
(19,23),(19,26),0.0153848 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0317819 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0559029 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0270603 # DEPENDENCYPART_SIBL
(20,1),(20,3),0.367431 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.278123 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.0196493 # DEPENDENCYPART_SIBL
(20,1),(20,8),0.0887157 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.00403631 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.00964418 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.245117 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.277828 # DEPENDENCYPART_SIBL
