# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=15,5,5,5,1,5,8,6,10,6,10,11,5,15,0,15,16,17,18,19,20,20,24,22,0,
(13,11),(13,17),-0.00511791 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.010886 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0283741 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00415575 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.154056 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.132111 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.11576 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.355379 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0223284 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.00280661 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.00233617 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0025018 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0220236 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0224941 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0207768 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.024947 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0248948 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.142761 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.37301 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0955206 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.00849968 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.00637945 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.172008 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.168003 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.17832 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.00575674 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.181809 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.142761 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.000535032 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0573837 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.0487735 # DEPENDENCYPART_SIBL
(14,1),(14,18),0.0284112 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.0573172 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.0382582 # DEPENDENCYPART_SIBL
(14,1),(14,21),0.0468157 # DEPENDENCYPART_SIBL
(14,1),(14,22),0.0334314 # DEPENDENCYPART_SIBL
(14,1),(14,24),0.0440332 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.343178 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.22514 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0985931 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.0935853 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0157838 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.00836744 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0148655 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.00469684 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.00966682 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.196388 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0101101 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0735482 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.0874342 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0607587 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.00461915 # DEPENDENCYPART_SIBL
(14,2),(14,20),0.0632464 # DEPENDENCYPART_SIBL
(14,2),(14,21),0.0480326 # DEPENDENCYPART_SIBL
(14,2),(14,22),0.0136526 # DEPENDENCYPART_SIBL
(14,2),(14,24),0.0651085 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.145644 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0256605 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.022276 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0285463 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0426676 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0304055 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.12104 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0310974 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.191583 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0587014 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.112904 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0971989 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.0824598 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0821634 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0881569 # DEPENDENCYPART_SIBL
(14,3),(14,21),0.0813795 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.111684 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.0877931 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.133818 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.136972 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.132741 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.012258 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.139791 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.126473 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.131973 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0342525 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0631531 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.21262 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.194158 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.183468 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.108419 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.187937 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.181235 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.118934 # DEPENDENCYPART_SIBL
(14,4),(14,24),0.186954 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.236844 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.00630368 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0693655 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.000755037 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.000377474 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.00707165 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0945884 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0269754 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0428778 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0244163 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.013726 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.00034122 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0181948 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.0114935 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.024465 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.0172117 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.00667893 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0697452 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.000379788 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.000551803 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0074469 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0977209 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.0292654 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0426481 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.0241866 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0134963 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.00068985 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.0179651 # DEPENDENCYPART_SIBL
(14,6),(14,21),0.0112638 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.0248136 # DEPENDENCYPART_SIBL
(14,6),(14,24),0.016982 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.165903 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.177189 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.00816781 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.180678 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.130823 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0118181 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0123099 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.00369974 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0166626 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.0495552 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.00681564 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.00174187 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0213758 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.00104061 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0524261 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0344101 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0530766 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0365245 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0843587 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.0249095 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.00946314 # DEPENDENCYPART_SIBL
(14,9),(14,18),-3.27648e-05 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.026141 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.00623591 # DEPENDENCYPART_SIBL
(14,9),(14,21),0.00874026 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0502004 # DEPENDENCYPART_SIBL
(14,9),(14,24),0.00931895 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.00607321 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.181526 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.142333 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.000262726 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0489403 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0403302 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0199678 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0503037 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0298148 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0383723 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.026418 # DEPENDENCYPART_SIBL
(14,10),(14,24),0.0355898 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.015194 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.176701 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.00055926 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.134109 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.113109 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.100507 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0213207 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.109642 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.103209 # DEPENDENCYPART_SIBL
(14,11),(14,22),0.00169827 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.112352 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.152092 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.00287104 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0359873 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0273771 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.00701478 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0570341 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0168617 # DEPENDENCYPART_SIBL
(14,12),(14,21),0.0254192 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0331435 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.0226368 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0101101 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0735482 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0874342 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0607587 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.00461915 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0632464 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.0480326 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0136526 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.0651085 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0319618 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0339407 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0333994 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0525502 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.0313161 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.0321245 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.160259 # DEPENDENCYPART_SIBL
(14,15),(14,24),0.032828 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0333094 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.037086 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0925945 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0430211 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0355199 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.169205 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.0348732 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0373916 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0956721 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0433268 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0358255 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.172282 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.0351788 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0913042 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0448549 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0373537 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.166803 # DEPENDENCYPART_SIBL
(14,18),(14,24),-0.036707 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0774177 # DEPENDENCYPART_SIBL
(14,19),(14,21),0.0770593 # DEPENDENCYPART_SIBL
(14,19),(14,22),0.0242181 # DEPENDENCYPART_SIBL
(14,19),(14,24),0.0767819 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0406039 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.161989 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.0399572 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.192524 # DEPENDENCYPART_SIBL
(14,21),(14,24),-0.0288425 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.0808892 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.148565 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.384033 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0882811 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.000862061 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.175875 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.184535 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.175862 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.190847 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.014532 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.194336 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.148565 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.223306 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0227076 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0313178 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0516802 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.012493 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0418332 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0332757 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.00172078 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0360582 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.351815 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.243403 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.111847 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.00910728 # DEPENDENCYPART_SIBL
(15,2),(15,8),0.0282167 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.00912908 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.0272984 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0260822 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0220997 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.174704 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.335481 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0025257 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.0164116 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0102638 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0298048 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.00777614 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.02299 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.000399576 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.00591409 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.154602 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.0312325 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0342722 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.0327737 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.0341191 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.0346329 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.129153 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0353248 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.181338 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.155844 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.000355366 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0153493 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0300884 # DEPENDENCYPART_SIBL
(15,3),(15,19),0.00904502 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.0243913 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.0311687 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.0483412 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.0247551 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.135759 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0128858 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.128703 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.0129828 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.135753 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.122902 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.127935 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0314722 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.0374226 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.177826 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.159365 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.148675 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.0954487 # DEPENDENCYPART_SIBL
(15,4),(15,20),0.153143 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.146442 # DEPENDENCYPART_SIBL
(15,4),(15,22),0.114591 # DEPENDENCYPART_SIBL
(15,4),(15,24),0.15216 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0691183 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0107177 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0690213 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.00365899 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.00412363 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0114857 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0949415 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.137656 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.00785001 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0106115 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0213018 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0136635 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.016833 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.0235343 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.0291596 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.0178161 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0564619 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0118343 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0551672 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0329695 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0558177 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0324572 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.154172 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0387128 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0541592 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0636551 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0551645 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0573864 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0548821 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0705987 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0543034 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.173762 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.189716 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0121209 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.193205 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.136627 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.23241 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0677814 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0763916 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0967539 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.00473111 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.086907 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0783495 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0137764 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.081132 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0551677 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0329695 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0558182 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0324364 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.154172 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0393365 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0547829 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0642788 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0551648 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0580101 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0555058 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.070599 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0549271 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0142146 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.194053 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.148136 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.223473 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0311493 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0397595 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0601219 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.00548127 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0502749 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0417174 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.00873253 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0444999 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0234298 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.178149 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.132113 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0573706 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0363706 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0237691 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0396978 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0329038 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0264705 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0530267 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.0356138 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.157896 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.224349 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0441041 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0527142 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0730766 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.01221 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0632296 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0546721 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.00200861 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0574546 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.335481 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0025257 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0164116 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0102638 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0298048 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.00777614 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.02299 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.000399576 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.00591409 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.174013 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.155551 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.144861 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0675706 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.149329 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.142628 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0752368 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.148345 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.113535 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.117311 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0207917 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.123246 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.115745 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0557582 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.115098 # DEPENDENCYPART_SIBL
