# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=5,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(12,15),(12,19),-0.0865378 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.344422 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0599183 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.165503 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0772319 # DEPENDENCYPART_SIBL
(13,10),(13,15),1.31513e-06 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0809646 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.100743 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0786309 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0475612 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0370793 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.0399199 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0752516 # DEPENDENCYPART_SIBL
(13,10),(13,26),-0.142554 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.123687 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0975452 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0888638 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.101554 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.117409 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0988684 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0127505 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0452326 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0656116 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.136581 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.0204213 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.209538 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0532982 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.213432 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.174148 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.210922 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.091686 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.202644 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.119946 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.198974 # DEPENDENCYPART_SIBL
(13,12),(13,26),-0.195504 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.305039 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.064235 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0640576 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0641649 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0386197 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.0174992 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0510885 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.103332 # DEPENDENCYPART_SIBL
(13,14),(13,26),0.0329047 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0104836 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0614984 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0104579 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0190114 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0163109 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.0276618 # DEPENDENCYPART_SIBL
(13,15),(13,24),0.106689 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.00277574 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0640209 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0640476 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0384502 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0178674 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0511251 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.103283 # DEPENDENCYPART_SIBL
(13,16),(13,26),0.0330222 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0750504 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0378627 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0694259 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.0511775 # DEPENDENCYPART_SIBL
(13,17),(13,24),0.114106 # DEPENDENCYPART_SIBL
(13,17),(13,26),0.0766686 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0380336 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.0183031 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0499712 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.104449 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0334201 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.00718569 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.0118439 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.032512 # DEPENDENCYPART_SIBL
(13,19),(13,26),0.0175189 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.05269 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.00287291 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.0153426 # DEPENDENCYPART_SIBL
(13,22),(13,24),-0.00667491 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0114903 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.00409663 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.165655 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.10815 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0761862 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0878998 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0718688 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.205206 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.166226 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0236531 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0906811 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0643353 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0326496 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0422892 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.0322877 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.051159 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.110813 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0420022 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.102326 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0201831 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0180908 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0353605 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0555761 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0342095 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0779036 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.27715 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0746858 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.0323203 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0556522 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0746932 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.312772 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0690903 # DEPENDENCYPART_SIBL
(15,1),(15,24),0.221762 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0742949 # DEPENDENCYPART_SIBL
(15,1),(15,28),-0.101263 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0105416 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0153279 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0742065 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.0924713 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0149632 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.0869515 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.00717988 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.01963 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0113195 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0398297 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.019519 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0418104 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0801185 # DEPENDENCYPART_SIBL
(15,2),(15,18),0.0450278 # DEPENDENCYPART_SIBL
(15,2),(15,19),0.0449194 # DEPENDENCYPART_SIBL
(15,2),(15,20),0.0385649 # DEPENDENCYPART_SIBL
(15,2),(15,21),0.0450251 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0672734 # DEPENDENCYPART_SIBL
(15,2),(15,23),0.0514336 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.105136 # DEPENDENCYPART_SIBL
(15,2),(15,25),0.0445978 # DEPENDENCYPART_SIBL
(15,2),(15,28),0.019311 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.0357976 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.000251775 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.038975 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.325193 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.0334552 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0410048 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.0369976 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.03123 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.00884465 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.0305718 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.00396053 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0485683 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00211839 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0293406 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.218231 # DEPENDENCYPART_SIBL
(15,3),(15,21),0.00184787 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.106108 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.00324701 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.0378512 # DEPENDENCYPART_SIBL
(15,3),(15,25),0.00183794 # DEPENDENCYPART_SIBL
(15,3),(15,28),-0.0292077 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0762297 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.0856673 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.187917 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.0793719 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0181305 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.00595052 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.0498401 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0105458 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0215354 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0096784 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0787464 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.00354339 # DEPENDENCYPART_SIBL
(15,4),(15,19),-0.0584208 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.0259321 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.00722974 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.0850239 # DEPENDENCYPART_SIBL
(15,4),(15,23),0.00848171 # DEPENDENCYPART_SIBL
(15,4),(15,24),-0.0518433 # DEPENDENCYPART_SIBL
(15,4),(15,25),-0.00377085 # DEPENDENCYPART_SIBL
(15,4),(15,28),-0.0475106 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0722983 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0127741 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.08195 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.136025 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.156121 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.109755 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.204823 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.184358 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.146765 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0204881 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.14337 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.00886651 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.488971 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.143716 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.00451911 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.136964 # DEPENDENCYPART_SIBL
(15,5),(15,24),0.0102336 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.145305 # DEPENDENCYPART_SIBL
(15,5),(15,28),-0.173659 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.00605505 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0574515 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.106773 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.127312 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0875275 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.15906 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.138594 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.153617 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.00780058 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.150222 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0119204 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.481877 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.150568 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.00432945 # DEPENDENCYPART_SIBL
(15,6),(15,23),-0.143815 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.0174595 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.152157 # DEPENDENCYPART_SIBL
(15,6),(15,28),-0.180511 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.0238582 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0951443 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0349223 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0131114 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0425036 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.00397918 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0238674 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.077623 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0180496 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.0343656 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.0233139 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0180578 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0101511 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.002358 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.0296135 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.0101172 # DEPENDENCYPART_SIBL
(15,8),(15,28),-0.0612937 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.115234 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.135773 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.099039 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.167521 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.147056 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.166935 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0142824 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.16354 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.000580247 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.460982 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.163886 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0264187 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.157134 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0440882 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.165475 # DEPENDENCYPART_SIBL
(15,9),(15,28),-0.193829 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.086799 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0186987 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.138933 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.118595 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.044751 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0256304 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0417094 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0271567 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.0340764 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0417121 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.0478231 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0353062 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0376572 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.0421394 # DEPENDENCYPART_SIBL
(15,10),(15,28),-0.0674275 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0590986 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0469626 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0267372 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0513218 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0111363 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0479285 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0112052 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0317965 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0479367 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0164665 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0376554 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0440669 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0487847 # DEPENDENCYPART_SIBL
(15,11),(15,28),-0.0743974 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0928184 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0714518 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.224424 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.28573 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.221206 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0669909 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.194532 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.221214 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.750228 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.215611 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.182769 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.220816 # DEPENDENCYPART_SIBL
(15,12),(15,28),-0.246867 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0264016 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0138667 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0759048 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0200017 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0388536 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0447053 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0163154 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0888876 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0320268 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0450819 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.0197743 # DEPENDENCYPART_SIBL
(15,13),(15,28),-0.0239654 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0469294 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0516177 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0530644 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0288466 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.021849 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0493781 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0645991 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0650895 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.0204798 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.052837 # DEPENDENCYPART_SIBL
(15,14),(15,28),0.00909728 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0172241 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0344924 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0522061 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.480306 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0344937 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.00638935 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0347348 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0474498 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0349115 # DEPENDENCYPART_SIBL
(15,16),(15,28),-0.0610797 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.00707252 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0996833 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.465445 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.00498593 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0412507 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.00705067 # DEPENDENCYPART_SIBL
(15,17),(15,24),0.0761462 # DEPENDENCYPART_SIBL
(15,17),(15,25),0.00642825 # DEPENDENCYPART_SIBL
(15,17),(15,28),-0.00311401 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0521956 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.480287 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0344937 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.00677394 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0347348 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0478465 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0349115 # DEPENDENCYPART_SIBL
(15,18),(15,28),-0.0610797 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.284905 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0353404 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.05598 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0353392 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.00125289 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0355725 # DEPENDENCYPART_SIBL
(15,19),(15,28),-0.046417 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0260554 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.00733297 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.0260567 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.0131083 # DEPENDENCYPART_SIBL
(15,20),(15,25),0.0280569 # DEPENDENCYPART_SIBL
(15,20),(15,28),0.012385 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.00897758 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.036225 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.0500502 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0364017 # DEPENDENCYPART_SIBL
(15,21),(15,28),-0.0625699 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0225159 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.0686252 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0231969 # DEPENDENCYPART_SIBL
(15,22),(15,28),-0.0326752 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0265637 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0391639 # DEPENDENCYPART_SIBL
(15,23),(15,28),-0.0653321 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0147796 # DEPENDENCYPART_SIBL
(15,24),(15,28),-0.0242146 # DEPENDENCYPART_SIBL
(15,25),(15,28),-0.0643982 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0816808 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0757982 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0551867 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.118115 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.0823849 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0145762 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0501577 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.104263 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.0348822 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0525292 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.00303415 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.0137668 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.00266522 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0172065 # DEPENDENCYPART_SIBL
(16,24),(16,26),0.00981307 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.151858 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0843826 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0495775 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.034589 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0880656 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0901528 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0615704 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0334724 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0938358 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.209597 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.45933 # DEPENDENCYPART_SIBL
(17,18),(17,21),-1.3243 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0823707 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.535946 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.50801 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0144638 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0143867 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.127585 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.00469296 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0235826 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0133726 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.127822 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.00580255 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0158478 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.12782 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.00584811 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0178441 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0404768 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0197267 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.00232993 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.0393282 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.05324 # DEPENDENCYPART_SIBL
