# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,27,27,25,19,0,
(20,18),-0.950871 # DEPENDENCYPART_ARC
(20,19),-1.14428 # DEPENDENCYPART_ARC
(20,21),-0.907663 # DEPENDENCYPART_ARC
(20,22),-1.29096 # DEPENDENCYPART_ARC
(20,23),-1.1515 # DEPENDENCYPART_ARC
(20,24),-1.70354 # DEPENDENCYPART_ARC
(20,25),-1.95707 # DEPENDENCYPART_ARC
(20,26),-1.61924 # DEPENDENCYPART_ARC
(20,27),-0.264861 # DEPENDENCYPART_ARC
(20,28),-0.488771 # DEPENDENCYPART_ARC
(21,1),-2.93095 # DEPENDENCYPART_ARC
(21,3),-2.73437 # DEPENDENCYPART_ARC
(21,5),-4.39115 # DEPENDENCYPART_ARC
(21,6),-4.56993 # DEPENDENCYPART_ARC
(21,7),-3.42983 # DEPENDENCYPART_ARC
(21,8),-4.38169 # DEPENDENCYPART_ARC
(21,9),-3.12581 # DEPENDENCYPART_ARC
(21,10),-3.40904 # DEPENDENCYPART_ARC
(21,11),-1.43895 # DEPENDENCYPART_ARC
(21,12),-0.963907 # DEPENDENCYPART_ARC
(21,15),-2.23207 # DEPENDENCYPART_ARC
(21,16),-2.4662 # DEPENDENCYPART_ARC
(21,17),-0.941171 # DEPENDENCYPART_ARC
(21,18),-3.1809 # DEPENDENCYPART_ARC
(21,19),-2.48362 # DEPENDENCYPART_ARC
(21,20),-0.503901 # DEPENDENCYPART_ARC
(21,24),1.64536 # DEPENDENCYPART_ARC
(21,25),-0.690297 # DEPENDENCYPART_ARC
(21,27),-1.02463 # DEPENDENCYPART_ARC
(21,28),-0.826131 # DEPENDENCYPART_ARC
(23,1),-3.66665 # DEPENDENCYPART_ARC
(23,3),-2.45571 # DEPENDENCYPART_ARC
(23,4),-2.49001 # DEPENDENCYPART_ARC
(23,5),-3.79801 # DEPENDENCYPART_ARC
(23,6),-3.65225 # DEPENDENCYPART_ARC
(23,7),-2.04553 # DEPENDENCYPART_ARC
(23,8),-3.30758 # DEPENDENCYPART_ARC
(23,9),-3.13063 # DEPENDENCYPART_ARC
(23,10),-3.41558 # DEPENDENCYPART_ARC
(23,11),-1.35972 # DEPENDENCYPART_ARC
(23,12),-1.5887 # DEPENDENCYPART_ARC
(23,13),-1.15941 # DEPENDENCYPART_ARC
(23,14),-2.40626 # DEPENDENCYPART_ARC
(23,15),-2.81308 # DEPENDENCYPART_ARC
(23,16),-2.44057 # DEPENDENCYPART_ARC
(23,17),-1.15235 # DEPENDENCYPART_ARC
(23,18),-2.328 # DEPENDENCYPART_ARC
(23,19),-1.73856 # DEPENDENCYPART_ARC
(23,20),-0.303569 # DEPENDENCYPART_ARC
(23,21),-1.11921 # DEPENDENCYPART_ARC
(23,24),-0.412999 # DEPENDENCYPART_ARC
(23,25),-0.1126 # DEPENDENCYPART_ARC
(23,27),-0.870495 # DEPENDENCYPART_ARC
(23,28),-0.427086 # DEPENDENCYPART_ARC
(24,1),-2.99713 # DEPENDENCYPART_ARC
(24,3),-2.22617 # DEPENDENCYPART_ARC
(24,5),-4.40369 # DEPENDENCYPART_ARC
(24,6),-4.58503 # DEPENDENCYPART_ARC
(24,7),-3.67425 # DEPENDENCYPART_ARC
(24,8),-4.34285 # DEPENDENCYPART_ARC
(24,9),-2.9844 # DEPENDENCYPART_ARC
(24,10),-3.61435 # DEPENDENCYPART_ARC
(24,11),-1.45057 # DEPENDENCYPART_ARC
(24,12),-1.11802 # DEPENDENCYPART_ARC
(24,13),-1.23993 # DEPENDENCYPART_ARC
(24,14),-1.12393 # DEPENDENCYPART_ARC
(24,15),-2.2199 # DEPENDENCYPART_ARC
(24,16),-2.62751 # DEPENDENCYPART_ARC
(24,17),-0.886708 # DEPENDENCYPART_ARC
(24,18),-3.67687 # DEPENDENCYPART_ARC
(24,19),-2.9435 # DEPENDENCYPART_ARC
(24,20),-0.715472 # DEPENDENCYPART_ARC
(24,23),0.223152 # DEPENDENCYPART_ARC
(24,25),1.11264 # DEPENDENCYPART_ARC
(24,27),-0.534838 # DEPENDENCYPART_ARC
(24,28),-0.485989 # DEPENDENCYPART_ARC
(25,1),-3.72845 # DEPENDENCYPART_ARC
(25,3),-2.06305 # DEPENDENCYPART_ARC
(25,4),-2.56044 # DEPENDENCYPART_ARC
(25,5),-4.0847 # DEPENDENCYPART_ARC
(25,6),-3.88703 # DEPENDENCYPART_ARC
(25,7),-2.36876 # DEPENDENCYPART_ARC
(25,8),-3.6838 # DEPENDENCYPART_ARC
(25,9),-3.02676 # DEPENDENCYPART_ARC
(25,10),-2.81475 # DEPENDENCYPART_ARC
(25,11),-2.23356 # DEPENDENCYPART_ARC
(25,12),-2.21369 # DEPENDENCYPART_ARC
(25,13),-1.87409 # DEPENDENCYPART_ARC
(25,14),-2.90902 # DEPENDENCYPART_ARC
(25,15),-3.38982 # DEPENDENCYPART_ARC
(25,16),-3.26102 # DEPENDENCYPART_ARC
(25,17),-1.98217 # DEPENDENCYPART_ARC
(25,18),-2.40282 # DEPENDENCYPART_ARC
(25,19),-1.39144 # DEPENDENCYPART_ARC
(25,20),-0.171653 # DEPENDENCYPART_ARC
(25,21),-2.08991 # DEPENDENCYPART_ARC
(25,23),-0.655141 # DEPENDENCYPART_ARC
(25,24),-0.96107 # DEPENDENCYPART_ARC
(25,26),4.23381 # DEPENDENCYPART_ARC
(25,27),-0.195318 # DEPENDENCYPART_ARC
(25,28),-0.421336 # DEPENDENCYPART_ARC
(26,5),-3.29996 # DEPENDENCYPART_ARC
(26,6),-3.42268 # DEPENDENCYPART_ARC
(26,7),-3.83122 # DEPENDENCYPART_ARC
(26,8),-3.24204 # DEPENDENCYPART_ARC
(26,13),-1.37835 # DEPENDENCYPART_ARC
(26,16),-2.23696 # DEPENDENCYPART_ARC
(26,17),-1.25191 # DEPENDENCYPART_ARC
(26,19),-1.99586 # DEPENDENCYPART_ARC
(26,24),-0.670234 # DEPENDENCYPART_ARC
(26,25),0.109262 # DEPENDENCYPART_ARC
(27,1),-1.62709 # DEPENDENCYPART_ARC
(27,2),-2.61605 # DEPENDENCYPART_ARC
(27,3),0.492814 # DEPENDENCYPART_ARC
(27,4),-3.24535 # DEPENDENCYPART_ARC
(27,5),-0.575697 # DEPENDENCYPART_ARC
(27,6),-0.525543 # DEPENDENCYPART_ARC
(27,7),0.0588469 # DEPENDENCYPART_ARC
(27,8),-0.266215 # DEPENDENCYPART_ARC
(27,9),-0.12931 # DEPENDENCYPART_ARC
(27,10),-1.76042 # DEPENDENCYPART_ARC
(27,11),0.72635 # DEPENDENCYPART_ARC
(27,12),-1.79013 # DEPENDENCYPART_ARC
(27,13),-0.0758421 # DEPENDENCYPART_ARC
(27,14),-0.527478 # DEPENDENCYPART_ARC
(27,15),0.142085 # DEPENDENCYPART_ARC
(27,16),1.59402 # DEPENDENCYPART_ARC
(27,17),0.528356 # DEPENDENCYPART_ARC
(27,18),-1.62057 # DEPENDENCYPART_ARC
(27,19),-0.759424 # DEPENDENCYPART_ARC
(27,20),2.66443 # DEPENDENCYPART_ARC
(27,21),2.55701 # DEPENDENCYPART_ARC
(27,22),2.70156 # DEPENDENCYPART_ARC
(27,23),2.53451 # DEPENDENCYPART_ARC
(27,24),2.38689 # DEPENDENCYPART_ARC
(27,25),3.72846 # DEPENDENCYPART_ARC
(27,26),1.21406 # DEPENDENCYPART_ARC
(27,28),0.0835392 # DEPENDENCYPART_ARC
(28,1),-6.22441 # DEPENDENCYPART_ARC
(28,2),-5.99 # DEPENDENCYPART_ARC
(28,3),-7.16653 # DEPENDENCYPART_ARC
(28,4),-5.58144 # DEPENDENCYPART_ARC
(28,5),-7.13644 # DEPENDENCYPART_ARC
(28,6),-6.99478 # DEPENDENCYPART_ARC
(28,7),-5.40295 # DEPENDENCYPART_ARC
(28,8),-6.69557 # DEPENDENCYPART_ARC
(28,9),-5.47898 # DEPENDENCYPART_ARC
(28,10),-5.16548 # DEPENDENCYPART_ARC
(28,11),-4.4355 # DEPENDENCYPART_ARC
(28,12),-4.53068 # DEPENDENCYPART_ARC
(28,13),-3.90065 # DEPENDENCYPART_ARC
(28,14),-4.13765 # DEPENDENCYPART_ARC
(28,15),-4.67601 # DEPENDENCYPART_ARC
(28,16),-5.15899 # DEPENDENCYPART_ARC
(28,17),-4.26585 # DEPENDENCYPART_ARC
(28,18),-4.08265 # DEPENDENCYPART_ARC
(28,19),-4.26461 # DEPENDENCYPART_ARC
(28,20),-3.32219 # DEPENDENCYPART_ARC
(28,21),-3.55171 # DEPENDENCYPART_ARC
(28,22),-3.50899 # DEPENDENCYPART_ARC
(28,23),-3.7591 # DEPENDENCYPART_ARC
(28,24),-3.17736 # DEPENDENCYPART_ARC
(28,25),-3.03471 # DEPENDENCYPART_ARC
(28,26),-2.61294 # DEPENDENCYPART_ARC
(28,27),-3.82746 # DEPENDENCYPART_ARC
