# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=18,3,1,0,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(21,2),-1.84978 # DEPENDENCYPART_ARC
(21,3),-1.52221 # DEPENDENCYPART_ARC
(21,4),-1.48085 # DEPENDENCYPART_ARC
(21,5),-0.63759 # DEPENDENCYPART_ARC
(21,6),-1.13195 # DEPENDENCYPART_ARC
(21,7),-0.638884 # DEPENDENCYPART_ARC
(21,8),0.157102 # DEPENDENCYPART_ARC
(21,9),-0.591202 # DEPENDENCYPART_ARC
(21,10),-0.553936 # DEPENDENCYPART_ARC
(21,11),-0.823711 # DEPENDENCYPART_ARC
(21,12),0.0625684 # DEPENDENCYPART_ARC
(21,13),0.133515 # DEPENDENCYPART_ARC
(21,14),-0.0226512 # DEPENDENCYPART_ARC
(21,15),0.150532 # DEPENDENCYPART_ARC
(21,16),0.516063 # DEPENDENCYPART_ARC
(21,17),0.529432 # DEPENDENCYPART_ARC
(21,18),0.963484 # DEPENDENCYPART_ARC
(21,19),0.199762 # DEPENDENCYPART_ARC
(21,20),4.61175 # DEPENDENCYPART_ARC
(21,22),6.93878 # DEPENDENCYPART_ARC
(21,23),1.14902 # DEPENDENCYPART_ARC
(21,24),0.791724 # DEPENDENCYPART_ARC
(21,25),-0.143362 # DEPENDENCYPART_ARC
(22,1),-7.33196 # DEPENDENCYPART_ARC
(22,2),-7.39767 # DEPENDENCYPART_ARC
(22,3),-7.39771 # DEPENDENCYPART_ARC
(22,4),-4.43583 # DEPENDENCYPART_ARC
(22,5),-7.13734 # DEPENDENCYPART_ARC
(22,6),-6.81125 # DEPENDENCYPART_ARC
(22,7),-4.04592 # DEPENDENCYPART_ARC
(22,8),-3.61529 # DEPENDENCYPART_ARC
(22,9),-5.95362 # DEPENDENCYPART_ARC
(22,10),-4.03992 # DEPENDENCYPART_ARC
(22,11),-6.92338 # DEPENDENCYPART_ARC
(22,12),-6.1925 # DEPENDENCYPART_ARC
(22,13),-6.53505 # DEPENDENCYPART_ARC
(22,14),-6.35476 # DEPENDENCYPART_ARC
(22,15),-2.53713 # DEPENDENCYPART_ARC
(22,16),-2.29861 # DEPENDENCYPART_ARC
(22,17),-1.44814 # DEPENDENCYPART_ARC
(22,18),-4.97287 # DEPENDENCYPART_ARC
(22,19),-1.62362 # DEPENDENCYPART_ARC
(22,20),-2.17135 # DEPENDENCYPART_ARC
(22,21),-0.583184 # DEPENDENCYPART_ARC
(22,23),-0.7393 # DEPENDENCYPART_ARC
(22,24),-0.833971 # DEPENDENCYPART_ARC
(22,25),-0.663016 # DEPENDENCYPART_ARC
(23,1),-8.75017 # DEPENDENCYPART_ARC
(23,2),-5.52456 # DEPENDENCYPART_ARC
(23,3),-8.49247 # DEPENDENCYPART_ARC
(23,4),-2.47545 # DEPENDENCYPART_ARC
(23,5),-7.57482 # DEPENDENCYPART_ARC
(23,6),-7.51488 # DEPENDENCYPART_ARC
(23,7),-1.55646 # DEPENDENCYPART_ARC
(23,8),-4.27328 # DEPENDENCYPART_ARC
(23,9),-2.95685 # DEPENDENCYPART_ARC
(23,10),-6.28044 # DEPENDENCYPART_ARC
(23,11),-5.88814 # DEPENDENCYPART_ARC
(23,12),-3.36542 # DEPENDENCYPART_ARC
(23,13),-3.09532 # DEPENDENCYPART_ARC
(23,14),-6.36222 # DEPENDENCYPART_ARC
(23,15),-0.670324 # DEPENDENCYPART_ARC
(23,16),-2.36119 # DEPENDENCYPART_ARC
(23,17),-0.946111 # DEPENDENCYPART_ARC
(23,18),-1.35011 # DEPENDENCYPART_ARC
(23,19),0.0662006 # DEPENDENCYPART_ARC
(23,20),2.28275 # DEPENDENCYPART_ARC
(23,21),2.81387 # DEPENDENCYPART_ARC
(23,22),5.0576 # DEPENDENCYPART_ARC
(23,24),3.57773 # DEPENDENCYPART_ARC
(23,25),0.0250682 # DEPENDENCYPART_ARC
(24,1),-9.25966 # DEPENDENCYPART_ARC
(24,2),-5.21442 # DEPENDENCYPART_ARC
(24,3),-8.29527 # DEPENDENCYPART_ARC
(24,4),-3.87404 # DEPENDENCYPART_ARC
(24,5),-6.90525 # DEPENDENCYPART_ARC
(24,6),-7.27486 # DEPENDENCYPART_ARC
(24,7),-2.14516 # DEPENDENCYPART_ARC
(24,8),-4.96072 # DEPENDENCYPART_ARC
(24,9),-3.50257 # DEPENDENCYPART_ARC
(24,10),-6.97829 # DEPENDENCYPART_ARC
(24,11),-4.55116 # DEPENDENCYPART_ARC
(24,12),-4.225 # DEPENDENCYPART_ARC
(24,13),-3.93892 # DEPENDENCYPART_ARC
(24,14),-7.54643 # DEPENDENCYPART_ARC
(24,15),-1.3006 # DEPENDENCYPART_ARC
(24,16),-3.02523 # DEPENDENCYPART_ARC
(24,17),-1.52855 # DEPENDENCYPART_ARC
(24,18),-1.97458 # DEPENDENCYPART_ARC
(24,19),-0.579239 # DEPENDENCYPART_ARC
(24,20),-2.79451 # DEPENDENCYPART_ARC
(24,21),0.938115 # DEPENDENCYPART_ARC
(24,22),-0.893084 # DEPENDENCYPART_ARC
(24,23),-0.803817 # DEPENDENCYPART_ARC
(24,25),-0.0400388 # DEPENDENCYPART_ARC
(25,1),-7.6413 # DEPENDENCYPART_ARC
(25,2),-5.62239 # DEPENDENCYPART_ARC
(25,3),-6.62364 # DEPENDENCYPART_ARC
(25,4),-6.35883 # DEPENDENCYPART_ARC
(25,5),-5.35774 # DEPENDENCYPART_ARC
(25,6),-5.6457 # DEPENDENCYPART_ARC
(25,7),-5.37106 # DEPENDENCYPART_ARC
(25,8),-4.81865 # DEPENDENCYPART_ARC
(25,9),-4.66926 # DEPENDENCYPART_ARC
(25,10),-5.69236 # DEPENDENCYPART_ARC
(25,11),-5.34515 # DEPENDENCYPART_ARC
(25,12),-4.52413 # DEPENDENCYPART_ARC
(25,13),-3.95661 # DEPENDENCYPART_ARC
(25,14),-4.72435 # DEPENDENCYPART_ARC
(25,15),-3.82608 # DEPENDENCYPART_ARC
(25,16),-3.57586 # DEPENDENCYPART_ARC
(25,17),-3.60894 # DEPENDENCYPART_ARC
(25,18),-3.84909 # DEPENDENCYPART_ARC
(25,19),-3.5678 # DEPENDENCYPART_ARC
(25,20),-3.06151 # DEPENDENCYPART_ARC
(25,21),-3.86109 # DEPENDENCYPART_ARC
(25,22),-2.91109 # DEPENDENCYPART_ARC
(25,23),-3.28983 # DEPENDENCYPART_ARC
(25,24),-2.93122 # DEPENDENCYPART_ARC
