# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,15,11,15,16,17,15,23,20,21,15,26,26,23,26,0,23,
(18,1),-3.17159 # DEPENDENCYPART_ARC
(18,2),-8.90428 # DEPENDENCYPART_ARC
(18,3),-3.56199 # DEPENDENCYPART_ARC
(18,4),-3.69958 # DEPENDENCYPART_ARC
(18,5),-4.42276 # DEPENDENCYPART_ARC
(18,6),-3.47266 # DEPENDENCYPART_ARC
(18,7),-5.79499 # DEPENDENCYPART_ARC
(18,8),-5.61596 # DEPENDENCYPART_ARC
(18,9),-5.60377 # DEPENDENCYPART_ARC
(18,10),-0.925785 # DEPENDENCYPART_ARC
(18,11),-4.29856 # DEPENDENCYPART_ARC
(18,12),-1.76772 # DEPENDENCYPART_ARC
(18,13),-1.10952 # DEPENDENCYPART_ARC
(18,14),-3.40222 # DEPENDENCYPART_ARC
(18,15),-3.08141 # DEPENDENCYPART_ARC
(18,16),-0.376455 # DEPENDENCYPART_ARC
(18,17),0.51217 # DEPENDENCYPART_ARC
(18,19),-0.812635 # DEPENDENCYPART_ARC
(18,20),-0.985421 # DEPENDENCYPART_ARC
(18,21),-1.70576 # DEPENDENCYPART_ARC
(18,22),-4.53895 # DEPENDENCYPART_ARC
(18,23),-0.31459 # DEPENDENCYPART_ARC
(18,24),-1.19083 # DEPENDENCYPART_ARC
(18,25),-1.46892 # DEPENDENCYPART_ARC
(18,26),-2.92533 # DEPENDENCYPART_ARC
(18,27),-7.15611 # DEPENDENCYPART_ARC
(18,28),-3.03086 # DEPENDENCYPART_ARC
(18,29),-2.07292 # DEPENDENCYPART_ARC
(19,1),0.39686 # DEPENDENCYPART_ARC
(19,2),-2.39931 # DEPENDENCYPART_ARC
(19,3),-1.03379 # DEPENDENCYPART_ARC
(19,4),-0.896301 # DEPENDENCYPART_ARC
(19,5),0.147774 # DEPENDENCYPART_ARC
(19,6),-1.02029 # DEPENDENCYPART_ARC
(19,7),-1.5725 # DEPENDENCYPART_ARC
(19,8),-1.75226 # DEPENDENCYPART_ARC
(19,9),-1.07642 # DEPENDENCYPART_ARC
(19,10),-0.854506 # DEPENDENCYPART_ARC
(19,11),-0.571138 # DEPENDENCYPART_ARC
(19,12),-0.320743 # DEPENDENCYPART_ARC
(19,13),-0.619874 # DEPENDENCYPART_ARC
(19,14),0.134606 # DEPENDENCYPART_ARC
(19,15),0.569453 # DEPENDENCYPART_ARC
(19,16),0.818315 # DEPENDENCYPART_ARC
(19,17),-0.0303409 # DEPENDENCYPART_ARC
(19,18),0.631197 # DEPENDENCYPART_ARC
(19,20),0.413809 # DEPENDENCYPART_ARC
(19,21),-0.0168752 # DEPENDENCYPART_ARC
(19,22),-0.399314 # DEPENDENCYPART_ARC
(19,23),0.159054 # DEPENDENCYPART_ARC
(19,24),-0.447482 # DEPENDENCYPART_ARC
(19,25),-0.346781 # DEPENDENCYPART_ARC
(19,26),-1.23189 # DEPENDENCYPART_ARC
(19,27),-2.12426 # DEPENDENCYPART_ARC
(19,28),0.0197671 # DEPENDENCYPART_ARC
(19,29),0.134489 # DEPENDENCYPART_ARC
(20,1),-0.486433 # DEPENDENCYPART_ARC
(20,2),-1.36494 # DEPENDENCYPART_ARC
(20,3),-0.196308 # DEPENDENCYPART_ARC
(20,4),-0.522009 # DEPENDENCYPART_ARC
(20,5),-2.80495 # DEPENDENCYPART_ARC
(20,6),0.119778 # DEPENDENCYPART_ARC
(20,7),1.01248 # DEPENDENCYPART_ARC
(20,8),-2.29172 # DEPENDENCYPART_ARC
(20,9),0.197254 # DEPENDENCYPART_ARC
(20,10),-1.23179 # DEPENDENCYPART_ARC
(20,11),-1.33908 # DEPENDENCYPART_ARC
(20,12),-0.798732 # DEPENDENCYPART_ARC
(20,13),0.732204 # DEPENDENCYPART_ARC
(20,14),1.94186 # DEPENDENCYPART_ARC
(20,15),-1.21676 # DEPENDENCYPART_ARC
(20,16),0.27217 # DEPENDENCYPART_ARC
(20,17),0.564325 # DEPENDENCYPART_ARC
(20,18),-0.38777 # DEPENDENCYPART_ARC
(20,19),-0.140212 # DEPENDENCYPART_ARC
(20,21),2.74249 # DEPENDENCYPART_ARC
(20,22),1.69733 # DEPENDENCYPART_ARC
(20,23),0.854451 # DEPENDENCYPART_ARC
(20,24),0.206117 # DEPENDENCYPART_ARC
(20,25),-0.111257 # DEPENDENCYPART_ARC
(20,26),-0.0704266 # DEPENDENCYPART_ARC
(20,27),1.02738 # DEPENDENCYPART_ARC
(20,28),0.273208 # DEPENDENCYPART_ARC
(20,29),0.762602 # DEPENDENCYPART_ARC
(21,1),-3.91796 # DEPENDENCYPART_ARC
(21,2),-5.68996 # DEPENDENCYPART_ARC
(21,3),-2.52834 # DEPENDENCYPART_ARC
(21,4),-2.36898 # DEPENDENCYPART_ARC
(21,5),-3.69043 # DEPENDENCYPART_ARC
(21,6),-3.23236 # DEPENDENCYPART_ARC
(21,7),-4.56419 # DEPENDENCYPART_ARC
(21,8),-3.21838 # DEPENDENCYPART_ARC
(21,9),-3.1905 # DEPENDENCYPART_ARC
(21,10),-1.84555 # DEPENDENCYPART_ARC
(21,11),-0.930653 # DEPENDENCYPART_ARC
(21,12),-1.89516 # DEPENDENCYPART_ARC
(21,13),-1.87256 # DEPENDENCYPART_ARC
(21,14),-2.14434 # DEPENDENCYPART_ARC
(21,15),-3.09157 # DEPENDENCYPART_ARC
(21,16),-1.91888 # DEPENDENCYPART_ARC
(21,17),-0.271861 # DEPENDENCYPART_ARC
(21,18),-1.05799 # DEPENDENCYPART_ARC
(21,19),-0.452646 # DEPENDENCYPART_ARC
(21,20),-0.524438 # DEPENDENCYPART_ARC
(21,22),4.382 # DEPENDENCYPART_ARC
(21,23),0.962707 # DEPENDENCYPART_ARC
(21,24),-0.441724 # DEPENDENCYPART_ARC
(21,25),-1.29544 # DEPENDENCYPART_ARC
(21,26),-0.887122 # DEPENDENCYPART_ARC
(21,27),-3.04976 # DEPENDENCYPART_ARC
(21,28),-0.735302 # DEPENDENCYPART_ARC
(21,29),-0.61684 # DEPENDENCYPART_ARC
(22,1),-4.29337 # DEPENDENCYPART_ARC
(22,2),-7.70806 # DEPENDENCYPART_ARC
(22,3),-4.74201 # DEPENDENCYPART_ARC
(22,4),-4.95091 # DEPENDENCYPART_ARC
(22,5),-3.8749 # DEPENDENCYPART_ARC
(22,6),-4.31857 # DEPENDENCYPART_ARC
(22,7),-6.20171 # DEPENDENCYPART_ARC
(22,8),-6.4541 # DEPENDENCYPART_ARC
(22,9),-4.62384 # DEPENDENCYPART_ARC
(22,10),-1.92459 # DEPENDENCYPART_ARC
(22,11),-6.30454 # DEPENDENCYPART_ARC
(22,12),-3.00872 # DEPENDENCYPART_ARC
(22,13),-2.76591 # DEPENDENCYPART_ARC
(22,14),-5.02936 # DEPENDENCYPART_ARC
(22,15),-3.06664 # DEPENDENCYPART_ARC
(22,16),-1.51728 # DEPENDENCYPART_ARC
(22,17),-1.05808 # DEPENDENCYPART_ARC
(22,18),-4.27565 # DEPENDENCYPART_ARC
(22,19),-1.50249 # DEPENDENCYPART_ARC
(22,20),-0.294262 # DEPENDENCYPART_ARC
(22,21),0.766205 # DEPENDENCYPART_ARC
(22,23),-0.640674 # DEPENDENCYPART_ARC
(22,24),-1.42641 # DEPENDENCYPART_ARC
(22,25),-2.2282 # DEPENDENCYPART_ARC
(22,26),-2.11502 # DEPENDENCYPART_ARC
(22,27),-5.51339 # DEPENDENCYPART_ARC
(22,28),-1.96693 # DEPENDENCYPART_ARC
(22,29),-2.08221 # DEPENDENCYPART_ARC
(23,1),-0.162456 # DEPENDENCYPART_ARC
(23,2),-0.775333 # DEPENDENCYPART_ARC
(23,3),-1.17205 # DEPENDENCYPART_ARC
(23,4),-1.13621 # DEPENDENCYPART_ARC
(23,5),-0.356005 # DEPENDENCYPART_ARC
(23,6),-1.77956 # DEPENDENCYPART_ARC
(23,7),-0.999718 # DEPENDENCYPART_ARC
(23,8),-1.69187 # DEPENDENCYPART_ARC
(23,9),-0.48634 # DEPENDENCYPART_ARC
(23,10),-0.909393 # DEPENDENCYPART_ARC
(23,11),0.417607 # DEPENDENCYPART_ARC
(23,12),0.465459 # DEPENDENCYPART_ARC
(23,13),1.00187 # DEPENDENCYPART_ARC
(23,14),0.734711 # DEPENDENCYPART_ARC
(23,15),0.8121 # DEPENDENCYPART_ARC
(23,16),1.33034 # DEPENDENCYPART_ARC
(23,17),0.343445 # DEPENDENCYPART_ARC
(23,18),1.68637 # DEPENDENCYPART_ARC
(23,19),0.997208 # DEPENDENCYPART_ARC
(23,20),2.6422 # DEPENDENCYPART_ARC
(23,21),1.12909 # DEPENDENCYPART_ARC
(23,22),2.10251 # DEPENDENCYPART_ARC
(23,24),1.18371 # DEPENDENCYPART_ARC
(23,25),0.323573 # DEPENDENCYPART_ARC
(23,26),1.43632 # DEPENDENCYPART_ARC
(23,27),0.876723 # DEPENDENCYPART_ARC
(23,28),0.358042 # DEPENDENCYPART_ARC
(23,29),1.53729 # DEPENDENCYPART_ARC
(24,1),-4.04891 # DEPENDENCYPART_ARC
(24,2),-4.79948 # DEPENDENCYPART_ARC
(24,3),-4.11707 # DEPENDENCYPART_ARC
(24,4),-3.77119 # DEPENDENCYPART_ARC
(24,5),-3.29395 # DEPENDENCYPART_ARC
(24,6),-3.42861 # DEPENDENCYPART_ARC
(24,7),-3.64627 # DEPENDENCYPART_ARC
(24,8),-3.68807 # DEPENDENCYPART_ARC
(24,9),-3.57792 # DEPENDENCYPART_ARC
(24,10),-4.09458 # DEPENDENCYPART_ARC
(24,11),-3.02282 # DEPENDENCYPART_ARC
(24,12),-3.17859 # DEPENDENCYPART_ARC
(24,13),-3.05884 # DEPENDENCYPART_ARC
(24,14),-2.55851 # DEPENDENCYPART_ARC
(24,15),-2.42955 # DEPENDENCYPART_ARC
(24,16),-2.33796 # DEPENDENCYPART_ARC
(24,17),-2.83255 # DEPENDENCYPART_ARC
(24,18),-1.91325 # DEPENDENCYPART_ARC
(24,19),-2.3093 # DEPENDENCYPART_ARC
(24,20),-1.83843 # DEPENDENCYPART_ARC
(24,21),-1.61588 # DEPENDENCYPART_ARC
(24,22),-1.41444 # DEPENDENCYPART_ARC
(24,23),-0.697633 # DEPENDENCYPART_ARC
(24,25),-0.451147 # DEPENDENCYPART_ARC
(24,26),-0.524674 # DEPENDENCYPART_ARC
(24,27),-0.798838 # DEPENDENCYPART_ARC
(24,28),-0.283945 # DEPENDENCYPART_ARC
(24,29),-0.884847 # DEPENDENCYPART_ARC
(25,1),-0.962571 # DEPENDENCYPART_ARC
(25,2),-4.79631 # DEPENDENCYPART_ARC
(25,3),-2.17658 # DEPENDENCYPART_ARC
(25,4),-2.05919 # DEPENDENCYPART_ARC
(25,5),-2.25187 # DEPENDENCYPART_ARC
(25,6),-2.99758 # DEPENDENCYPART_ARC
(25,7),-3.9046 # DEPENDENCYPART_ARC
(25,8),-4.19569 # DEPENDENCYPART_ARC
(25,9),-3.44671 # DEPENDENCYPART_ARC
(25,10),-3.24915 # DEPENDENCYPART_ARC
(25,11),-3.66207 # DEPENDENCYPART_ARC
(25,12),-2.7221 # DEPENDENCYPART_ARC
(25,13),-0.693893 # DEPENDENCYPART_ARC
(25,14),-0.285372 # DEPENDENCYPART_ARC
(25,15),-1.52872 # DEPENDENCYPART_ARC
(25,16),-0.967341 # DEPENDENCYPART_ARC
(25,17),-1.56796 # DEPENDENCYPART_ARC
(25,18),-1.13122 # DEPENDENCYPART_ARC
(25,19),-0.35573 # DEPENDENCYPART_ARC
(25,20),0.0877408 # DEPENDENCYPART_ARC
(25,21),-0.570985 # DEPENDENCYPART_ARC
(25,22),0.0174941 # DEPENDENCYPART_ARC
(25,23),-0.422069 # DEPENDENCYPART_ARC
(25,24),0.0848108 # DEPENDENCYPART_ARC
(25,26),1.05141 # DEPENDENCYPART_ARC
(25,27),0.659774 # DEPENDENCYPART_ARC
(25,28),-0.0252382 # DEPENDENCYPART_ARC
(25,29),1.01316 # DEPENDENCYPART_ARC
(26,1),-1.41182 # DEPENDENCYPART_ARC
(26,2),-1.5627 # DEPENDENCYPART_ARC
(26,3),-0.196139 # DEPENDENCYPART_ARC
(26,4),-0.85082 # DEPENDENCYPART_ARC
(26,5),-3.94887 # DEPENDENCYPART_ARC
(26,6),-0.488496 # DEPENDENCYPART_ARC
(26,7),0.382128 # DEPENDENCYPART_ARC
(26,8),-2.27335 # DEPENDENCYPART_ARC
(26,9),-0.38797 # DEPENDENCYPART_ARC
(26,10),-1.94774 # DEPENDENCYPART_ARC
(26,11),-2.02664 # DEPENDENCYPART_ARC
(26,12),-1.0948 # DEPENDENCYPART_ARC
(26,13),0.040985 # DEPENDENCYPART_ARC
(26,14),1.08191 # DEPENDENCYPART_ARC
(26,15),-2.87487 # DEPENDENCYPART_ARC
(26,16),-1.49106 # DEPENDENCYPART_ARC
(26,17),-0.713896 # DEPENDENCYPART_ARC
(26,18),-1.71012 # DEPENDENCYPART_ARC
(26,19),-0.906694 # DEPENDENCYPART_ARC
(26,20),0.0141249 # DEPENDENCYPART_ARC
(26,21),1.43028 # DEPENDENCYPART_ARC
(26,22),0.67952 # DEPENDENCYPART_ARC
(26,23),0.285657 # DEPENDENCYPART_ARC
(26,24),1.72644 # DEPENDENCYPART_ARC
(26,25),1.54961 # DEPENDENCYPART_ARC
(26,27),3.7924 # DEPENDENCYPART_ARC
(26,28),-0.357829 # DEPENDENCYPART_ARC
(26,29),0.575879 # DEPENDENCYPART_ARC
(27,1),-4.14849 # DEPENDENCYPART_ARC
(27,2),-11.3959 # DEPENDENCYPART_ARC
(27,3),-5.67176 # DEPENDENCYPART_ARC
(27,4),-5.89586 # DEPENDENCYPART_ARC
(27,5),-4.08447 # DEPENDENCYPART_ARC
(27,6),-5.79666 # DEPENDENCYPART_ARC
(27,7),-7.12458 # DEPENDENCYPART_ARC
(27,8),-5.74937 # DEPENDENCYPART_ARC
(27,9),-8.66976 # DEPENDENCYPART_ARC
(27,10),-1.86958 # DEPENDENCYPART_ARC
(27,11),-8.45414 # DEPENDENCYPART_ARC
(27,12),-3.07481 # DEPENDENCYPART_ARC
(27,13),-3.38518 # DEPENDENCYPART_ARC
(27,14),-5.69012 # DEPENDENCYPART_ARC
(27,15),-3.40329 # DEPENDENCYPART_ARC
(27,16),-1.29239 # DEPENDENCYPART_ARC
(27,17),-0.950864 # DEPENDENCYPART_ARC
(27,18),-7.02946 # DEPENDENCYPART_ARC
(27,19),-2.07353 # DEPENDENCYPART_ARC
(27,20),-0.833009 # DEPENDENCYPART_ARC
(27,21),-0.164627 # DEPENDENCYPART_ARC
(27,22),-5.98682 # DEPENDENCYPART_ARC
(27,23),-0.777482 # DEPENDENCYPART_ARC
(27,24),0.839061 # DEPENDENCYPART_ARC
(27,25),1.05885 # DEPENDENCYPART_ARC
(27,26),0.610982 # DEPENDENCYPART_ARC
(27,28),0.678001 # DEPENDENCYPART_ARC
(27,29),-0.324094 # DEPENDENCYPART_ARC
(28,1),-5.84179 # DEPENDENCYPART_ARC
(28,2),-7.0565 # DEPENDENCYPART_ARC
(28,3),-3.8926 # DEPENDENCYPART_ARC
(28,4),-3.78319 # DEPENDENCYPART_ARC
(28,5),-3.86155 # DEPENDENCYPART_ARC
(28,6),-4.78741 # DEPENDENCYPART_ARC
(28,7),-5.70858 # DEPENDENCYPART_ARC
(28,8),-4.31356 # DEPENDENCYPART_ARC
(28,9),-5.0956 # DEPENDENCYPART_ARC
(28,10),-4.28476 # DEPENDENCYPART_ARC
(28,11),-4.15204 # DEPENDENCYPART_ARC
(28,12),-4.66397 # DEPENDENCYPART_ARC
(28,13),-3.25746 # DEPENDENCYPART_ARC
(28,14),-2.75213 # DEPENDENCYPART_ARC
(28,15),-2.84592 # DEPENDENCYPART_ARC
(28,16),-3.07214 # DEPENDENCYPART_ARC
(28,17),-3.12952 # DEPENDENCYPART_ARC
(28,18),-2.47787 # DEPENDENCYPART_ARC
(28,19),-3.46337 # DEPENDENCYPART_ARC
(28,20),-1.97942 # DEPENDENCYPART_ARC
(28,21),-2.67795 # DEPENDENCYPART_ARC
(28,22),-1.71695 # DEPENDENCYPART_ARC
(28,23),-2.54985 # DEPENDENCYPART_ARC
(28,24),-2.27184 # DEPENDENCYPART_ARC
(28,25),-1.70802 # DEPENDENCYPART_ARC
(28,26),-2.09548 # DEPENDENCYPART_ARC
(28,27),-1.16519 # DEPENDENCYPART_ARC
(28,29),-1.20507 # DEPENDENCYPART_ARC
(29,1),-5.739 # DEPENDENCYPART_ARC
(29,2),-7.84884 # DEPENDENCYPART_ARC
(29,3),-5.07601 # DEPENDENCYPART_ARC
(29,4),-5.06849 # DEPENDENCYPART_ARC
(29,5),-4.56602 # DEPENDENCYPART_ARC
(29,6),-5.84737 # DEPENDENCYPART_ARC
(29,7),-6.87412 # DEPENDENCYPART_ARC
(29,8),-5.26412 # DEPENDENCYPART_ARC
(29,9),-6.66044 # DEPENDENCYPART_ARC
(29,10),-4.46331 # DEPENDENCYPART_ARC
(29,11),-5.43999 # DEPENDENCYPART_ARC
(29,12),-4.56105 # DEPENDENCYPART_ARC
(29,13),-4.28682 # DEPENDENCYPART_ARC
(29,14),-3.51294 # DEPENDENCYPART_ARC
(29,15),-3.5401 # DEPENDENCYPART_ARC
(29,16),-3.48987 # DEPENDENCYPART_ARC
(29,17),-3.64015 # DEPENDENCYPART_ARC
(29,18),-3.96391 # DEPENDENCYPART_ARC
(29,19),-3.74259 # DEPENDENCYPART_ARC
(29,20),-2.72059 # DEPENDENCYPART_ARC
(29,21),-3.26951 # DEPENDENCYPART_ARC
(29,22),-3.077 # DEPENDENCYPART_ARC
(29,23),-3.36506 # DEPENDENCYPART_ARC
(29,24),-3.17549 # DEPENDENCYPART_ARC
(29,25),-2.61519 # DEPENDENCYPART_ARC
(29,26),-2.34699 # DEPENDENCYPART_ARC
(29,27),-2.54596 # DEPENDENCYPART_ARC
(29,28),-2.05239 # DEPENDENCYPART_ARC
