# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,4,6,3,12,7,0,7,10,12,10,8,15,17,12,15,15,20,20,22,22,17,25,22,24,0,
(23,6),-1.47287 # DEPENDENCYPART_ARC
(23,7),-1.14791 # DEPENDENCYPART_ARC
(23,8),-1.25659 # DEPENDENCYPART_ARC
(23,9),-1.52035 # DEPENDENCYPART_ARC
(23,10),-0.750359 # DEPENDENCYPART_ARC
(23,11),-1.51132 # DEPENDENCYPART_ARC
(23,12),-2.1751 # DEPENDENCYPART_ARC
(23,13),-0.530956 # DEPENDENCYPART_ARC
(23,15),-0.494326 # DEPENDENCYPART_ARC
(23,16),-1.33202 # DEPENDENCYPART_ARC
(23,17),-0.370499 # DEPENDENCYPART_ARC
(23,18),-0.141829 # DEPENDENCYPART_ARC
(23,19),-0.158039 # DEPENDENCYPART_ARC
(23,20),-0.898796 # DEPENDENCYPART_ARC
(23,21),0.707194 # DEPENDENCYPART_ARC
(23,22),0.383696 # DEPENDENCYPART_ARC
(23,24),0.19614 # DEPENDENCYPART_ARC
(23,25),-0.235542 # DEPENDENCYPART_ARC
(23,26),0.103251 # DEPENDENCYPART_ARC
(24,1),-2.53329 # DEPENDENCYPART_ARC
(24,2),-2.92306 # DEPENDENCYPART_ARC
(24,3),-4.42315 # DEPENDENCYPART_ARC
(24,4),-3.0651 # DEPENDENCYPART_ARC
(24,5),-2.97999 # DEPENDENCYPART_ARC
(24,6),-0.826159 # DEPENDENCYPART_ARC
(24,7),-1.95339 # DEPENDENCYPART_ARC
(24,8),-3.39017 # DEPENDENCYPART_ARC
(24,9),-3.16438 # DEPENDENCYPART_ARC
(24,10),-1.78042 # DEPENDENCYPART_ARC
(24,11),-3.05614 # DEPENDENCYPART_ARC
(24,12),-3.40016 # DEPENDENCYPART_ARC
(24,13),-0.665419 # DEPENDENCYPART_ARC
(24,15),-2.48845 # DEPENDENCYPART_ARC
(24,16),-2.404 # DEPENDENCYPART_ARC
(24,17),-1.42275 # DEPENDENCYPART_ARC
(24,18),-2.25579 # DEPENDENCYPART_ARC
(24,19),-1.41989 # DEPENDENCYPART_ARC
(24,20),-1.58754 # DEPENDENCYPART_ARC
(24,21),-0.692305 # DEPENDENCYPART_ARC
(24,22),-0.900991 # DEPENDENCYPART_ARC
(24,23),0.418138 # DEPENDENCYPART_ARC
(24,25),3.43105 # DEPENDENCYPART_ARC
(24,26),-0.192793 # DEPENDENCYPART_ARC
(25,1),-1.95741 # DEPENDENCYPART_ARC
(25,2),-4.53382 # DEPENDENCYPART_ARC
(25,3),-3.06634 # DEPENDENCYPART_ARC
(25,5),-5.088 # DEPENDENCYPART_ARC
(25,6),-1.45497 # DEPENDENCYPART_ARC
(25,7),-3.33873 # DEPENDENCYPART_ARC
(25,8),-1.8292 # DEPENDENCYPART_ARC
(25,9),-5.7754 # DEPENDENCYPART_ARC
(25,10),-1.56897 # DEPENDENCYPART_ARC
(25,11),-4.7338 # DEPENDENCYPART_ARC
(25,12),-7.1798 # DEPENDENCYPART_ARC
(25,13),-1.39899 # DEPENDENCYPART_ARC
(25,14),-1.52179 # DEPENDENCYPART_ARC
(25,15),-2.00051 # DEPENDENCYPART_ARC
(25,16),-4.33639 # DEPENDENCYPART_ARC
(25,17),-2.12066 # DEPENDENCYPART_ARC
(25,18),-2.09955 # DEPENDENCYPART_ARC
(25,19),-2.51071 # DEPENDENCYPART_ARC
(25,20),-4.37399 # DEPENDENCYPART_ARC
(25,21),0.842107 # DEPENDENCYPART_ARC
(25,22),-1.96817 # DEPENDENCYPART_ARC
(25,23),1.31155 # DEPENDENCYPART_ARC
(25,24),0.325864 # DEPENDENCYPART_ARC
(25,26),0.620265 # DEPENDENCYPART_ARC
(26,1),-4.83361 # DEPENDENCYPART_ARC
(26,2),-6.1813 # DEPENDENCYPART_ARC
(26,3),-6.58211 # DEPENDENCYPART_ARC
(26,5),-5.24052 # DEPENDENCYPART_ARC
(26,6),-6.09721 # DEPENDENCYPART_ARC
(26,7),-4.54518 # DEPENDENCYPART_ARC
(26,8),-5.6146 # DEPENDENCYPART_ARC
(26,9),-4.87519 # DEPENDENCYPART_ARC
(26,10),-4.52464 # DEPENDENCYPART_ARC
(26,11),-5.02687 # DEPENDENCYPART_ARC
(26,12),-5.76205 # DEPENDENCYPART_ARC
(26,13),-4.98635 # DEPENDENCYPART_ARC
(26,15),-4.42269 # DEPENDENCYPART_ARC
(26,16),-4.62422 # DEPENDENCYPART_ARC
(26,17),-4.07126 # DEPENDENCYPART_ARC
(26,18),-3.70241 # DEPENDENCYPART_ARC
(26,19),-3.62229 # DEPENDENCYPART_ARC
(26,20),-4.44186 # DEPENDENCYPART_ARC
(26,21),-3.41769 # DEPENDENCYPART_ARC
(26,22),-3.66808 # DEPENDENCYPART_ARC
(26,23),-3.02594 # DEPENDENCYPART_ARC
(26,24),-3.27271 # DEPENDENCYPART_ARC
(26,25),-2.56681 # DEPENDENCYPART_ARC
