# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(23,1),-6.59597 # DEPENDENCYPART_ARC
(23,2),-5.37323 # DEPENDENCYPART_ARC
(23,3),-6.51405 # DEPENDENCYPART_ARC
(23,4),-4.34702 # DEPENDENCYPART_ARC
(23,5),-4.82831 # DEPENDENCYPART_ARC
(23,6),-5.66587 # DEPENDENCYPART_ARC
(23,7),-4.56981 # DEPENDENCYPART_ARC
(23,8),-5.32956 # DEPENDENCYPART_ARC
(23,9),-4.63263 # DEPENDENCYPART_ARC
(23,10),-4.48599 # DEPENDENCYPART_ARC
(23,11),-4.33739 # DEPENDENCYPART_ARC
(23,12),-4.55146 # DEPENDENCYPART_ARC
(23,13),-3.52448 # DEPENDENCYPART_ARC
(23,14),-4.22937 # DEPENDENCYPART_ARC
(23,15),-3.51768 # DEPENDENCYPART_ARC
(23,16),-3.02388 # DEPENDENCYPART_ARC
(23,17),-3.28994 # DEPENDENCYPART_ARC
(23,18),-2.87315 # DEPENDENCYPART_ARC
(23,19),-2.75002 # DEPENDENCYPART_ARC
(23,20),-2.94127 # DEPENDENCYPART_ARC
(23,21),-3.16485 # DEPENDENCYPART_ARC
(23,22),-3.67582 # DEPENDENCYPART_ARC
