# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,20,20,16,17,18,0,22,24,24,20,0,
(21,2),-3.77185 # DEPENDENCYPART_ARC
(21,3),-2.43738 # DEPENDENCYPART_ARC
(21,4),-5.48832 # DEPENDENCYPART_ARC
(21,5),-3.25974 # DEPENDENCYPART_ARC
(21,6),-3.71398 # DEPENDENCYPART_ARC
(21,7),-4.81004 # DEPENDENCYPART_ARC
(21,8),-2.24013 # DEPENDENCYPART_ARC
(21,9),-4.90078 # DEPENDENCYPART_ARC
(21,10),-5.57278 # DEPENDENCYPART_ARC
(21,11),-4.04522 # DEPENDENCYPART_ARC
(21,12),-1.89752 # DEPENDENCYPART_ARC
(21,13),-2.06499 # DEPENDENCYPART_ARC
(21,14),-4.47918 # DEPENDENCYPART_ARC
(21,15),-1.89402 # DEPENDENCYPART_ARC
(21,16),-0.650658 # DEPENDENCYPART_ARC
(21,17),-4.0678 # DEPENDENCYPART_ARC
(21,18),-0.228041 # DEPENDENCYPART_ARC
(21,19),-0.415338 # DEPENDENCYPART_ARC
(21,20),-2.28437 # DEPENDENCYPART_ARC
(21,22),-0.547949 # DEPENDENCYPART_ARC
(21,23),-2.09433 # DEPENDENCYPART_ARC
(21,24),-2.71239 # DEPENDENCYPART_ARC
(21,25),-1.21854 # DEPENDENCYPART_ARC
(22,1),-2.58791 # DEPENDENCYPART_ARC
(22,2),-4.26498 # DEPENDENCYPART_ARC
(22,3),-4.06994 # DEPENDENCYPART_ARC
(22,4),-6.48992 # DEPENDENCYPART_ARC
(22,5),-2.9551 # DEPENDENCYPART_ARC
(22,6),-4.4484 # DEPENDENCYPART_ARC
(22,7),-6.74541 # DEPENDENCYPART_ARC
(22,8),-1.2591 # DEPENDENCYPART_ARC
(22,9),-4.3041 # DEPENDENCYPART_ARC
(22,10),-7.28686 # DEPENDENCYPART_ARC
(22,11),-5.2516 # DEPENDENCYPART_ARC
(22,12),-4.11473 # DEPENDENCYPART_ARC
(22,13),-2.59665 # DEPENDENCYPART_ARC
(22,14),-4.0154 # DEPENDENCYPART_ARC
(22,15),-1.71494 # DEPENDENCYPART_ARC
(22,16),-0.439408 # DEPENDENCYPART_ARC
(22,17),-5.20008 # DEPENDENCYPART_ARC
(22,18),0.173356 # DEPENDENCYPART_ARC
(22,19),-1.85022 # DEPENDENCYPART_ARC
(22,20),-2.68642 # DEPENDENCYPART_ARC
(22,21),5.53046 # DEPENDENCYPART_ARC
(22,23),0.897106 # DEPENDENCYPART_ARC
(22,24),-0.159029 # DEPENDENCYPART_ARC
(22,25),-1.00812 # DEPENDENCYPART_ARC
(23,1),-3.79351 # DEPENDENCYPART_ARC
(23,2),-3.88332 # DEPENDENCYPART_ARC
(23,3),-3.61758 # DEPENDENCYPART_ARC
(23,4),-6.19958 # DEPENDENCYPART_ARC
(23,5),-3.65441 # DEPENDENCYPART_ARC
(23,6),-5.41776 # DEPENDENCYPART_ARC
(23,7),-6.27815 # DEPENDENCYPART_ARC
(23,8),-2.04281 # DEPENDENCYPART_ARC
(23,9),-7.11497 # DEPENDENCYPART_ARC
(23,10),-7.06687 # DEPENDENCYPART_ARC
(23,11),-6.01514 # DEPENDENCYPART_ARC
(23,12),-5.84015 # DEPENDENCYPART_ARC
(23,13),-3.66258 # DEPENDENCYPART_ARC
(23,14),-5.59594 # DEPENDENCYPART_ARC
(23,15),-2.53551 # DEPENDENCYPART_ARC
(23,16),-1.50305 # DEPENDENCYPART_ARC
(23,17),-4.74592 # DEPENDENCYPART_ARC
(23,18),-0.997153 # DEPENDENCYPART_ARC
(23,19),-2.88871 # DEPENDENCYPART_ARC
(23,20),-4.55908 # DEPENDENCYPART_ARC
(23,21),1.21104 # DEPENDENCYPART_ARC
(23,22),1.98404 # DEPENDENCYPART_ARC
(23,24),0.755958 # DEPENDENCYPART_ARC
(23,25),-0.425777 # DEPENDENCYPART_ARC
(24,1),-3.06234 # DEPENDENCYPART_ARC
(24,2),-1.44958 # DEPENDENCYPART_ARC
(24,3),-1.1355 # DEPENDENCYPART_ARC
(24,4),-4.8901 # DEPENDENCYPART_ARC
(24,5),-2.53571 # DEPENDENCYPART_ARC
(24,6),-4.28572 # DEPENDENCYPART_ARC
(24,7),-3.47095 # DEPENDENCYPART_ARC
(24,8),-0.822108 # DEPENDENCYPART_ARC
(24,9),-5.40277 # DEPENDENCYPART_ARC
(24,10),-4.85379 # DEPENDENCYPART_ARC
(24,11),-4.12045 # DEPENDENCYPART_ARC
(24,12),-4.88523 # DEPENDENCYPART_ARC
(24,13),-2.9131 # DEPENDENCYPART_ARC
(24,14),-4.92939 # DEPENDENCYPART_ARC
(24,15),-1.52263 # DEPENDENCYPART_ARC
(24,16),-0.559026 # DEPENDENCYPART_ARC
(24,17),-2.34958 # DEPENDENCYPART_ARC
(24,18),-0.195484 # DEPENDENCYPART_ARC
(24,19),-1.23265 # DEPENDENCYPART_ARC
(24,20),-3.69929 # DEPENDENCYPART_ARC
(24,21),3.04758 # DEPENDENCYPART_ARC
(24,22),4.81331 # DEPENDENCYPART_ARC
(24,23),6.75569 # DEPENDENCYPART_ARC
(24,25),0.346342 # DEPENDENCYPART_ARC
(25,1),-6.48394 # DEPENDENCYPART_ARC
(25,2),-6.28662 # DEPENDENCYPART_ARC
(25,3),-6.67226 # DEPENDENCYPART_ARC
(25,4),-6.47213 # DEPENDENCYPART_ARC
(25,5),-6.01731 # DEPENDENCYPART_ARC
(25,6),-4.68262 # DEPENDENCYPART_ARC
(25,7),-5.92482 # DEPENDENCYPART_ARC
(25,8),-5.40572 # DEPENDENCYPART_ARC
(25,9),-4.73521 # DEPENDENCYPART_ARC
(25,10),-5.74837 # DEPENDENCYPART_ARC
(25,11),-5.51307 # DEPENDENCYPART_ARC
(25,12),-4.08274 # DEPENDENCYPART_ARC
(25,13),-3.88971 # DEPENDENCYPART_ARC
(25,14),-4.51971 # DEPENDENCYPART_ARC
(25,15),-4.19127 # DEPENDENCYPART_ARC
(25,16),-3.91858 # DEPENDENCYPART_ARC
(25,17),-3.68526 # DEPENDENCYPART_ARC
(25,18),-3.93163 # DEPENDENCYPART_ARC
(25,19),-3.44478 # DEPENDENCYPART_ARC
(25,20),-3.75026 # DEPENDENCYPART_ARC
(25,21),-2.96191 # DEPENDENCYPART_ARC
(25,22),-2.91874 # DEPENDENCYPART_ARC
(25,23),-3.10673 # DEPENDENCYPART_ARC
(25,24),-2.86827 # DEPENDENCYPART_ARC
