# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=5,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(20,6),-2.48585 # DEPENDENCYPART_ARC
(20,7),-2.23907 # DEPENDENCYPART_ARC
(20,8),-2.73936 # DEPENDENCYPART_ARC
(20,9),-2.74429 # DEPENDENCYPART_ARC
(20,10),-1.61944 # DEPENDENCYPART_ARC
(20,11),-1.05526 # DEPENDENCYPART_ARC
(20,12),-1.00208 # DEPENDENCYPART_ARC
(20,13),-1.51619 # DEPENDENCYPART_ARC
(20,14),-1.55008 # DEPENDENCYPART_ARC
(20,15),-1.83577 # DEPENDENCYPART_ARC
(20,16),-0.630047 # DEPENDENCYPART_ARC
(20,17),-1.20988 # DEPENDENCYPART_ARC
(20,18),-0.378589 # DEPENDENCYPART_ARC
(20,19),-0.483947 # DEPENDENCYPART_ARC
(20,21),-0.663118 # DEPENDENCYPART_ARC
(20,22),-1.04457 # DEPENDENCYPART_ARC
(20,23),-1.11228 # DEPENDENCYPART_ARC
(20,24),0.0610755 # DEPENDENCYPART_ARC
(20,25),-1.64849 # DEPENDENCYPART_ARC
(20,26),-0.922101 # DEPENDENCYPART_ARC
(21,1),-3.13786 # DEPENDENCYPART_ARC
(21,2),-4.18429 # DEPENDENCYPART_ARC
(21,3),-4.47542 # DEPENDENCYPART_ARC
(21,4),-3.16418 # DEPENDENCYPART_ARC
(21,5),-2.76812 # DEPENDENCYPART_ARC
(21,6),-1.38707 # DEPENDENCYPART_ARC
(21,7),-4.51904 # DEPENDENCYPART_ARC
(21,8),-3.4992 # DEPENDENCYPART_ARC
(21,9),-3.91424 # DEPENDENCYPART_ARC
(21,10),-3.02705 # DEPENDENCYPART_ARC
(21,11),-2.25058 # DEPENDENCYPART_ARC
(21,12),-1.90759 # DEPENDENCYPART_ARC
(21,13),-1.57082 # DEPENDENCYPART_ARC
(21,14),-2.07505 # DEPENDENCYPART_ARC
(21,15),-0.614289 # DEPENDENCYPART_ARC
(21,16),-0.930883 # DEPENDENCYPART_ARC
(21,17),-3.16005 # DEPENDENCYPART_ARC
(21,18),-1.72454 # DEPENDENCYPART_ARC
(21,19),-1.51925 # DEPENDENCYPART_ARC
(21,20),-0.25952 # DEPENDENCYPART_ARC
(21,22),0.192354 # DEPENDENCYPART_ARC
(21,23),-0.476027 # DEPENDENCYPART_ARC
(21,24),-0.480718 # DEPENDENCYPART_ARC
(21,25),-0.782405 # DEPENDENCYPART_ARC
(21,26),-0.547909 # DEPENDENCYPART_ARC
(22,1),-4.01519 # DEPENDENCYPART_ARC
(22,2),-5.53725 # DEPENDENCYPART_ARC
(22,3),-4.45176 # DEPENDENCYPART_ARC
(22,4),-3.27951 # DEPENDENCYPART_ARC
(22,5),-4.10148 # DEPENDENCYPART_ARC
(22,6),-3.98573 # DEPENDENCYPART_ARC
(22,7),-3.44872 # DEPENDENCYPART_ARC
(22,8),-4.48749 # DEPENDENCYPART_ARC
(22,9),-4.20345 # DEPENDENCYPART_ARC
(22,10),-2.78728 # DEPENDENCYPART_ARC
(22,11),-3.67986 # DEPENDENCYPART_ARC
(22,12),-1.1262 # DEPENDENCYPART_ARC
(22,13),-2.29595 # DEPENDENCYPART_ARC
(22,14),-2.52032 # DEPENDENCYPART_ARC
(22,15),-2.6786 # DEPENDENCYPART_ARC
(22,16),-2.15943 # DEPENDENCYPART_ARC
(22,17),-2.51491 # DEPENDENCYPART_ARC
(22,18),-2.41881 # DEPENDENCYPART_ARC
(22,19),-2.90903 # DEPENDENCYPART_ARC
(22,20),-0.140973 # DEPENDENCYPART_ARC
(22,21),-0.837988 # DEPENDENCYPART_ARC
(22,23),4.8474 # DEPENDENCYPART_ARC
(22,24),-0.486214 # DEPENDENCYPART_ARC
(22,25),-2.84978 # DEPENDENCYPART_ARC
(22,26),-0.595796 # DEPENDENCYPART_ARC
(23,1),-7.68407 # DEPENDENCYPART_ARC
(23,2),-11.4268 # DEPENDENCYPART_ARC
(23,3),-11.3051 # DEPENDENCYPART_ARC
(23,4),-7.46434 # DEPENDENCYPART_ARC
(23,5),-4.71481 # DEPENDENCYPART_ARC
(23,6),-2.98883 # DEPENDENCYPART_ARC
(23,7),-7.96217 # DEPENDENCYPART_ARC
(23,8),-7.90123 # DEPENDENCYPART_ARC
(23,9),-9.44415 # DEPENDENCYPART_ARC
(23,10),-6.34535 # DEPENDENCYPART_ARC
(23,11),-4.26694 # DEPENDENCYPART_ARC
(23,12),-2.79526 # DEPENDENCYPART_ARC
(23,13),-4.29906 # DEPENDENCYPART_ARC
(23,14),-5.72087 # DEPENDENCYPART_ARC
(23,15),-1.74637 # DEPENDENCYPART_ARC
(23,16),-0.637758 # DEPENDENCYPART_ARC
(23,17),-5.24548 # DEPENDENCYPART_ARC
(23,18),-5.74149 # DEPENDENCYPART_ARC
(23,19),-4.20043 # DEPENDENCYPART_ARC
(23,20),-1.45107 # DEPENDENCYPART_ARC
(23,21),-0.38613 # DEPENDENCYPART_ARC
(23,22),-0.270786 # DEPENDENCYPART_ARC
(23,24),-2.36679 # DEPENDENCYPART_ARC
(23,25),-4.29074 # DEPENDENCYPART_ARC
(23,26),-0.94002 # DEPENDENCYPART_ARC
(24,1),-1.29038 # DEPENDENCYPART_ARC
(24,2),-4.17276 # DEPENDENCYPART_ARC
(24,3),-4.23932 # DEPENDENCYPART_ARC
(24,4),-0.508019 # DEPENDENCYPART_ARC
(24,5),-2.0479 # DEPENDENCYPART_ARC
(24,6),-1.13051 # DEPENDENCYPART_ARC
(24,7),-1.56736 # DEPENDENCYPART_ARC
(24,8),-3.91931 # DEPENDENCYPART_ARC
(24,9),-4.25412 # DEPENDENCYPART_ARC
(24,10),-0.869492 # DEPENDENCYPART_ARC
(24,11),-2.35156 # DEPENDENCYPART_ARC
(24,12),-0.316258 # DEPENDENCYPART_ARC
(24,13),-0.467019 # DEPENDENCYPART_ARC
(24,14),1.74672 # DEPENDENCYPART_ARC
(24,15),1.15521 # DEPENDENCYPART_ARC
(24,16),-2.73368 # DEPENDENCYPART_ARC
(24,17),1.32102 # DEPENDENCYPART_ARC
(24,18),-0.640137 # DEPENDENCYPART_ARC
(24,19),-0.0045267 # DEPENDENCYPART_ARC
(24,20),1.99006 # DEPENDENCYPART_ARC
(24,21),3.70941 # DEPENDENCYPART_ARC
(24,22),2.65544 # DEPENDENCYPART_ARC
(24,23),1.31351 # DEPENDENCYPART_ARC
(24,25),4.02974 # DEPENDENCYPART_ARC
(24,26),0.292039 # DEPENDENCYPART_ARC
(25,1),-8.00542 # DEPENDENCYPART_ARC
(25,2),-9.26867 # DEPENDENCYPART_ARC
(25,3),-9.90634 # DEPENDENCYPART_ARC
(25,4),-7.22468 # DEPENDENCYPART_ARC
(25,5),-3.36344 # DEPENDENCYPART_ARC
(25,6),-0.908913 # DEPENDENCYPART_ARC
(25,7),-5.91454 # DEPENDENCYPART_ARC
(25,8),-5.97521 # DEPENDENCYPART_ARC
(25,9),-7.36826 # DEPENDENCYPART_ARC
(25,10),-5.619 # DEPENDENCYPART_ARC
(25,11),-2.95981 # DEPENDENCYPART_ARC
(25,12),-2.3439 # DEPENDENCYPART_ARC
(25,13),-3.50562 # DEPENDENCYPART_ARC
(25,14),-4.56565 # DEPENDENCYPART_ARC
(25,15),0.764091 # DEPENDENCYPART_ARC
(25,16),0.075414 # DEPENDENCYPART_ARC
(25,17),-2.80562 # DEPENDENCYPART_ARC
(25,18),-3.05692 # DEPENDENCYPART_ARC
(25,19),-3.98905 # DEPENDENCYPART_ARC
(25,20),-1.25125 # DEPENDENCYPART_ARC
(25,21),-1.59152 # DEPENDENCYPART_ARC
(25,22),0.583977 # DEPENDENCYPART_ARC
(25,23),-1.4337 # DEPENDENCYPART_ARC
(25,24),-0.709032 # DEPENDENCYPART_ARC
(25,26),0.28777 # DEPENDENCYPART_ARC
(26,1),-7.05114 # DEPENDENCYPART_ARC
(26,2),-7.49989 # DEPENDENCYPART_ARC
(26,3),-7.30953 # DEPENDENCYPART_ARC
(26,4),-5.22645 # DEPENDENCYPART_ARC
(26,5),-4.51682 # DEPENDENCYPART_ARC
(26,6),-5.80714 # DEPENDENCYPART_ARC
(26,7),-5.97913 # DEPENDENCYPART_ARC
(26,8),-6.14903 # DEPENDENCYPART_ARC
(26,9),-5.96708 # DEPENDENCYPART_ARC
(26,10),-4.74553 # DEPENDENCYPART_ARC
(26,11),-4.60279 # DEPENDENCYPART_ARC
(26,12),-4.6886 # DEPENDENCYPART_ARC
(26,13),-4.04308 # DEPENDENCYPART_ARC
(26,14),-4.05593 # DEPENDENCYPART_ARC
(26,15),-4.56964 # DEPENDENCYPART_ARC
(26,16),-3.19568 # DEPENDENCYPART_ARC
(26,17),-4.53097 # DEPENDENCYPART_ARC
(26,18),-3.61647 # DEPENDENCYPART_ARC
(26,19),-3.30594 # DEPENDENCYPART_ARC
(26,20),-2.89241 # DEPENDENCYPART_ARC
(26,21),-3.04448 # DEPENDENCYPART_ARC
(26,22),-3.56719 # DEPENDENCYPART_ARC
(26,23),-2.72618 # DEPENDENCYPART_ARC
(26,24),-3.33772 # DEPENDENCYPART_ARC
(26,25),-2.52156 # DEPENDENCYPART_ARC
