# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=0,5,5,5,1,5,8,6,10,6,10,11,5,15,8,15,16,17,18,19,20,20,24,22,0,
(21,14),-3.25519 # DEPENDENCYPART_ARC
(21,15),-2.09004 # DEPENDENCYPART_ARC
(21,16),-1.86587 # DEPENDENCYPART_ARC
(21,17),-1.59677 # DEPENDENCYPART_ARC
(21,18),-2.46235 # DEPENDENCYPART_ARC
(21,19),-1.4894 # DEPENDENCYPART_ARC
(21,20),-0.499411 # DEPENDENCYPART_ARC
(21,22),1.54598 # DEPENDENCYPART_ARC
(21,23),-0.182155 # DEPENDENCYPART_ARC
(21,24),-1.25213 # DEPENDENCYPART_ARC
(21,25),-0.699853 # DEPENDENCYPART_ARC
(22,1),-6.96702 # DEPENDENCYPART_ARC
(22,2),-6.34982 # DEPENDENCYPART_ARC
(22,3),-3.93222 # DEPENDENCYPART_ARC
(22,4),-4.29276 # DEPENDENCYPART_ARC
(22,7),-4.16931 # DEPENDENCYPART_ARC
(22,8),-5.90887 # DEPENDENCYPART_ARC
(22,9),-4.34537 # DEPENDENCYPART_ARC
(22,10),-5.97416 # DEPENDENCYPART_ARC
(22,11),-4.44565 # DEPENDENCYPART_ARC
(22,12),-3.53713 # DEPENDENCYPART_ARC
(22,13),-3.64493 # DEPENDENCYPART_ARC
(22,14),-3.54008 # DEPENDENCYPART_ARC
(22,16),-3.51905 # DEPENDENCYPART_ARC
(22,17),-3.64432 # DEPENDENCYPART_ARC
(22,18),-3.79371 # DEPENDENCYPART_ARC
(22,19),-2.26541 # DEPENDENCYPART_ARC
(22,20),-1.48321 # DEPENDENCYPART_ARC
(22,21),-2.0811 # DEPENDENCYPART_ARC
(22,23),0.298169 # DEPENDENCYPART_ARC
(22,24),4.2513 # DEPENDENCYPART_ARC
(22,25),-0.230215 # DEPENDENCYPART_ARC
(23,1),-6.87134 # DEPENDENCYPART_ARC
(23,2),-5.67419 # DEPENDENCYPART_ARC
(23,4),-4.78226 # DEPENDENCYPART_ARC
(23,5),-4.85703 # DEPENDENCYPART_ARC
(23,6),-2.86256 # DEPENDENCYPART_ARC
(23,7),-6.22058 # DEPENDENCYPART_ARC
(23,8),-4.98278 # DEPENDENCYPART_ARC
(23,9),-5.65135 # DEPENDENCYPART_ARC
(23,10),-4.61309 # DEPENDENCYPART_ARC
(23,11),-3.32739 # DEPENDENCYPART_ARC
(23,12),-4.80763 # DEPENDENCYPART_ARC
(23,13),-3.3553 # DEPENDENCYPART_ARC
(23,14),-3.9976 # DEPENDENCYPART_ARC
(23,15),-4.36941 # DEPENDENCYPART_ARC
(23,16),-1.84697 # DEPENDENCYPART_ARC
(23,17),-3.98743 # DEPENDENCYPART_ARC
(23,18),-4.48256 # DEPENDENCYPART_ARC
(23,19),-1.66682 # DEPENDENCYPART_ARC
(23,20),-2.02218 # DEPENDENCYPART_ARC
(23,21),-3.59969 # DEPENDENCYPART_ARC
(23,22),-1.28636 # DEPENDENCYPART_ARC
(23,24),0.474187 # DEPENDENCYPART_ARC
(23,25),-0.510637 # DEPENDENCYPART_ARC
(24,1),-7.32462 # DEPENDENCYPART_ARC
(24,2),-4.62786 # DEPENDENCYPART_ARC
(24,3),-6.07412 # DEPENDENCYPART_ARC
(24,4),-3.9511 # DEPENDENCYPART_ARC
(24,5),-2.45569 # DEPENDENCYPART_ARC
(24,6),-1.88554 # DEPENDENCYPART_ARC
(24,7),-4.35935 # DEPENDENCYPART_ARC
(24,8),-4.41505 # DEPENDENCYPART_ARC
(24,9),-4.6258 # DEPENDENCYPART_ARC
(24,10),-4.92478 # DEPENDENCYPART_ARC
(24,11),-1.77529 # DEPENDENCYPART_ARC
(24,12),-4.11354 # DEPENDENCYPART_ARC
(24,13),-2.79024 # DEPENDENCYPART_ARC
(24,14),-2.74308 # DEPENDENCYPART_ARC
(24,15),-1.95126 # DEPENDENCYPART_ARC
(24,16),-1.42128 # DEPENDENCYPART_ARC
(24,17),-2.38717 # DEPENDENCYPART_ARC
(24,18),-3.06673 # DEPENDENCYPART_ARC
(24,19),-1.33856 # DEPENDENCYPART_ARC
(24,20),-1.12288 # DEPENDENCYPART_ARC
(24,21),-1.60404 # DEPENDENCYPART_ARC
(24,22),-0.177288 # DEPENDENCYPART_ARC
(24,23),4.8438 # DEPENDENCYPART_ARC
(24,25),0.068037 # DEPENDENCYPART_ARC
(25,1),-8.34415 # DEPENDENCYPART_ARC
(25,2),-7.16783 # DEPENDENCYPART_ARC
(25,3),-4.56809 # DEPENDENCYPART_ARC
(25,4),-5.36573 # DEPENDENCYPART_ARC
(25,5),-5.44692 # DEPENDENCYPART_ARC
(25,6),-5.35874 # DEPENDENCYPART_ARC
(25,7),-5.07155 # DEPENDENCYPART_ARC
(25,8),-6.32806 # DEPENDENCYPART_ARC
(25,9),-5.20427 # DEPENDENCYPART_ARC
(25,10),-5.78352 # DEPENDENCYPART_ARC
(25,11),-5.37141 # DEPENDENCYPART_ARC
(25,12),-4.71561 # DEPENDENCYPART_ARC
(25,13),-5.04355 # DEPENDENCYPART_ARC
(25,14),-4.10555 # DEPENDENCYPART_ARC
(25,15),-4.33631 # DEPENDENCYPART_ARC
(25,16),-4.07236 # DEPENDENCYPART_ARC
(25,17),-4.13775 # DEPENDENCYPART_ARC
(25,18),-3.93327 # DEPENDENCYPART_ARC
(25,19),-3.73195 # DEPENDENCYPART_ARC
(25,20),-3.04679 # DEPENDENCYPART_ARC
(25,21),-3.39003 # DEPENDENCYPART_ARC
(25,22),-3.11887 # DEPENDENCYPART_ARC
(25,23),-2.63784 # DEPENDENCYPART_ARC
(25,24),-3.36257 # DEPENDENCYPART_ARC
