# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,4,4,9,4,7,5,9,0,9,12,9,12,13,14,17,15,17,18,10,22,20,22,23,26,22,0,
(20,3),0.226046 # DEPENDENCYPART_ARC
(20,4),0.75521 # DEPENDENCYPART_ARC
(20,5),-0.538033 # DEPENDENCYPART_ARC
(20,6),-0.726084 # DEPENDENCYPART_ARC
(20,7),-0.675846 # DEPENDENCYPART_ARC
(20,8),0.529581 # DEPENDENCYPART_ARC
(20,9),0.356793 # DEPENDENCYPART_ARC
(20,10),0.390112 # DEPENDENCYPART_ARC
(20,11),1.64737 # DEPENDENCYPART_ARC
(20,12),1.0115 # DEPENDENCYPART_ARC
(20,13),1.27847 # DEPENDENCYPART_ARC
(20,14),1.06642 # DEPENDENCYPART_ARC
(20,15),0.370788 # DEPENDENCYPART_ARC
(20,16),0.48821 # DEPENDENCYPART_ARC
(20,17),1.33292 # DEPENDENCYPART_ARC
(20,18),0.48686 # DEPENDENCYPART_ARC
(20,19),1.74389 # DEPENDENCYPART_ARC
(20,22),2.219 # DEPENDENCYPART_ARC
(20,23),0.437408 # DEPENDENCYPART_ARC
(20,24),0.154233 # DEPENDENCYPART_ARC
(20,25),0.40388 # DEPENDENCYPART_ARC
(20,26),-0.0213875 # DEPENDENCYPART_ARC
(20,27),0.786511 # DEPENDENCYPART_ARC
(22,1),0.491724 # DEPENDENCYPART_ARC
(22,2),-1.50865 # DEPENDENCYPART_ARC
(22,3),-4.2918 # DEPENDENCYPART_ARC
(22,4),-4.99983 # DEPENDENCYPART_ARC
(22,5),-1.92625 # DEPENDENCYPART_ARC
(22,6),-5.67471 # DEPENDENCYPART_ARC
(22,7),-5.48323 # DEPENDENCYPART_ARC
(22,8),-2.49116 # DEPENDENCYPART_ARC
(22,9),-1.93582 # DEPENDENCYPART_ARC
(22,10),-0.474371 # DEPENDENCYPART_ARC
(22,11),-1.99575 # DEPENDENCYPART_ARC
(22,12),-4.96652 # DEPENDENCYPART_ARC
(22,13),-1.35439 # DEPENDENCYPART_ARC
(22,14),-0.644743 # DEPENDENCYPART_ARC
(22,15),-1.34805 # DEPENDENCYPART_ARC
(22,16),-1.5327 # DEPENDENCYPART_ARC
(22,17),-2.56347 # DEPENDENCYPART_ARC
(22,18),-0.876073 # DEPENDENCYPART_ARC
(22,19),-2.34853 # DEPENDENCYPART_ARC
(22,20),1.09039 # DEPENDENCYPART_ARC
(22,21),2.39572 # DEPENDENCYPART_ARC
(22,23),2.57376 # DEPENDENCYPART_ARC
(22,24),-0.494447 # DEPENDENCYPART_ARC
(22,25),-1.25525 # DEPENDENCYPART_ARC
(22,26),1.69571 # DEPENDENCYPART_ARC
(22,27),0.0244224 # DEPENDENCYPART_ARC
(23,1),-4.83646 # DEPENDENCYPART_ARC
(23,2),-5.90548 # DEPENDENCYPART_ARC
(23,3),-4.36922 # DEPENDENCYPART_ARC
(23,5),-5.23938 # DEPENDENCYPART_ARC
(23,6),-4.05106 # DEPENDENCYPART_ARC
(23,7),-5.12876 # DEPENDENCYPART_ARC
(23,8),-3.11142 # DEPENDENCYPART_ARC
(23,9),-2.77272 # DEPENDENCYPART_ARC
(23,10),-2.80011 # DEPENDENCYPART_ARC
(23,11),-3.88951 # DEPENDENCYPART_ARC
(23,12),-4.03596 # DEPENDENCYPART_ARC
(23,14),-4.03153 # DEPENDENCYPART_ARC
(23,15),-3.89895 # DEPENDENCYPART_ARC
(23,16),-3.05746 # DEPENDENCYPART_ARC
(23,17),-4.64271 # DEPENDENCYPART_ARC
(23,18),-2.72506 # DEPENDENCYPART_ARC
(23,19),-2.47 # DEPENDENCYPART_ARC
(23,20),-1.22906 # DEPENDENCYPART_ARC
(23,21),-1.55053 # DEPENDENCYPART_ARC
(23,22),-1.47159 # DEPENDENCYPART_ARC
(23,24),4.06536 # DEPENDENCYPART_ARC
(23,25),-1.78505 # DEPENDENCYPART_ARC
(23,26),-2.60525 # DEPENDENCYPART_ARC
(23,27),-0.766522 # DEPENDENCYPART_ARC
(24,1),-7.50174 # DEPENDENCYPART_ARC
(24,2),-9.76196 # DEPENDENCYPART_ARC
(24,3),-4.17036 # DEPENDENCYPART_ARC
(24,4),-5.61598 # DEPENDENCYPART_ARC
(24,5),-3.03308 # DEPENDENCYPART_ARC
(24,6),-6.11923 # DEPENDENCYPART_ARC
(24,7),-8.15458 # DEPENDENCYPART_ARC
(24,8),-4.03785 # DEPENDENCYPART_ARC
(24,9),-6.11443 # DEPENDENCYPART_ARC
(24,10),-5.64811 # DEPENDENCYPART_ARC
(24,11),-4.50962 # DEPENDENCYPART_ARC
(24,12),-7.89125 # DEPENDENCYPART_ARC
(24,13),-2.8999 # DEPENDENCYPART_ARC
(24,14),-5.12476 # DEPENDENCYPART_ARC
(24,15),-2.39614 # DEPENDENCYPART_ARC
(24,16),-3.07882 # DEPENDENCYPART_ARC
(24,17),-7.06191 # DEPENDENCYPART_ARC
(24,18),-1.7598 # DEPENDENCYPART_ARC
(24,19),-4.19222 # DEPENDENCYPART_ARC
(24,20),-1.85994 # DEPENDENCYPART_ARC
(24,21),-3.75103 # DEPENDENCYPART_ARC
(24,22),-4.09992 # DEPENDENCYPART_ARC
(24,23),0.778543 # DEPENDENCYPART_ARC
(24,25),-2.1529 # DEPENDENCYPART_ARC
(24,26),-1.95976 # DEPENDENCYPART_ARC
(24,27),-0.646094 # DEPENDENCYPART_ARC
(25,1),-4.35091 # DEPENDENCYPART_ARC
(25,2),-6.08312 # DEPENDENCYPART_ARC
(25,3),-4.94296 # DEPENDENCYPART_ARC
(25,4),-4.86503 # DEPENDENCYPART_ARC
(25,5),-1.84197 # DEPENDENCYPART_ARC
(25,6),-5.07472 # DEPENDENCYPART_ARC
(25,7),-5.44304 # DEPENDENCYPART_ARC
(25,8),-3.15015 # DEPENDENCYPART_ARC
(25,9),-2.45202 # DEPENDENCYPART_ARC
(25,10),-1.95174 # DEPENDENCYPART_ARC
(25,11),-5.25085 # DEPENDENCYPART_ARC
(25,12),-5.80218 # DEPENDENCYPART_ARC
(25,13),-1.85303 # DEPENDENCYPART_ARC
(25,14),-2.86572 # DEPENDENCYPART_ARC
(25,15),-0.611834 # DEPENDENCYPART_ARC
(25,16),-0.726759 # DEPENDENCYPART_ARC
(25,17),-4.05225 # DEPENDENCYPART_ARC
(25,18),-1.01073 # DEPENDENCYPART_ARC
(25,19),-1.96522 # DEPENDENCYPART_ARC
(25,20),-0.992113 # DEPENDENCYPART_ARC
(25,22),-4.54799 # DEPENDENCYPART_ARC
(25,23),0.265242 # DEPENDENCYPART_ARC
(25,24),-1.32721 # DEPENDENCYPART_ARC
(25,26),0.905299 # DEPENDENCYPART_ARC
(25,27),-0.334591 # DEPENDENCYPART_ARC
(26,1),-6.90974 # DEPENDENCYPART_ARC
(26,2),-9.52202 # DEPENDENCYPART_ARC
(26,3),-2.71966 # DEPENDENCYPART_ARC
(26,4),-1.77557 # DEPENDENCYPART_ARC
(26,5),-1.65536 # DEPENDENCYPART_ARC
(26,6),-6.19367 # DEPENDENCYPART_ARC
(26,7),-8.28423 # DEPENDENCYPART_ARC
(26,8),-3.40525 # DEPENDENCYPART_ARC
(26,9),-4.57374 # DEPENDENCYPART_ARC
(26,10),-4.88585 # DEPENDENCYPART_ARC
(26,11),-2.86721 # DEPENDENCYPART_ARC
(26,12),-4.52406 # DEPENDENCYPART_ARC
(26,13),-1.53189 # DEPENDENCYPART_ARC
(26,14),-3.08727 # DEPENDENCYPART_ARC
(26,15),-1.32567 # DEPENDENCYPART_ARC
(26,16),-1.87445 # DEPENDENCYPART_ARC
(26,17),-5.69813 # DEPENDENCYPART_ARC
(26,18),-0.935556 # DEPENDENCYPART_ARC
(26,19),-2.99796 # DEPENDENCYPART_ARC
(26,20),-1.21717 # DEPENDENCYPART_ARC
(26,21),-2.27801 # DEPENDENCYPART_ARC
(26,22),-1.8035 # DEPENDENCYPART_ARC
(26,23),0.391208 # DEPENDENCYPART_ARC
(26,24),-1.26617 # DEPENDENCYPART_ARC
(26,25),5.88898 # DEPENDENCYPART_ARC
(26,27),0.205109 # DEPENDENCYPART_ARC
(27,1),-3.98961 # DEPENDENCYPART_ARC
(27,2),-7.89861 # DEPENDENCYPART_ARC
(27,3),-6.54552 # DEPENDENCYPART_ARC
(27,4),-5.39491 # DEPENDENCYPART_ARC
(27,5),-5.62362 # DEPENDENCYPART_ARC
(27,6),-5.26718 # DEPENDENCYPART_ARC
(27,7),-6.75294 # DEPENDENCYPART_ARC
(27,8),-6.06046 # DEPENDENCYPART_ARC
(27,9),-4.83327 # DEPENDENCYPART_ARC
(27,10),-4.28569 # DEPENDENCYPART_ARC
(27,11),-4.51697 # DEPENDENCYPART_ARC
(27,12),-4.97517 # DEPENDENCYPART_ARC
(27,13),-4.64031 # DEPENDENCYPART_ARC
(27,14),-5.1073 # DEPENDENCYPART_ARC
(27,15),-4.48447 # DEPENDENCYPART_ARC
(27,16),-4.48338 # DEPENDENCYPART_ARC
(27,17),-4.20677 # DEPENDENCYPART_ARC
(27,18),-4.34713 # DEPENDENCYPART_ARC
(27,19),-3.18888 # DEPENDENCYPART_ARC
(27,20),-3.04604 # DEPENDENCYPART_ARC
(27,22),-3.73358 # DEPENDENCYPART_ARC
(27,23),-3.07608 # DEPENDENCYPART_ARC
(27,24),-2.32661 # DEPENDENCYPART_ARC
(27,25),-2.88203 # DEPENDENCYPART_ARC
(27,26),-3.27472 # DEPENDENCYPART_ARC
