# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,5,10,15,15,15,11,17,15,17,18,19,22,24,24,18,19,25,0,
(19,11),-6.41424 # DEPENDENCYPART_ARC
(19,12),-2.31477 # DEPENDENCYPART_ARC
(19,13),-2.16981 # DEPENDENCYPART_ARC
(19,14),-3.95452 # DEPENDENCYPART_ARC
(19,15),-2.03258 # DEPENDENCYPART_ARC
(19,16),-0.846965 # DEPENDENCYPART_ARC
(19,17),-0.349138 # DEPENDENCYPART_ARC
(19,18),-2.52097 # DEPENDENCYPART_ARC
(19,20),2.33649 # DEPENDENCYPART_ARC
(19,21),1.65303 # DEPENDENCYPART_ARC
(19,22),-0.846542 # DEPENDENCYPART_ARC
(19,23),-1.27327 # DEPENDENCYPART_ARC
(19,24),-0.713573 # DEPENDENCYPART_ARC
(19,25),0.998325 # DEPENDENCYPART_ARC
(19,26),-1.81838 # DEPENDENCYPART_ARC
(19,27),-2.95779 # DEPENDENCYPART_ARC
(20,1),-5.50845 # DEPENDENCYPART_ARC
(20,2),-5.30882 # DEPENDENCYPART_ARC
(20,3),-4.26075 # DEPENDENCYPART_ARC
(20,4),-3.81552 # DEPENDENCYPART_ARC
(20,5),-4.50317 # DEPENDENCYPART_ARC
(20,6),-4.35245 # DEPENDENCYPART_ARC
(20,7),-3.8705 # DEPENDENCYPART_ARC
(20,8),-4.66268 # DEPENDENCYPART_ARC
(20,9),-3.90136 # DEPENDENCYPART_ARC
(20,10),-3.01621 # DEPENDENCYPART_ARC
(20,11),-2.59339 # DEPENDENCYPART_ARC
(20,12),-1.97507 # DEPENDENCYPART_ARC
(20,13),-2.39136 # DEPENDENCYPART_ARC
(20,14),-3.27199 # DEPENDENCYPART_ARC
(20,15),-2.98161 # DEPENDENCYPART_ARC
(20,16),-0.803562 # DEPENDENCYPART_ARC
(20,17),-1.29594 # DEPENDENCYPART_ARC
(20,18),-1.80182 # DEPENDENCYPART_ARC
(20,19),-1.06758 # DEPENDENCYPART_ARC
(20,21),2.64184 # DEPENDENCYPART_ARC
(20,22),3.5439 # DEPENDENCYPART_ARC
(20,23),0.977697 # DEPENDENCYPART_ARC
(20,24),1.06207 # DEPENDENCYPART_ARC
(20,25),-1.20901 # DEPENDENCYPART_ARC
(20,26),-3.56261 # DEPENDENCYPART_ARC
(20,27),-1.39738 # DEPENDENCYPART_ARC
(21,1),-5.85589 # DEPENDENCYPART_ARC
(21,2),-7.62515 # DEPENDENCYPART_ARC
(21,3),-5.10881 # DEPENDENCYPART_ARC
(21,4),-4.58443 # DEPENDENCYPART_ARC
(21,5),-5.64275 # DEPENDENCYPART_ARC
(21,6),-3.63425 # DEPENDENCYPART_ARC
(21,7),-4.39929 # DEPENDENCYPART_ARC
(21,8),-5.42739 # DEPENDENCYPART_ARC
(21,9),-6.33181 # DEPENDENCYPART_ARC
(21,10),-2.93901 # DEPENDENCYPART_ARC
(21,11),-6.33424 # DEPENDENCYPART_ARC
(21,12),-2.8762 # DEPENDENCYPART_ARC
(21,13),-2.72792 # DEPENDENCYPART_ARC
(21,14),-4.40999 # DEPENDENCYPART_ARC
(21,15),-4.39553 # DEPENDENCYPART_ARC
(21,16),-1.77814 # DEPENDENCYPART_ARC
(21,17),-1.28253 # DEPENDENCYPART_ARC
(21,18),-3.29314 # DEPENDENCYPART_ARC
(21,19),-2.30501 # DEPENDENCYPART_ARC
(21,20),-0.457444 # DEPENDENCYPART_ARC
(21,22),-1.00418 # DEPENDENCYPART_ARC
(21,23),-2.65016 # DEPENDENCYPART_ARC
(21,24),-2.79008 # DEPENDENCYPART_ARC
(21,25),-0.853596 # DEPENDENCYPART_ARC
(21,26),-3.06513 # DEPENDENCYPART_ARC
(21,27),-1.33757 # DEPENDENCYPART_ARC
(22,1),-5.74997 # DEPENDENCYPART_ARC
(22,2),-8.00002 # DEPENDENCYPART_ARC
(22,3),-3.47169 # DEPENDENCYPART_ARC
(22,4),-3.03614 # DEPENDENCYPART_ARC
(22,5),-6.9264 # DEPENDENCYPART_ARC
(22,6),-2.82092 # DEPENDENCYPART_ARC
(22,7),-3.42719 # DEPENDENCYPART_ARC
(22,8),-7.07717 # DEPENDENCYPART_ARC
(22,9),-10.2397 # DEPENDENCYPART_ARC
(22,10),-1.71173 # DEPENDENCYPART_ARC
(22,11),-7.749 # DEPENDENCYPART_ARC
(22,12),-1.86296 # DEPENDENCYPART_ARC
(22,13),-2.1774 # DEPENDENCYPART_ARC
(22,14),-2.87513 # DEPENDENCYPART_ARC
(22,15),-1.38583 # DEPENDENCYPART_ARC
(22,16),-1.02566 # DEPENDENCYPART_ARC
(22,17),-1.27795 # DEPENDENCYPART_ARC
(22,18),-2.17589 # DEPENDENCYPART_ARC
(22,19),-1.53936 # DEPENDENCYPART_ARC
(22,20),-0.491195 # DEPENDENCYPART_ARC
(22,21),6.07217 # DEPENDENCYPART_ARC
(22,23),0.570857 # DEPENDENCYPART_ARC
(22,24),-0.0683253 # DEPENDENCYPART_ARC
(22,25),0.312833 # DEPENDENCYPART_ARC
(22,26),-0.671149 # DEPENDENCYPART_ARC
(22,27),-2.04651 # DEPENDENCYPART_ARC
(23,1),-5.54681 # DEPENDENCYPART_ARC
(23,2),-8.48832 # DEPENDENCYPART_ARC
(23,3),-4.5291 # DEPENDENCYPART_ARC
(23,4),-5.69006 # DEPENDENCYPART_ARC
(23,5),-6.7731 # DEPENDENCYPART_ARC
(23,6),-3.6309 # DEPENDENCYPART_ARC
(23,7),-6.24036 # DEPENDENCYPART_ARC
(23,8),-6.4986 # DEPENDENCYPART_ARC
(23,9),-9.62641 # DEPENDENCYPART_ARC
(23,10),-2.75234 # DEPENDENCYPART_ARC
(23,11),-6.961 # DEPENDENCYPART_ARC
(23,12),-2.78056 # DEPENDENCYPART_ARC
(23,13),-3.1033 # DEPENDENCYPART_ARC
(23,14),-4.35336 # DEPENDENCYPART_ARC
(23,15),-2.68945 # DEPENDENCYPART_ARC
(23,16),-1.85748 # DEPENDENCYPART_ARC
(23,17),-2.57663 # DEPENDENCYPART_ARC
(23,18),-3.73893 # DEPENDENCYPART_ARC
(23,19),-1.17176 # DEPENDENCYPART_ARC
(23,20),-1.38812 # DEPENDENCYPART_ARC
(23,21),1.94766 # DEPENDENCYPART_ARC
(23,22),2.78968 # DEPENDENCYPART_ARC
(23,24),0.676174 # DEPENDENCYPART_ARC
(23,25),0.0167802 # DEPENDENCYPART_ARC
(23,26),-0.864189 # DEPENDENCYPART_ARC
(23,27),-1.45857 # DEPENDENCYPART_ARC
(24,1),-2.12898 # DEPENDENCYPART_ARC
(24,2),-6.45146 # DEPENDENCYPART_ARC
(24,3),-3.74314 # DEPENDENCYPART_ARC
(24,4),-4.26731 # DEPENDENCYPART_ARC
(24,5),-4.77625 # DEPENDENCYPART_ARC
(24,6),-2.78165 # DEPENDENCYPART_ARC
(24,7),-3.84466 # DEPENDENCYPART_ARC
(24,8),-2.9727 # DEPENDENCYPART_ARC
(24,9),-6.89145 # DEPENDENCYPART_ARC
(24,10),-2.08454 # DEPENDENCYPART_ARC
(24,11),-4.28199 # DEPENDENCYPART_ARC
(24,12),-1.7696 # DEPENDENCYPART_ARC
(24,13),-2.19069 # DEPENDENCYPART_ARC
(24,14),-3.6057 # DEPENDENCYPART_ARC
(24,15),-1.91069 # DEPENDENCYPART_ARC
(24,16),-0.749231 # DEPENDENCYPART_ARC
(24,17),-1.40339 # DEPENDENCYPART_ARC
(24,18),-3.17672 # DEPENDENCYPART_ARC
(24,19),0.615534 # DEPENDENCYPART_ARC
(24,20),-0.723854 # DEPENDENCYPART_ARC
(24,21),3.56185 # DEPENDENCYPART_ARC
(24,22),5.79678 # DEPENDENCYPART_ARC
(24,23),7.33876 # DEPENDENCYPART_ARC
(24,25),0.804579 # DEPENDENCYPART_ARC
(24,26),0.459341 # DEPENDENCYPART_ARC
(24,27),0.349124 # DEPENDENCYPART_ARC
(25,1),-6.5146 # DEPENDENCYPART_ARC
(25,2),-6.1117 # DEPENDENCYPART_ARC
(25,3),-3.99333 # DEPENDENCYPART_ARC
(25,4),-3.79522 # DEPENDENCYPART_ARC
(25,5),-5.18966 # DEPENDENCYPART_ARC
(25,6),-5.88843 # DEPENDENCYPART_ARC
(25,7),-3.67986 # DEPENDENCYPART_ARC
(25,8),-5.00451 # DEPENDENCYPART_ARC
(25,9),-4.3131 # DEPENDENCYPART_ARC
(25,10),-4.94026 # DEPENDENCYPART_ARC
(25,11),-3.2776 # DEPENDENCYPART_ARC
(25,12),-3.14414 # DEPENDENCYPART_ARC
(25,13),-3.0621 # DEPENDENCYPART_ARC
(25,14),-3.31975 # DEPENDENCYPART_ARC
(25,15),-3.21896 # DEPENDENCYPART_ARC
(25,16),-2.17944 # DEPENDENCYPART_ARC
(25,17),-2.0122 # DEPENDENCYPART_ARC
(25,18),-2.73087 # DEPENDENCYPART_ARC
(25,19),-3.00381 # DEPENDENCYPART_ARC
(25,20),-2.81363 # DEPENDENCYPART_ARC
(25,21),-2.27622 # DEPENDENCYPART_ARC
(25,22),-3.09147 # DEPENDENCYPART_ARC
(25,23),-2.24517 # DEPENDENCYPART_ARC
(25,24),-1.53734 # DEPENDENCYPART_ARC
(25,26),4.41307 # DEPENDENCYPART_ARC
(25,27),-0.194002 # DEPENDENCYPART_ARC
(26,1),-6.18424 # DEPENDENCYPART_ARC
(26,2),-7.67332 # DEPENDENCYPART_ARC
(26,3),-4.42296 # DEPENDENCYPART_ARC
(26,4),-6.71424 # DEPENDENCYPART_ARC
(26,5),-7.81377 # DEPENDENCYPART_ARC
(26,6),-3.83087 # DEPENDENCYPART_ARC
(26,7),-8.14816 # DEPENDENCYPART_ARC
(26,8),-8.65248 # DEPENDENCYPART_ARC
(26,9),-8.5041 # DEPENDENCYPART_ARC
(26,10),-3.03578 # DEPENDENCYPART_ARC
(26,11),-8.07158 # DEPENDENCYPART_ARC
(26,12),-3.31016 # DEPENDENCYPART_ARC
(26,13),-3.94252 # DEPENDENCYPART_ARC
(26,14),-6.83293 # DEPENDENCYPART_ARC
(26,15),-5.21941 # DEPENDENCYPART_ARC
(26,16),-2.35032 # DEPENDENCYPART_ARC
(26,17),-3.49228 # DEPENDENCYPART_ARC
(26,18),-6.43647 # DEPENDENCYPART_ARC
(26,19),-2.76173 # DEPENDENCYPART_ARC
(26,20),-2.00091 # DEPENDENCYPART_ARC
(26,21),-2.86568 # DEPENDENCYPART_ARC
(26,22),-1.59683 # DEPENDENCYPART_ARC
(26,23),-0.123798 # DEPENDENCYPART_ARC
(26,24),-0.964519 # DEPENDENCYPART_ARC
(26,25),-0.0787892 # DEPENDENCYPART_ARC
(26,27),-0.0412538 # DEPENDENCYPART_ARC
(27,1),-8.88893 # DEPENDENCYPART_ARC
(27,2),-7.97073 # DEPENDENCYPART_ARC
(27,3),-5.76276 # DEPENDENCYPART_ARC
(27,4),-5.77021 # DEPENDENCYPART_ARC
(27,5),-7.79584 # DEPENDENCYPART_ARC
(27,6),-6.67214 # DEPENDENCYPART_ARC
(27,7),-5.32962 # DEPENDENCYPART_ARC
(27,8),-6.37741 # DEPENDENCYPART_ARC
(27,9),-6.07386 # DEPENDENCYPART_ARC
(27,10),-5.5155 # DEPENDENCYPART_ARC
(27,11),-4.93775 # DEPENDENCYPART_ARC
(27,12),-5.15719 # DEPENDENCYPART_ARC
(27,13),-4.25957 # DEPENDENCYPART_ARC
(27,14),-4.59047 # DEPENDENCYPART_ARC
(27,15),-4.81306 # DEPENDENCYPART_ARC
(27,16),-4.78201 # DEPENDENCYPART_ARC
(27,17),-3.96168 # DEPENDENCYPART_ARC
(27,18),-3.92001 # DEPENDENCYPART_ARC
(27,19),-3.67394 # DEPENDENCYPART_ARC
(27,20),-4.15742 # DEPENDENCYPART_ARC
(27,21),-3.47463 # DEPENDENCYPART_ARC
(27,22),-3.62054 # DEPENDENCYPART_ARC
(27,23),-3.25413 # DEPENDENCYPART_ARC
(27,24),-2.8738 # DEPENDENCYPART_ARC
(27,25),-3.33245 # DEPENDENCYPART_ARC
(27,26),-2.29877 # DEPENDENCYPART_ARC
