# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,11,23,24,23,26,0,
(18,21),-0.997912 # DEPENDENCYPART_ARC
(18,22),-2.38421 # DEPENDENCYPART_ARC
(18,23),-0.493437 # DEPENDENCYPART_ARC
(18,24),-1.81845 # DEPENDENCYPART_ARC
(18,25),-2.45014 # DEPENDENCYPART_ARC
(18,26),-4.01707 # DEPENDENCYPART_ARC
(18,27),-4.48164 # DEPENDENCYPART_ARC
(18,28),-3.3011 # DEPENDENCYPART_ARC
(19,1),-2.65652 # DEPENDENCYPART_ARC
(19,2),-4.35086 # DEPENDENCYPART_ARC
(19,3),-4.51749 # DEPENDENCYPART_ARC
(19,4),-4.22766 # DEPENDENCYPART_ARC
(19,5),-2.48107 # DEPENDENCYPART_ARC
(19,6),-4.44677 # DEPENDENCYPART_ARC
(19,7),-3.62216 # DEPENDENCYPART_ARC
(19,8),-4.02716 # DEPENDENCYPART_ARC
(19,9),-2.12211 # DEPENDENCYPART_ARC
(19,10),-2.39176 # DEPENDENCYPART_ARC
(19,11),-2.59005 # DEPENDENCYPART_ARC
(19,12),-2.33255 # DEPENDENCYPART_ARC
(19,13),-2.54349 # DEPENDENCYPART_ARC
(19,14),-1.27463 # DEPENDENCYPART_ARC
(19,15),-3.42527 # DEPENDENCYPART_ARC
(19,16),-2.1616 # DEPENDENCYPART_ARC
(19,17),-1.04453 # DEPENDENCYPART_ARC
(19,18),-1.6408 # DEPENDENCYPART_ARC
(19,20),-3.0309 # DEPENDENCYPART_ARC
(19,21),-2.4235 # DEPENDENCYPART_ARC
(19,22),-1.7742 # DEPENDENCYPART_ARC
(19,23),-1.70769 # DEPENDENCYPART_ARC
(19,24),-2.60784 # DEPENDENCYPART_ARC
(19,25),-1.82089 # DEPENDENCYPART_ARC
(19,26),-4.91822 # DEPENDENCYPART_ARC
(19,27),-2.33476 # DEPENDENCYPART_ARC
(19,28),-2.15622 # DEPENDENCYPART_ARC
(20,1),-0.811626 # DEPENDENCYPART_ARC
(20,2),-2.39068 # DEPENDENCYPART_ARC
(20,3),-0.494601 # DEPENDENCYPART_ARC
(20,4),-0.147671 # DEPENDENCYPART_ARC
(20,5),-1.93024 # DEPENDENCYPART_ARC
(20,6),-2.50048 # DEPENDENCYPART_ARC
(20,7),-3.73958 # DEPENDENCYPART_ARC
(20,8),-1.06545 # DEPENDENCYPART_ARC
(20,9),-0.887058 # DEPENDENCYPART_ARC
(20,10),-0.028353 # DEPENDENCYPART_ARC
(20,11),1.51946 # DEPENDENCYPART_ARC
(20,12),2.4565 # DEPENDENCYPART_ARC
(20,13),-1.74196 # DEPENDENCYPART_ARC
(20,14),0.479293 # DEPENDENCYPART_ARC
(20,15),-4.92633 # DEPENDENCYPART_ARC
(20,16),-2.75141 # DEPENDENCYPART_ARC
(20,17),1.38156 # DEPENDENCYPART_ARC
(20,18),3.04193 # DEPENDENCYPART_ARC
(20,19),4.49016 # DEPENDENCYPART_ARC
(20,21),2.24377 # DEPENDENCYPART_ARC
(20,22),1.10165 # DEPENDENCYPART_ARC
(20,23),1.08194 # DEPENDENCYPART_ARC
(20,24),0.356874 # DEPENDENCYPART_ARC
(20,25),-1.75676 # DEPENDENCYPART_ARC
(20,26),-2.76043 # DEPENDENCYPART_ARC
(20,27),0.130147 # DEPENDENCYPART_ARC
(20,28),-0.327498 # DEPENDENCYPART_ARC
(21,1),-4.4995 # DEPENDENCYPART_ARC
(21,2),-3.31757 # DEPENDENCYPART_ARC
(21,3),-3.08208 # DEPENDENCYPART_ARC
(21,4),-4.14073 # DEPENDENCYPART_ARC
(21,5),-3.08315 # DEPENDENCYPART_ARC
(21,6),-2.33689 # DEPENDENCYPART_ARC
(21,7),-3.34872 # DEPENDENCYPART_ARC
(21,8),-3.35079 # DEPENDENCYPART_ARC
(21,9),-2.79749 # DEPENDENCYPART_ARC
(21,10),-2.04996 # DEPENDENCYPART_ARC
(21,11),-2.16759 # DEPENDENCYPART_ARC
(21,12),-2.43461 # DEPENDENCYPART_ARC
(21,13),-2.75215 # DEPENDENCYPART_ARC
(21,14),-2.51331 # DEPENDENCYPART_ARC
(21,15),-2.3175 # DEPENDENCYPART_ARC
(21,16),-1.84466 # DEPENDENCYPART_ARC
(21,17),-1.22427 # DEPENDENCYPART_ARC
(21,18),-3.07719 # DEPENDENCYPART_ARC
(21,19),-1.07663 # DEPENDENCYPART_ARC
(21,20),-1.24856 # DEPENDENCYPART_ARC
(21,22),4.76062 # DEPENDENCYPART_ARC
(21,23),0.783511 # DEPENDENCYPART_ARC
(21,24),-1.31551 # DEPENDENCYPART_ARC
(21,25),1.0126 # DEPENDENCYPART_ARC
(21,26),-1.9636 # DEPENDENCYPART_ARC
(21,27),-4.42025 # DEPENDENCYPART_ARC
(21,28),-1.06662 # DEPENDENCYPART_ARC
(22,1),-2.46402 # DEPENDENCYPART_ARC
(22,2),-9.01823 # DEPENDENCYPART_ARC
(22,3),-6.36474 # DEPENDENCYPART_ARC
(22,4),-8.52627 # DEPENDENCYPART_ARC
(22,5),-2.17588 # DEPENDENCYPART_ARC
(22,6),-5.69915 # DEPENDENCYPART_ARC
(22,7),-5.28533 # DEPENDENCYPART_ARC
(22,8),-7.13384 # DEPENDENCYPART_ARC
(22,9),-3.164 # DEPENDENCYPART_ARC
(22,10),-2.6219 # DEPENDENCYPART_ARC
(22,11),-3.99137 # DEPENDENCYPART_ARC
(22,12),-4.51368 # DEPENDENCYPART_ARC
(22,13),-4.29548 # DEPENDENCYPART_ARC
(22,14),-1.25567 # DEPENDENCYPART_ARC
(22,15),-2.09158 # DEPENDENCYPART_ARC
(22,16),-4.9636 # DEPENDENCYPART_ARC
(22,17),-1.51556 # DEPENDENCYPART_ARC
(22,18),-4.86349 # DEPENDENCYPART_ARC
(22,19),-2.51081 # DEPENDENCYPART_ARC
(22,20),-3.44394 # DEPENDENCYPART_ARC
(22,21),0.228379 # DEPENDENCYPART_ARC
(22,23),-0.604508 # DEPENDENCYPART_ARC
(22,24),-0.646639 # DEPENDENCYPART_ARC
(22,25),-1.19978 # DEPENDENCYPART_ARC
(22,26),-1.9861 # DEPENDENCYPART_ARC
(22,27),-4.13171 # DEPENDENCYPART_ARC
(22,28),-2.54784 # DEPENDENCYPART_ARC
(23,1),-0.864113 # DEPENDENCYPART_ARC
(23,2),-1.80021 # DEPENDENCYPART_ARC
(23,3),-0.759107 # DEPENDENCYPART_ARC
(23,4),-1.84844 # DEPENDENCYPART_ARC
(23,5),0.333043 # DEPENDENCYPART_ARC
(23,6),-1.08114 # DEPENDENCYPART_ARC
(23,7),0.0187533 # DEPENDENCYPART_ARC
(23,8),-1.70681 # DEPENDENCYPART_ARC
(23,9),-0.510322 # DEPENDENCYPART_ARC
(23,10),0.0831193 # DEPENDENCYPART_ARC
(23,11),0.680782 # DEPENDENCYPART_ARC
(23,12),-0.207781 # DEPENDENCYPART_ARC
(23,13),1.53113 # DEPENDENCYPART_ARC
(23,14),1.43598 # DEPENDENCYPART_ARC
(23,15),-0.709827 # DEPENDENCYPART_ARC
(23,16),0.452173 # DEPENDENCYPART_ARC
(23,17),0.782519 # DEPENDENCYPART_ARC
(23,18),0.789455 # DEPENDENCYPART_ARC
(23,19),0.922206 # DEPENDENCYPART_ARC
(23,20),2.34103 # DEPENDENCYPART_ARC
(23,21),2.21237 # DEPENDENCYPART_ARC
(23,22),1.77068 # DEPENDENCYPART_ARC
(23,24),2.3586 # DEPENDENCYPART_ARC
(23,25),1.97322 # DEPENDENCYPART_ARC
(23,26),1.43379 # DEPENDENCYPART_ARC
(23,27),0.332543 # DEPENDENCYPART_ARC
(23,28),-0.0426619 # DEPENDENCYPART_ARC
(24,1),-7.37971 # DEPENDENCYPART_ARC
(24,2),-5.58565 # DEPENDENCYPART_ARC
(24,3),-4.77774 # DEPENDENCYPART_ARC
(24,4),-5.94917 # DEPENDENCYPART_ARC
(24,5),-6.27804 # DEPENDENCYPART_ARC
(24,6),-5.40834 # DEPENDENCYPART_ARC
(24,7),-5.10202 # DEPENDENCYPART_ARC
(24,8),-6.19653 # DEPENDENCYPART_ARC
(24,9),-4.45235 # DEPENDENCYPART_ARC
(24,10),-3.26043 # DEPENDENCYPART_ARC
(24,11),-3.58279 # DEPENDENCYPART_ARC
(24,12),-3.84714 # DEPENDENCYPART_ARC
(24,13),-4.46344 # DEPENDENCYPART_ARC
(24,14),-5.15457 # DEPENDENCYPART_ARC
(24,15),-4.40029 # DEPENDENCYPART_ARC
(24,16),-4.99047 # DEPENDENCYPART_ARC
(24,17),-2.73692 # DEPENDENCYPART_ARC
(24,18),-5.41813 # DEPENDENCYPART_ARC
(24,19),-3.18186 # DEPENDENCYPART_ARC
(24,20),-3.93844 # DEPENDENCYPART_ARC
(24,21),-2.74579 # DEPENDENCYPART_ARC
(24,22),-2.48511 # DEPENDENCYPART_ARC
(24,23),-1.80266 # DEPENDENCYPART_ARC
(24,25),5.38134 # DEPENDENCYPART_ARC
(24,26),-1.40927 # DEPENDENCYPART_ARC
(24,27),-3.73832 # DEPENDENCYPART_ARC
(24,28),-0.831444 # DEPENDENCYPART_ARC
(25,1),-3.3634 # DEPENDENCYPART_ARC
(25,2),-9.12491 # DEPENDENCYPART_ARC
(25,3),-7.69321 # DEPENDENCYPART_ARC
(25,4),-9.10576 # DEPENDENCYPART_ARC
(25,5),-2.45234 # DEPENDENCYPART_ARC
(25,6),-6.29144 # DEPENDENCYPART_ARC
(25,7),-5.70107 # DEPENDENCYPART_ARC
(25,8),-7.52249 # DEPENDENCYPART_ARC
(25,9),-4.05319 # DEPENDENCYPART_ARC
(25,10),-3.14024 # DEPENDENCYPART_ARC
(25,11),-4.94136 # DEPENDENCYPART_ARC
(25,12),-5.30614 # DEPENDENCYPART_ARC
(25,13),-4.74785 # DEPENDENCYPART_ARC
(25,14),-1.93263 # DEPENDENCYPART_ARC
(25,15),-2.56003 # DEPENDENCYPART_ARC
(25,16),-5.19259 # DEPENDENCYPART_ARC
(25,17),-2.39275 # DEPENDENCYPART_ARC
(25,18),-5.93698 # DEPENDENCYPART_ARC
(25,19),-3.95057 # DEPENDENCYPART_ARC
(25,20),-4.62444 # DEPENDENCYPART_ARC
(25,21),-0.583848 # DEPENDENCYPART_ARC
(25,22),-2.6408 # DEPENDENCYPART_ARC
(25,23),-0.561959 # DEPENDENCYPART_ARC
(25,24),1.38372 # DEPENDENCYPART_ARC
(25,26),0.159007 # DEPENDENCYPART_ARC
(25,27),-1.27794 # DEPENDENCYPART_ARC
(25,28),-0.345832 # DEPENDENCYPART_ARC
(26,1),-2.43265 # DEPENDENCYPART_ARC
(26,2),-1.49906 # DEPENDENCYPART_ARC
(26,3),-1.83009 # DEPENDENCYPART_ARC
(26,4),0.335895 # DEPENDENCYPART_ARC
(26,5),-3.01873 # DEPENDENCYPART_ARC
(26,6),-1.24992 # DEPENDENCYPART_ARC
(26,7),-3.28847 # DEPENDENCYPART_ARC
(26,8),0.220569 # DEPENDENCYPART_ARC
(26,9),-2.38115 # DEPENDENCYPART_ARC
(26,10),-1.50723 # DEPENDENCYPART_ARC
(26,11),0.728559 # DEPENDENCYPART_ARC
(26,12),0.89573 # DEPENDENCYPART_ARC
(26,13),-1.44517 # DEPENDENCYPART_ARC
(26,14),-0.639518 # DEPENDENCYPART_ARC
(26,15),-4.70019 # DEPENDENCYPART_ARC
(26,16),-2.93385 # DEPENDENCYPART_ARC
(26,17),-0.754234 # DEPENDENCYPART_ARC
(26,18),0.239438 # DEPENDENCYPART_ARC
(26,19),2.60595 # DEPENDENCYPART_ARC
(26,20),-1.22035 # DEPENDENCYPART_ARC
(26,21),1.11692 # DEPENDENCYPART_ARC
(26,22),0.639148 # DEPENDENCYPART_ARC
(26,23),0.423042 # DEPENDENCYPART_ARC
(26,24),2.24667 # DEPENDENCYPART_ARC
(26,25),0.0259036 # DEPENDENCYPART_ARC
(26,27),3.57506 # DEPENDENCYPART_ARC
(26,28),-0.117909 # DEPENDENCYPART_ARC
(27,1),-2.07069 # DEPENDENCYPART_ARC
(27,2),-11.449 # DEPENDENCYPART_ARC
(27,3),-7.69861 # DEPENDENCYPART_ARC
(27,4),-10.2678 # DEPENDENCYPART_ARC
(27,5),-2.26183 # DEPENDENCYPART_ARC
(27,6),-8.14023 # DEPENDENCYPART_ARC
(27,7),-5.08388 # DEPENDENCYPART_ARC
(27,8),-6.15814 # DEPENDENCYPART_ARC
(27,9),-4.45677 # DEPENDENCYPART_ARC
(27,10),-3.26428 # DEPENDENCYPART_ARC
(27,11),-4.88152 # DEPENDENCYPART_ARC
(27,12),-5.77599 # DEPENDENCYPART_ARC
(27,13),-3.91593 # DEPENDENCYPART_ARC
(27,14),-1.04514 # DEPENDENCYPART_ARC
(27,15),-3.42809 # DEPENDENCYPART_ARC
(27,16),-6.78095 # DEPENDENCYPART_ARC
(27,17),-2.38414 # DEPENDENCYPART_ARC
(27,18),-4.41918 # DEPENDENCYPART_ARC
(27,19),-4.46016 # DEPENDENCYPART_ARC
(27,20),-4.39557 # DEPENDENCYPART_ARC
(27,21),-0.0211676 # DEPENDENCYPART_ARC
(27,22),-4.17867 # DEPENDENCYPART_ARC
(27,23),-0.859393 # DEPENDENCYPART_ARC
(27,24),0.452129 # DEPENDENCYPART_ARC
(27,25),-2.57722 # DEPENDENCYPART_ARC
(27,26),-2.24016 # DEPENDENCYPART_ARC
(27,28),0.164 # DEPENDENCYPART_ARC
(28,1),-7.12355 # DEPENDENCYPART_ARC
(28,2),-7.20129 # DEPENDENCYPART_ARC
(28,3),-6.26376 # DEPENDENCYPART_ARC
(28,4),-7.72294 # DEPENDENCYPART_ARC
(28,5),-6.99194 # DEPENDENCYPART_ARC
(28,6),-6.86065 # DEPENDENCYPART_ARC
(28,7),-5.09041 # DEPENDENCYPART_ARC
(28,8),-6.2637 # DEPENDENCYPART_ARC
(28,9),-4.75521 # DEPENDENCYPART_ARC
(28,10),-6.01921 # DEPENDENCYPART_ARC
(28,11),-3.8731 # DEPENDENCYPART_ARC
(28,12),-4.41134 # DEPENDENCYPART_ARC
(28,13),-4.68173 # DEPENDENCYPART_ARC
(28,14),-4.36468 # DEPENDENCYPART_ARC
(28,15),-4.33749 # DEPENDENCYPART_ARC
(28,16),-5.02982 # DEPENDENCYPART_ARC
(28,17),-4.44379 # DEPENDENCYPART_ARC
(28,18),-4.23007 # DEPENDENCYPART_ARC
(28,19),-3.60321 # DEPENDENCYPART_ARC
(28,20),-3.72222 # DEPENDENCYPART_ARC
(28,21),-3.4833 # DEPENDENCYPART_ARC
(28,22),-3.10591 # DEPENDENCYPART_ARC
(28,23),-3.76222 # DEPENDENCYPART_ARC
(28,24),-3.40868 # DEPENDENCYPART_ARC
(28,25),-2.72099 # DEPENDENCYPART_ARC
(28,26),-3.34241 # DEPENDENCYPART_ARC
(28,27),-2.5351 # DEPENDENCYPART_ARC
