# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,13,2,2,2,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,14,22,23,26,24,26,0,
(18,20),-1.44858 # DEPENDENCYPART_ARC
(18,21),0.159056 # DEPENDENCYPART_ARC
(18,22),0.0434013 # DEPENDENCYPART_ARC
(18,23),-2.46787 # DEPENDENCYPART_ARC
(18,24),0.494375 # DEPENDENCYPART_ARC
(18,25),-0.860709 # DEPENDENCYPART_ARC
(18,26),0.469725 # DEPENDENCYPART_ARC
(18,27),-2.60196 # DEPENDENCYPART_ARC
(18,28),-1.09735 # DEPENDENCYPART_ARC
(19,1),-4.26957 # DEPENDENCYPART_ARC
(19,2),-2.03967 # DEPENDENCYPART_ARC
(19,3),-3.81643 # DEPENDENCYPART_ARC
(19,4),-6.76355 # DEPENDENCYPART_ARC
(19,5),-2.18443 # DEPENDENCYPART_ARC
(19,6),-4.97612 # DEPENDENCYPART_ARC
(19,7),-2.75783 # DEPENDENCYPART_ARC
(19,8),-2.85013 # DEPENDENCYPART_ARC
(19,9),-3.99811 # DEPENDENCYPART_ARC
(19,10),-4.17964 # DEPENDENCYPART_ARC
(19,11),-3.26238 # DEPENDENCYPART_ARC
(19,12),-4.61797 # DEPENDENCYPART_ARC
(19,13),-1.19382 # DEPENDENCYPART_ARC
(19,14),-1.35486 # DEPENDENCYPART_ARC
(19,15),-1.55024 # DEPENDENCYPART_ARC
(19,16),-1.06293 # DEPENDENCYPART_ARC
(19,17),-2.69683 # DEPENDENCYPART_ARC
(19,18),0.486607 # DEPENDENCYPART_ARC
(19,20),-1.245 # DEPENDENCYPART_ARC
(19,21),2.97543 # DEPENDENCYPART_ARC
(19,22),0.398124 # DEPENDENCYPART_ARC
(19,23),-3.30197 # DEPENDENCYPART_ARC
(19,24),-0.032289 # DEPENDENCYPART_ARC
(19,25),0.784644 # DEPENDENCYPART_ARC
(19,26),0.429975 # DEPENDENCYPART_ARC
(19,27),-0.842298 # DEPENDENCYPART_ARC
(19,28),-3.60514 # DEPENDENCYPART_ARC
(20,1),-4.40882 # DEPENDENCYPART_ARC
(20,2),-2.96403 # DEPENDENCYPART_ARC
(20,3),-3.14528 # DEPENDENCYPART_ARC
(20,4),-2.85886 # DEPENDENCYPART_ARC
(20,5),-3.20202 # DEPENDENCYPART_ARC
(20,6),-2.66946 # DEPENDENCYPART_ARC
(20,7),-3.38265 # DEPENDENCYPART_ARC
(20,8),-3.30649 # DEPENDENCYPART_ARC
(20,9),-1.65346 # DEPENDENCYPART_ARC
(20,10),-2.79914 # DEPENDENCYPART_ARC
(20,11),-3.23196 # DEPENDENCYPART_ARC
(20,12),-3.26122 # DEPENDENCYPART_ARC
(20,13),-1.80397 # DEPENDENCYPART_ARC
(20,14),-0.772911 # DEPENDENCYPART_ARC
(20,15),-2.52444 # DEPENDENCYPART_ARC
(20,16),-2.73225 # DEPENDENCYPART_ARC
(20,17),-0.817551 # DEPENDENCYPART_ARC
(20,18),-0.174077 # DEPENDENCYPART_ARC
(20,19),0.134406 # DEPENDENCYPART_ARC
(20,21),0.844595 # DEPENDENCYPART_ARC
(20,22),-0.376536 # DEPENDENCYPART_ARC
(20,23),-2.79991 # DEPENDENCYPART_ARC
(20,24),-0.563105 # DEPENDENCYPART_ARC
(20,25),-3.47471 # DEPENDENCYPART_ARC
(20,26),0.267262 # DEPENDENCYPART_ARC
(20,27),-4.10683 # DEPENDENCYPART_ARC
(20,28),-1.87378 # DEPENDENCYPART_ARC
(21,1),-4.80736 # DEPENDENCYPART_ARC
(21,2),-2.29579 # DEPENDENCYPART_ARC
(21,3),-5.55633 # DEPENDENCYPART_ARC
(21,4),-6.67999 # DEPENDENCYPART_ARC
(21,5),-2.77681 # DEPENDENCYPART_ARC
(21,6),-4.2056 # DEPENDENCYPART_ARC
(21,7),-3.64991 # DEPENDENCYPART_ARC
(21,8),-3.37029 # DEPENDENCYPART_ARC
(21,9),-4.62819 # DEPENDENCYPART_ARC
(21,10),-2.908 # DEPENDENCYPART_ARC
(21,11),-1.43917 # DEPENDENCYPART_ARC
(21,12),-4.17447 # DEPENDENCYPART_ARC
(21,13),-1.62228 # DEPENDENCYPART_ARC
(21,14),-2.24659 # DEPENDENCYPART_ARC
(21,15),-2.18369 # DEPENDENCYPART_ARC
(21,16),-0.846552 # DEPENDENCYPART_ARC
(21,17),-3.54085 # DEPENDENCYPART_ARC
(21,18),-0.758176 # DEPENDENCYPART_ARC
(21,19),-1.54534 # DEPENDENCYPART_ARC
(21,20),4.80605 # DEPENDENCYPART_ARC
(21,22),-0.289404 # DEPENDENCYPART_ARC
(21,23),-0.844272 # DEPENDENCYPART_ARC
(21,24),-2.10111 # DEPENDENCYPART_ARC
(21,25),0.481469 # DEPENDENCYPART_ARC
(21,26),-0.168411 # DEPENDENCYPART_ARC
(21,27),-1.39134 # DEPENDENCYPART_ARC
(21,28),-3.17626 # DEPENDENCYPART_ARC
(22,1),-1.89369 # DEPENDENCYPART_ARC
(22,2),-0.99229 # DEPENDENCYPART_ARC
(22,3),-2.92293 # DEPENDENCYPART_ARC
(22,4),-3.08848 # DEPENDENCYPART_ARC
(22,5),-0.939185 # DEPENDENCYPART_ARC
(22,6),-0.402334 # DEPENDENCYPART_ARC
(22,7),-0.90767 # DEPENDENCYPART_ARC
(22,8),-0.275634 # DEPENDENCYPART_ARC
(22,9),-1.29537 # DEPENDENCYPART_ARC
(22,10),-1.62199 # DEPENDENCYPART_ARC
(22,11),-0.543306 # DEPENDENCYPART_ARC
(22,12),-0.293344 # DEPENDENCYPART_ARC
(22,13),-0.247063 # DEPENDENCYPART_ARC
(22,14),-0.530058 # DEPENDENCYPART_ARC
(22,15),0.106684 # DEPENDENCYPART_ARC
(22,16),0.434974 # DEPENDENCYPART_ARC
(22,17),0.337557 # DEPENDENCYPART_ARC
(22,18),0.630818 # DEPENDENCYPART_ARC
(22,19),1.83528 # DEPENDENCYPART_ARC
(22,20),1.24184 # DEPENDENCYPART_ARC
(22,21),2.40667 # DEPENDENCYPART_ARC
(22,23),1.2222 # DEPENDENCYPART_ARC
(22,24),1.79357 # DEPENDENCYPART_ARC
(22,25),1.60905 # DEPENDENCYPART_ARC
(22,26),0.997375 # DEPENDENCYPART_ARC
(22,27),0.781266 # DEPENDENCYPART_ARC
(22,28),-0.0293927 # DEPENDENCYPART_ARC
(23,1),-4.94583 # DEPENDENCYPART_ARC
(23,2),-2.82201 # DEPENDENCYPART_ARC
(23,3),-3.29211 # DEPENDENCYPART_ARC
(23,4),-2.52062 # DEPENDENCYPART_ARC
(23,5),-3.71562 # DEPENDENCYPART_ARC
(23,6),-2.17443 # DEPENDENCYPART_ARC
(23,7),-3.95396 # DEPENDENCYPART_ARC
(23,8),-2.69413 # DEPENDENCYPART_ARC
(23,9),-1.40088 # DEPENDENCYPART_ARC
(23,10),-3.85779 # DEPENDENCYPART_ARC
(23,11),-4.41579 # DEPENDENCYPART_ARC
(23,12),-4.17105 # DEPENDENCYPART_ARC
(23,13),-2.34424 # DEPENDENCYPART_ARC
(23,14),-1.76226 # DEPENDENCYPART_ARC
(23,15),-2.2206 # DEPENDENCYPART_ARC
(23,16),-3.29877 # DEPENDENCYPART_ARC
(23,17),-1.12421 # DEPENDENCYPART_ARC
(23,18),-1.15575 # DEPENDENCYPART_ARC
(23,19),-1.2306 # DEPENDENCYPART_ARC
(23,20),-3.53195 # DEPENDENCYPART_ARC
(23,21),-3.14807 # DEPENDENCYPART_ARC
(23,22),0.297238 # DEPENDENCYPART_ARC
(23,24),1.97279 # DEPENDENCYPART_ARC
(23,25),-0.811765 # DEPENDENCYPART_ARC
(23,26),0.709158 # DEPENDENCYPART_ARC
(23,27),-1.6359 # DEPENDENCYPART_ARC
(23,28),-0.589022 # DEPENDENCYPART_ARC
(24,1),-5.17807 # DEPENDENCYPART_ARC
(24,2),-2.67397 # DEPENDENCYPART_ARC
(24,3),-6.19123 # DEPENDENCYPART_ARC
(24,4),-4.81913 # DEPENDENCYPART_ARC
(24,5),-2.54348 # DEPENDENCYPART_ARC
(24,6),-3.5117 # DEPENDENCYPART_ARC
(24,7),-4.12803 # DEPENDENCYPART_ARC
(24,8),-3.69287 # DEPENDENCYPART_ARC
(24,9),-5.30486 # DEPENDENCYPART_ARC
(24,10),-4.89999 # DEPENDENCYPART_ARC
(24,11),-2.35401 # DEPENDENCYPART_ARC
(24,12),-5.5033 # DEPENDENCYPART_ARC
(24,13),-1.6042 # DEPENDENCYPART_ARC
(24,14),-2.81509 # DEPENDENCYPART_ARC
(24,15),-2.69704 # DEPENDENCYPART_ARC
(24,16),-0.395387 # DEPENDENCYPART_ARC
(24,17),-3.8736 # DEPENDENCYPART_ARC
(24,18),-1.47871 # DEPENDENCYPART_ARC
(24,19),-3.14169 # DEPENDENCYPART_ARC
(24,20),-1.57832 # DEPENDENCYPART_ARC
(24,21),-4.45034 # DEPENDENCYPART_ARC
(24,22),0.374582 # DEPENDENCYPART_ARC
(24,23),-0.801389 # DEPENDENCYPART_ARC
(24,25),3.71334 # DEPENDENCYPART_ARC
(24,26),1.53815 # DEPENDENCYPART_ARC
(24,27),0.401527 # DEPENDENCYPART_ARC
(24,28),-0.708097 # DEPENDENCYPART_ARC
(25,1),-5.81279 # DEPENDENCYPART_ARC
(25,2),-2.86767 # DEPENDENCYPART_ARC
(25,3),-5.44936 # DEPENDENCYPART_ARC
(25,4),-7.28346 # DEPENDENCYPART_ARC
(25,5),-3.1411 # DEPENDENCYPART_ARC
(25,6),-5.80225 # DEPENDENCYPART_ARC
(25,7),-4.51029 # DEPENDENCYPART_ARC
(25,8),-4.04294 # DEPENDENCYPART_ARC
(25,9),-4.46643 # DEPENDENCYPART_ARC
(25,10),-3.63589 # DEPENDENCYPART_ARC
(25,11),-3.02553 # DEPENDENCYPART_ARC
(25,12),-4.59087 # DEPENDENCYPART_ARC
(25,13),-2.32282 # DEPENDENCYPART_ARC
(25,14),-3.38134 # DEPENDENCYPART_ARC
(25,15),-2.89524 # DEPENDENCYPART_ARC
(25,16),-2.98042 # DEPENDENCYPART_ARC
(25,17),-4.70308 # DEPENDENCYPART_ARC
(25,18),-1.90933 # DEPENDENCYPART_ARC
(25,19),-2.90025 # DEPENDENCYPART_ARC
(25,20),1.01458 # DEPENDENCYPART_ARC
(25,21),-2.17291 # DEPENDENCYPART_ARC
(25,22),-0.320944 # DEPENDENCYPART_ARC
(25,23),-0.115062 # DEPENDENCYPART_ARC
(25,24),-0.357103 # DEPENDENCYPART_ARC
(25,26),-0.508074 # DEPENDENCYPART_ARC
(25,27),-0.249974 # DEPENDENCYPART_ARC
(25,28),-1.4308 # DEPENDENCYPART_ARC
(26,1),-1.96568 # DEPENDENCYPART_ARC
(26,2),-2.27099 # DEPENDENCYPART_ARC
(26,3),-0.550721 # DEPENDENCYPART_ARC
(26,4),-1.66866 # DEPENDENCYPART_ARC
(26,5),-0.683549 # DEPENDENCYPART_ARC
(26,6),0.703562 # DEPENDENCYPART_ARC
(26,7),-0.0422424 # DEPENDENCYPART_ARC
(26,8),-3.17942 # DEPENDENCYPART_ARC
(26,9),0.374924 # DEPENDENCYPART_ARC
(26,10),0.151948 # DEPENDENCYPART_ARC
(26,11),-0.393453 # DEPENDENCYPART_ARC
(26,12),0.69543 # DEPENDENCYPART_ARC
(26,13),-0.0917216 # DEPENDENCYPART_ARC
(26,14),-0.747553 # DEPENDENCYPART_ARC
(26,15),-0.565999 # DEPENDENCYPART_ARC
(26,16),0.420976 # DEPENDENCYPART_ARC
(26,17),0.0443724 # DEPENDENCYPART_ARC
(26,18),0.511627 # DEPENDENCYPART_ARC
(26,19),1.71793 # DEPENDENCYPART_ARC
(26,20),0.82734 # DEPENDENCYPART_ARC
(26,21),1.94256 # DEPENDENCYPART_ARC
(26,22),0.263821 # DEPENDENCYPART_ARC
(26,23),1.37945 # DEPENDENCYPART_ARC
(26,24),1.41561 # DEPENDENCYPART_ARC
(26,25),4.23305 # DEPENDENCYPART_ARC
(26,27),3.80809 # DEPENDENCYPART_ARC
(26,28),0.473824 # DEPENDENCYPART_ARC
(27,1),-7.33891 # DEPENDENCYPART_ARC
(27,2),-4.10452 # DEPENDENCYPART_ARC
(27,3),-10.6755 # DEPENDENCYPART_ARC
(27,4),-11.8279 # DEPENDENCYPART_ARC
(27,5),-4.22324 # DEPENDENCYPART_ARC
(27,6),-8.83343 # DEPENDENCYPART_ARC
(27,7),-6.05656 # DEPENDENCYPART_ARC
(27,8),-5.58946 # DEPENDENCYPART_ARC
(27,9),-8.44389 # DEPENDENCYPART_ARC
(27,10),-7.92801 # DEPENDENCYPART_ARC
(27,11),-7.09882 # DEPENDENCYPART_ARC
(27,12),-8.95465 # DEPENDENCYPART_ARC
(27,13),-3.30831 # DEPENDENCYPART_ARC
(27,14),-4.68361 # DEPENDENCYPART_ARC
(27,15),-4.34469 # DEPENDENCYPART_ARC
(27,16),-7.06716 # DEPENDENCYPART_ARC
(27,17),-9.43969 # DEPENDENCYPART_ARC
(27,18),-3.16453 # DEPENDENCYPART_ARC
(27,19),-6.27556 # DEPENDENCYPART_ARC
(27,20),-3.92116 # DEPENDENCYPART_ARC
(27,21),-7.4632 # DEPENDENCYPART_ARC
(27,22),-1.75883 # DEPENDENCYPART_ARC
(27,23),-5.20328 # DEPENDENCYPART_ARC
(27,24),-6.561 # DEPENDENCYPART_ARC
(27,25),-5.44512 # DEPENDENCYPART_ARC
(27,26),-0.714202 # DEPENDENCYPART_ARC
(27,28),0.135741 # DEPENDENCYPART_ARC
(28,1),-4.14528 # DEPENDENCYPART_ARC
(28,2),-5.45161 # DEPENDENCYPART_ARC
(28,3),-6.20629 # DEPENDENCYPART_ARC
(28,4),-6.5523 # DEPENDENCYPART_ARC
(28,5),-5.95026 # DEPENDENCYPART_ARC
(28,6),-4.38609 # DEPENDENCYPART_ARC
(28,7),-3.63124 # DEPENDENCYPART_ARC
(28,8),-4.93295 # DEPENDENCYPART_ARC
(28,9),-4.94944 # DEPENDENCYPART_ARC
(28,10),-5.19443 # DEPENDENCYPART_ARC
(28,11),-4.51309 # DEPENDENCYPART_ARC
(28,12),-4.89196 # DEPENDENCYPART_ARC
(28,13),-4.46717 # DEPENDENCYPART_ARC
(28,14),-3.73933 # DEPENDENCYPART_ARC
(28,15),-4.46848 # DEPENDENCYPART_ARC
(28,16),-3.77395 # DEPENDENCYPART_ARC
(28,17),-4.37333 # DEPENDENCYPART_ARC
(28,18),-4.07575 # DEPENDENCYPART_ARC
(28,19),-2.84156 # DEPENDENCYPART_ARC
(28,20),-3.48402 # DEPENDENCYPART_ARC
(28,21),-3.14771 # DEPENDENCYPART_ARC
(28,22),-2.43495 # DEPENDENCYPART_ARC
(28,23),-3.06228 # DEPENDENCYPART_ARC
(28,24),-3.09933 # DEPENDENCYPART_ARC
(28,25),-2.58016 # DEPENDENCYPART_ARC
(28,26),-3.46764 # DEPENDENCYPART_ARC
(28,27),-2.7834 # DEPENDENCYPART_ARC
