# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(20,13),-2.48441 # DEPENDENCYPART_ARC
(20,14),-3.68189 # DEPENDENCYPART_ARC
(20,15),-2.95409 # DEPENDENCYPART_ARC
(20,16),-2.44338 # DEPENDENCYPART_ARC
(20,18),-1.4158 # DEPENDENCYPART_ARC
(20,19),-1.78762 # DEPENDENCYPART_ARC
(20,21),4.11151 # DEPENDENCYPART_ARC
(20,22),-1.68954 # DEPENDENCYPART_ARC
(20,23),-1.87295 # DEPENDENCYPART_ARC
(20,24),-1.80688 # DEPENDENCYPART_ARC
(20,25),-1.05476 # DEPENDENCYPART_ARC
(20,26),-1.37122 # DEPENDENCYPART_ARC
(21,1),-4.48164 # DEPENDENCYPART_ARC
(21,2),-3.40567 # DEPENDENCYPART_ARC
(21,3),-3.90217 # DEPENDENCYPART_ARC
(21,4),-4.00885 # DEPENDENCYPART_ARC
(21,5),-2.47618 # DEPENDENCYPART_ARC
(21,6),-4.7788 # DEPENDENCYPART_ARC
(21,7),-8.26446 # DEPENDENCYPART_ARC
(21,8),-3.38022 # DEPENDENCYPART_ARC
(21,9),-3.15263 # DEPENDENCYPART_ARC
(21,10),-3.2946 # DEPENDENCYPART_ARC
(21,11),-6.95566 # DEPENDENCYPART_ARC
(21,12),-2.32014 # DEPENDENCYPART_ARC
(21,13),-3.92849 # DEPENDENCYPART_ARC
(21,14),-5.87163 # DEPENDENCYPART_ARC
(21,15),-5.17545 # DEPENDENCYPART_ARC
(21,16),-1.58975 # DEPENDENCYPART_ARC
(21,17),-3.01544 # DEPENDENCYPART_ARC
(21,18),-1.30219 # DEPENDENCYPART_ARC
(21,19),-1.55314 # DEPENDENCYPART_ARC
(21,20),1.14712 # DEPENDENCYPART_ARC
(21,22),1.75504 # DEPENDENCYPART_ARC
(21,23),0.965511 # DEPENDENCYPART_ARC
(21,24),-1.00123 # DEPENDENCYPART_ARC
(21,25),-1.0863 # DEPENDENCYPART_ARC
(21,26),-1.37839 # DEPENDENCYPART_ARC
(22,1),-4.27207 # DEPENDENCYPART_ARC
(22,2),-3.74339 # DEPENDENCYPART_ARC
(22,3),-4.11943 # DEPENDENCYPART_ARC
(22,4),-4.3101 # DEPENDENCYPART_ARC
(22,5),-2.4902 # DEPENDENCYPART_ARC
(22,6),-3.94528 # DEPENDENCYPART_ARC
(22,7),-7.64335 # DEPENDENCYPART_ARC
(22,8),-3.45309 # DEPENDENCYPART_ARC
(22,9),-3.04029 # DEPENDENCYPART_ARC
(22,10),-4.31856 # DEPENDENCYPART_ARC
(22,11),-5.05173 # DEPENDENCYPART_ARC
(22,12),-2.45123 # DEPENDENCYPART_ARC
(22,13),-3.6854 # DEPENDENCYPART_ARC
(22,14),-2.95329 # DEPENDENCYPART_ARC
(22,15),-4.27048 # DEPENDENCYPART_ARC
(22,16),-2.06368 # DEPENDENCYPART_ARC
(22,17),-1.90947 # DEPENDENCYPART_ARC
(22,18),-1.32745 # DEPENDENCYPART_ARC
(22,19),-1.83432 # DEPENDENCYPART_ARC
(22,20),-0.192907 # DEPENDENCYPART_ARC
(22,21),-1.0355 # DEPENDENCYPART_ARC
(22,23),1.49353 # DEPENDENCYPART_ARC
(22,24),-1.35074 # DEPENDENCYPART_ARC
(22,25),-1.0109 # DEPENDENCYPART_ARC
(22,26),-0.70646 # DEPENDENCYPART_ARC
(23,1),-4.08669 # DEPENDENCYPART_ARC
(23,2),-3.39679 # DEPENDENCYPART_ARC
(23,3),-3.02146 # DEPENDENCYPART_ARC
(23,4),-3.05391 # DEPENDENCYPART_ARC
(23,5),-5.11355 # DEPENDENCYPART_ARC
(23,6),-2.94703 # DEPENDENCYPART_ARC
(23,7),-4.75613 # DEPENDENCYPART_ARC
(23,8),-3.63967 # DEPENDENCYPART_ARC
(23,9),-3.86355 # DEPENDENCYPART_ARC
(23,10),-2.83427 # DEPENDENCYPART_ARC
(23,11),-4.86068 # DEPENDENCYPART_ARC
(23,12),-2.69358 # DEPENDENCYPART_ARC
(23,13),-2.12197 # DEPENDENCYPART_ARC
(23,14),-3.9195 # DEPENDENCYPART_ARC
(23,15),-2.94563 # DEPENDENCYPART_ARC
(23,16),-2.55363 # DEPENDENCYPART_ARC
(23,18),-1.85723 # DEPENDENCYPART_ARC
(23,19),-2.6042 # DEPENDENCYPART_ARC
(23,20),-1.1943 # DEPENDENCYPART_ARC
(23,21),-0.252588 # DEPENDENCYPART_ARC
(23,22),-1.47887 # DEPENDENCYPART_ARC
(23,24),1.58335 # DEPENDENCYPART_ARC
(23,25),4.317 # DEPENDENCYPART_ARC
(23,26),-0.141214 # DEPENDENCYPART_ARC
(24,2),-3.40868 # DEPENDENCYPART_ARC
(24,4),-2.85846 # DEPENDENCYPART_ARC
(24,8),-2.57076 # DEPENDENCYPART_ARC
(24,12),-2.23597 # DEPENDENCYPART_ARC
(24,18),-2.08421 # DEPENDENCYPART_ARC
(24,26),-1.01197 # DEPENDENCYPART_ARC
(25,1),-4.15029 # DEPENDENCYPART_ARC
(25,2),-3.81155 # DEPENDENCYPART_ARC
(25,3),-4.10036 # DEPENDENCYPART_ARC
(25,4),-4.55459 # DEPENDENCYPART_ARC
(25,5),-2.73611 # DEPENDENCYPART_ARC
(25,6),-4.27052 # DEPENDENCYPART_ARC
(25,7),-8.49702 # DEPENDENCYPART_ARC
(25,8),-3.49556 # DEPENDENCYPART_ARC
(25,9),-2.67239 # DEPENDENCYPART_ARC
(25,10),-2.90845 # DEPENDENCYPART_ARC
(25,11),-7.16333 # DEPENDENCYPART_ARC
(25,12),-2.44403 # DEPENDENCYPART_ARC
(25,13),-4.20037 # DEPENDENCYPART_ARC
(25,14),-6.17104 # DEPENDENCYPART_ARC
(25,15),-4.80563 # DEPENDENCYPART_ARC
(25,16),-2.37432 # DEPENDENCYPART_ARC
(25,17),-3.01459 # DEPENDENCYPART_ARC
(25,18),-2.19116 # DEPENDENCYPART_ARC
(25,19),-1.88432 # DEPENDENCYPART_ARC
(25,20),-0.243405 # DEPENDENCYPART_ARC
(25,21),0.317809 # DEPENDENCYPART_ARC
(25,22),-3.31629 # DEPENDENCYPART_ARC
(25,23),-0.241688 # DEPENDENCYPART_ARC
(25,24),6.89355 # DEPENDENCYPART_ARC
(25,26),0.670381 # DEPENDENCYPART_ARC
(26,1),-5.87005 # DEPENDENCYPART_ARC
(26,2),-6.4501 # DEPENDENCYPART_ARC
(26,3),-4.09673 # DEPENDENCYPART_ARC
(26,4),-5.2512 # DEPENDENCYPART_ARC
(26,5),-6.67705 # DEPENDENCYPART_ARC
(26,6),-4.69997 # DEPENDENCYPART_ARC
(26,7),-6.48472 # DEPENDENCYPART_ARC
(26,8),-6.1163 # DEPENDENCYPART_ARC
(26,9),-5.08453 # DEPENDENCYPART_ARC
(26,10),-4.39088 # DEPENDENCYPART_ARC
(26,11),-6.06797 # DEPENDENCYPART_ARC
(26,12),-5.49001 # DEPENDENCYPART_ARC
(26,13),-4.3449 # DEPENDENCYPART_ARC
(26,14),-5.65213 # DEPENDENCYPART_ARC
(26,15),-4.14317 # DEPENDENCYPART_ARC
(26,16),-3.83393 # DEPENDENCYPART_ARC
(26,17),-4.08314 # DEPENDENCYPART_ARC
(26,18),-3.65954 # DEPENDENCYPART_ARC
(26,19),-4.00389 # DEPENDENCYPART_ARC
(26,20),-3.5313 # DEPENDENCYPART_ARC
(26,21),-3.10513 # DEPENDENCYPART_ARC
(26,22),-3.44986 # DEPENDENCYPART_ARC
(26,23),-3.55234 # DEPENDENCYPART_ARC
(26,24),-2.74033 # DEPENDENCYPART_ARC
(26,25),-3.01417 # DEPENDENCYPART_ARC
