# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,4,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(21,4),-8.72036 # DEPENDENCYPART_ARC
(21,5),-1.47008 # DEPENDENCYPART_ARC
(21,6),-4.56264 # DEPENDENCYPART_ARC
(21,7),-8.07477 # DEPENDENCYPART_ARC
(21,8),-2.40048 # DEPENDENCYPART_ARC
(21,9),-7.8451 # DEPENDENCYPART_ARC
(21,10),-4.99188 # DEPENDENCYPART_ARC
(21,11),-3.74398 # DEPENDENCYPART_ARC
(21,12),-4.20481 # DEPENDENCYPART_ARC
(21,13),-2.04568 # DEPENDENCYPART_ARC
(21,14),-5.04193 # DEPENDENCYPART_ARC
(21,15),-3.73781 # DEPENDENCYPART_ARC
(21,16),-2.96114 # DEPENDENCYPART_ARC
(21,17),-1.56478 # DEPENDENCYPART_ARC
(21,18),-0.432208 # DEPENDENCYPART_ARC
(21,19),-1.94657 # DEPENDENCYPART_ARC
(21,20),1.58257 # DEPENDENCYPART_ARC
(21,22),3.4792 # DEPENDENCYPART_ARC
(21,23),0.306056 # DEPENDENCYPART_ARC
(21,24),-0.0930543 # DEPENDENCYPART_ARC
(21,25),-0.85965 # DEPENDENCYPART_ARC
(22,1),-4.02075 # DEPENDENCYPART_ARC
(22,2),-0.920333 # DEPENDENCYPART_ARC
(22,3),-8.11346 # DEPENDENCYPART_ARC
(22,4),-8.24699 # DEPENDENCYPART_ARC
(22,5),-1.57403 # DEPENDENCYPART_ARC
(22,6),-5.35668 # DEPENDENCYPART_ARC
(22,7),-8.88602 # DEPENDENCYPART_ARC
(22,8),-3.25297 # DEPENDENCYPART_ARC
(22,9),-9.28326 # DEPENDENCYPART_ARC
(22,10),-4.03791 # DEPENDENCYPART_ARC
(22,11),-3.38212 # DEPENDENCYPART_ARC
(22,12),-3.59964 # DEPENDENCYPART_ARC
(22,13),-1.94403 # DEPENDENCYPART_ARC
(22,14),-4.03437 # DEPENDENCYPART_ARC
(22,15),-3.38022 # DEPENDENCYPART_ARC
(22,16),-5.83152 # DEPENDENCYPART_ARC
(22,17),-1.4056 # DEPENDENCYPART_ARC
(22,18),0.105102 # DEPENDENCYPART_ARC
(22,19),-2.17472 # DEPENDENCYPART_ARC
(22,20),-0.553597 # DEPENDENCYPART_ARC
(22,21),-0.727094 # DEPENDENCYPART_ARC
(22,23),0.999732 # DEPENDENCYPART_ARC
(22,24),0.304485 # DEPENDENCYPART_ARC
(22,25),-0.52892 # DEPENDENCYPART_ARC
(23,1),-2.70282 # DEPENDENCYPART_ARC
(23,2),-4.47 # DEPENDENCYPART_ARC
(23,3),-4.44949 # DEPENDENCYPART_ARC
(23,4),-4.78074 # DEPENDENCYPART_ARC
(23,5),-4.70608 # DEPENDENCYPART_ARC
(23,6),-3.34601 # DEPENDENCYPART_ARC
(23,7),-4.28654 # DEPENDENCYPART_ARC
(23,8),-3.94329 # DEPENDENCYPART_ARC
(23,9),-3.36633 # DEPENDENCYPART_ARC
(23,10),-3.05505 # DEPENDENCYPART_ARC
(23,11),-2.60883 # DEPENDENCYPART_ARC
(23,12),-2.28739 # DEPENDENCYPART_ARC
(23,13),-2.446 # DEPENDENCYPART_ARC
(23,14),-2.10958 # DEPENDENCYPART_ARC
(23,15),-2.37408 # DEPENDENCYPART_ARC
(23,16),-2.12134 # DEPENDENCYPART_ARC
(23,17),-2.2958 # DEPENDENCYPART_ARC
(23,18),-1.92082 # DEPENDENCYPART_ARC
(23,19),-1.69593 # DEPENDENCYPART_ARC
(23,20),-2.06247 # DEPENDENCYPART_ARC
(23,21),-1.21062 # DEPENDENCYPART_ARC
(23,22),-1.13898 # DEPENDENCYPART_ARC
(23,24),-0.908927 # DEPENDENCYPART_ARC
(23,25),-1.57498 # DEPENDENCYPART_ARC
(24,1),-2.30753 # DEPENDENCYPART_ARC
(24,2),-4.15544 # DEPENDENCYPART_ARC
(24,3),-4.66213 # DEPENDENCYPART_ARC
(24,4),-4.38526 # DEPENDENCYPART_ARC
(24,5),-4.42724 # DEPENDENCYPART_ARC
(24,6),-3.04272 # DEPENDENCYPART_ARC
(24,7),-4.2112 # DEPENDENCYPART_ARC
(24,8),-3.52128 # DEPENDENCYPART_ARC
(24,9),-3.18952 # DEPENDENCYPART_ARC
(24,10),-3.02771 # DEPENDENCYPART_ARC
(24,11),-2.27741 # DEPENDENCYPART_ARC
(24,12),-2.05679 # DEPENDENCYPART_ARC
(24,13),-2.13821 # DEPENDENCYPART_ARC
(24,14),-1.89606 # DEPENDENCYPART_ARC
(24,15),-1.97754 # DEPENDENCYPART_ARC
(24,16),-1.56068 # DEPENDENCYPART_ARC
(24,17),-2.1478 # DEPENDENCYPART_ARC
(24,18),-1.71521 # DEPENDENCYPART_ARC
(24,19),-1.58648 # DEPENDENCYPART_ARC
(24,20),-1.80647 # DEPENDENCYPART_ARC
(24,21),-0.728312 # DEPENDENCYPART_ARC
(24,22),-0.798513 # DEPENDENCYPART_ARC
(24,23),-0.356908 # DEPENDENCYPART_ARC
(24,25),-1.07143 # DEPENDENCYPART_ARC
(25,1),-3.00055 # DEPENDENCYPART_ARC
(25,2),-4.72808 # DEPENDENCYPART_ARC
(25,3),-4.85312 # DEPENDENCYPART_ARC
(25,4),-4.98793 # DEPENDENCYPART_ARC
(25,5),-5.12564 # DEPENDENCYPART_ARC
(25,6),-3.57336 # DEPENDENCYPART_ARC
(25,7),-4.53074 # DEPENDENCYPART_ARC
(25,8),-4.17049 # DEPENDENCYPART_ARC
(25,9),-3.42144 # DEPENDENCYPART_ARC
(25,10),-3.76693 # DEPENDENCYPART_ARC
(25,11),-2.93259 # DEPENDENCYPART_ARC
(25,12),-2.62746 # DEPENDENCYPART_ARC
(25,13),-2.07558 # DEPENDENCYPART_ARC
(25,14),-2.53205 # DEPENDENCYPART_ARC
(25,15),-2.61951 # DEPENDENCYPART_ARC
(25,16),-1.77003 # DEPENDENCYPART_ARC
(25,17),-1.8698 # DEPENDENCYPART_ARC
(25,18),-2.40705 # DEPENDENCYPART_ARC
(25,19),-2.16946 # DEPENDENCYPART_ARC
(25,20),-2.45073 # DEPENDENCYPART_ARC
(25,21),-1.15812 # DEPENDENCYPART_ARC
(25,22),-0.617871 # DEPENDENCYPART_ARC
(25,23),-0.659085 # DEPENDENCYPART_ARC
(25,24),-0.520094 # DEPENDENCYPART_ARC
