# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,25,15,15,17,25,19,25,25,24,25,12,0,
(20,6),-2.30248 # DEPENDENCYPART_ARC
(20,7),-2.01998 # DEPENDENCYPART_ARC
(20,8),-2.79604 # DEPENDENCYPART_ARC
(20,9),-2.84459 # DEPENDENCYPART_ARC
(20,10),-3.29987 # DEPENDENCYPART_ARC
(20,11),-1.70595 # DEPENDENCYPART_ARC
(20,12),-0.989344 # DEPENDENCYPART_ARC
(20,13),-1.18243 # DEPENDENCYPART_ARC
(20,14),-0.499221 # DEPENDENCYPART_ARC
(20,15),-1.76811 # DEPENDENCYPART_ARC
(20,16),-0.445282 # DEPENDENCYPART_ARC
(20,17),-1.13814 # DEPENDENCYPART_ARC
(20,18),-1.36129 # DEPENDENCYPART_ARC
(20,19),0.0513861 # DEPENDENCYPART_ARC
(20,21),-2.30871 # DEPENDENCYPART_ARC
(20,22),-1.48396 # DEPENDENCYPART_ARC
(20,23),-1.61404 # DEPENDENCYPART_ARC
(20,24),-1.80128 # DEPENDENCYPART_ARC
(20,25),-2.47949 # DEPENDENCYPART_ARC
(20,26),-1.61064 # DEPENDENCYPART_ARC
(21,1),-1.5978 # DEPENDENCYPART_ARC
(21,2),-1.15366 # DEPENDENCYPART_ARC
(21,3),-4.0371 # DEPENDENCYPART_ARC
(21,4),-3.46489 # DEPENDENCYPART_ARC
(21,5),-2.30057 # DEPENDENCYPART_ARC
(21,6),-4.63209 # DEPENDENCYPART_ARC
(21,7),-0.611321 # DEPENDENCYPART_ARC
(21,8),-1.86232 # DEPENDENCYPART_ARC
(21,9),0.35167 # DEPENDENCYPART_ARC
(21,10),-2.82764 # DEPENDENCYPART_ARC
(21,11),-3.19123 # DEPENDENCYPART_ARC
(21,12),-1.90333 # DEPENDENCYPART_ARC
(21,13),-0.0697792 # DEPENDENCYPART_ARC
(21,14),0.197148 # DEPENDENCYPART_ARC
(21,15),0.292306 # DEPENDENCYPART_ARC
(21,16),1.21096 # DEPENDENCYPART_ARC
(21,17),0.307005 # DEPENDENCYPART_ARC
(21,18),2.50975 # DEPENDENCYPART_ARC
(21,19),0.443485 # DEPENDENCYPART_ARC
(21,20),0.955395 # DEPENDENCYPART_ARC
(21,22),1.67059 # DEPENDENCYPART_ARC
(21,23),1.04756 # DEPENDENCYPART_ARC
(21,24),0.401304 # DEPENDENCYPART_ARC
(21,25),0.976568 # DEPENDENCYPART_ARC
(21,26),-0.425246 # DEPENDENCYPART_ARC
(22,1),-2.55384 # DEPENDENCYPART_ARC
(22,2),-1.99519 # DEPENDENCYPART_ARC
(22,3),-1.84461 # DEPENDENCYPART_ARC
(22,4),-2.76106 # DEPENDENCYPART_ARC
(22,5),-3.09937 # DEPENDENCYPART_ARC
(22,6),-1.584 # DEPENDENCYPART_ARC
(22,7),-1.66876 # DEPENDENCYPART_ARC
(22,8),-1.77976 # DEPENDENCYPART_ARC
(22,9),-2.10887 # DEPENDENCYPART_ARC
(22,10),-1.24348 # DEPENDENCYPART_ARC
(22,11),-1.85531 # DEPENDENCYPART_ARC
(22,12),-1.68011 # DEPENDENCYPART_ARC
(22,13),-0.699764 # DEPENDENCYPART_ARC
(22,14),-1.72133 # DEPENDENCYPART_ARC
(22,15),-0.997428 # DEPENDENCYPART_ARC
(22,16),-1.30686 # DEPENDENCYPART_ARC
(22,17),-0.711789 # DEPENDENCYPART_ARC
(22,18),-0.980759 # DEPENDENCYPART_ARC
(22,19),-0.465128 # DEPENDENCYPART_ARC
(22,20),-0.0127236 # DEPENDENCYPART_ARC
(22,21),0.0450982 # DEPENDENCYPART_ARC
(22,23),-0.388305 # DEPENDENCYPART_ARC
(22,24),-0.589041 # DEPENDENCYPART_ARC
(22,25),-0.344664 # DEPENDENCYPART_ARC
(22,26),-0.287006 # DEPENDENCYPART_ARC
(23,1),-2.5938 # DEPENDENCYPART_ARC
(23,2),-2.70221 # DEPENDENCYPART_ARC
(23,3),-3.33049 # DEPENDENCYPART_ARC
(23,4),-4.27271 # DEPENDENCYPART_ARC
(23,5),-2.14602 # DEPENDENCYPART_ARC
(23,6),-3.09288 # DEPENDENCYPART_ARC
(23,7),-2.03822 # DEPENDENCYPART_ARC
(23,8),-3.10065 # DEPENDENCYPART_ARC
(23,9),-2.4771 # DEPENDENCYPART_ARC
(23,10),-2.91232 # DEPENDENCYPART_ARC
(23,11),-3.27909 # DEPENDENCYPART_ARC
(23,12),-2.15671 # DEPENDENCYPART_ARC
(23,13),-1.23111 # DEPENDENCYPART_ARC
(23,14),-1.87332 # DEPENDENCYPART_ARC
(23,15),-2.37625 # DEPENDENCYPART_ARC
(23,16),-1.9214 # DEPENDENCYPART_ARC
(23,17),-2.18484 # DEPENDENCYPART_ARC
(23,18),-1.58723 # DEPENDENCYPART_ARC
(23,19),-0.884421 # DEPENDENCYPART_ARC
(23,20),-2.25077 # DEPENDENCYPART_ARC
(23,21),-1.56947 # DEPENDENCYPART_ARC
(23,22),0.314912 # DEPENDENCYPART_ARC
(23,24),-0.541158 # DEPENDENCYPART_ARC
(23,25),-0.314382 # DEPENDENCYPART_ARC
(23,26),-0.582918 # DEPENDENCYPART_ARC
(24,1),-4.74727 # DEPENDENCYPART_ARC
(24,2),-3.71361 # DEPENDENCYPART_ARC
(24,3),-6.56374 # DEPENDENCYPART_ARC
(24,4),-11.3552 # DEPENDENCYPART_ARC
(24,5),-2.36415 # DEPENDENCYPART_ARC
(24,6),-4.6831 # DEPENDENCYPART_ARC
(24,7),-2.18372 # DEPENDENCYPART_ARC
(24,8),-5.01327 # DEPENDENCYPART_ARC
(24,9),-8.3837 # DEPENDENCYPART_ARC
(24,10),-4.99582 # DEPENDENCYPART_ARC
(24,11),-8.25608 # DEPENDENCYPART_ARC
(24,12),-7.79677 # DEPENDENCYPART_ARC
(24,13),-1.8614 # DEPENDENCYPART_ARC
(24,14),-7.00867 # DEPENDENCYPART_ARC
(24,15),-2.9094 # DEPENDENCYPART_ARC
(24,16),-6.41058 # DEPENDENCYPART_ARC
(24,17),-3.04752 # DEPENDENCYPART_ARC
(24,18),-5.29486 # DEPENDENCYPART_ARC
(24,19),-0.14593 # DEPENDENCYPART_ARC
(24,20),-2.29969 # DEPENDENCYPART_ARC
(24,21),-3.43538 # DEPENDENCYPART_ARC
(24,22),0.403381 # DEPENDENCYPART_ARC
(24,23),5.00694 # DEPENDENCYPART_ARC
(24,25),-0.947203 # DEPENDENCYPART_ARC
(24,26),-0.582077 # DEPENDENCYPART_ARC
(25,1),-0.755027 # DEPENDENCYPART_ARC
(25,2),-1.24203 # DEPENDENCYPART_ARC
(25,3),-0.77094 # DEPENDENCYPART_ARC
(25,4),-2.929 # DEPENDENCYPART_ARC
(25,5),-0.918059 # DEPENDENCYPART_ARC
(25,6),-5.47229 # DEPENDENCYPART_ARC
(25,7),-0.533526 # DEPENDENCYPART_ARC
(25,8),-2.32793 # DEPENDENCYPART_ARC
(25,9),1.05104 # DEPENDENCYPART_ARC
(25,10),0.872285 # DEPENDENCYPART_ARC
(25,11),-3.77806 # DEPENDENCYPART_ARC
(25,12),-1.93209 # DEPENDENCYPART_ARC
(25,13),0.00248576 # DEPENDENCYPART_ARC
(25,14),0.0331266 # DEPENDENCYPART_ARC
(25,15),1.01562 # DEPENDENCYPART_ARC
(25,16),0.796363 # DEPENDENCYPART_ARC
(25,17),0.771399 # DEPENDENCYPART_ARC
(25,18),3.31348 # DEPENDENCYPART_ARC
(25,19),1.54412 # DEPENDENCYPART_ARC
(25,20),0.391066 # DEPENDENCYPART_ARC
(25,21),4.13372 # DEPENDENCYPART_ARC
(25,22),2.37359 # DEPENDENCYPART_ARC
(25,23),3.86169 # DEPENDENCYPART_ARC
(25,24),4.50611 # DEPENDENCYPART_ARC
(25,26),-0.0751147 # DEPENDENCYPART_ARC
(26,1),-5.03969 # DEPENDENCYPART_ARC
(26,2),-5.03271 # DEPENDENCYPART_ARC
(26,3),-4.90791 # DEPENDENCYPART_ARC
(26,4),-5.41116 # DEPENDENCYPART_ARC
(26,5),-5.63484 # DEPENDENCYPART_ARC
(26,6),-4.36327 # DEPENDENCYPART_ARC
(26,7),-5.61744 # DEPENDENCYPART_ARC
(26,8),-4.34107 # DEPENDENCYPART_ARC
(26,9),-5.43454 # DEPENDENCYPART_ARC
(26,10),-4.25608 # DEPENDENCYPART_ARC
(26,11),-4.22705 # DEPENDENCYPART_ARC
(26,12),-4.53549 # DEPENDENCYPART_ARC
(26,13),-4.61081 # DEPENDENCYPART_ARC
(26,14),-4.5817 # DEPENDENCYPART_ARC
(26,15),-3.90923 # DEPENDENCYPART_ARC
(26,16),-4.51112 # DEPENDENCYPART_ARC
(26,17),-3.83855 # DEPENDENCYPART_ARC
(26,18),-4.36837 # DEPENDENCYPART_ARC
(26,19),-3.25975 # DEPENDENCYPART_ARC
(26,20),-2.50492 # DEPENDENCYPART_ARC
(26,21),-3.46735 # DEPENDENCYPART_ARC
(26,22),-3.00451 # DEPENDENCYPART_ARC
(26,23),-2.30489 # DEPENDENCYPART_ARC
(26,24),-2.78182 # DEPENDENCYPART_ARC
(26,25),-3.36886 # DEPENDENCYPART_ARC
