# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,23,25,29,29,26,0,
(17,9),-4.76758 # DEPENDENCYPART_ARC
(17,10),-5.90482 # DEPENDENCYPART_ARC
(17,11),-7.09912 # DEPENDENCYPART_ARC
(17,12),-0.639457 # DEPENDENCYPART_ARC
(17,13),-2.45674 # DEPENDENCYPART_ARC
(17,14),-2.43875 # DEPENDENCYPART_ARC
(17,15),-0.718862 # DEPENDENCYPART_ARC
(17,16),0.0434852 # DEPENDENCYPART_ARC
(17,18),-0.250614 # DEPENDENCYPART_ARC
(17,19),0.050034 # DEPENDENCYPART_ARC
(17,20),-1.18402 # DEPENDENCYPART_ARC
(17,21),-2.82908 # DEPENDENCYPART_ARC
(17,22),-2.5203 # DEPENDENCYPART_ARC
(17,23),-0.498309 # DEPENDENCYPART_ARC
(17,24),-3.86146 # DEPENDENCYPART_ARC
(17,25),-1.20186 # DEPENDENCYPART_ARC
(17,26),-4.30514 # DEPENDENCYPART_ARC
(17,27),-5.07047 # DEPENDENCYPART_ARC
(17,28),-5.32545 # DEPENDENCYPART_ARC
(17,29),-4.09979 # DEPENDENCYPART_ARC
(17,30),-2.90859 # DEPENDENCYPART_ARC
(18,1),-5.42019 # DEPENDENCYPART_ARC
(18,2),-5.06005 # DEPENDENCYPART_ARC
(18,3),-6.6724 # DEPENDENCYPART_ARC
(18,4),-4.07351 # DEPENDENCYPART_ARC
(18,5),-2.91271 # DEPENDENCYPART_ARC
(18,6),-3.41146 # DEPENDENCYPART_ARC
(18,7),-3.49381 # DEPENDENCYPART_ARC
(18,8),-1.66944 # DEPENDENCYPART_ARC
(18,9),-5.68462 # DEPENDENCYPART_ARC
(18,10),-2.4289 # DEPENDENCYPART_ARC
(18,11),-7.21638 # DEPENDENCYPART_ARC
(18,12),-0.0421405 # DEPENDENCYPART_ARC
(18,13),-2.32298 # DEPENDENCYPART_ARC
(18,14),-1.07435 # DEPENDENCYPART_ARC
(18,15),-0.64552 # DEPENDENCYPART_ARC
(18,16),0.347688 # DEPENDENCYPART_ARC
(18,17),4.63552 # DEPENDENCYPART_ARC
(18,19),-0.174205 # DEPENDENCYPART_ARC
(18,20),-0.625411 # DEPENDENCYPART_ARC
(18,21),-1.77987 # DEPENDENCYPART_ARC
(18,22),-0.882249 # DEPENDENCYPART_ARC
(18,23),0.250699 # DEPENDENCYPART_ARC
(18,24),-3.73673 # DEPENDENCYPART_ARC
(18,25),-0.938797 # DEPENDENCYPART_ARC
(18,26),-2.86977 # DEPENDENCYPART_ARC
(18,27),-3.13558 # DEPENDENCYPART_ARC
(18,28),-3.64035 # DEPENDENCYPART_ARC
(18,29),-2.17186 # DEPENDENCYPART_ARC
(18,30),-5.03508 # DEPENDENCYPART_ARC
(19,1),-1.62496 # DEPENDENCYPART_ARC
(19,2),-1.94073 # DEPENDENCYPART_ARC
(19,3),-1.05523 # DEPENDENCYPART_ARC
(19,4),-0.607749 # DEPENDENCYPART_ARC
(19,5),-0.223885 # DEPENDENCYPART_ARC
(19,6),0.198128 # DEPENDENCYPART_ARC
(19,7),-0.397673 # DEPENDENCYPART_ARC
(19,8),1.23853 # DEPENDENCYPART_ARC
(19,9),1.01551 # DEPENDENCYPART_ARC
(19,10),0.898176 # DEPENDENCYPART_ARC
(19,11),-0.303345 # DEPENDENCYPART_ARC
(19,12),1.52137 # DEPENDENCYPART_ARC
(19,13),1.09183 # DEPENDENCYPART_ARC
(19,14),0.966288 # DEPENDENCYPART_ARC
(19,15),1.02974 # DEPENDENCYPART_ARC
(19,16),2.54499 # DEPENDENCYPART_ARC
(19,17),1.26561 # DEPENDENCYPART_ARC
(19,18),0.701259 # DEPENDENCYPART_ARC
(19,20),1.50387 # DEPENDENCYPART_ARC
(19,21),0.804457 # DEPENDENCYPART_ARC
(19,22),1.57181 # DEPENDENCYPART_ARC
(19,23),1.73155 # DEPENDENCYPART_ARC
(19,24),-0.229555 # DEPENDENCYPART_ARC
(19,25),0.503936 # DEPENDENCYPART_ARC
(19,26),-1.34668 # DEPENDENCYPART_ARC
(19,27),-0.980049 # DEPENDENCYPART_ARC
(19,28),-1.53474 # DEPENDENCYPART_ARC
(19,29),-0.834433 # DEPENDENCYPART_ARC
(19,30),-0.853731 # DEPENDENCYPART_ARC
(20,1),-4.65516 # DEPENDENCYPART_ARC
(20,2),-4.66295 # DEPENDENCYPART_ARC
(20,3),-5.54351 # DEPENDENCYPART_ARC
(20,4),-3.66319 # DEPENDENCYPART_ARC
(20,5),-3.71855 # DEPENDENCYPART_ARC
(20,6),-4.29917 # DEPENDENCYPART_ARC
(20,7),-3.68204 # DEPENDENCYPART_ARC
(20,8),-3.67221 # DEPENDENCYPART_ARC
(20,9),-3.87169 # DEPENDENCYPART_ARC
(20,10),-4.13152 # DEPENDENCYPART_ARC
(20,11),-4.42759 # DEPENDENCYPART_ARC
(20,12),-3.79742 # DEPENDENCYPART_ARC
(20,13),-3.44119 # DEPENDENCYPART_ARC
(20,14),-4.2 # DEPENDENCYPART_ARC
(20,15),-2.38995 # DEPENDENCYPART_ARC
(20,16),-2.88456 # DEPENDENCYPART_ARC
(20,17),-2.90893 # DEPENDENCYPART_ARC
(20,18),-2.82319 # DEPENDENCYPART_ARC
(20,19),-1.42634 # DEPENDENCYPART_ARC
(20,21),2.27482 # DEPENDENCYPART_ARC
(20,22),5.36284 # DEPENDENCYPART_ARC
(20,23),-0.572241 # DEPENDENCYPART_ARC
(20,24),-2.40876 # DEPENDENCYPART_ARC
(20,25),-0.911971 # DEPENDENCYPART_ARC
(20,26),-3.73943 # DEPENDENCYPART_ARC
(20,27),-2.41889 # DEPENDENCYPART_ARC
(20,28),-2.36481 # DEPENDENCYPART_ARC
(20,29),-3.89621 # DEPENDENCYPART_ARC
(20,30),-1.35583 # DEPENDENCYPART_ARC
(21,1),-4.05902 # DEPENDENCYPART_ARC
(21,2),-4.04496 # DEPENDENCYPART_ARC
(21,3),-3.85432 # DEPENDENCYPART_ARC
(21,4),-3.25531 # DEPENDENCYPART_ARC
(21,5),-1.95413 # DEPENDENCYPART_ARC
(21,6),-4.35252 # DEPENDENCYPART_ARC
(21,7),-2.07747 # DEPENDENCYPART_ARC
(21,8),-1.96114 # DEPENDENCYPART_ARC
(21,9),-2.44714 # DEPENDENCYPART_ARC
(21,10),-2.60471 # DEPENDENCYPART_ARC
(21,11),-2.43482 # DEPENDENCYPART_ARC
(21,12),-1.63998 # DEPENDENCYPART_ARC
(21,13),-2.58503 # DEPENDENCYPART_ARC
(21,14),-2.55071 # DEPENDENCYPART_ARC
(21,15),-1.24743 # DEPENDENCYPART_ARC
(21,16),-0.893498 # DEPENDENCYPART_ARC
(21,17),-2.41934 # DEPENDENCYPART_ARC
(21,18),-1.6751 # DEPENDENCYPART_ARC
(21,19),-0.406926 # DEPENDENCYPART_ARC
(21,20),-0.556373 # DEPENDENCYPART_ARC
(21,22),-0.613794 # DEPENDENCYPART_ARC
(21,23),-1.44441 # DEPENDENCYPART_ARC
(21,24),-2.40261 # DEPENDENCYPART_ARC
(21,25),-1.39196 # DEPENDENCYPART_ARC
(21,26),-2.41228 # DEPENDENCYPART_ARC
(21,27),-3.2011 # DEPENDENCYPART_ARC
(21,28),-3.3738 # DEPENDENCYPART_ARC
(21,29),-3.00742 # DEPENDENCYPART_ARC
(21,30),-1.72187 # DEPENDENCYPART_ARC
(22,1),-6.22998 # DEPENDENCYPART_ARC
(22,2),-5.83001 # DEPENDENCYPART_ARC
(22,3),-6.4989 # DEPENDENCYPART_ARC
(22,4),-4.98306 # DEPENDENCYPART_ARC
(22,5),-3.56045 # DEPENDENCYPART_ARC
(22,6),-4.54421 # DEPENDENCYPART_ARC
(22,7),-1.92316 # DEPENDENCYPART_ARC
(22,8),-2.23513 # DEPENDENCYPART_ARC
(22,9),-3.11871 # DEPENDENCYPART_ARC
(22,10),-2.29617 # DEPENDENCYPART_ARC
(22,11),-4.13478 # DEPENDENCYPART_ARC
(22,12),-0.882784 # DEPENDENCYPART_ARC
(22,13),-2.73919 # DEPENDENCYPART_ARC
(22,14),-3.2959 # DEPENDENCYPART_ARC
(22,15),-1.339 # DEPENDENCYPART_ARC
(22,16),-0.810143 # DEPENDENCYPART_ARC
(22,17),-3.6549 # DEPENDENCYPART_ARC
(22,18),-3.06363 # DEPENDENCYPART_ARC
(22,19),-0.45608 # DEPENDENCYPART_ARC
(22,20),0.147189 # DEPENDENCYPART_ARC
(22,21),5.16697 # DEPENDENCYPART_ARC
(22,23),0.510016 # DEPENDENCYPART_ARC
(22,24),-3.61043 # DEPENDENCYPART_ARC
(22,25),0.212925 # DEPENDENCYPART_ARC
(22,26),-1.35993 # DEPENDENCYPART_ARC
(22,27),-3.10641 # DEPENDENCYPART_ARC
(22,28),-3.96966 # DEPENDENCYPART_ARC
(22,29),-1.53004 # DEPENDENCYPART_ARC
(22,30),-3.09039 # DEPENDENCYPART_ARC
(23,1),-2.39866 # DEPENDENCYPART_ARC
(23,2),-3.20323 # DEPENDENCYPART_ARC
(23,3),-1.75513 # DEPENDENCYPART_ARC
(23,4),-0.151497 # DEPENDENCYPART_ARC
(23,5),-0.32597 # DEPENDENCYPART_ARC
(23,6),-3.55977 # DEPENDENCYPART_ARC
(23,7),-1.4268 # DEPENDENCYPART_ARC
(23,8),0.165844 # DEPENDENCYPART_ARC
(23,9),0.131372 # DEPENDENCYPART_ARC
(23,10),-1.86615 # DEPENDENCYPART_ARC
(23,11),-1.77437 # DEPENDENCYPART_ARC
(23,12),-0.107449 # DEPENDENCYPART_ARC
(23,13),0.320355 # DEPENDENCYPART_ARC
(23,14),-2.41039 # DEPENDENCYPART_ARC
(23,15),-0.831363 # DEPENDENCYPART_ARC
(23,16),-0.474312 # DEPENDENCYPART_ARC
(23,17),-1.6128 # DEPENDENCYPART_ARC
(23,18),1.44986 # DEPENDENCYPART_ARC
(23,19),-0.0926321 # DEPENDENCYPART_ARC
(23,20),2.14517 # DEPENDENCYPART_ARC
(23,21),0.172658 # DEPENDENCYPART_ARC
(23,22),1.70023 # DEPENDENCYPART_ARC
(23,24),4.3255 # DEPENDENCYPART_ARC
(23,25),2.22242 # DEPENDENCYPART_ARC
(23,26),-0.238879 # DEPENDENCYPART_ARC
(23,27),-0.712485 # DEPENDENCYPART_ARC
(23,28),-1.91094 # DEPENDENCYPART_ARC
(23,29),-0.499739 # DEPENDENCYPART_ARC
(23,30),-0.498137 # DEPENDENCYPART_ARC
(24,1),-8.89699 # DEPENDENCYPART_ARC
(24,2),-8.5745 # DEPENDENCYPART_ARC
(24,3),-9.92657 # DEPENDENCYPART_ARC
(24,4),-6.40427 # DEPENDENCYPART_ARC
(24,5),-4.69224 # DEPENDENCYPART_ARC
(24,6),-4.53756 # DEPENDENCYPART_ARC
(24,7),-5.47208 # DEPENDENCYPART_ARC
(24,8),-3.05944 # DEPENDENCYPART_ARC
(24,9),-7.91715 # DEPENDENCYPART_ARC
(24,10),-3.4619 # DEPENDENCYPART_ARC
(24,11),-10.3054 # DEPENDENCYPART_ARC
(24,12),-1.0979 # DEPENDENCYPART_ARC
(24,13),-4.45701 # DEPENDENCYPART_ARC
(24,14),-3.53351 # DEPENDENCYPART_ARC
(24,15),-2.33865 # DEPENDENCYPART_ARC
(24,16),-1.20652 # DEPENDENCYPART_ARC
(24,17),-2.9016 # DEPENDENCYPART_ARC
(24,18),-3.34157 # DEPENDENCYPART_ARC
(24,19),-1.37758 # DEPENDENCYPART_ARC
(24,20),-0.214495 # DEPENDENCYPART_ARC
(24,21),-1.25663 # DEPENDENCYPART_ARC
(24,22),-3.94304 # DEPENDENCYPART_ARC
(24,23),0.360881 # DEPENDENCYPART_ARC
(24,25),1.98035 # DEPENDENCYPART_ARC
(24,26),0.980113 # DEPENDENCYPART_ARC
(24,27),0.185985 # DEPENDENCYPART_ARC
(24,28),-0.342481 # DEPENDENCYPART_ARC
(24,29),0.0637612 # DEPENDENCYPART_ARC
(24,30),-1.91682 # DEPENDENCYPART_ARC
(25,1),-4.23636 # DEPENDENCYPART_ARC
(25,2),-4.1314 # DEPENDENCYPART_ARC
(25,3),-5.33181 # DEPENDENCYPART_ARC
(25,4),-3.05896 # DEPENDENCYPART_ARC
(25,5),-2.98572 # DEPENDENCYPART_ARC
(25,6),-3.86332 # DEPENDENCYPART_ARC
(25,7),-3.2142 # DEPENDENCYPART_ARC
(25,8),-3.33677 # DEPENDENCYPART_ARC
(25,9),-3.57333 # DEPENDENCYPART_ARC
(25,10),-3.62389 # DEPENDENCYPART_ARC
(25,11),-3.8551 # DEPENDENCYPART_ARC
(25,12),-3.67406 # DEPENDENCYPART_ARC
(25,13),-2.49169 # DEPENDENCYPART_ARC
(25,14),-3.5042 # DEPENDENCYPART_ARC
(25,15),-2.15017 # DEPENDENCYPART_ARC
(25,16),-2.44096 # DEPENDENCYPART_ARC
(25,17),-2.5413 # DEPENDENCYPART_ARC
(25,18),-2.45282 # DEPENDENCYPART_ARC
(25,19),-1.98333 # DEPENDENCYPART_ARC
(25,20),-1.46386 # DEPENDENCYPART_ARC
(25,21),-1.79711 # DEPENDENCYPART_ARC
(25,22),-2.34681 # DEPENDENCYPART_ARC
(25,23),-1.04615 # DEPENDENCYPART_ARC
(25,24),-0.460313 # DEPENDENCYPART_ARC
(25,26),3.75478 # DEPENDENCYPART_ARC
(25,27),-0.149679 # DEPENDENCYPART_ARC
(25,28),-0.785629 # DEPENDENCYPART_ARC
(25,29),0.0454797 # DEPENDENCYPART_ARC
(25,30),-1.19264 # DEPENDENCYPART_ARC
(26,1),-9.17208 # DEPENDENCYPART_ARC
(26,2),-8.88077 # DEPENDENCYPART_ARC
(26,3),-9.6493 # DEPENDENCYPART_ARC
(26,4),-7.42963 # DEPENDENCYPART_ARC
(26,5),-5.49251 # DEPENDENCYPART_ARC
(26,6),-4.31759 # DEPENDENCYPART_ARC
(26,7),-4.42745 # DEPENDENCYPART_ARC
(26,8),-3.5358 # DEPENDENCYPART_ARC
(26,9),-6.13402 # DEPENDENCYPART_ARC
(26,10),-3.07836 # DEPENDENCYPART_ARC
(26,11),-7.05753 # DEPENDENCYPART_ARC
(26,12),-1.14086 # DEPENDENCYPART_ARC
(26,13),-6.60833 # DEPENDENCYPART_ARC
(26,14),-5.68126 # DEPENDENCYPART_ARC
(26,15),-2.72703 # DEPENDENCYPART_ARC
(26,16),-1.67967 # DEPENDENCYPART_ARC
(26,17),-6.83846 # DEPENDENCYPART_ARC
(26,18),-6.51634 # DEPENDENCYPART_ARC
(26,19),-2.17839 # DEPENDENCYPART_ARC
(26,20),-1.50859 # DEPENDENCYPART_ARC
(26,21),-1.41983 # DEPENDENCYPART_ARC
(26,22),-4.20148 # DEPENDENCYPART_ARC
(26,23),-0.81416 # DEPENDENCYPART_ARC
(26,24),-3.38957 # DEPENDENCYPART_ARC
(26,25),1.60047 # DEPENDENCYPART_ARC
(26,27),-0.239922 # DEPENDENCYPART_ARC
(26,28),-0.950207 # DEPENDENCYPART_ARC
(26,29),2.01304 # DEPENDENCYPART_ARC
(26,30),-0.811487 # DEPENDENCYPART_ARC
(27,1),-5.63734 # DEPENDENCYPART_ARC
(27,2),-5.68081 # DEPENDENCYPART_ARC
(27,3),-6.31356 # DEPENDENCYPART_ARC
(27,4),-1.65394 # DEPENDENCYPART_ARC
(27,5),-4.20688 # DEPENDENCYPART_ARC
(27,6),-5.52724 # DEPENDENCYPART_ARC
(27,7),-2.23199 # DEPENDENCYPART_ARC
(27,8),-3.20493 # DEPENDENCYPART_ARC
(27,9),-4.55949 # DEPENDENCYPART_ARC
(27,10),-5.93359 # DEPENDENCYPART_ARC
(27,11),-6.64809 # DEPENDENCYPART_ARC
(27,12),-1.74096 # DEPENDENCYPART_ARC
(27,13),-2.51233 # DEPENDENCYPART_ARC
(27,14),-2.28623 # DEPENDENCYPART_ARC
(27,15),-2.21831 # DEPENDENCYPART_ARC
(27,16),-1.69858 # DEPENDENCYPART_ARC
(27,17),-4.31665 # DEPENDENCYPART_ARC
(27,18),-3.29496 # DEPENDENCYPART_ARC
(27,19),-1.29516 # DEPENDENCYPART_ARC
(27,20),-0.745406 # DEPENDENCYPART_ARC
(27,21),-2.04244 # DEPENDENCYPART_ARC
(27,22),-3.3081 # DEPENDENCYPART_ARC
(27,23),-0.702653 # DEPENDENCYPART_ARC
(27,24),-1.73783 # DEPENDENCYPART_ARC
(27,25),0.398364 # DEPENDENCYPART_ARC
(27,26),-0.537348 # DEPENDENCYPART_ARC
(27,28),-1.37293 # DEPENDENCYPART_ARC
(27,29),0.516345 # DEPENDENCYPART_ARC
(27,30),-0.136258 # DEPENDENCYPART_ARC
(28,1),-5.96815 # DEPENDENCYPART_ARC
(28,2),-6.08405 # DEPENDENCYPART_ARC
(28,3),-7.01186 # DEPENDENCYPART_ARC
(28,4),-2.11116 # DEPENDENCYPART_ARC
(28,5),-4.75967 # DEPENDENCYPART_ARC
(28,6),-5.84852 # DEPENDENCYPART_ARC
(28,7),-2.64451 # DEPENDENCYPART_ARC
(28,8),-3.70133 # DEPENDENCYPART_ARC
(28,9),-4.95363 # DEPENDENCYPART_ARC
(28,10),-6.27954 # DEPENDENCYPART_ARC
(28,11),-7.0784 # DEPENDENCYPART_ARC
(28,12),-2.30806 # DEPENDENCYPART_ARC
(28,13),-3.27811 # DEPENDENCYPART_ARC
(28,14),-3.00403 # DEPENDENCYPART_ARC
(28,15),-2.76438 # DEPENDENCYPART_ARC
(28,16),-2.09669 # DEPENDENCYPART_ARC
(28,17),-4.82136 # DEPENDENCYPART_ARC
(28,18),-4.05268 # DEPENDENCYPART_ARC
(28,19),-1.82891 # DEPENDENCYPART_ARC
(28,20),-1.40231 # DEPENDENCYPART_ARC
(28,21),-2.4272 # DEPENDENCYPART_ARC
(28,22),-4.38337 # DEPENDENCYPART_ARC
(28,23),-1.18535 # DEPENDENCYPART_ARC
(28,24),-2.57532 # DEPENDENCYPART_ARC
(28,25),-0.495092 # DEPENDENCYPART_ARC
(28,26),-1.67734 # DEPENDENCYPART_ARC
(28,27),-0.217533 # DEPENDENCYPART_ARC
(28,29),-0.537565 # DEPENDENCYPART_ARC
(28,30),-0.244044 # DEPENDENCYPART_ARC
(29,1),-8.0292 # DEPENDENCYPART_ARC
(29,2),-7.75821 # DEPENDENCYPART_ARC
(29,3),-10.2636 # DEPENDENCYPART_ARC
(29,4),-6.19347 # DEPENDENCYPART_ARC
(29,5),-5.51647 # DEPENDENCYPART_ARC
(29,6),-4.43959 # DEPENDENCYPART_ARC
(29,7),-5.07881 # DEPENDENCYPART_ARC
(29,8),-3.2104 # DEPENDENCYPART_ARC
(29,9),-7.55876 # DEPENDENCYPART_ARC
(29,10),-3.22987 # DEPENDENCYPART_ARC
(29,11),-10.0073 # DEPENDENCYPART_ARC
(29,12),-1.54761 # DEPENDENCYPART_ARC
(29,13),-5.27379 # DEPENDENCYPART_ARC
(29,14),-4.19183 # DEPENDENCYPART_ARC
(29,15),-2.61108 # DEPENDENCYPART_ARC
(29,16),-1.14818 # DEPENDENCYPART_ARC
(29,17),-4.64889 # DEPENDENCYPART_ARC
(29,18),-6.32429 # DEPENDENCYPART_ARC
(29,19),-1.67216 # DEPENDENCYPART_ARC
(29,20),-1.21174 # DEPENDENCYPART_ARC
(29,21),-1.96959 # DEPENDENCYPART_ARC
(29,22),-5.72192 # DEPENDENCYPART_ARC
(29,23),-0.724871 # DEPENDENCYPART_ARC
(29,24),-2.47413 # DEPENDENCYPART_ARC
(29,25),-0.208214 # DEPENDENCYPART_ARC
(29,26),-1.46173 # DEPENDENCYPART_ARC
(29,27),4.77844 # DEPENDENCYPART_ARC
(29,28),5.20237 # DEPENDENCYPART_ARC
(29,30),0.301568 # DEPENDENCYPART_ARC
(30,1),-6.01126 # DEPENDENCYPART_ARC
(30,2),-5.85596 # DEPENDENCYPART_ARC
(30,3),-7.91869 # DEPENDENCYPART_ARC
(30,4),-5.05351 # DEPENDENCYPART_ARC
(30,5),-4.87216 # DEPENDENCYPART_ARC
(30,6),-4.9141 # DEPENDENCYPART_ARC
(30,7),-4.66942 # DEPENDENCYPART_ARC
(30,8),-6.10329 # DEPENDENCYPART_ARC
(30,9),-4.25334 # DEPENDENCYPART_ARC
(30,10),-5.49849 # DEPENDENCYPART_ARC
(30,11),-4.81292 # DEPENDENCYPART_ARC
(30,12),-4.91776 # DEPENDENCYPART_ARC
(30,13),-4.95472 # DEPENDENCYPART_ARC
(30,14),-5.17685 # DEPENDENCYPART_ARC
(30,15),-5.02283 # DEPENDENCYPART_ARC
(30,16),-3.79587 # DEPENDENCYPART_ARC
(30,17),-4.04876 # DEPENDENCYPART_ARC
(30,18),-4.92616 # DEPENDENCYPART_ARC
(30,19),-3.83227 # DEPENDENCYPART_ARC
(30,20),-4.24822 # DEPENDENCYPART_ARC
(30,21),-2.99461 # DEPENDENCYPART_ARC
(30,22),-4.08781 # DEPENDENCYPART_ARC
(30,23),-3.52154 # DEPENDENCYPART_ARC
(30,24),-2.87947 # DEPENDENCYPART_ARC
(30,25),-3.38845 # DEPENDENCYPART_ARC
(30,26),-2.35955 # DEPENDENCYPART_ARC
(30,27),-2.56396 # DEPENDENCYPART_ARC
(30,28),-2.51136 # DEPENDENCYPART_ARC
(30,29),-2.93685 # DEPENDENCYPART_ARC
