# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,19,19,23,21,0,
(23,14),-6.33363 # DEPENDENCYPART_ARC
(23,15),-1.8301 # DEPENDENCYPART_ARC
(23,16),-1.70413 # DEPENDENCYPART_ARC
(23,17),-1.27082 # DEPENDENCYPART_ARC
(23,18),1.38582 # DEPENDENCYPART_ARC
(23,19),-0.511706 # DEPENDENCYPART_ARC
(23,20),-2.23095 # DEPENDENCYPART_ARC
(23,21),0.562551 # DEPENDENCYPART_ARC
(23,22),4.02132 # DEPENDENCYPART_ARC
(23,24),0.23301 # DEPENDENCYPART_ARC
(24,1),-8.20513 # DEPENDENCYPART_ARC
(24,2),-5.83187 # DEPENDENCYPART_ARC
(24,3),-7.04354 # DEPENDENCYPART_ARC
(24,4),-6.24973 # DEPENDENCYPART_ARC
(24,6),-5.47706 # DEPENDENCYPART_ARC
(24,7),-6.71559 # DEPENDENCYPART_ARC
(24,8),-5.19585 # DEPENDENCYPART_ARC
(24,9),-4.78415 # DEPENDENCYPART_ARC
(24,10),-4.96186 # DEPENDENCYPART_ARC
(24,11),-5.37551 # DEPENDENCYPART_ARC
(24,12),-5.32042 # DEPENDENCYPART_ARC
(24,13),-4.61687 # DEPENDENCYPART_ARC
(24,14),-4.81002 # DEPENDENCYPART_ARC
(24,15),-4.26261 # DEPENDENCYPART_ARC
(24,16),-3.95226 # DEPENDENCYPART_ARC
(24,17),-4.23005 # DEPENDENCYPART_ARC
(24,18),-3.48844 # DEPENDENCYPART_ARC
(24,19),-3.81179 # DEPENDENCYPART_ARC
(24,20),-2.81044 # DEPENDENCYPART_ARC
(24,21),-3.7158 # DEPENDENCYPART_ARC
(24,22),-3.13883 # DEPENDENCYPART_ARC
(24,23),-3.6553 # DEPENDENCYPART_ARC
