# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,7,10,9,10,5,19,27,12,19,19,19,16,17,10,19,20,20,27,27,27,27,22,0,
(18,20),-0.807736 # DEPENDENCYPART_ARC
(18,21),-2.12028 # DEPENDENCYPART_ARC
(18,22),0.0576791 # DEPENDENCYPART_ARC
(18,23),-1.85215 # DEPENDENCYPART_ARC
(18,24),-2.01231 # DEPENDENCYPART_ARC
(18,25),-3.35487 # DEPENDENCYPART_ARC
(18,26),-0.965421 # DEPENDENCYPART_ARC
(18,27),-2.32506 # DEPENDENCYPART_ARC
(18,28),-2.71139 # DEPENDENCYPART_ARC
(19,1),-1.16825 # DEPENDENCYPART_ARC
(19,2),0.731729 # DEPENDENCYPART_ARC
(19,3),-1.47353 # DEPENDENCYPART_ARC
(19,4),0.0729888 # DEPENDENCYPART_ARC
(19,5),0.053105 # DEPENDENCYPART_ARC
(19,6),-3.79105 # DEPENDENCYPART_ARC
(19,7),1.06204 # DEPENDENCYPART_ARC
(19,8),0.483732 # DEPENDENCYPART_ARC
(19,9),-3.73722 # DEPENDENCYPART_ARC
(19,10),-3.06687 # DEPENDENCYPART_ARC
(19,11),1.6009 # DEPENDENCYPART_ARC
(19,12),2.15147 # DEPENDENCYPART_ARC
(19,13),-1.73887 # DEPENDENCYPART_ARC
(19,14),3.61373 # DEPENDENCYPART_ARC
(19,15),1.94783 # DEPENDENCYPART_ARC
(19,16),2.53237 # DEPENDENCYPART_ARC
(19,17),0.825427 # DEPENDENCYPART_ARC
(19,18),-0.698451 # DEPENDENCYPART_ARC
(19,20),2.82188 # DEPENDENCYPART_ARC
(19,21),0.312737 # DEPENDENCYPART_ARC
(19,22),0.921052 # DEPENDENCYPART_ARC
(19,23),-0.564053 # DEPENDENCYPART_ARC
(19,24),-0.600807 # DEPENDENCYPART_ARC
(19,25),-1.38355 # DEPENDENCYPART_ARC
(19,26),0.163582 # DEPENDENCYPART_ARC
(19,27),-1.06039 # DEPENDENCYPART_ARC
(19,28),-0.0112165 # DEPENDENCYPART_ARC
(20,1),-4.17226 # DEPENDENCYPART_ARC
(20,2),-5.28645 # DEPENDENCYPART_ARC
(20,3),-4.05307 # DEPENDENCYPART_ARC
(20,4),-3.45164 # DEPENDENCYPART_ARC
(20,5),-3.59352 # DEPENDENCYPART_ARC
(20,6),-3.91875 # DEPENDENCYPART_ARC
(20,7),-1.96407 # DEPENDENCYPART_ARC
(20,8),-3.35081 # DEPENDENCYPART_ARC
(20,9),-3.79895 # DEPENDENCYPART_ARC
(20,10),-4.70146 # DEPENDENCYPART_ARC
(20,11),-1.40929 # DEPENDENCYPART_ARC
(20,12),-2.99227 # DEPENDENCYPART_ARC
(20,13),-2.30782 # DEPENDENCYPART_ARC
(20,14),-2.47034 # DEPENDENCYPART_ARC
(20,15),-2.29033 # DEPENDENCYPART_ARC
(20,16),-2.53251 # DEPENDENCYPART_ARC
(20,17),-2.14734 # DEPENDENCYPART_ARC
(20,18),-2.32227 # DEPENDENCYPART_ARC
(20,19),-1.82057 # DEPENDENCYPART_ARC
(20,21),4.3907 # DEPENDENCYPART_ARC
(20,22),1.24 # DEPENDENCYPART_ARC
(20,23),-2.97836 # DEPENDENCYPART_ARC
(20,24),-2.45361 # DEPENDENCYPART_ARC
(20,25),-1.90768 # DEPENDENCYPART_ARC
(20,26),-1.68126 # DEPENDENCYPART_ARC
(20,27),-1.71597 # DEPENDENCYPART_ARC
(20,28),-1.73825 # DEPENDENCYPART_ARC
(21,1),-8.83402 # DEPENDENCYPART_ARC
(21,2),-6.55534 # DEPENDENCYPART_ARC
(21,3),-3.54828 # DEPENDENCYPART_ARC
(21,4),-4.02809 # DEPENDENCYPART_ARC
(21,5),-5.87924 # DEPENDENCYPART_ARC
(21,6),-5.00841 # DEPENDENCYPART_ARC
(21,7),-2.17179 # DEPENDENCYPART_ARC
(21,8),-3.43233 # DEPENDENCYPART_ARC
(21,9),-4.1586 # DEPENDENCYPART_ARC
(21,10),-5.08423 # DEPENDENCYPART_ARC
(21,11),-2.48686 # DEPENDENCYPART_ARC
(21,12),-2.33466 # DEPENDENCYPART_ARC
(21,13),-0.759247 # DEPENDENCYPART_ARC
(21,14),-4.26881 # DEPENDENCYPART_ARC
(21,15),-1.7694 # DEPENDENCYPART_ARC
(21,16),-3.38863 # DEPENDENCYPART_ARC
(21,17),-0.79851 # DEPENDENCYPART_ARC
(21,18),-1.8938 # DEPENDENCYPART_ARC
(21,19),-1.66806 # DEPENDENCYPART_ARC
(21,20),0.636362 # DEPENDENCYPART_ARC
(21,22),-0.360963 # DEPENDENCYPART_ARC
(21,23),-1.39283 # DEPENDENCYPART_ARC
(21,24),-2.28653 # DEPENDENCYPART_ARC
(21,25),-3.11579 # DEPENDENCYPART_ARC
(21,26),-1.77934 # DEPENDENCYPART_ARC
(21,27),-1.69004 # DEPENDENCYPART_ARC
(21,28),-2.1389 # DEPENDENCYPART_ARC
(22,1),-1.50562 # DEPENDENCYPART_ARC
(22,2),-2.00893 # DEPENDENCYPART_ARC
(22,3),-1.03485 # DEPENDENCYPART_ARC
(22,4),0.0392823 # DEPENDENCYPART_ARC
(22,5),-0.659925 # DEPENDENCYPART_ARC
(22,6),-0.201795 # DEPENDENCYPART_ARC
(22,7),0.139286 # DEPENDENCYPART_ARC
(22,8),0.102971 # DEPENDENCYPART_ARC
(22,9),-0.986718 # DEPENDENCYPART_ARC
(22,10),0.708689 # DEPENDENCYPART_ARC
(22,11),0.217559 # DEPENDENCYPART_ARC
(22,12),-0.156338 # DEPENDENCYPART_ARC
(22,13),0.502627 # DEPENDENCYPART_ARC
(22,14),0.623408 # DEPENDENCYPART_ARC
(22,15),0.455725 # DEPENDENCYPART_ARC
(22,16),-0.441901 # DEPENDENCYPART_ARC
(22,17),-0.258219 # DEPENDENCYPART_ARC
(22,18),1.42803 # DEPENDENCYPART_ARC
(22,19),1.71513 # DEPENDENCYPART_ARC
(22,20),0.915364 # DEPENDENCYPART_ARC
(22,21),4.10617 # DEPENDENCYPART_ARC
(22,23),0.925223 # DEPENDENCYPART_ARC
(22,24),0.689757 # DEPENDENCYPART_ARC
(22,25),-0.249216 # DEPENDENCYPART_ARC
(22,26),-0.00296569 # DEPENDENCYPART_ARC
(22,27),1.36734 # DEPENDENCYPART_ARC
(22,28),0.225585 # DEPENDENCYPART_ARC
(23,1),-4.98083 # DEPENDENCYPART_ARC
(23,2),-4.66731 # DEPENDENCYPART_ARC
(23,3),-3.59159 # DEPENDENCYPART_ARC
(23,4),-3.41246 # DEPENDENCYPART_ARC
(23,5),-3.46651 # DEPENDENCYPART_ARC
(23,6),-5.36094 # DEPENDENCYPART_ARC
(23,7),-2.46999 # DEPENDENCYPART_ARC
(23,8),-2.94139 # DEPENDENCYPART_ARC
(23,9),-5.10283 # DEPENDENCYPART_ARC
(23,10),-5.16218 # DEPENDENCYPART_ARC
(23,11),-2.02826 # DEPENDENCYPART_ARC
(23,12),-1.743 # DEPENDENCYPART_ARC
(23,13),-3.49374 # DEPENDENCYPART_ARC
(23,14),-0.737454 # DEPENDENCYPART_ARC
(23,15),-2.59414 # DEPENDENCYPART_ARC
(23,16),-2.63061 # DEPENDENCYPART_ARC
(23,17),-0.941726 # DEPENDENCYPART_ARC
(23,18),-3.6671 # DEPENDENCYPART_ARC
(23,19),-2.1735 # DEPENDENCYPART_ARC
(23,20),-0.457444 # DEPENDENCYPART_ARC
(23,21),-2.23115 # DEPENDENCYPART_ARC
(23,22),-0.291252 # DEPENDENCYPART_ARC
(23,24),0.0214878 # DEPENDENCYPART_ARC
(23,25),0.869285 # DEPENDENCYPART_ARC
(23,26),0.656883 # DEPENDENCYPART_ARC
(23,27),-0.597116 # DEPENDENCYPART_ARC
(23,28),0.205118 # DEPENDENCYPART_ARC
(24,1),-2.47533 # DEPENDENCYPART_ARC
(24,2),-2.3344 # DEPENDENCYPART_ARC
(24,3),-3.89665 # DEPENDENCYPART_ARC
(24,4),-1.5349 # DEPENDENCYPART_ARC
(24,5),-3.52745 # DEPENDENCYPART_ARC
(24,6),-2.82481 # DEPENDENCYPART_ARC
(24,7),-2.90673 # DEPENDENCYPART_ARC
(24,8),-1.55582 # DEPENDENCYPART_ARC
(24,9),-2.58511 # DEPENDENCYPART_ARC
(24,10),-2.52264 # DEPENDENCYPART_ARC
(24,11),-2.06875 # DEPENDENCYPART_ARC
(24,12),-0.738984 # DEPENDENCYPART_ARC
(24,13),-1.8519 # DEPENDENCYPART_ARC
(24,14),-2.165 # DEPENDENCYPART_ARC
(24,15),-0.871133 # DEPENDENCYPART_ARC
(24,16),-1.85535 # DEPENDENCYPART_ARC
(24,17),0.212256 # DEPENDENCYPART_ARC
(24,18),-1.73587 # DEPENDENCYPART_ARC
(24,19),-2.70679 # DEPENDENCYPART_ARC
(24,20),-0.481609 # DEPENDENCYPART_ARC
(24,21),-1.59277 # DEPENDENCYPART_ARC
(24,22),-0.141744 # DEPENDENCYPART_ARC
(24,23),1.76467 # DEPENDENCYPART_ARC
(24,25),0.314304 # DEPENDENCYPART_ARC
(24,26),-0.68763 # DEPENDENCYPART_ARC
(24,27),-1.5002 # DEPENDENCYPART_ARC
(24,28),-0.0766461 # DEPENDENCYPART_ARC
(25,1),-4.57806 # DEPENDENCYPART_ARC
(25,2),-3.25472 # DEPENDENCYPART_ARC
(25,3),-2.35141 # DEPENDENCYPART_ARC
(25,4),-1.69314 # DEPENDENCYPART_ARC
(25,5),-1.95439 # DEPENDENCYPART_ARC
(25,6),-3.16294 # DEPENDENCYPART_ARC
(25,7),-1.36467 # DEPENDENCYPART_ARC
(25,8),-1.42386 # DEPENDENCYPART_ARC
(25,9),-2.89278 # DEPENDENCYPART_ARC
(25,10),-2.00566 # DEPENDENCYPART_ARC
(25,11),-1.0453 # DEPENDENCYPART_ARC
(25,12),-1.18032 # DEPENDENCYPART_ARC
(25,13),-1.95255 # DEPENDENCYPART_ARC
(25,14),-1.34306 # DEPENDENCYPART_ARC
(25,15),-0.185945 # DEPENDENCYPART_ARC
(25,16),-1.56651 # DEPENDENCYPART_ARC
(25,17),-0.264551 # DEPENDENCYPART_ARC
(25,18),-1.29437 # DEPENDENCYPART_ARC
(25,19),-1.31118 # DEPENDENCYPART_ARC
(25,20),-0.652616 # DEPENDENCYPART_ARC
(25,21),-0.977484 # DEPENDENCYPART_ARC
(25,22),-0.209977 # DEPENDENCYPART_ARC
(25,23),-1.63116 # DEPENDENCYPART_ARC
(25,24),-0.62795 # DEPENDENCYPART_ARC
(25,26),0.63752 # DEPENDENCYPART_ARC
(25,27),-2.49345 # DEPENDENCYPART_ARC
(25,28),-0.46602 # DEPENDENCYPART_ARC
(26,1),-4.23575 # DEPENDENCYPART_ARC
(26,2),-4.62591 # DEPENDENCYPART_ARC
(26,3),-2.80898 # DEPENDENCYPART_ARC
(26,4),-2.26177 # DEPENDENCYPART_ARC
(26,5),-2.74388 # DEPENDENCYPART_ARC
(26,6),-2.71408 # DEPENDENCYPART_ARC
(26,7),-2.41646 # DEPENDENCYPART_ARC
(26,8),-1.70142 # DEPENDENCYPART_ARC
(26,9),-2.73978 # DEPENDENCYPART_ARC
(26,10),-2.72941 # DEPENDENCYPART_ARC
(26,11),-1.77814 # DEPENDENCYPART_ARC
(26,12),-2.22579 # DEPENDENCYPART_ARC
(26,13),-1.90131 # DEPENDENCYPART_ARC
(26,14),-2.39288 # DEPENDENCYPART_ARC
(26,15),-1.12646 # DEPENDENCYPART_ARC
(26,16),-2.43034 # DEPENDENCYPART_ARC
(26,17),-1.34666 # DEPENDENCYPART_ARC
(26,18),-1.60056 # DEPENDENCYPART_ARC
(26,19),-1.47913 # DEPENDENCYPART_ARC
(26,20),-1.24409 # DEPENDENCYPART_ARC
(26,21),-1.58497 # DEPENDENCYPART_ARC
(26,22),-0.487528 # DEPENDENCYPART_ARC
(26,23),-1.30613 # DEPENDENCYPART_ARC
(26,24),-0.827488 # DEPENDENCYPART_ARC
(26,25),-0.889689 # DEPENDENCYPART_ARC
(26,27),-1.13648 # DEPENDENCYPART_ARC
(26,28),-0.358849 # DEPENDENCYPART_ARC
(27,1),-1.58813 # DEPENDENCYPART_ARC
(27,2),0.0342079 # DEPENDENCYPART_ARC
(27,3),-1.59771 # DEPENDENCYPART_ARC
(27,4),-0.0183786 # DEPENDENCYPART_ARC
(27,5),-0.104982 # DEPENDENCYPART_ARC
(27,6),-3.08373 # DEPENDENCYPART_ARC
(27,7),0.914571 # DEPENDENCYPART_ARC
(27,8),0.308007 # DEPENDENCYPART_ARC
(27,9),-2.93498 # DEPENDENCYPART_ARC
(27,10),-1.64624 # DEPENDENCYPART_ARC
(27,11),1.57305 # DEPENDENCYPART_ARC
(27,12),2.25493 # DEPENDENCYPART_ARC
(27,13),-1.85404 # DEPENDENCYPART_ARC
(27,14),3.13735 # DEPENDENCYPART_ARC
(27,15),1.61863 # DEPENDENCYPART_ARC
(27,16),0.576911 # DEPENDENCYPART_ARC
(27,17),0.0800785 # DEPENDENCYPART_ARC
(27,18),-0.3611 # DEPENDENCYPART_ARC
(27,19),-0.687694 # DEPENDENCYPART_ARC
(27,20),1.53881 # DEPENDENCYPART_ARC
(27,21),0.795153 # DEPENDENCYPART_ARC
(27,22),0.776953 # DEPENDENCYPART_ARC
(27,23),1.86849 # DEPENDENCYPART_ARC
(27,24),1.69638 # DEPENDENCYPART_ARC
(27,25),3.30842 # DEPENDENCYPART_ARC
(27,26),3.49847 # DEPENDENCYPART_ARC
(27,28),0.147231 # DEPENDENCYPART_ARC
(28,1),-5.64173 # DEPENDENCYPART_ARC
(28,2),-8.35029 # DEPENDENCYPART_ARC
(28,3),-5.96248 # DEPENDENCYPART_ARC
(28,4),-4.61198 # DEPENDENCYPART_ARC
(28,5),-5.94042 # DEPENDENCYPART_ARC
(28,6),-5.245 # DEPENDENCYPART_ARC
(28,7),-7.07833 # DEPENDENCYPART_ARC
(28,8),-4.33207 # DEPENDENCYPART_ARC
(28,9),-5.13853 # DEPENDENCYPART_ARC
(28,10),-6.67499 # DEPENDENCYPART_ARC
(28,11),-6.35077 # DEPENDENCYPART_ARC
(28,12),-4.22905 # DEPENDENCYPART_ARC
(28,13),-3.83329 # DEPENDENCYPART_ARC
(28,14),-3.86661 # DEPENDENCYPART_ARC
(28,15),-3.91963 # DEPENDENCYPART_ARC
(28,16),-4.11507 # DEPENDENCYPART_ARC
(28,17),-4.01424 # DEPENDENCYPART_ARC
(28,18),-4.5275 # DEPENDENCYPART_ARC
(28,19),-4.00217 # DEPENDENCYPART_ARC
(28,20),-3.45372 # DEPENDENCYPART_ARC
(28,21),-3.74626 # DEPENDENCYPART_ARC
(28,22),-3.87507 # DEPENDENCYPART_ARC
(28,23),-3.273 # DEPENDENCYPART_ARC
(28,24),-2.83466 # DEPENDENCYPART_ARC
(28,25),-2.46143 # DEPENDENCYPART_ARC
(28,26),-3.00189 # DEPENDENCYPART_ARC
(28,27),-3.51552 # DEPENDENCYPART_ARC
