# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(23,3),-3.44515 # DEPENDENCYPART_ARC
(23,4),-4.5346 # DEPENDENCYPART_ARC
(23,5),-5.39131 # DEPENDENCYPART_ARC
(23,6),-4.10552 # DEPENDENCYPART_ARC
(23,7),-5.75739 # DEPENDENCYPART_ARC
(23,8),-4.54312 # DEPENDENCYPART_ARC
(23,9),-4.58504 # DEPENDENCYPART_ARC
(23,10),-3.79295 # DEPENDENCYPART_ARC
(23,11),-4.36137 # DEPENDENCYPART_ARC
(23,12),-3.34136 # DEPENDENCYPART_ARC
(23,13),-4.12063 # DEPENDENCYPART_ARC
(23,14),-3.82484 # DEPENDENCYPART_ARC
(23,15),-3.54033 # DEPENDENCYPART_ARC
(23,16),-2.9382 # DEPENDENCYPART_ARC
(23,17),-2.65606 # DEPENDENCYPART_ARC
(23,18),-2.97379 # DEPENDENCYPART_ARC
(23,19),-3.47812 # DEPENDENCYPART_ARC
(23,20),-2.73411 # DEPENDENCYPART_ARC
(23,21),-2.50397 # DEPENDENCYPART_ARC
(23,22),-3.15762 # DEPENDENCYPART_ARC
