# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,0,9,9,7,5,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(23,2),-6.15847 # DEPENDENCYPART_ARC
(23,3),-4.75715 # DEPENDENCYPART_ARC
(23,4),-5.96142 # DEPENDENCYPART_ARC
(23,5),-4.5622 # DEPENDENCYPART_ARC
(23,6),-3.71813 # DEPENDENCYPART_ARC
(23,7),-4.48858 # DEPENDENCYPART_ARC
(23,8),-3.66011 # DEPENDENCYPART_ARC
(23,9),-4.46032 # DEPENDENCYPART_ARC
(23,10),-3.69639 # DEPENDENCYPART_ARC
(23,11),-4.10427 # DEPENDENCYPART_ARC
(23,12),-4.05468 # DEPENDENCYPART_ARC
(23,13),-3.75442 # DEPENDENCYPART_ARC
(23,14),-3.66399 # DEPENDENCYPART_ARC
(23,15),-3.70215 # DEPENDENCYPART_ARC
(23,16),-3.83183 # DEPENDENCYPART_ARC
(23,17),-2.42985 # DEPENDENCYPART_ARC
(23,18),-2.55709 # DEPENDENCYPART_ARC
(23,19),-3.18504 # DEPENDENCYPART_ARC
(23,20),-3.06095 # DEPENDENCYPART_ARC
(23,21),-2.6486 # DEPENDENCYPART_ARC
(23,22),-3.30225 # DEPENDENCYPART_ARC
